date,price
8/29/25,1307
7/31/25,1429
6/30/25,1382
5/31/25,1282
4/30/25,1398
3/31/25,1355
2/28/25,1490
1/31/25,1358
12/31/24,1514
11/30/24,1295
10/31/24,1352
9/30/24,1357
8/31/24,1391
7/31/24,1265
6/30/24,1327
5/31/24,1316
4/30/24,1385
3/31/24,1312
2/29/24,1552
1/31/24,1381
12/31/23,1521
11/30/23,1514
10/31/23,1368
9/30/23,1371
8/31/23,1317
7/31/23,1460
6/30/23,1421
5/31/23,1584
4/30/23,1354
3/31/23,1377
2/28/23,1399
1/31/23,1361
12/31/22,1308
11/30/22,1424
10/31/22,1435
9/30/22,1488
8/31/22,1531
7/31/22,1381
6/30/22,1551
5/31/22,1531
4/30/22,1820
3/31/22,1712
2/28/22,1735
1/31/22,1702
12/31/21,1722
11/30/21,1705
10/31/21,1579
9/30/21,1577
8/31/21,1594
7/31/21,1597
6/30/21,1650
5/31/21,1589
4/30/21,1495
3/31/21,1696
2/28/21,1404
1/31/21,1630
12/31/20,1614
11/30/20,1543
10/31/20,1543
9/30/20,1473
8/31/20,1396
7/31/20,1526
6/30/20,1266
5/31/20,1039
4/30/20,936
3/31/20,1266
2/29/20,1549
1/31/20,1581
12/31/19,1548
11/30/19,1353
10/31/19,1325
9/30/19,1311
8/31/19,1375
7/31/19,1240
6/30/19,1243
5/31/19,1293
4/30/19,1272
3/31/19,1191
2/28/19,1121
1/31/19,1226
12/31/18,1095
11/30/18,1181
10/31/18,1221
9/30/18,1250
8/31/18,1288
7/31/18,1208
6/30/18,1192
5/31/18,1357
4/30/18,1276
3/31/18,1318
2/28/18,1277
1/31/18,1299
12/31/17,1177
11/30/17,1273
10/31/17,1257
9/30/17,1181
8/31/17,1159
7/31/17,1206
6/30/17,1249
5/31/17,1157
4/30/17,1146
3/31/17,1190
2/28/17,1271
1/31/17,1190
12/31/16,1252
11/30/16,1140
10/31/16,1313
9/30/16,1068
8/31/16,1171
7/31/16,1239
6/30/16,1203
5/31/16,1148
4/30/16,1163
3/31/16,1111
2/29/16,1225
1/31/16,1092
12/31/15,1146
11/30/15,1172
10/31/15,1058
9/30/15,1224
8/31/15,1130
7/31/15,1146
6/30/15,1205
5/31/15,1079
4/30/15,1190
3/31/15,960
2/28/15,886
1/31/15,1085
12/31/14,1073
11/30/14,1001
10/31/14,1074
9/30/14,1023
8/31/14,984
7/31/14,1085
6/30/14,911
5/31/14,1007
4/30/14,1043
3/31/14,970
2/28/14,944
1/31/14,888
12/31/13,1002
11/30/13,1100
10/31/13,925
9/30/13,850
8/31/13,917
7/31/13,880
6/30/13,839
5/31/13,930
4/30/13,835
3/31/13,1010
2/28/13,962
1/31/13,888
12/31/12,976
11/30/12,833
10/31/12,915
9/30/12,847
8/31/12,754
7/31/12,740
6/30/12,757
5/31/12,708
4/30/12,753
3/31/12,695
2/29/12,704
1/31/12,723
12/31/11,694
11/30/11,711
10/31/11,610
9/30/11,650
8/31/11,585
7/31/11,623
6/30/11,608
5/31/11,561
4/30/11,554
3/31/11,600
2/28/11,517
1/31/11,630
12/31/10,539
11/30/10,545
10/31/10,543
9/30/10,594
8/31/10,599
7/31/10,546
6/30/10,536
5/31/10,583
4/30/10,687
3/31/10,636
2/28/10,604
1/31/10,614
12/31/09,581
11/30/09,588
10/31/09,534
9/30/09,585
8/31/09,586
7/31/09,594
6/30/09,585
5/31/09,540
4/30/09,478
3/31/09,505
2/28/09,582
1/31/09,490
12/31/08,560
11/30/08,652
10/31/08,777
9/30/08,820
8/31/08,844
7/31/08,923
6/30/08,1046
5/31/08,973
4/30/08,1013
3/31/08,1005
2/29/08,1103
1/31/08,1084
12/31/07,1037
11/30/07,1197
10/31/07,1264
9/30/07,1183
8/31/07,1330
7/31/07,1354
6/30/07,1448
5/31/07,1415
4/30/07,1490
3/31/07,1495
2/28/07,1480
1/31/07,1409
12/31/06,1649
11/30/06,1570
10/31/06,1491
9/30/06,1720
8/31/06,1650
7/31/06,1737
6/30/06,1802
5/31/06,1942
4/30/06,1821
3/31/06,1969
2/28/06,2119
1/31/06,2273
12/31/05,1994
11/30/05,2147
10/31/05,2065
9/30/05,2151
8/31/05,2095
7/31/05,2054
6/30/05,2068
5/31/05,2025
4/30/05,2061
3/31/05,1864
2/28/05,2207
1/31/05,2144
12/31/04,2042
11/30/04,1782
10/31/04,2072
9/30/04,1905
8/31/04,2024
7/31/04,2002
6/30/04,1828
5/31/04,1981
4/30/04,2003
3/31/04,1998
2/29/04,1846
1/31/04,1911
12/31/03,2057
11/30/03,2083
10/31/03,1967
9/30/03,1939
8/31/03,1833
7/31/03,1897
6/30/03,1867
5/31/03,1751
4/30/03,1643
3/31/03,1726
2/28/03,1629
1/31/03,1853
12/31/02,1788
11/30/02,1753
10/31/02,1648
9/30/02,1804
8/31/02,1633
7/31/02,1655
6/30/02,1717
5/31/02,1764
4/30/02,1592
3/31/02,1642
2/28/02,1829
1/31/02,1698
12/31/01,1568
11/30/01,1602
10/31/01,1540
9/30/01,1562
8/31/01,1567
7/31/01,1670
6/30/01,1636
5/31/01,1605
4/30/01,1649
3/31/01,1590
2/28/01,1625
1/31/01,1600
12/31/00,1532
11/30/00,1551
10/31/00,1549
9/30/00,1507
8/31/00,1541
7/31/00,1463
6/30/00,1559
5/31/00,1575
4/30/00,1626
3/31/00,1604
2/29/00,1737
1/31/00,1636
12/31/99,1708
11/30/99,1648
10/31/99,1608
9/30/99,1635
8/31/99,1648
7/31/99,1669
6/30/99,1559
5/31/99,1611
4/30/99,1553
3/31/99,1710
2/28/99,1670
1/31/99,1748
12/31/98,1792
11/30/98,1660
10/31/98,1715
9/30/98,1582
8/31/98,1614
7/31/98,1698
6/30/98,1641
5/31/98,1536
4/30/98,1540
3/31/98,1567
2/28/98,1584
1/31/98,1525
12/31/97,1566
11/30/97,1510
10/31/97,1520
9/30/97,1546
8/31/97,1390
7/31/97,1437
6/30/97,1494
5/31/97,1442
4/30/97,1492
3/31/97,1457
2/28/97,1486
1/31/97,1355
12/31/96,1370
11/30/96,1489
10/31/96,1392
9/30/96,1475
8/31/96,1557
7/31/96,1472
6/30/96,1467
5/31/96,1504
4/30/96,1516
3/31/96,1424
2/29/96,1491
1/31/96,1467
12/31/95,1431
11/30/95,1452
10/31/95,1369
9/30/95,1369
8/31/95,1416
7/31/95,1461
6/30/95,1281
5/31/95,1314
4/30/95,1267
3/31/95,1249
2/28/95,1316
1/31/95,1407
12/31/94,1455
11/30/94,1511
10/31/94,1450
9/30/94,1474
8/31/94,1450
7/31/94,1439
6/30/94,1409
5/31/94,1526
4/30/94,1465
3/31/94,1564
2/28/94,1337
1/31/94,1272
12/31/93,1533
11/30/93,1376
10/31/93,1392
9/30/93,1343
8/31/93,1300
7/31/93,1254
6/30/93,1280
5/31/93,1260
4/30/93,1258
3/31/93,1083
2/28/93,1210
1/31/93,1210
12/31/92,1227
11/30/92,1214
10/31/92,1244
9/30/92,1186
8/31/92,1226
7/31/92,1139
6/30/92,1145
5/31/92,1214
4/30/92,1099
3/31/92,1297
2/29/92,1250
1/31/92,1176
12/31/91,1079
11/30/91,1103
10/31/91,1079
9/30/91,1015
8/31/91,1049
7/31/91,1063
6/30/91,1036
5/31/91,996
4/30/91,1001
3/31/91,921
2/28/91,965
1/31/91,798
12/31/90,969
11/30/90,1145
10/31/90,1014
9/30/90,1110
8/31/90,
7/31/90,
6/30/90,
5/31/90,
4/30/90,
3/31/90,
2/28/90,
1/31/90,
