Date,Open,High,Low,Close
09/24/2025,"2,459.29","2,461.49","2,434.98","2,434.98"
09/23/2025,"2,467.27","2,488.84","2,455.07","2,457.51"
09/22/2025,"2,445.90","2,466.89","2,431.62","2,463.34"
09/19/2025,"2,471.96","2,472.27","2,445.86","2,448.77"
09/18/2025,"2,420.59","2,470.08","2,420.59","2,467.70"
09/17/2025,"2,406.10","2,453.36","2,396.10","2,407.35"
09/16/2025,"2,405.00","2,406.92","2,388.25","2,403.03"
09/15/2025,"2,402.94","2,411.52","2,399.78","2,405.13"
09/12/2025,"2,416.00","2,416.05","2,396.71","2,397.06"
09/11/2025,"2,380.94","2,422.33","2,379.99","2,421.53"
09/10/2025,"2,384.69","2,394.16","2,369.01","2,378.01"
09/09/2025,"2,393.55","2,393.99","2,370.21","2,381.82"
09/08/2025,"2,395.65","2,398.14","2,378.82","2,394.89"
09/05/2025,"2,389.98","2,407.37","2,366.78","2,391.05"
09/04/2025,"2,354.41","2,379.79","2,351.34","2,379.61"
09/03/2025,"2,352.37","2,359.20","2,340.49","2,349.97"
09/02/2025,"2,339.86","2,354.99","2,329.95","2,352.21"
08/29/2025,"2,381.16","2,382.13","2,359.40","2,366.42"
08/28/2025,"2,382.59","2,384.01","2,370.12","2,378.41"
08/27/2025,"2,353.93","2,375.71","2,352.78","2,373.80"
08/26/2025,"2,339.17","2,361.71","2,339.17","2,358.60"
08/25/2025,"2,357.39","2,357.39","2,339.07","2,339.17"
08/22/2025,"2,285.18","2,366.60","2,285.18","2,361.95"
08/21/2025,"2,258.94","2,277.01","2,254.55","2,274.10"
08/20/2025,"2,273.79","2,274.69","2,252.43","2,269.35"
08/19/2025,"2,295.12","2,300.51","2,272.86","2,276.61"
08/18/2025,"2,287.12","2,298.27","2,285.80","2,294.47"
08/15/2025,"2,304.20","2,305.00","2,279.57","2,286.52"
08/14/2025,"2,304.49","2,304.49","2,279.86","2,299.08"
08/13/2025,"2,296.19","2,329.26","2,296.03","2,328.06"
08/12/2025,"2,232.06","2,283.67","2,229.68","2,282.78"
08/11/2025,"2,221.91","2,229.73","2,213.54","2,216.51"
08/08/2025,"2,222.79","2,228.30","2,214.27","2,218.42"
08/07/2025,"2,234.58","2,243.16","2,202.87","2,214.72"
08/06/2025,"2,224.25","2,225.36","2,211.21","2,221.29"
08/05/2025,"2,218.44","2,228.48","2,200.73","2,225.67"
08/04/2025,"2,177.10","2,212.45","2,177.10","2,212.30"
08/01/2025,"2,192.94","2,192.94","2,143.43","2,166.78"
07/31/2025,"2,225.64","2,235.63","2,207.39","2,211.65"
07/30/2025,"2,249.32","2,265.81","2,220.30","2,232.40"
07/29/2025,"2,268.33","2,273.38","2,239.09","2,242.96"
07/28/2025,"2,267.57","2,270.17","2,252.98","2,256.73"
07/25/2025,"2,257.29","2,262.58","2,244.46","2,261.07"
07/24/2025,"2,276.47","2,276.47","2,251.77","2,252.13"
07/23/2025,"2,259.19","2,283.20","2,259.19","2,283.13"
07/22/2025,"2,231.18","2,254.57","2,224.33","2,248.76"
07/21/2025,"2,248.25","2,259.22","2,230.02","2,231.13"
07/18/2025,"2,265.15","2,269.61","2,238.12","2,240.01"
07/17/2025,"2,228.05","2,258.46","2,227.20","2,253.68"
07/16/2025,"2,212.88","2,229.95","2,189.30","2,226.99"
07/15/2025,"2,254.77","2,257.57","2,205.05","2,205.05"
07/14/2025,"2,231.68","2,250.20","2,229.46","2,249.73"
07/11/2025,"2,253.95","2,253.95","2,233.41","2,234.83"
07/10/2025,"2,251.04","2,275.70","2,247.19","2,263.41"
07/09/2025,"2,236.35","2,252.77","2,229.35","2,252.49"
07/08/2025,"2,219.10","2,238.53","2,219.10","2,228.74"
07/07/2025,"2,237.52","2,243.38","2,204.31","2,214.23"
