Date,Price Open,Last Price
1/4/60,#N/A N/A,14.8948
1/5/60,#N/A N/A,14.8734
1/6/60,#N/A N/A,14.9663
1/7/60,#N/A N/A,14.9307
1/8/60,#N/A N/A,14.9955
1/11/60,#N/A N/A,14.9722
1/12/60,#N/A N/A,14.974
1/13/60,#N/A N/A,14.9585
1/14/60,#N/A N/A,14.9143
1/15/60,#N/A N/A,14.9171
1/18/60,#N/A N/A,14.9478
1/19/60,#N/A N/A,14.9309
1/20/60,#N/A N/A,14.9057
1/21/60,#N/A N/A,14.951
1/22/60,#N/A N/A,14.9439
1/25/60,#N/A N/A,14.9218
1/26/60,#N/A N/A,14.9669
1/27/60,#N/A N/A,14.8829
1/28/60,#N/A N/A,14.858
1/29/60,#N/A N/A,14.7751
2/1/60,#N/A N/A,14.725
2/2/60,#N/A N/A,14.7121
2/3/60,#N/A N/A,14.7027
2/4/60,#N/A N/A,14.6793
2/5/60,#N/A N/A,14.6815
2/8/60,#N/A N/A,14.6858
2/9/60,#N/A N/A,14.6989
2/10/60,#N/A N/A,14.64
2/11/60,#N/A N/A,14.6704
2/12/60,#N/A N/A,14.6737
2/15/60,#N/A N/A,14.6422
2/16/60,#N/A N/A,14.6178
2/17/60,#N/A N/A,14.6173
2/18/60,#N/A N/A,14.6315
2/19/60,#N/A N/A,14.6173
2/23/60,#N/A N/A,14.5235
2/24/60,#N/A N/A,14.5161
2/25/60,#N/A N/A,14.5192
2/26/60,#N/A N/A,14.5095
2/29/60,#N/A N/A,14.5379
3/1/60,#N/A N/A,14.5586
3/2/60,#N/A N/A,14.546
3/3/60,#N/A N/A,14.5905
3/4/60,#N/A N/A,14.5195
3/7/60,#N/A N/A,14.5389
3/8/60,#N/A N/A,14.5329
3/9/60,#N/A N/A,14.5569
3/10/60,#N/A N/A,14.5175
3/11/60,#N/A N/A,14.5688
3/14/60,#N/A N/A,14.6228
3/15/60,#N/A N/A,14.6282
3/16/60,#N/A N/A,14.631
3/17/60,#N/A N/A,14.5785
3/18/60,#N/A N/A,14.5881
3/21/60,#N/A N/A,14.6022
3/22/60,#N/A N/A,14.6176
3/23/60,#N/A N/A,14.649
3/24/60,#N/A N/A,14.671
3/25/60,#N/A N/A,14.682
3/28/60,#N/A N/A,14.7374
3/29/60,#N/A N/A,14.7617
3/30/60,#N/A N/A,14.7754
3/31/60,#N/A N/A,14.8178
4/1/60,#N/A N/A,14.8608
4/4/60,#N/A N/A,14.8295
4/5/60,#N/A N/A,14.7882
4/6/60,#N/A N/A,14.8008
4/7/60,#N/A N/A,14.8261
4/8/60,#N/A N/A,14.8018
4/11/60,#N/A N/A,14.7861
4/12/60,#N/A N/A,14.7714
4/13/60,#N/A N/A,14.7299
4/14/60,#N/A N/A,14.7289
4/18/60,#N/A N/A,14.7129
4/19/60,#N/A N/A,14.7139
4/20/60,#N/A N/A,14.6933
4/21/60,#N/A N/A,14.706
4/22/60,#N/A N/A,14.7132
4/25/60,#N/A N/A,14.6688
4/26/60,#N/A N/A,14.6743
4/27/60,#N/A N/A,14.7098
4/28/60,#N/A N/A,14.6935
4/29/60,#N/A N/A,14.7525
5/2/60,#N/A N/A,14.7719
5/3/60,#N/A N/A,14.779
5/4/60,#N/A N/A,14.7429
5/5/60,#N/A N/A,14.7636
5/6/60,#N/A N/A,14.7573
5/9/60,#N/A N/A,14.7044
5/10/60,#N/A N/A,14.6833
5/11/60,#N/A N/A,14.641
5/12/60,#N/A N/A,14.6969
5/13/60,#N/A N/A,14.6729
5/16/60,#N/A N/A,14.7509
5/17/60,#N/A N/A,14.7694
5/18/60,#N/A N/A,14.7263
5/19/60,#N/A N/A,14.7282
5/20/60,#N/A N/A,14.7788
5/23/60,#N/A N/A,14.756
5/24/60,#N/A N/A,14.6846
5/25/60,#N/A N/A,14.7072
5/26/60,#N/A N/A,14.6945
5/27/60,#N/A N/A,14.7412
5/31/60,#N/A N/A,14.7529
6/1/60,#N/A N/A,14.7321
6/2/60,#N/A N/A,14.7146
6/3/60,#N/A N/A,14.7193
6/6/60,#N/A N/A,14.7055
6/7/60,#N/A N/A,14.6273
6/8/60,#N/A N/A,14.6301
6/9/60,#N/A N/A,14.618
6/10/60,#N/A N/A,14.5836
6/13/60,#N/A N/A,14.5577
6/14/60,#N/A N/A,14.5797
6/15/60,#N/A N/A,14.6025
6/16/60,#N/A N/A,14.6545
6/17/60,#N/A N/A,14.6197
6/20/60,#N/A N/A,14.5658
6/21/60,#N/A N/A,14.5524
6/22/60,#N/A N/A,14.5216
6/23/60,#N/A N/A,14.5675
6/24/60,#N/A N/A,14.5645
6/27/60,#N/A N/A,14.6001
6/28/60,#N/A N/A,14.5908
6/29/60,#N/A N/A,14.5937
6/30/60,#N/A N/A,14.6122
7/1/60,#N/A N/A,14.7076
7/5/60,#N/A N/A,14.7574
7/6/60,#N/A N/A,14.7076
7/7/60,#N/A N/A,14.6894
7/8/60,#N/A N/A,14.688
7/11/60,#N/A N/A,14.6851
7/12/60,#N/A N/A,14.7033
7/13/60,#N/A N/A,14.6671
7/14/60,#N/A N/A,14.6517
7/15/60,#N/A N/A,14.6485
7/18/60,#N/A N/A,14.6312
7/19/60,#N/A N/A,14.6419
7/20/60,#N/A N/A,14.6073
7/21/60,#N/A N/A,14.7075
7/22/60,#N/A N/A,14.7412
7/25/60,#N/A N/A,14.6605
7/26/60,#N/A N/A,14.701
7/27/60,#N/A N/A,14.7661
7/28/60,#N/A N/A,14.739
7/29/60,#N/A N/A,14.7509
8/1/60,#N/A N/A,14.8642
8/2/60,#N/A N/A,14.8035
8/3/60,#N/A N/A,14.7972
8/4/60,#N/A N/A,14.8393
8/5/60,#N/A N/A,14.8652
8/8/60,#N/A N/A,14.821
8/9/60,#N/A N/A,14.8591
8/10/60,#N/A N/A,14.8392
8/11/60,#N/A N/A,14.8414
8/12/60,#N/A N/A,14.7712
8/15/60,#N/A N/A,14.7309
8/16/60,#N/A N/A,14.731
8/17/60,#N/A N/A,14.7418
8/18/60,#N/A N/A,14.7526
8/19/60,#N/A N/A,14.7848
8/22/60,#N/A N/A,14.7649
8/23/60,#N/A N/A,14.7628
8/24/60,#N/A N/A,14.7455
8/25/60,#N/A N/A,14.7675
8/26/60,#N/A N/A,14.7851
8/29/60,#N/A N/A,14.7062
8/30/60,#N/A N/A,14.6831
8/31/60,#N/A N/A,14.663
9/1/60,#N/A N/A,14.674
9/2/60,#N/A N/A,14.678
9/6/60,#N/A N/A,14.7032
9/7/60,#N/A N/A,14.7085
9/8/60,#N/A N/A,14.7375
9/9/60,#N/A N/A,14.7616
9/12/60,#N/A N/A,14.6742
9/13/60,#N/A N/A,14.7134
9/14/60,#N/A N/A,14.6733
9/15/60,#N/A N/A,14.6783
