Date,Price Open,Last Price
9/30/2025,2134,2134
9/29/2025,2220,2220
9/26/2025,2259,2259
9/25/2025,2266,2266
9/24/2025,2240,2240
9/23/2025,2200,2200
9/22/2025,2172,2172
9/19/2025,2203,2203
9/18/2025,2205,2205
9/17/2025,2180,2180
9/16/2025,2154,2154
9/15/2025,2153,2153
9/12/2025,2126,2126
9/11/2025,2111,2111
9/10/2025,2112,2112
9/9/2025,2079,2079
9/8/2025,2019,2019
9/5/2025,1979,1979
9/4/2025,1963,1963
9/3/2025,1940,1940
9/2/2025,1986,1986
9/1/2025,2024,2024
8/29/2025,2025,2025
8/28/2025,2017,2017
8/27/2025,2046,2046
8/26/2025,2041,2041
8/22/2025,1944,1944
8/21/2025,1893,1893
8/20/2025,1927,1927
8/19/2025,1964,1964
8/18/2025,2022,2022
8/15/2025,2044,2044
8/14/2025,2039,2039
8/13/2025,2025,2025
8/12/2025,2017,2017
8/11/2025,2038,2038
8/8/2025,2051,2051
8/7/2025,2008,2008
8/6/2025,1994,1994
8/5/2025,1921,1921
8/4/2025,1970,1970
8/1/2025,2018,2018
7/31/2025,2003,2003
7/30/2025,1995,1995
7/29/2025,2109,2109
7/28/2025,2226,2226
7/25/2025,2257,2257
7/24/2025,2258,2258
7/23/2025,2120,2120
7/22/2025,2035,2035
7/21/2025,2016,2016
7/18/2025,2052,2052
7/17/2025,2030,2030
7/16/2025,1906,1906
7/15/2025,1866,1866
7/14/2025,1783,1783
7/11/2025,1663,1663
7/10/2025,1465,1465
7/9/2025,1423,1423
7/8/2025,1431,1431
7/7/2025,1436,1436
7/4/2025,1436,1436
7/3/2025,1434,1434
7/2/2025,1443,1443
7/1/2025,1458,1458
6/30/2025,1489,1489
6/27/2025,1521,1521
6/26/2025,1553,1553
6/25/2025,1665,1665
6/24/2025,1681,1681
6/23/2025,1674,1674
6/20/2025,1689,1689
6/19/2025,1751,1751
6/18/2025,1874,1874
6/17/2025,1952,1952
6/16/2025,1975,1975
6/13/2025,1968,1968
6/12/2025,1904,1904
6/11/2025,1738,1738
6/10/2025,1680,1680
6/9/2025,1691,1691
6/6/2025,1633,1633
6/5/2025,1626,1626
6/4/2025,1489,1489
6/3/2025,1430,1430
6/2/2025,1422,1422
5/30/2025,1418,1418
5/29/2025,1353,1353
5/28/2025,1303,1303
5/27/2025,1296,1296
5/23/2025,1340,1340
5/22/2025,1341,1341
5/21/2025,1337,1337
5/20/2025,1340,1340
5/19/2025,1347,1347
5/16/2025,1388,1388
5/15/2025,1305,1305
5/14/2025,1267,1267
5/13/2025,1280,1280
5/12/2025,1304,1304
5/9/2025,1299,1299
5/8/2025,1316,1316
5/7/2025,1374,1374
5/6/2025,1406,1406
5/2/2025,1421,1421
5/1/2025,1411,1411
4/30/2025,1386,1386
4/29/2025,1398,1398
4/28/2025,1403,1403
4/25/2025,1373,1373
4/24/2025,1353,1353
4/23/2025,1300,1300
4/22/2025,1261,1261
4/17/2025,1261,1261
4/16/2025,1241,1241
4/15/2025,1263,1263
4/14/2025,1282,1282
4/11/2025,1274,1274
4/10/2025,1269,1269
4/9/2025,1259,1259
4/8/2025,1342,1342
4/7/2025,1401,1401
4/4/2025,1489,1489
4/3/2025,1540,1540
4/2/2025,1583,1583
4/1/2025,1587,1587
3/31/2025,1598,1598
3/28/2025,1602,1602
3/27/2025,1621,1621
3/26/2025,1634,1634
3/25/2025,1642,1642
3/24/2025,1652,1652
3/21/2025,1643,1643
3/20/2025,1635,1635
3/19/2025,1637,1637
3/18/2025,1650,1650
3/17/2025,1658,1658
3/14/2025,1669,1669
3/13/2025,1650,1650
3/12/2025,1559,1559
3/11/2025,1436,1436
3/10/2025,1424,1424
3/7/2025,1400,1400
3/6/2025,1286,1286
3/5/2025,1228,1228
3/4/2025,1262,1262
3/3/2025,1276,1276
2/28/2025,1229,1229
2/27/2025,1159,1159
2/26/2025,1112,1112
2/25/2025,1039,1039
2/24/2025,1002,1002
2/21/2025,981,981
2/20/2025,941,941
2/19/2025,904,904
2/18/2025,841,841
2/17/2025,806,806
2/14/2025,792,792
2/13/2025,780,780
2/12/2025,776,776
2/11/2025,801,801
2/10/2025,809,809
2/7/2025,815,815
2/6/2025,793,793
2/5/2025,771,771
2/4/2025,753,753
2/3/2025,738,738
1/31/2025,735,735
1/30/2025,715,715
1/29/2025,726,726
1/28/2025,746,746
1/27/2025,761,761
1/24/2025,778,778
1/23/2025,824,824
1/22/2025,893,893
1/21/2025,928,928
1/20/2025,957,957
1/17/2025,987,987
1/16/2025,1023,1023
1/15/2025,1063,1063
1/14/2025,1080,1080
1/13/2025,1093,1093
1/10/2025,1048,1048
1/9/2025,969,969
1/8/2025,966,966
1/7/2025,1015,1015
1/6/2025,1043,1043
1/3/2025,1072,1072
1/2/2025,1029,1029
12/24/2024,997,997
12/23/2024,994,994
12/20/2024,990,990
12/19/2024,976,976
12/18/2024,1028,1028
12/17/2024,1053,1053
12/16/2024,1071,1071
12/13/2024,1051,1051
12/12/2024,1055,1055
12/11/2024,1106,1106
12/10/2024,1156,1156
12/9/2024,1168,1168
12/6/2024,1167,1167
12/5/2024,1160,1160
12/4/2024,1180,1180
12/3/2024,1237,1237
12/2/2024,1298,1298
11/29/2024,1354,1354
11/28/2024,1419,1419
11/27/2024,1509,1509
11/26/2024,1581,1581
11/25/2024,1529,1529
11/22/2024,1537,1537
11/21/2024,1576,1576
11/20/2024,1616,1616
11/19/2024,1627,1627
11/18/2024,1756,1756
11/15/2024,1785,1785
11/14/2024,1692,1692
11/13/2024,1630,1630
11/12/2024,1634,1634
11/11/2024,1558,1558
11/8/2024,1495,1495
11/7/2024,1451,1451
11/6/2024,1427,1427
11/5/2024,1405,1405
11/4/2024,1374,1374
11/1/2024,1378,1378
10/31/2024,1388,1388
10/30/2024,1395,1395
10/29/2024,1402,1402
10/28/2024,1382,1382
10/25/2024,1410,1410
10/24/2024,1417,1417
10/23/2024,1445,1445
10/22/2024,1480,1480
10/21/2024,1546,1546
10/18/2024,1576,1576
10/17/2024,1594,1594
10/16/2024,1676,1676
10/15/2024,1766,1766
10/14/2024,1814,1814
10/11/2024,1809,1809
10/10/2024,1790,1790
10/9/2024,1799,1799
10/8/2024,1860,1860
10/7/2024,1907,1907
10/4/2024,1928,1928
10/3/2024,1941,1941
10/2/2024,1978,1978
10/1/2024,2030,2030
9/30/2024,2084,2084
9/27/2024,2110,2110
9/26/2024,2091,2091
9/25/2024,2016,2016
9/24/2024,2014,2014
9/23/2024,1999,1999
9/20/2024,1977,1977
9/19/2024,1976,1976
9/18/2024,1890,1890
9/17/2024,1901,1901
9/16/2024,1896,1896
9/13/2024,1890,1890
9/12/2024,1927,1927
9/11/2024,1963,1963
9/10/2024,1941,1941
9/9/2024,1958,1958
9/6/2024,1941,1941
9/5/2024,1919,1919
9/4/2024,1902,1902
9/3/2024,1947,1947
9/2/2024,1919,1919
8/30/2024,1814,1814
8/29/2024,1827,1827
8/28/2024,1755,1755
8/27/2024,1721,1721
8/23/2024,1762,1762
8/22/2024,1768,1768
8/21/2024,1759,1759
8/20/2024,1735,1735
8/19/2024,1708,1708
8/16/2024,1691,1691
8/15/2024,1692,1692
8/14/2024,1728,1728
8/13/2024,1670,1670
8/12/2024,1655,1655
8/9/2024,1670,1670
8/8/2024,1683,1683
8/7/2024,1698,1698
8/6/2024,1685,1685
8/5/2024,1677,1677
8/2/2024,1675,1675
8/1/2024,1668,1668
7/31/2024,1708,1708
7/30/2024,1762,1762
7/29/2024,1797,1797
7/26/2024,1808,1808
7/25/2024,1834,1834
7/24/2024,1864,1864
7/23/2024,1869,1869
7/22/2024,1896,1896
7/19/2024,1902,1902
7/18/2024,1912,1912
7/17/2024,1890,1890
7/16/2024,1942,1942
7/15/2024,1993,1993
7/12/2024,1997,1997
7/11/2024,1947,1947
7/10/2024,1939,1939
7/9/2024,1894,1894
7/8/2024,1940,1940
7/5/2024,1966,1966
7/4/2024,2021,2021
7/3/2024,2064,2064
7/2/2024,2179,2179
7/1/2024,2158,2158
6/28/2024,2050,2050
6/27/2024,2031,2031
6/26/2024,1964,1964
6/25/2024,1926,1926
6/24/2024,1973,1973
6/21/2024,1997,1997
6/20/2024,1984,1984
6/19/2024,1943,1943
6/18/2024,1961,1961
6/17/2024,1948,1948
6/14/2024,1948,1948
6/13/2024,1942,1942
6/12/2024,1836,1836
6/11/2024,1831,1831
6/10/2024,1883,1883
6/7/2024,1881,1881
6/6/2024,1869,1869
6/5/2024,1852,1852
6/4/2024,1813,1813
6/3/2024,1808,1808
5/31/2024,1815,1815
5/30/2024,1801,1801
5/29/2024,1790,1790
5/28/2024,1784,1784
5/24/2024,1797,1797
5/23/2024,1796,1796
5/22/2024,1804,1804
5/21/2024,1829,1829
5/20/2024,1847,1847
5/17/2024,1844,1844
5/16/2024,1817,1817
5/15/2024,1889,1889
5/14/2024,1993,1993
5/13/2024,2066,2066
5/10/2024,2129,2129
5/9/2024,2166,2166
5/8/2024,2203,2203
5/7/2024,2083,2083
5/3/2024,1876,1876
5/2/2024,1774,1774
5/1/2024,1688,1688
4/30/2024,1685,1685
4/29/2024,1684,1684
4/26/2024,1721,1721
4/25/2024,1743,1743
4/24/2024,1774,1774
4/23/2024,1804,1804
4/22/2024,1882,1882
4/19/2024,1919,1919
4/18/2024,1901,1901
4/17/2024,1844,1844
4/16/2024,1779,1779
4/15/2024,1730,1730
4/12/2024,1729,1729
4/11/2024,1690,1690
4/10/2024,1587,1587
4/9/2024,1570,1570
4/8/2024,1594,1594
4/5/2024,1628,1628
4/4/2024,1669,1669
4/3/2024,1711,1711
4/2/2024,1714,1714
3/28/2024,1821,1821
3/27/2024,1845,1845
3/26/2024,1989,1989
3/25/2024,2123,2123
3/22/2024,2196,2196
3/21/2024,2240,2240
3/20/2024,2284,2284
3/19/2024,2392,2392
3/18/2024,2419,2419
3/15/2024,2374,2374
3/14/2024,2350,2350
3/13/2024,2370,2370
3/12/2024,2315,2315
3/11/2024,2377,2377
3/8/2024,2345,2345
3/7/2024,2251,2251
3/6/2024,2176,2176
3/5/2024,2291,2291
3/4/2024,2297,2297
3/1/2024,2203,2203
2/29/2024,2111,2111
2/28/2024,2041,2041
2/27/2024,1899,1899
2/26/2024,1871,1871
2/23/2024,1866,1866
2/22/2024,1752,1752
2/21/2024,1676,1676
2/20/2024,1632,1632
2/19/2024,1629,1629
2/16/2024,1610,1610
2/15/2024,1581,1581
2/14/2024,1582,1582
2/13/2024,1585,1585
2/12/2024,1572,1572
2/9/2024,1545,1545
2/8/2024,1473,1473
2/7/2024,1487,1487
2/6/2024,1516,1516
2/5/2024,1436,1436
2/2/2024,1407,1407
2/1/2024,1388,1388
1/31/2024,1398,1398
1/30/2024,1397,1397
1/29/2024,1460,1460
1/26/2024,1518,1518
1/25/2024,1499,1499
1/24/2024,1507,1507
1/23/2024,1473,1473
1/22/2024,1518,1518
1/19/2024,1503,1503
1/18/2024,1357,1357
1/17/2024,1308,1308
1/16/2024,1324,1324
1/15/2024,1360,1360
1/12/2024,1460,1460
1/11/2024,1554,1554
1/10/2024,1664,1664
1/9/2024,1875,1875
1/8/2024,2022,2022
1/5/2024,2110,2110
1/4/2024,2086,2086
1/3/2024,2091,2091
1/2/2024,2093,2093
12/22/2023,2094,2094
12/21/2023,2087,2087
12/20/2023,2150,2150
12/19/2023,2219,2219
