Date,Price Open,Last Price
6/30/86,92.21,92.21
7/1/86,92.57,92.57
7/2/86,92.61,92.61
7/3/86,92.82,92.82
7/7/86,90.99,90.99
7/8/86,90.17,90.17
7/9/86,90.62,90.62
7/10/86,90.75,90.75
7/11/86,90.5,90.5
7/14/86,89.03,89.03
7/15/86,87.37,87.37
7/16/86,87.89,87.89
7/17/86,88.29,88.29
7/18/86,88.43,88.43
7/21/86,88.48,88.48
7/22/86,88.98,88.98
7/23/86,89.27,89.27
7/24/86,89.06,89.06
7/25/86,89.55,89.55
7/28/86,88.88,88.88
7/29/86,88.41,88.41
7/30/86,88.96,88.96
7/31/86,88.96,88.96
8/1/86,88.78,88.78
8/4/86,88.99,88.99
8/5/86,89.33,89.33
8/6/86,89.32,89.32
8/7/86,89.44,89.44
8/8/86,89.53,89.53
8/11/86,90.36,90.36
8/12/86,90.91,90.91
8/13/86,91.11,91.11
8/14/86,90.92,90.92
8/15/86,91.12,91.12
8/18/86,91.14,91.14
8/19/86,90.99,90.99
8/20/86,91.7,91.7
8/21/86,91.72,91.72
8/22/86,91.92,91.92
8/25/86,91.44,91.44
8/26/86,92.35,92.35
8/27/86,92.51,92.51
8/28/86,92.51,92.51
8/29/86,92.78,92.78
9/2/86,92.15,92.15
9/3/86,92.36,92.36
9/4/86,92.79,92.79
9/5/86,92.5,92.5
9/8/86,91.95,91.95
9/9/86,91.94,91.94
9/10/86,91.85,91.85
9/11/86,88.01,88.01
9/12/86,86.33,86.33
9/15/86,86.89,86.89
9/16/86,86.81,86.81
9/17/86,86.81,86.81
9/18/86,87.05,87.05
9/19/86,87.04,87.04
9/22/86,87.55,87.55
9/23/86,87.49,87.49
9/24/86,87.68,87.68
9/25/86,86.86,86.86
9/26/86,86.99,86.99
9/29/86,86.47,86.47
9/30/86,86.94,86.94
10/1/86,87.51,87.51
10/2/86,87.62,87.62
10/3/86,87.72,87.72
10/6/86,88.01,88.01
10/7/86,87.96,87.96
10/8/86,88.55,88.55
10/9/86,88.59,88.59
10/10/86,88.52,88.52
10/13/86,88.62,88.62
10/14/86,88.89,88.89
10/15/86,89.26,89.26
10/16/86,89.57,89.57
10/17/86,89.38,89.38
10/20/86,88.63,88.63
10/21/86,88.65,88.65
10/22/86,88.8,88.8
10/23/86,89.41,89.41
10/24/86,89.44,89.44
10/27/86,89.5,89.5
10/28/86,89.71,89.71
10/29/86,89.98,89.98
10/30/86,90.52,90.52
10/31/86,90.63,90.63
11/3/86,91.02,91.02
11/4/86,90.95,90.95
11/5/86,90.94,90.94
11/6/86,91.1,91.1
11/7/86,91.07,91.07
11/10/86,91.08,91.08
11/11/86,91.31,91.31
11/12/86,91.29,91.29
11/13/86,91.23,91.23
11/14/86,91.21,91.21
11/17/86,91.25,91.25
11/18/86,90.07,90.07
11/19/86,90.35,90.35
11/20/86,91.5,91.5
11/21/86,91.53,91.53
11/24/86,91.77,91.77
11/25/86,91.94,91.94
11/26/86,92.08,92.08
11/28/86,92.49,92.49
12/1/86,92.1,92.1
12/2/86,93.03,93.03
12/3/86,92.99,92.99
