Date,Price Open,Last Price
7/1/59,120.25,119.875
7/2/59,119.75,119.75
7/6/59,119.5,118
7/7/59,118.125,118.375
7/8/59,118.5,117.375
7/9/59,117.25,118.25
7/10/59,118.75,119
7/13/59,118.375,118.125
7/14/59,118.375,119.75
7/15/59,119.625,119.375
7/16/59,119.25,119.375
7/17/59,119.25,119.5
7/20/59,119,118.875
7/21/59,118.75,119.25
7/22/59,119.5,119.625
7/23/59,119.25,119.5
7/24/59,119.625,120.625
7/27/59,120.625,119.625
7/28/59,119.25,118.75
7/29/59,118.125,119.375
7/30/59,119.5,119.375
7/31/59,119.25,119.875
8/3/59,119.375,119.875
8/4/59,119.875,120.5
8/5/59,120.75,120.625
8/6/59,120.5,120.125
8/7/59,119.75,118.875
8/10/59,118.75,118.75
8/11/59,118.75,118.875
8/12/59,118.625,118.875
8/13/59,118.875,119.375
8/14/59,119.5,120.125
8/17/59,120.375,119.5
8/18/59,119.75,119.875
8/19/59,120,119.75
8/20/59,119.75,119.75
8/21/59,119.875,118.875
8/24/59,118.875,118.5
8/25/59,118.5,118.375
8/26/59,118.375,117.25
8/27/59,117.25,117
8/28/59,116.625,116.75
8/31/59,116.5,117.875
9/1/59,117.75,118.75
9/2/59,118.75,119
9/3/59,119,118.875
9/4/59,118.75,118.625
9/8/59,118.5,117.125
9/9/59,116.875,117.5
9/10/59,117.125,117.625
9/11/59,117,116.625
9/14/59,116.25,114.625
9/15/59,114.5,113.375
9/16/59,113.75,114.375
9/17/59,114.375,114.625
9/18/59,114.375,114.75
9/21/59,114.5,113
9/22/59,109.125,109.375
9/23/59,109.375,110.25
9/24/59,110.75,110.375
9/25/59,110.25,109.75
9/28/59,109.75,109.75
9/29/59,109.75,109.5
9/30/59,109.5,109.75
10/1/59,109.5,109.625
10/2/59,109.625,110
10/5/59,110.25,110.25
10/6/59,110.25,110.25
10/7/59,110.25,110.375
10/8/59,110.375,110.375
10/9/59,110.25,110
10/12/59,109.5,109.25
10/13/59,109.125,109.375
10/14/59,109.25,108.875
10/15/59,108.5,108.625
10/16/59,108.5,108.125
10/19/59,108,108.375
10/20/59,108.75,109.25
10/21/59,109.25,110
10/22/59,110.125,109.75
10/23/59,109.625,109.75
10/26/59,110,111.375
10/27/59,111.25,110.25
10/28/59,110.125,110.5
10/29/59,110.125,109.75
10/30/59,109.75,110.125
11/2/59,109.625,109.875
11/3/59,109.875,111.25
11/4/59,112,112.625
11/5/59,113,112.875
11/6/59,112.5,113.125
11/9/59,113,112.875
11/10/59,112.5,112.625
11/11/59,112.5,112.875
11/12/59,112.875,112.75
11/13/59,113,112.75
11/16/59,112.75,112.5
11/17/59,112.875,112.625
11/18/59,112.625,112.5
11/19/59,112.375,111.75
11/20/59,111,110.625
11/23/59,110.25,110.125
11/24/59,110.375,110.375
11/25/59,110.5,110.5
11/27/59,110.5,110
11/30/59,110.25,110.125
12/1/59,110.25,110.375
12/2/59,110.25,110
12/3/59,109.875,109.875
12/4/59,109.625,109.625
12/7/59,109.875,110
12/8/59,110.25,109.875
12/9/59,109.875,109.5
12/10/59,109.75,109.625
12/11/59,109.625,109.625
12/14/59,109.625,109.625
12/15/59,109.5,109.5
12/16/59,109.5,109.125
12/17/59,109,108.25
12/18/59,108.125,109
12/21/59,108.625,107.375
12/22/59,112.25,112.375
12/23/59,112.25,113.375
12/24/59,113.375,113
12/28/59,113.125,113.875
12/29/59,113.875,114.5
12/30/59,114.5,114.125
12/31/59,113.75,113.875
1/4/60,114,114
1/5/60,114.125,114
1/6/60,113.875,114.5
1/7/60,114.5,114.875
1/8/60,114.75,114.375
1/11/60,114.25,114
1/12/60,114.125,114.25
1/13/60,114.25,114.5
1/14/60,114.625,114.625
1/15/60,114.75,114.75
1/18/60,114.875,115.25
1/19/60,115.375,115
1/20/60,115,114.875
1/21/60,114.875,114.75
1/22/60,114.875,114.5
1/25/60,114.25,114
1/26/60,114,114.125
1/27/60,114.125,114.25
1/28/60,114.25,114.25
1/29/60,114.5,114.125
2/1/60,114,113.75
2/2/60,113.75,113.875
2/3/60,114.125,114.625
2/4/60,114.375,114.375
2/5/60,114.25,114.25
2/8/60,114.125,114.5
2/9/60,114.5,114.375
2/10/60,114.5,114
2/11/60,113.875,114.125
2/12/60,114,113.75
2/15/60,113.625,113.375
2/16/60,113.5,112.875
2/17/60,112.875,113
2/18/60,112.875,112.75
2/19/60,112.625,112
2/23/60,112,111.5
2/24/60,111.5,111.625
2/25/60,111.625,112.125
2/26/60,112.25,112
2/29/60,111.75,112.375
3/1/60,112.5,113.25
3/2/60,113.25,113
3/3/60,113,113.25
3/4/60,113.125,113
3/7/60,112.875,113.5
3/8/60,113.125,113.625
3/9/60,113.625,114.5
3/10/60,114.625,114.25
3/11/60,114.125,113.75
3/14/60,113.75,114
3/15/60,114,114
3/16/60,114.125,114
3/17/60,114,113.75
3/18/60,113.75,114
3/21/60,113.75,113.75
3/22/60,114,113.875
3/23/60,116.375,116.75
3/24/60,116.875,117.25
3/25/60,117.5,117.5
3/28/60,117.25,117.75
3/29/60,117.75,118.25
3/30/60,118.625,119
3/31/60,119,119.25
4/1/60,119.25,119.25
4/4/60,119.25,118.625
4/5/60,118.625,118
4/6/60,118,118.125
4/7/60,118,118.5
4/8/60,118.625,118.375
4/11/60,118.5,118.375
4/12/60,118.25,118.875
4/13/60,118.875,119.125
4/14/60,119,119.125
4/18/60,119,119.125
4/19/60,119,118.5
4/20/60,118.625,118.625
4/21/60,118.75,119
4/22/60,119.125,119.25
4/25/60,119,119.25
4/26/60,119.125,118.875
4/27/60,118.625,118.25
4/28/60,118.125,118.375
4/29/60,118.375,118.625
5/2/60,118.375,118
5/3/60,117.75,118
5/4/60,117.875,117
5/5/60,116.875,117.375
5/6/60,117.25,117.875
5/9/60,117.5,117.25
5/10/60,117,116.75
5/11/60,116.75,116.75
5/12/60,116.75,117.875
5/13/60,117.5,117.375
5/16/60,117.25,118.375
5/17/60,118.625,118.625
5/18/60,118.625,118.375
5/19/60,118.25,118.75
5/20/60,121.375,121.875
5/23/60,121.625,121.375
5/24/60,121.25,121.125
5/25/60,121.25,121.5
5/26/60,121.5,121.5
5/27/60,121.5,121.625
5/31/60,121.5,121.375
6/1/60,121.25,121
6/2/60,121,120.5
6/3/60,120.5,120.125
6/6/60,120.125,120.125
6/7/60,120.125,119.75
6/8/60,119.625,119.25
6/9/60,119.25,119.25
6/10/60,119.125,118.5
6/13/60,118.5,118.625
6/14/60,118.625,118.75
6/15/60,118.625,118.625
6/16/60,118.75,118.875
6/17/60,118.75,118.125
6/20/60,118.125,117.375
6/21/60,117.25,116.875
6/22/60,116.5,115.875
6/23/60,115.75,116.125
6/24/60,116.125,116
6/27/60,116,115.875
6/28/60,115.875,115.75
6/29/60,115.875,115
6/30/60,115,115.125
7/1/60,115.5,116.625
7/5/60,116.875,117.5
7/6/60,117.75,117.75
7/7/60,117.75,117.875
7/8/60,118,118.375
7/11/60,118.25,118.5
7/12/60,118.5,117.875
7/13/60,118,117.875
7/14/60,117.875,117.5
7/15/60,117.375,117.125
7/18/60,116.75,116.875
7/19/60,117,117.625
7/20/60,117.625,114
7/21/60,116,116.875
7/22/60,116.75,116.75
7/25/60,116.5,116.375
7/26/60,116.5,116.5
7/27/60,116.375,116.875
7/28/60,116.75,116.625
7/29/60,116.625,116.125
8/1/60,116,116.375
8/2/60,116.5,116.375
8/3/60,116.25,115.875
8/4/60,116,116.375
8/5/60,116.125,116
8/8/60,115.75,115.125
8/9/60,115,114.875
8/10/60,114.75,115.125
8/11/60,115,114.875
8/12/60,115,114.875
8/15/60,114.75,115.125
8/16/60,115.125,115.5
8/17/60,115.5,116.375
8/18/60,116.25,116.125
8/19/60,115.875,115.5
8/22/60,115.5,115.25
8/23/60,115.25,115.75
8/24/60,116,115.875
8/25/60,115.75,115.75
8/26/60,115.75,115.875
8/29/60,115.5,115.25
8/30/60,115,114.25
8/31/60,114.125,113.5
9/1/60,113.5,114.25
9/2/60,114.5,113.75
9/6/60,113.625,113.25
9/7/60,113.125,113.125
9/8/60,113.5,113.625
9/9/60,113.625,114.5
9/12/60,114.25,114.125
9/13/60,114,114.25
9/14/60,114.125,113.625
9/15/60,113.5,113.5
9/16/60,113.375,112.625
9/19/60,112.875,112.75
9/20/60,112.875,112.625
9/21/60,112.25,112.875
9/22/60,109.25,109.125
9/23/60,109.125,109.375
9/26/60,109.125,108.875
9/27/60,108.875,108.75
9/28/60,108.75,109.125
9/29/60,109.25,109
9/30/60,109,109.25
10/3/60,109.125,109
10/4/60,108.875,108.875
10/5/60,108.875,108.75
10/6/60,108.75,108.625
10/7/60,108.625,108.5
10/10/60,108.5,108.75
10/11/60,108.75,108.5
10/12/60,108.5,108.375
10/13/60,108.375,108
10/14/60,108,108
10/17/60,108,107.75
10/18/60,107.75,107.875
10/19/60,108,108.75
10/20/60,108.75,109.5
10/21/60,109.25,109.125
10/24/60,109.125,108.875
10/25/60,108.625,108
10/26/60,107.875,108
10/27/60,108,108
10/28/60,108,107.375
10/31/60,107.125,107.625
11/1/60,107.75,108.375
11/2/60,108.375,108.375
11/3/60,108.125,107.75
11/4/60,107.625,107.375
11/7/60,107.25,107.5
11/9/60,108.125,107.5
11/10/60,107.5,106.375
11/11/60,106.125,105.5
11/14/60,105.25,103.5
11/15/60,103.125,103.125
11/16/60,103.25,103.125
11/17/60,103.25,102.5
11/18/60,102.25,101
11/21/60,100.5,100.875
11/22/60,101.25,102.75
11/23/60,102.5,103.125
11/25/60,103.125,102.25
11/28/60,102.25,102.625
11/29/60,103,102.375
11/30/60,102.25,103.25
12/1/60,103.375,103
12/2/60,103,103.5
12/5/60,103.375,103.875
12/6/60,104,104.625
12/7/60,104.875,105.25
12/8/60,105.375,104.125
12/9/60,104.375,104.25
12/12/60,104.5,104.625
12/13/60,104.5,104.125
12/14/60,103.875,103.625
12/15/60,103.375,103.875
12/16/60,103.625,103.875
12/19/60,103.75,103.625
12/20/60,103.25,103.625
12/21/60,109,109.75
12/22/60,109.875,109.75
12/23/60,109.625,109.875
12/27/60,109.875,109.5
12/28/60,109.5,110.25
12/29/60,110.25,110.125
12/30/60,109.75,109.375
1/3/61,109.625,110.25
1/4/61,110.25,111.5
