Date,Price Open,Last Price
3/30/83,29.01,29.4
3/31/83,29.4,29.29
4/4/83,29.3,29.44
4/5/83,29.5,29.71
4/6/83,29.9,29.9
4/7/83,29.9,30.17
4/8/83,30.65,30.38
4/11/83,30.4,30.26
4/12/83,30.5,30.83
4/13/83,30.6,30.82
4/14/83,30.7,30.69
4/15/83,30.55,30.48
4/18/83,30.56,30.75
4/19/83,30.7,30.75
4/20/83,30.65,30.7
4/21/83,30.75,30.68
4/22/83,30.62,30.75
4/25/83,30.78,30.84
4/26/83,30.81,30.71
4/27/83,30.8,30.78
4/28/83,30.73,30.74
4/29/83,30.7,30.63
5/2/83,30.66,30.61
5/3/83,30.7,30.5
5/4/83,30.5,30.42
5/5/83,30.47,30.2
5/6/83,30.18,30.45
5/9/83,30.4,30.1
5/10/83,30.15,30.31
5/11/83,30.15,29.97
5/12/83,29.64,29.72
5/13/83,29.61,29.8
5/16/83,29.85,30.12
5/17/83,30.05,29.91
5/18/83,29.75,29.75
5/19/83,29.95,29.95
5/20/83,30.1,30.3
5/23/83,30.25,30.27
5/24/83,30.05,30.05
5/25/83,29.95,30.25
5/26/83,30.3,30.31
5/27/83,30.25,30.19
5/31/83,30.05,30.25
6/1/83,30.2,30.33
6/2/83,30.45,30.4
6/3/83,30.3,30.36
6/6/83,30.35,30.35
6/7/83,30.1,30.59
6/8/83,30.59,30.6
6/9/83,30.6,30.49
6/10/83,30.55,30.77
6/13/83,30.86,31
6/14/83,31,31
6/15/83,31.1,31.3
6/16/83,31.3,31.6
6/17/83,31.6,31.4
6/20/83,31.37,31.42
6/21/83,31.32,31.18
6/22/83,31.18,30.95
6/23/83,31.15,31.1
6/24/83,31.09,31.2
6/27/83,31.25,31.2
6/28/83,31.08,31.24
6/29/83,31.2,31.2
6/30/83,31.25,31.38
7/1/83,31.4,31.35
7/5/83,31.3,31.27
7/6/83,31.2,31.2
7/7/83,31.3,31.4
7/8/83,31.4,31.4
7/11/83,31.5,31.64
7/12/83,31.74,31.72
7/13/83,31.88,31.87
7/14/83,31.8,31.85
7/15/83,31.85,31.7
7/18/83,31.75,31.7
7/19/83,31.6,31.62
7/20/83,31.65,31.65
7/21/83,31.6,31.51
7/22/83,31.55,31.46
7/25/83,31.35,31.4
7/26/83,31.42,31.53
7/27/83,31.7,31.73
7/28/83,31.73,31.82
7/29/83,31.9,32
8/1/83,32.1,32.12
8/2/83,32.3,32.2
8/3/83,32.15,32.2
8/4/83,32.3,32.14
8/5/83,32.1,32.15
8/8/83,32.03,32.05
8/9/83,31.98,31.94
8/10/83,32.15,32.14
8/11/83,32.18,31.95
8/12/83,32,31.99
8/15/83,32,32
8/16/83,31.99,31.98
8/17/83,31.9,31.87
8/18/83,31.88,31.72
8/22/83,31.61,31.53
8/23/83,31.55,31.65
8/24/83,31.79,31.57
8/25/83,31.63,31.73
8/26/83,31.77,31.8
8/29/83,31.7,31.66
8/30/83,31.62,31.68
8/31/83,31.62,31.59
9/1/83,31.56,31.6
9/2/83,31.6,31.57
9/6/83,31.48,31.36
9/7/83,31.42,31.38
9/8/83,31.35,31.34
9/9/83,31.4,31.21
9/12/83,31.24,31.15
9/13/83,31.15,31.23
9/14/83,31.18,31.4
9/15/83,31.5,31.48
9/16/83,31.5,31.55
9/19/83,31.55,31.45
9/20/83,31.49,31.33
9/21/83,31.28,31.39
9/22/83,31.35,31.3
9/23/83,31.37,31.3
9/26/83,31.3,31.22
9/27/83,31.15,31.11
9/28/83,31.06,30.76
9/29/83,30.86,30.6
9/30/83,30.53,30.36
10/3/83,30.32,29.92
10/4/83,29.77,30.18
10/5/83,30.6,30.2
10/6/83,30.14,30.26
10/7/83,30.37,30.47
10/10/83,30.75,30.85
10/11/83,30.78,30.57
10/12/83,30.57,30.52
10/13/83,30.5,30.66
10/14/83,30.73,30.55
10/17/83,30.5,30.61
10/18/83,30.61,30.68
10/19/83,30.53,30.32
10/20/83,30.2,30.3
10/21/83,30.25,30.33
10/24/83,30.42,30.44
10/25/83,30.47,30.43
10/26/83,30.25,30.23
10/27/83,30.25,30.31
10/28/83,30.35,30.26
10/31/83,30.16,30.37
11/1/83,30.42,30.38
11/2/83,30.41,30.35
11/3/83,30.4,30.42
11/4/83,30.42,30.46
11/7/83,30.41,30.39
11/8/83,30.38,30.38
11/9/83,30.4,30.38
11/10/83,30.28,30.26
11/11/83,30.31,30.14
11/14/83,30.09,30.15
11/15/83,30.1,30.17
11/16/83,30.2,29.95
11/21/83,29.05,29.14
11/22/83,29.13,29.04
11/23/83,29.18,29.19
11/28/83,29.45,29.69
11/29/83,29.65,29.39
11/30/83,29.37,29.23
12/1/83,29.25,29.28
12/2/83,29.35,29.38
12/5/83,29.4,29.3
12/6/83,29.22,29.29
12/7/83,29.1,29.06
12/8/83,29.06,29.27
12/9/83,29.23,29.31
12/12/83,29.38,29.27
12/13/83,29.3,29.21
12/14/83,29.2,29.28
12/15/83,29.21,29.11
12/16/83,29.13,28.57
12/19/83,28.27,28.38
12/20/83,28.47,28.76
12/21/83,29,28.88
12/22/83,28.93,29.08
12/23/83,29.15,29.44
12/27/83,29.59,29.85
12/28/83,29.7,29.98
12/29/83,29.65,29.66
12/30/83,29.66,29.6
1/3/84,29.57,29.4
1/4/84,29.5,29.5
1/5/84,30,29.3
1/6/84,29.4,29.18
1/9/84,29.08,29.47
1/10/84,29.53,29.45
1/11/84,29.65,29.46
1/12/84,29.5,29.51
1/13/84,29.5,29.58
1/16/84,29.7,29.72
1/17/84,29.77,29.57
1/18/84,29.45,29.79
1/23/84,29.97,29.52
1/24/84,29.5,29.7
1/25/84,29.73,29.78
1/26/84,29.68,29.95
1/27/84,30,30.14
1/30/84,30.05,29.89
1/31/84,29.94,29.98
2/1/84,30.15,30.3
2/2/84,30.27,30.19
2/3/84,30.22,30.11
2/6/84,30.07,30.16
2/7/84,30.15,30.04
2/8/84,30.08,30.04
2/9/84,30,29.83
2/10/84,29.87,29.83
2/13/84,29.82,29.63
2/14/84,29.6,29.74
2/15/84,29.69,29.83
2/16/84,29.85,29.91
2/21/84,30,29.79
2/22/84,29.84,29.79
2/23/84,29.65,29.92
2/24/84,29.93,30.1
2/27/84,30.1,30.79
2/28/84,30.6,30.45
2/29/84,30.4,30.55
3/1/84,30.77,30.73
3/2/84,30.73,30.7
3/5/84,30.7,30.78
3/6/84,30.75,30.73
3/7/84,30.75,30.75
3/8/84,30.7,30.8
3/9/84,30.85,30.99
3/12/84,30.94,30.91
3/13/84,30.83,30.86
3/14/84,30.83,30.91
3/15/84,30.9,30.85
3/16/84,30.9,30.64
3/19/84,30.22,30.49
3/20/84,30.42,30.52
3/21/84,30.6,30.42
3/22/84,30.45,30.55
3/23/84,30.55,30.61
3/26/84,30.65,30.59
3/27/84,30.57,30.72
3/28/84,30.9,30.65
3/29/84,30.8,30.86
3/30/84,30.83,30.85
4/2/84,30.81,30.8
4/3/84,30.8,30.85
4/4/84,30.8,30.81
4/5/84,30.85,30.78
4/6/84,30.75,30.75
4/9/84,30.68,30.72
4/10/84,30.66,30.78
4/11/84,30.7,30.8
4/12/84,30.79,30.7
4/13/84,30.7,30.68
4/16/84,30.65,30.69
4/17/84,30.64,30.66
4/23/84,30.51,30.57
4/24/84,30.6,30.63
4/25/84,30.59,30.55
4/26/84,30.63,30.48
4/27/84,30.42,30.43
4/30/84,30.36,30.26
5/1/84,30.23,30.29
5/2/84,30.22,30.17
5/3/84,30.15,30.16
5/4/84,30.17,30.25
5/7/84,30.24,30.16
5/8/84,30.16,30.22
5/9/84,30.22,30.34
5/10/84,30.3,30.34
5/11/84,30.3,30.36
5/14/84,30.4,30.59
5/15/84,30.68,30.6
5/16/84,31.2,30.98
5/17/84,30.83,30.73
5/18/84,30.9,30.75
5/21/84,31.2,30.93
5/22/84,30.83,30.67
5/23/84,30.55,30.6
5/24/84,30.7,30.75
5/25/84,30.9,30.88
5/29/84,30.88,30.71
5/30/84,30.6,30.81
5/31/84,30.85,30.83
6/1/84,30.85,30.7
6/4/84,30.74,30.75
6/5/84,30.75,30.73
6/6/84,30.56,30.55
6/7/84,30.41,30.4
6/8/84,30.44,30.37
6/11/84,30.35,30.15
6/12/84,30.13,30.17
6/13/84,30,30.1
6/14/84,30.13,30.18
6/15/84,30.12,30.03
6/18/84,29.96,29.79
6/19/84,29.9,29.87
6/20/84,29.83,29.74
6/21/84,29.65,29.34
6/22/84,29.25,29.26
6/25/84,29.3,29.55
6/26/84,29.53,29.36
6/27/84,29.3,29.25
6/28/84,29.28,29.56
6/29/84,29.54,29.75
7/2/84,29.83,29.59
7/3/84,29.53,29.5
7/5/84,29.45,29.57
7/6/84,29.64,29.65
7/9/84,29.59,29.47
7/10/84,29.43,29.4
7/11/84,29.45,29.35
7/12/84,29.3,29.08
7/13/84,28.99,28.95
7/16/84,28.92,28.88
7/17/84,28.91,28.99
7/18/84,28.86,28.82
7/23/84,28.25,28.35
7/24/84,28.45,28.15
7/25/84,27.8,28
7/26/84,27.9,27.77
7/27/84,27.65,27.7
7/30/84,27.62,27.64
