Date,Price Open,Last Price
1/2/75,1.3101,1.3101
1/3/75,1.3184,1.3184
1/6/75,1.3291,1.3291
1/7/75,1.3316,1.3316
1/8/75,1.3238,1.3238
1/9/75,1.3243,1.3243
1/10/75,1.3273,1.3273
1/13/75,1.3263,1.3263
1/14/75,1.3179,1.3179
1/15/75,1.3224,1.3224
1/16/75,1.3252,1.3252
1/17/75,1.3268,1.3268
1/20/75,1.3328,1.3328
1/21/75,1.3357,1.3357
1/22/75,1.3484,1.3484
1/23/75,1.3506,1.3506
1/24/75,1.3543,1.3543
1/27/75,1.3654,1.3654
1/28/75,1.3593,1.3593
1/29/75,1.3461,1.3461
1/30/75,1.3481,1.3481
1/31/75,1.3472,1.3472
2/3/75,1.3423,1.3423
2/4/75,1.3301,1.3301
2/5/75,1.331,1.331
2/6/75,1.3342,1.3342
2/7/75,1.3374,1.3374
2/10/75,1.3439,1.3439
2/11/75,1.3445,1.3445
2/12/75,1.3464,1.3464
2/13/75,1.3545,1.3545
2/14/75,1.3547,1.3547
2/17/75,1.3585,1.3585
2/18/75,1.3576,1.3576
2/19/75,1.3559,1.3559
2/20/75,1.3631,1.3631
2/21/75,1.3641,1.3641
2/24/75,1.3733,1.3733
2/25/75,1.3691,1.3691
2/26/75,1.3782,1.3782
2/27/75,1.3841,1.3841
2/28/75,1.3847,1.3847
3/3/75,1.3862,1.3862
3/4/75,1.3787,1.3787
3/5/75,1.3801,1.3801
3/6/75,1.3744,1.3744
3/7/75,1.3615,1.3615
3/10/75,1.3622,1.3622
3/11/75,1.3719,1.3719
3/12/75,1.3628,1.3628
3/13/75,1.3644,1.3644
3/14/75,1.3682,1.3682
3/17/75,1.3687,1.3687
3/18/75,1.374,1.374
3/19/75,1.3776,1.3776
3/20/75,1.3729,1.3729
3/21/75,1.3686,1.3686
3/24/75,1.3648,1.3648
3/25/75,1.3631,1.3631
3/26/75,1.36,1.36
3/27/75,1.3561,1.3561
4/1/75,1.3604,1.3604
4/2/75,1.3607,1.3607
4/3/75,1.3559,1.3559
4/4/75,1.3455,1.3455
4/7/75,1.3463,1.3463
4/8/75,1.3504,1.3504
4/9/75,1.3497,1.3497
4/10/75,1.341,1.341
4/11/75,1.3425,1.3425
4/14/75,1.3385,1.3385
4/15/75,1.3434,1.3434
4/16/75,1.3448,1.3448
4/17/75,1.3454,1.3454
4/18/75,1.3459,1.3459
4/21/75,1.3439,1.3439
4/22/75,1.3464,1.3464
4/23/75,1.3552,1.3552
4/24/75,1.3536,1.3536
4/25/75,1.3481,1.3481
4/28/75,1.345,1.345
4/29/75,1.3503,1.3503
4/30/75,1.3525,1.3525
5/1/75,1.353,1.353
5/2/75,1.3504,1.3504
5/5/75,1.3554,1.3554
5/6/75,1.3567,1.3567
5/7/75,1.3613,1.3613
5/8/75,1.3682,1.3682
5/9/75,1.3648,1.3648
5/12/75,1.3641,1.3641
5/13/75,1.3755,1.3755
5/14/75,1.3723,1.3723
5/15/75,1.3618,1.3618
5/16/75,1.3643,1.3643
5/19/75,1.368,1.368
5/20/75,1.3676,1.3676
5/21/75,1.3751,1.3751
5/22/75,1.3786,1.3786
5/23/75,1.3776,1.3776
