Date,Price Open,Last Price
1/1/99,#N/A N/A,100
1/4/99,#N/A N/A,99.459
1/5/99,#N/A N/A,100.008
1/6/99,#N/A N/A,101.131
1/7/99,#N/A N/A,100.446
1/8/99,#N/A N/A,100.761
1/11/99,#N/A N/A,100.007
1/12/99,#N/A N/A,100.821
1/13/99,#N/A N/A,100.282
1/14/99,#N/A N/A,100.308
1/15/99,#N/A N/A,101.011
1/18/99,#N/A N/A,101.313
1/19/99,#N/A N/A,100.998
1/20/99,#N/A N/A,101.023
1/21/99,#N/A N/A,101.462
1/22/99,#N/A N/A,101.591
1/25/99,#N/A N/A,101.593
1/26/99,#N/A N/A,101.745
1/27/99,#N/A N/A,102.732
1/28/99,#N/A N/A,103.094
1/29/99,#N/A N/A,103.286
2/1/99,#N/A N/A,102.919
2/2/99,#N/A N/A,101.696
2/3/99,#N/A N/A,101.923
2/4/99,#N/A N/A,102.031
2/5/99,#N/A N/A,102.363
2/8/99,#N/A N/A,102.774
2/9/99,#N/A N/A,102.519
2/10/99,#N/A N/A,102.303
2/11/99,#N/A N/A,102.688
2/12/99,#N/A N/A,102.868
2/15/99,#N/A N/A,103.276
2/16/99,#N/A N/A,104.112
2/17/99,#N/A N/A,103.941
2/18/99,#N/A N/A,104.354
2/19/99,#N/A N/A,105.17
2/22/99,#N/A N/A,105.194
2/23/99,#N/A N/A,104.919
2/24/99,#N/A N/A,104.677
2/25/99,#N/A N/A,103.64
2/26/99,#N/A N/A,103.719
3/1/99,#N/A N/A,104.304
3/2/99,#N/A N/A,104.524
3/3/99,#N/A N/A,104.953
3/4/99,#N/A N/A,105.774
3/5/99,#N/A N/A,105.668
3/8/99,#N/A N/A,105.445
3/9/99,#N/A N/A,105.612
3/10/99,#N/A N/A,105.205
3/11/99,#N/A N/A,105.071
3/12/99,#N/A N/A,105.107
3/15/99,#N/A N/A,104.522
3/16/99,#N/A N/A,104.37
3/17/99,#N/A N/A,104.756
3/18/99,#N/A N/A,104.936
3/19/99,#N/A N/A,105.302
3/22/99,#N/A N/A,105.859
3/23/99,#N/A N/A,105.752
3/24/99,#N/A N/A,105.814
3/25/99,#N/A N/A,105.844
3/26/99,#N/A N/A,106.82
3/29/99,#N/A N/A,106.914
3/30/99,#N/A N/A,106.914
3/31/99,#N/A N/A,106.302
4/1/99,#N/A N/A,106.904
4/2/99,#N/A N/A,106.717
4/5/99,#N/A N/A,107.268
4/6/99,#N/A N/A,106.383
4/7/99,#N/A N/A,106.819
4/8/99,#N/A N/A,106.733
4/9/99,#N/A N/A,106.942
4/12/99,#N/A N/A,106.837
4/13/99,#N/A N/A,106.987
4/14/99,#N/A N/A,106.719
4/15/99,#N/A N/A,107.272
4/16/99,#N/A N/A,106.946
4/19/99,#N/A N/A,107.071
4/20/99,#N/A N/A,107.6
4/21/99,#N/A N/A,107.794
4/22/99,#N/A N/A,107.784
4/23/99,#N/A N/A,107.781
4/26/99,#N/A N/A,107.906
4/27/99,#N/A N/A,108.131
4/28/99,#N/A N/A,107.876
4/29/99,#N/A N/A,107.984
4/30/99,#N/A N/A,108.216
5/3/99,#N/A N/A,108.621
5/4/99,#N/A N/A,108.859
5/5/99,#N/A N/A,108.452
5/6/99,#N/A N/A,108.489
5/7/99,#N/A N/A,108.641
5/10/99,#N/A N/A,108.517
5/11/99,#N/A N/A,108.786
5/12/99,#N/A N/A,108.777
5/13/99,#N/A N/A,109.161
5/14/99,#N/A N/A,109.391
5/17/99,#N/A N/A,109.693
5/18/99,#N/A N/A,109.434
5/19/99,#N/A N/A,109.715
5/20/99,#N/A N/A,109.704
5/21/99,#N/A N/A,109.675
5/24/99,#N/A N/A,109.145
5/25/99,#N/A N/A,108.734
5/26/99,#N/A N/A,109.164
5/27/99,#N/A N/A,108.589
5/28/99,#N/A N/A,109.406
5/31/99,#N/A N/A,109.228
6/1/99,#N/A N/A,109.189
6/2/99,#N/A N/A,109.558
6/3/99,#N/A N/A,109.676
6/4/99,#N/A N/A,109.921
6/7/99,#N/A N/A,109.683
6/8/99,#N/A N/A,108.802
6/9/99,#N/A N/A,108.559
6/10/99,#N/A N/A,108.597
6/11/99,#N/A N/A,108.426
6/14/99,#N/A N/A,109.471
6/15/99,#N/A N/A,109.219
6/16/99,#N/A N/A,109.569
6/17/99,#N/A N/A,109.461
6/18/99,#N/A N/A,109.827
6/21/99,#N/A N/A,110.571
6/22/99,#N/A N/A,110.321
6/23/99,#N/A N/A,110.225
6/24/99,#N/A N/A,110.029
6/25/99,#N/A N/A,109.73
6/28/99,#N/A N/A,109.836
6/29/99,#N/A N/A,109.903
6/30/99,#N/A N/A,110.118
7/1/99,#N/A N/A,110.341
7/2/99,#N/A N/A,110.664
7/5/99,#N/A N/A,111.037
7/6/99,#N/A N/A,110.588
7/7/99,#N/A N/A,110.64
7/8/99,#N/A N/A,110.653
7/9/99,#N/A N/A,110.587
7/12/99,#N/A N/A,110.724
7/13/99,#N/A N/A,110.194
7/14/99,#N/A N/A,110.123
7/15/99,#N/A N/A,110.363
7/16/99,#N/A N/A,110.382
7/19/99,#N/A N/A,109.426
7/20/99,#N/A N/A,108.826
7/21/99,#N/A N/A,108.091
7/22/99,#N/A N/A,107.749
7/23/99,#N/A N/A,107.936
7/26/99,#N/A N/A,107.193
7/27/99,#N/A N/A,107.173
7/28/99,#N/A N/A,106.883
7/29/99,#N/A N/A,106.94
7/30/99,#N/A N/A,107.021
8/2/99,#N/A N/A,107.166
8/3/99,#N/A N/A,107.588
8/4/99,#N/A N/A,106.896
8/5/99,#N/A N/A,106.839
8/6/99,#N/A N/A,107.008
8/9/99,#N/A N/A,107.238
8/10/99,#N/A N/A,107.355
8/11/99,#N/A N/A,107.836
8/12/99,#N/A N/A,107.895
8/13/99,#N/A N/A,108.201
8/16/99,#N/A N/A,107.733
8/17/99,#N/A N/A,107.882
8/18/99,#N/A N/A,107.193
8/19/99,#N/A N/A,106.964
8/20/99,#N/A N/A,106.463
8/23/99,#N/A N/A,107.132
8/24/99,#N/A N/A,106.576
8/25/99,#N/A N/A,106.08
8/26/99,#N/A N/A,106.568
8/27/99,#N/A N/A,106.594
8/30/99,#N/A N/A,106.497
8/31/99,#N/A N/A,106.17
9/1/99,#N/A N/A,106.07
9/2/99,#N/A N/A,105.385
9/3/99,#N/A N/A,105.995
9/6/99,#N/A N/A,106.192
9/7/99,#N/A N/A,106.748
9/8/99,#N/A N/A,107.274
9/9/99,#N/A N/A,106.613
9/10/99,#N/A N/A,107.366
9/13/99,#N/A N/A,106.546
9/14/99,#N/A N/A,106.23
9/15/99,#N/A N/A,105.75
9/16/99,#N/A N/A,106.2
9/17/99,#N/A N/A,106.874
9/20/99,#N/A N/A,106.74
9/21/99,#N/A N/A,106.162
9/22/99,#N/A N/A,105.975
9/23/99,#N/A N/A,106.114
9/24/99,#N/A N/A,106.224
9/27/99,#N/A N/A,106.85
9/28/99,#N/A N/A,106.917
9/29/99,#N/A N/A,106.411
9/30/99,#N/A N/A,106.111
10/1/99,#N/A N/A,105.513
10/4/99,#N/A N/A,106.025
10/5/99,#N/A N/A,105.961
10/6/99,#N/A N/A,106.483
10/7/99,#N/A N/A,106.123
10/8/99,#N/A N/A,106.581
10/11/99,#N/A N/A,106.33
10/12/99,#N/A N/A,105.71
10/13/99,#N/A N/A,105.49
10/14/99,#N/A N/A,106.089
10/15/99,#N/A N/A,104.977
10/18/99,#N/A N/A,105.222
10/19/99,#N/A N/A,105.346
10/20/99,#N/A N/A,106.015
10/21/99,#N/A N/A,105.986
10/22/99,#N/A N/A,106.265
10/25/99,#N/A N/A,106.219
10/26/99,#N/A N/A,106.322
10/27/99,#N/A N/A,106.307
10/28/99,#N/A N/A,106.241
10/29/99,#N/A N/A,106.13
11/1/99,#N/A N/A,106.106
11/2/99,#N/A N/A,106.197
11/3/99,#N/A N/A,106.662
11/4/99,#N/A N/A,107.095
11/5/99,#N/A N/A,107.015
11/8/99,#N/A N/A,106.802
11/9/99,#N/A N/A,106.834
11/10/99,#N/A N/A,106.735
11/11/99,#N/A N/A,106.811
11/12/99,#N/A N/A,107.129
11/15/99,#N/A N/A,107.024
11/16/99,#N/A N/A,107.399
11/17/99,#N/A N/A,107.019
11/18/99,#N/A N/A,107.402
11/19/99,#N/A N/A,107.62
11/22/99,#N/A N/A,107.074
11/23/99,#N/A N/A,107.189
11/24/99,#N/A N/A,107.419
11/25/99,#N/A N/A,107.429
11/26/99,#N/A N/A,106.631
11/29/99,#N/A N/A,107.05
11/30/99,#N/A N/A,106.757
12/1/99,#N/A N/A,106.947
12/2/99,#N/A N/A,107.25
12/3/99,#N/A N/A,107.296
12/6/99,#N/A N/A,107.08
12/7/99,#N/A N/A,107.036
12/8/99,#N/A N/A,107.132
12/9/99,#N/A N/A,107.097
12/10/99,#N/A N/A,107.291
12/13/99,#N/A N/A,107.877
12/14/99,#N/A N/A,107.887
12/15/99,#N/A N/A,107.801
12/16/99,#N/A N/A,107.339
12/17/99,#N/A N/A,107.703
12/20/99,#N/A N/A,107.442
12/21/99,#N/A N/A,107.537
12/22/99,#N/A N/A,107.399
12/23/99,#N/A N/A,107.382
12/24/99,#N/A N/A,107.806
12/27/99,#N/A N/A,107.617
12/28/99,#N/A N/A,107.953
12/29/99,#N/A N/A,108.034
12/30/99,#N/A N/A,108.232
12/31/99,#N/A N/A,108.04
1/3/00,#N/A N/A,107.615
1/4/00,#N/A N/A,107.502
1/5/00,#N/A N/A,107.642
1/6/00,#N/A N/A,108.365
1/7/00,#N/A N/A,108.324
1/10/00,#N/A N/A,108.352
1/11/00,#N/A N/A,108.633
1/12/00,#N/A N/A,108.776
1/13/00,#N/A N/A,109.286
1/14/00,#N/A N/A,109.661
1/17/00,#N/A N/A,109.309
1/18/00,#N/A N/A,109.781
1/19/00,#N/A N/A,109.825
1/20/00,#N/A N/A,109.89
1/21/00,#N/A N/A,109.888
1/24/00,#N/A N/A,110.547
1/25/00,#N/A N/A,110.68
1/26/00,#N/A N/A,110.332
1/27/00,#N/A N/A,110.708
1/28/00,#N/A N/A,111.383
1/31/00,#N/A N/A,111.411
2/1/00,#N/A N/A,111.751
2/2/00,#N/A N/A,111.641
2/3/00,#N/A N/A,110.32
