Date,Price Open,Last Price
12/15/99,#N/A N/A,101.31
12/16/99,#N/A N/A,100.62
12/17/99,#N/A N/A,100.97
12/20/99,#N/A N/A,101.03
12/21/99,#N/A N/A,100.81
12/22/99,#N/A N/A,100.66
12/23/99,#N/A N/A,100.42
12/24/99,#N/A N/A,101.01
12/29/99,#N/A N/A,101.15
12/30/99,#N/A N/A,101.14
1/4/00,#N/A N/A,100.47
1/5/00,#N/A N/A,100.57
1/6/00,#N/A N/A,101.02
1/7/00,#N/A N/A,101.18
1/10/00,#N/A N/A,101.16
1/11/00,#N/A N/A,101.6
1/12/00,#N/A N/A,101.76
1/13/00,#N/A N/A,102.09
1/14/00,#N/A N/A,102.53
1/17/00,#N/A N/A,102.32
1/18/00,#N/A N/A,102.48
1/19/00,#N/A N/A,102.88
1/20/00,#N/A N/A,103.1
1/21/00,#N/A N/A,102.85
1/24/00,#N/A N/A,103.21
1/25/00,#N/A N/A,103.26
1/26/00,#N/A N/A,103.07
1/27/00,#N/A N/A,103.39
1/28/00,#N/A N/A,103.32
1/31/00,#N/A N/A,103.72
2/1/00,#N/A N/A,103.93
2/2/00,#N/A N/A,104.48
2/3/00,#N/A N/A,103.69
2/4/00,#N/A N/A,103.25
2/7/00,#N/A N/A,103.66
2/8/00,#N/A N/A,104.1
2/9/00,#N/A N/A,103.8
2/10/00,#N/A N/A,103.87
2/11/00,#N/A N/A,103.77
2/14/00,#N/A N/A,103.37
2/15/00,#N/A N/A,103.71
2/16/00,#N/A N/A,103.68
2/17/00,#N/A N/A,103.64
2/18/00,#N/A N/A,104
2/21/00,#N/A N/A,103.9
2/22/00,#N/A N/A,103.58
2/23/00,#N/A N/A,103.32
2/24/00,#N/A N/A,103.86
2/25/00,#N/A N/A,104.29
2/28/00,#N/A N/A,104.44
2/29/00,#N/A N/A,104.33
3/1/00,#N/A N/A,104.12
3/2/00,#N/A N/A,103.35
3/3/00,#N/A N/A,103.79
3/6/00,#N/A N/A,103.28
3/7/00,#N/A N/A,103.67
3/8/00,#N/A N/A,103.7
3/9/00,#N/A N/A,102.98
3/10/00,#N/A N/A,103.1
3/13/00,#N/A N/A,102.55
3/14/00,#N/A N/A,102.42
3/15/00,#N/A N/A,102.01
3/16/00,#N/A N/A,102.08
3/17/00,#N/A N/A,102.05
3/20/00,#N/A N/A,101.93
3/21/00,#N/A N/A,102.09
3/22/00,#N/A N/A,102.98
3/23/00,#N/A N/A,102.38
3/24/00,#N/A N/A,102.16
3/27/00,#N/A N/A,102.79
3/28/00,#N/A N/A,103.27
3/29/00,#N/A N/A,104.09
3/30/00,#N/A N/A,103.61
3/31/00,#N/A N/A,103.08
4/3/00,#N/A N/A,103.39
4/4/00,#N/A N/A,103.42
4/5/00,#N/A N/A,102.65
4/6/00,#N/A N/A,102.68
4/7/00,#N/A N/A,102.58
4/10/00,#N/A N/A,102.81
4/11/00,#N/A N/A,103.08
4/12/00,#N/A N/A,103
4/13/00,#N/A N/A,103.33
4/14/00,#N/A N/A,102.89
4/17/00,#N/A N/A,102.51
4/18/00,#N/A N/A,102.68
4/19/00,#N/A N/A,103.49
4/20/00,#N/A N/A,103.87
4/25/00,#N/A N/A,104.86
4/26/00,#N/A N/A,104.64
4/27/00,#N/A N/A,105.59
4/28/00,#N/A N/A,105.26
5/2/00,#N/A N/A,105.66
5/3/00,#N/A N/A,107.12
5/4/00,#N/A N/A,106.75
5/5/00,#N/A N/A,106.03
5/8/00,#N/A N/A,106.29
5/9/00,#N/A N/A,105.28
5/10/00,#N/A N/A,104.25
5/11/00,#N/A N/A,104.25
5/12/00,#N/A N/A,103.97
5/15/00,#N/A N/A,103.39
5/16/00,#N/A N/A,103.78
5/17/00,#N/A N/A,103.95
5/18/00,#N/A N/A,103.02
5/19/00,#N/A N/A,102.61
5/22/00,#N/A N/A,101.94
5/23/00,#N/A N/A,101.51
5/24/00,#N/A N/A,101.26
5/25/00,#N/A N/A,101.19
5/26/00,#N/A N/A,100.49
5/30/00,#N/A N/A,100.34
5/31/00,#N/A N/A,100.61
6/1/00,#N/A N/A,100.74
6/2/00,#N/A N/A,100.15
6/5/00,#N/A N/A,100.87
6/6/00,#N/A N/A,99.93
6/7/00,#N/A N/A,99.72
6/8/00,#N/A N/A,99.48
6/9/00,#N/A N/A,99.66
6/12/00,#N/A N/A,99.56
6/13/00,#N/A N/A,99.29
6/14/00,#N/A N/A,99.41
6/15/00,#N/A N/A,99.65
6/16/00,#N/A N/A,99.45
6/19/00,#N/A N/A,99.49
6/20/00,#N/A N/A,99.7
6/21/00,#N/A N/A,99.6
6/22/00,#N/A N/A,99.86
6/23/00,#N/A N/A,99.59
6/26/00,#N/A N/A,99.72
6/27/00,#N/A N/A,99.95
6/28/00,#N/A N/A,100.2
6/29/00,#N/A N/A,99.63
6/30/00,#N/A N/A,99.74
7/3/00,#N/A N/A,100.05
7/4/00,#N/A N/A,100
7/5/00,#N/A N/A,99.74
7/6/00,#N/A N/A,99.74
7/7/00,#N/A N/A,100.16
7/10/00,#N/A N/A,100.05
7/11/00,#N/A N/A,99.92
7/12/00,#N/A N/A,100.03
7/13/00,#N/A N/A,100.87
7/14/00,#N/A N/A,100.47
7/17/00,#N/A N/A,100.55
7/18/00,#N/A N/A,100.41
7/19/00,#N/A N/A,100.73
7/20/00,#N/A N/A,100.62
7/21/00,#N/A N/A,101.18
7/24/00,#N/A N/A,101.08
7/25/00,#N/A N/A,100.7
7/26/00,#N/A N/A,100.8
7/27/00,#N/A N/A,101.1
7/28/00,#N/A N/A,101.44
7/31/00,#N/A N/A,101.14
8/1/00,#N/A N/A,101.12
8/2/00,#N/A N/A,101.21
8/3/00,#N/A N/A,101.88
8/4/00,#N/A N/A,101.66
8/7/00,#N/A N/A,101.5
8/8/00,#N/A N/A,101.64
8/9/00,#N/A N/A,101.3
8/10/00,#N/A N/A,100.88
8/11/00,#N/A N/A,101.52
8/14/00,#N/A N/A,101.28
8/15/00,#N/A N/A,101.46
8/16/00,#N/A N/A,101.72
8/17/00,#N/A N/A,101.7
8/18/00,#N/A N/A,101.96
8/21/00,#N/A N/A,101.84
8/22/00,#N/A N/A,101.94
8/23/00,#N/A N/A,100.23
8/24/00,#N/A N/A,99.34
8/25/00,#N/A N/A,99.82
8/29/00,#N/A N/A,100.02
8/30/00,#N/A N/A,99.65
8/31/00,#N/A N/A,99.97
9/1/00,#N/A N/A,98.92
9/4/00,#N/A N/A,99.27
9/5/00,#N/A N/A,99.85
9/6/00,#N/A N/A,100.1
9/7/00,#N/A N/A,99.77
9/8/00,#N/A N/A,99.69
9/11/00,#N/A N/A,100.07
9/12/00,#N/A N/A,100.41
9/13/00,#N/A N/A,100.19
9/14/00,#N/A N/A,99.76
9/15/00,#N/A N/A,100.3
9/18/00,#N/A N/A,99.94
9/19/00,#N/A N/A,99.51
9/20/00,#N/A N/A,99.4
9/21/00,#N/A N/A,98.75
9/22/00,#N/A N/A,98.56
9/25/00,#N/A N/A,99.23
9/26/00,#N/A N/A,99.24
9/27/00,#N/A N/A,99.46
9/28/00,#N/A N/A,99.77
9/29/00,#N/A N/A,98.91
10/2/00,#N/A N/A,99.02
10/3/00,#N/A N/A,99.39
10/4/00,#N/A N/A,99.08
10/5/00,#N/A N/A,99.31
10/6/00,#N/A N/A,99.26
10/9/00,#N/A N/A,99.5
10/10/00,#N/A N/A,99.33
10/11/00,#N/A N/A,99.08
10/12/00,#N/A N/A,98.59
10/13/00,#N/A N/A,98.74
10/16/00,#N/A N/A,99.18
10/17/00,#N/A N/A,98.94
10/18/00,#N/A N/A,98.57
10/19/00,#N/A N/A,98.89
10/20/00,#N/A N/A,100.17
10/23/00,#N/A N/A,100.15
10/24/00,#N/A N/A,100.06
10/25/00,#N/A N/A,100.46
10/26/00,#N/A N/A,100.55
10/27/00,#N/A N/A,100.52
10/30/00,#N/A N/A,100.77
10/31/00,#N/A N/A,100.09
11/1/00,#N/A N/A,99.55
11/2/00,#N/A N/A,99.76
11/3/00,#N/A N/A,99.52
11/6/00,#N/A N/A,99.28
11/7/00,#N/A N/A,99.35
11/8/00,#N/A N/A,99.46
11/9/00,#N/A N/A,99.17
11/10/00,#N/A N/A,99.5
11/13/00,#N/A N/A,99.31
11/14/00,#N/A N/A,99.51
11/15/00,#N/A N/A,99.81
11/16/00,#N/A N/A,100.34
11/17/00,#N/A N/A,100.67
11/20/00,#N/A N/A,100.86
11/21/00,#N/A N/A,100.58
11/22/00,#N/A N/A,101.01
11/23/00,#N/A N/A,101.18
11/24/00,#N/A N/A,101.56
11/27/00,#N/A N/A,101.67
11/28/00,#N/A N/A,101.24
11/29/00,#N/A N/A,100.83
11/30/00,#N/A N/A,100.56
12/1/00,#N/A N/A,101.05
12/4/00,#N/A N/A,100.68
12/5/00,#N/A N/A,100.77
12/6/00,#N/A N/A,100.84
12/7/00,#N/A N/A,101.17
12/8/00,#N/A N/A,100.86
12/11/00,#N/A N/A,100.91
12/12/00,#N/A N/A,100.72
12/13/00,#N/A N/A,101.19
12/14/00,#N/A N/A,100.93
12/15/00,#N/A N/A,101.18
12/18/00,#N/A N/A,101.41
12/19/00,#N/A N/A,101.84
12/20/00,#N/A N/A,101.66
12/21/00,#N/A N/A,101.92
12/22/00,#N/A N/A,101.76
12/27/00,#N/A N/A,102.43
12/28/00,#N/A N/A,102.4
12/29/00,#N/A N/A,101.98
1/2/01,#N/A N/A,101.8
1/3/01,#N/A N/A,102.07
1/4/01,#N/A N/A,101.72
1/5/01,#N/A N/A,102.74
1/8/01,#N/A N/A,103.07
1/9/01,#N/A N/A,103.14
1/10/01,#N/A N/A,103.18
1/11/01,#N/A N/A,103.1
1/12/01,#N/A N/A,103.88
1/15/01,#N/A N/A,103.99
1/16/01,#N/A N/A,104.13
1/17/01,#N/A N/A,104.12
1/18/01,#N/A N/A,103.96
1/19/01,#N/A N/A,103.96
1/22/01,#N/A N/A,103.67
1/23/01,#N/A N/A,103.64
1/24/01,#N/A N/A,103.99
1/25/01,#N/A N/A,103.6
1/26/01,#N/A N/A,103.11
1/29/01,#N/A N/A,103.21
1/30/01,#N/A N/A,102.84
1/31/01,#N/A N/A,103
2/1/01,#N/A N/A,103.15
2/2/01,#N/A N/A,103.67
2/5/01,#N/A N/A,103.52
2/6/01,#N/A N/A,103.16
2/7/01,#N/A N/A,103.36
2/8/01,#N/A N/A,103.8
2/9/01,#N/A N/A,103.63
2/12/01,#N/A N/A,103.83
2/13/01,#N/A N/A,103.91
2/14/01,#N/A N/A,103.77
2/15/01,#N/A N/A,103.31
2/16/01,#N/A N/A,103.09
2/19/01,#N/A N/A,103.12
2/20/01,#N/A N/A,103.31
2/21/01,#N/A N/A,103.29
2/22/01,#N/A N/A,103.71
2/23/01,#N/A N/A,103.97
2/26/01,#N/A N/A,104.03
2/27/01,#N/A N/A,103.54
2/28/01,#N/A N/A,103.57
3/1/01,#N/A N/A,103.49
3/2/01,#N/A N/A,103.77
3/5/01,#N/A N/A,104.16
3/6/01,#N/A N/A,103.82
3/7/01,#N/A N/A,103.9
3/8/01,#N/A N/A,103.26
3/9/01,#N/A N/A,103.86
3/12/01,#N/A N/A,103.89
3/13/01,#N/A N/A,104.15
3/14/01,#N/A N/A,104.31
3/15/01,#N/A N/A,104.13
3/16/01,#N/A N/A,105.23
3/19/01,#N/A N/A,106.26
3/20/01,#N/A N/A,106.05
3/21/01,#N/A N/A,106.25
3/22/01,#N/A N/A,106.53
3/23/01,#N/A N/A,106.14
3/26/01,#N/A N/A,105.26
3/27/01,#N/A N/A,105.32
3/28/01,#N/A N/A,106.02
3/29/01,#N/A N/A,106.41
3/30/01,#N/A N/A,105.65
4/2/01,#N/A N/A,105.67
4/3/01,#N/A N/A,105.91
4/4/01,#N/A N/A,105.42
4/5/01,#N/A N/A,105.25
4/6/01,#N/A N/A,105.4
4/9/01,#N/A N/A,105.61
4/10/01,#N/A N/A,104.91
4/11/01,#N/A N/A,105.11
4/12/01,#N/A N/A,104.66
4/17/01,#N/A N/A,105.79
4/18/01,#N/A N/A,105.63
4/19/01,#N/A N/A,104.71
4/20/01,#N/A N/A,105.14
4/23/01,#N/A N/A,105.05
4/24/01,#N/A N/A,104.83
4/25/01,#N/A N/A,105.19
4/26/01,#N/A N/A,105.01
4/27/01,#N/A N/A,106.1
4/30/01,#N/A N/A,106.16
5/1/01,#N/A N/A,106.27
5/2/01,#N/A N/A,106.72
5/3/01,#N/A N/A,106.47
5/4/01,#N/A N/A,106.3
5/8/01,#N/A N/A,106.74
5/9/01,#N/A N/A,106.51
5/10/01,#N/A N/A,106.92
5/11/01,#N/A N/A,106.91
5/14/01,#N/A N/A,106.75
5/15/01,#N/A N/A,106.45
5/16/01,#N/A N/A,107.07
5/17/01,#N/A N/A,107.25
5/18/01,#N/A N/A,107.86
5/21/01,#N/A N/A,108.2
5/22/01,#N/A N/A,107.84
5/23/01,#N/A N/A,107.43
5/24/01,#N/A N/A,106.48
5/25/01,#N/A N/A,107.7
5/29/01,#N/A N/A,107.35
5/30/01,#N/A N/A,107.3
5/31/01,#N/A N/A,106.81
6/1/01,#N/A N/A,106.11
6/4/01,#N/A N/A,106.53
6/5/01,#N/A N/A,106.17
6/6/01,#N/A N/A,106.85
6/7/01,#N/A N/A,106.83
6/8/01,#N/A N/A,107.11
6/11/01,#N/A N/A,107.51
6/12/01,#N/A N/A,107.3
6/13/01,#N/A N/A,107.65
6/14/01,#N/A N/A,107.11
6/15/01,#N/A N/A,106.89
6/18/01,#N/A N/A,107.12
6/19/01,#N/A N/A,107.71
6/20/01,#N/A N/A,107.13
6/21/01,#N/A N/A,108.29
6/22/01,#N/A N/A,108.02
6/25/01,#N/A N/A,107.71
6/26/01,#N/A N/A,107.91
6/27/01,#N/A N/A,108.54
6/28/01,#N/A N/A,108.05
6/29/01,#N/A N/A,107.03
7/2/01,#N/A N/A,107.16
7/3/01,#N/A N/A,107.04
7/4/01,#N/A N/A,107.08
7/5/01,#N/A N/A,107.24
7/6/01,#N/A N/A,107.41
7/9/01,#N/A N/A,107.39
7/10/01,#N/A N/A,107.47
7/11/01,#N/A N/A,107.04
7/12/01,#N/A N/A,106.59
7/13/01,#N/A N/A,106.43
7/16/01,#N/A N/A,106.65
7/17/01,#N/A N/A,106.9
7/18/01,#N/A N/A,107.05
7/19/01,#N/A N/A,107.17
7/20/01,#N/A N/A,107.18
7/23/01,#N/A N/A,106.74
7/24/01,#N/A N/A,107.08
7/25/01,#N/A N/A,107.31
7/26/01,#N/A N/A,107.32
7/27/01,#N/A N/A,107.28
7/30/01,#N/A N/A,107.57
7/31/01,#N/A N/A,107.63
