Date,Price Open,Last Price
9/30/2025,248.567,248.233
9/29/2025,248.883,248.883
9/26/2025,249.525,249.525
9/25/2025,249.187,249.186
9/24/2025,248.899,248.996
9/23/2025,248.542,248.472
9/22/2025,248.391,248.288
9/19/2025,248.444,248.464
9/18/2025,248.91,248.904
9/17/2025,248.389,248.287
9/16/2025,248.477,248.476
9/15/2025,249.483,249.588
9/12/2025,249.733,249.676
9/11/2025,249.37,249.368
9/10/2025,249.197,249.271
9/9/2025,248.231,248.455
9/8/2025,247.975,247.974
9/5/2025,247.386,247.682
9/4/2025,248.832,248.941
9/3/2025,248.631,248.659
9/2/2025,248.493,248.769
9/1/2025,248.676,248.679
8/29/2025,247.643,247.559
8/28/2025,247.913,247.724
8/27/2025,248.361,248.181
8/26/2025,247.802,247.765
8/25/2025,248.031,248.033
8/22/2025,247.421,247.423
8/21/2025,248.1,248.103
8/20/2025,#N/A N/A,246.467
8/19/2025,#N/A N/A,246.938
8/18/2025,247.699,247.668
8/15/2025,247.258,247.259
8/14/2025,247.781,247.778
8/13/2025,247.104,247.105
8/12/2025,247.293,247.298
8/11/2025,247.727,247.769
8/8/2025,246.546,246.546
8/7/2025,246.55,246.528
8/6/2025,246.216,246.384
8/5/2025,246.1,246.18
8/4/2025,245.682,245.679
8/1/2025,246.166,245.89
7/31/2025,248.443,248.444
7/30/2025,247.62,247.618
7/29/2025,247.26,247.258
7/28/2025,246.898,246.874
7/25/2025,245.216,245.207
7/24/2025,245.316,245.307
7/23/2025,245.584,245.575
7/22/2025,#N/A N/A,245.239
7/21/2025,#N/A N/A,245.79
7/18/2025,246.603,246.79
7/17/2025,246.091,246.308
7/16/2025,245.793,245.706
7/15/2025,245.758,246.166
7/14/2025,245.971,245.967
7/11/2025,245.795,245.792
7/10/2025,246.149,246.153
7/9/2025,#N/A N/A,245.735
7/8/2025,#N/A N/A,245.937
7/7/2025,#N/A N/A,245.741
7/4/2025,244.445,244.523
7/3/2025,245.176,245.186
7/2/2025,243.401,243.68
7/1/2025,244.347,244.352
6/30/2025,244.6,244.605
6/27/2025,245.726,245.693
6/26/2025,245.855,245.883
6/25/2025,246.39,246.408
6/24/2025,246.136,246.055
6/23/2025,247.895,247.692
6/20/2025,247.746,247.645
6/19/2025,248.25,248.314
6/18/2025,248.287,248.285
6/17/2025,248.866,248.81
6/16/2025,248.317,248.315
6/13/2025,248.211,248.211
6/12/2025,247.52,247.52
6/11/2025,248.087,248.205
6/10/2025,248.532,248.48
6/9/2025,248.742,248.776
6/6/2025,248.662,248.661
6/5/2025,248.189,247.808
6/4/2025,247.088,246.892
6/3/2025,248.033,247.948
6/2/2025,246.927,246.927
5/30/2025,246.968,246.968
5/29/2025,247.95,247.95
5/28/2025,248.825,248.758
5/27/2025,248.511,248.51
5/26/2025,247.31,247.31
5/23/2025,247.19,247.195
5/22/2025,247.751,247.881
5/21/2025,247.509,247.588
5/20/2025,247.848,247.868
5/19/2025,247.965,247.967
5/16/2025,248.302,248.375
5/15/2025,247.551,247.588
5/14/2025,248.818,248.845
5/13/2025,249.639,249.641
5/12/2025,249.638,249.64
5/9/2025,246.752,246.874
5/8/2025,246.37,246.487
5/7/2025,244.681,244.682
5/6/2025,244.737,244.738
5/5/2025,244.532,244.533
5/2/2025,244.848,244.989
5/1/2025,245.598,245.576
4/30/2025,243.469,243.47
4/29/2025,243.788,243.514
4/28/2025,243.407,243.405
4/25/2025,244.261,244.26
4/24/2025,243.41,243.547
4/23/2025,243.056,243.053
4/22/2025,241.702,241.74
4/21/2025,239.905,239.903
4/18/2025,241.273,241.271
4/17/2025,241.483,241.912
4/16/2025,240.416,240.407
4/15/2025,241.219,241.211
4/14/2025,240.35,240.342
4/11/2025,238.825,239.572
4/10/2025,239.681,240.072
4/9/2025,240.819,240.635
4/8/2025,243.706,243.7
4/7/2025,244.354,244.201
4/4/2025,245.883,245.881
4/3/2025,249.94,249.937
4/2/2025,254.538,254.535
4/1/2025,253.782,253.771
3/31/2025,253.273,253.379
3/28/2025,253.663,253.499
3/27/2025,254.432,254.401
3/26/2025,253.597,253.585
3/25/2025,253.443,253.383
3/24/2025,253.498,253.643
3/21/2025,252.653,252.556
3/20/2025,251.999,252.005
3/19/2025,251.994,251.939
3/18/2025,251.298,251.216
3/17/2025,251.689,252.031
3/14/2025,250.949,251.245
3/13/2025,250.836,250.839
3/12/2025,250.571,250.502
3/11/2025,248.914,249.124
3/10/2025,248.533,248.532
3/7/2025,247.38,247.812
3/6/2025,248.738,248.732
3/5/2025,249.092,249.559
3/4/2025,248.908,248.908
3/3/2025,250.442,250.365
2/28/2025,251.157,251.114
2/27/2025,250.768,250.796
2/26/2025,250.223,250.291
2/25/2025,250.057,250.045
2/24/2025,250.892,250.891
2/21/2025,250.875,250.629
2/20/2025,251.081,250.999
2/19/2025,252.858,252.858
2/18/2025,252.505,252.597
2/17/2025,252.309,252.423
2/14/2025,252.435,252.434
2/13/2025,252.959,252.958
2/12/2025,254.151,254.151
2/11/2025,#N/A N/A,253.265
2/10/2025,252.737,252.815
2/7/2025,252.588,252.592
2/6/2025,252.293,252.296
2/5/2025,252.531,252.534
2/4/2025,254.365,254.289
2/3/2025,254.713,254.716
1/31/2025,254.931,254.876
1/30/2025,254.198,254.201
1/29/2025,254.204,254.207
1/28/2025,254.302,254.29
1/27/2025,253.418,253.419
1/24/2025,254.93,254.951
1/23/2025,254.311,254.312
