Date,Price Open,Last Price
1/4/71,2.3938,2.3938
1/5/71,2.3949,2.3949
1/6/71,2.3967,2.3967
1/7/71,2.3963,2.3963
1/8/71,2.3972,2.3972
1/11/71,2.3992,2.3992
1/12/71,2.4001,2.4001
1/13/71,2.4021,2.4021
1/14/71,2.4071,2.4071
1/15/71,2.4057,2.4057
1/18/71,2.4052,2.4052
1/19/71,2.4081,2.4081
1/20/71,2.408,2.408
1/21/71,2.4092,2.4092
1/22/71,2.4103,2.4103
1/25/71,2.4147,2.4147
1/26/71,2.416,2.416
1/27/71,2.4161,2.4161
1/28/71,2.4169,2.4169
1/29/71,2.4174,2.4174
2/1/71,2.4184,2.4184
2/2/71,2.4181,2.4181
2/3/71,2.4184,2.4184
2/4/71,2.4167,2.4167
2/5/71,2.4147,2.4147
2/8/71,2.4182,2.4182
2/9/71,2.4151,2.4151
2/10/71,2.4159,2.4159
2/11/71,2.4158,2.4158
2/12/71,2.4158,2.4158
2/15/71,2.4158,2.4158
2/16/71,2.4193,2.4193
2/17/71,2.4193,2.4193
2/18/71,2.4191,2.4191
2/19/71,2.419,2.419
2/22/71,2.4192,2.4192
2/23/71,2.4193,2.4193
2/24/71,2.4193,2.4193
2/25/71,2.4177,2.4177
2/26/71,2.416,2.416
3/1/71,2.4162,2.4162
3/2/71,2.4184,2.4184
3/3/71,2.4193,2.4193
3/4/71,2.4179,2.4179
3/5/71,2.4183,2.4183
3/8/71,2.4192,2.4192
3/9/71,2.4188,2.4188
3/10/71,2.4192,2.4192
3/11/71,2.4188,2.4188
3/12/71,2.4193,2.4193
3/15/71,2.4193,2.4193
3/16/71,2.4183,2.4183
3/17/71,2.4194,2.4194
3/18/71,2.419,2.419
3/19/71,2.419,2.419
3/22/71,2.4193,2.4193
3/23/71,2.4193,2.4193
3/24/71,2.4194,2.4194
3/25/71,2.4185,2.4185
3/26/71,2.4188,2.4188
3/29/71,2.4194,2.4194
3/30/71,2.4181,2.4181
3/31/71,2.4168,2.4168
4/1/71,2.4147,2.4147
4/2/71,2.4125,2.4125
4/5/71,2.4161,2.4161
4/6/71,2.4189,2.4189
4/7/71,2.417,2.417
4/8/71,2.4167,2.4167
4/9/71,2.4167,2.4167
4/12/71,2.4169,2.4169
4/13/71,2.4167,2.4167
4/14/71,2.418,2.418
4/15/71,2.4187,2.4187
4/16/71,2.4186,2.4186
4/19/71,2.4193,2.4193
4/20/71,2.4193,2.4193
4/21/71,2.4196,2.4196
4/22/71,2.4187,2.4187
4/23/71,2.4189,2.4189
4/26/71,2.4188,2.4188
4/27/71,2.419,2.419
