Date,PX_LAST,PX_OPEN
9/15/2025,13.69,13.712
9/12/2025,13.766,13.793
9/11/2025,13.8089,13.869
9/10/2025,13.83695,13.895
9/9/2025,13.8862,13.906
9/8/2025,13.9013,13.936
9/5/2025,13.9132,14.094
9/4/2025,14.07835,14.062
9/3/2025,14.0882,14.068
9/2/2025,14.0838,13.952
9/1/2025,13.97635,13.935
8/29/2025,13.9292,13.909
8/28/2025,13.91485,14.067
8/27/2025,14.0724,14.024
8/26/2025,14.0246,14.025
8/25/2025,14.0214,14.065
8/22/2025,14.07935,14.192
8/21/2025,14.15295,13.996
8/20/2025,14.0328,14.02
8/19/2025,14.0882,13.922
8/18/2025,13.92265,13.743
8/15/2025,13.7519,13.836
8/14/2025,13.8075,13.766
8/13/2025,13.78925,13.765
8/12/2025,13.77295,13.772
8/11/2025,13.7608,13.83
8/8/2025,13.8451,13.812
8/7/2025,13.8174,13.951
8/6/2025,13.9457,14.009
8/5/2025,13.9838,13.9
8/4/2025,13.90055,14.021
8/1/2025,14.02915,14.062
7/31/2025,14.06705,13.994
7/30/2025,13.98585,13.96
7/29/2025,13.9487,14.123
7/28/2025,14.13425,14.164
7/25/2025,14.1529,14.12
7/24/2025,14.1351,14.051
7/23/2025,14.0534,14.037
7/22/2025,13.97405,14.07
7/21/2025,14.0764,14.141
7/18/2025,14.12175,14.082
7/17/2025,14.0691,14.201
7/16/2025,14.1976,14.116
7/15/2025,14.1067,13.944
7/14/2025,13.9525,13.882
7/11/2025,13.86235,13.892
7/10/2025,13.86895,13.888
7/9/2025,13.9431,13.744
7/8/2025,13.7448,13.735
7/7/2025,13.7297,13.577
7/4/2025,13.58615,13.576
7/3/2025,13.5804,13.434
7/2/2025,13.4822,13.466
7/1/2025,13.47865,13.466
6/30/2025,13.51635,13.803
6/27/2025,13.82245,13.869
6/26/2025,13.86665,13.942
6/25/2025,13.9385,13.937
6/24/2025,13.92115,13.854
6/23/2025,13.8647,13.827
6/20/2025,13.82805,13.988
6/18/2025,13.9714,14.061
6/17/2025,13.96635,13.895
6/16/2025,13.92,13.956
