Date,Price Open,Last Price
8/7/90,#N/A N/A,8.874
8/8/90,#N/A N/A,8.896
8/9/90,#N/A N/A,8.827
8/10/90,#N/A N/A,8.822
8/13/90,8.868,8.868
8/14/90,8.819,8.819
8/16/90,8.795,8.818
8/17/90,8.878,8.874
8/20/90,8.885,8.913
8/21/90,8.939,8.948
8/22/90,8.922,8.948
8/23/90,8.975,8.979
8/24/90,8.94,8.938
8/27/90,8.94,8.922
8/28/90,8.924,8.962
8/29/90,8.962,8.934
8/30/90,8.914,8.938
8/31/90,8.95,8.942
9/3/90,8.954,8.955
9/4/90,9.025,9.021
9/5/90,8.991,8.992
9/6/90,8.989,8.977
9/7/90,8.991,8.997
9/10/90,8.941,8.943
9/11/90,8.955,8.951
9/12/90,8.92,8.956
9/13/90,8.972,8.981
9/14/90,8.986,9.033
9/17/90,9.032,9.04
9/18/90,9.048,9.031
9/19/90,9.01,9.022
9/20/90,9.013,9.018
9/21/90,9.021,9.042
9/24/90,9.065,9.095
9/25/90,9.103,9.112
9/26/90,9.123,9.11
9/27/90,9.12,9.113
9/28/90,9.125,9.129
10/1/90,9.088,9.069
10/2/90,8.994,9.036
10/4/90,9.048,9.058
10/5/90,9.079,9.093
10/8/90,9.054,9.048
10/9/90,9.073,9.086
10/10/90,9.109,9.125
10/11/90,9.103,9.116
10/12/90,9.101,9.098
10/15/90,9.063,9.08
10/16/90,9.089,9.083
10/17/90,9.074,9.052
10/18/90,9.032,8.991
10/19/90,8.992,8.972
10/22/90,8.939,8.968
10/23/90,8.972,8.987
10/24/90,9.01,8.989
10/25/90,8.96,8.992
10/26/90,8.981,8.985
10/29/90,8.969,8.97
10/30/90,8.993,9.005
10/31/90,9.01,8.996
11/1/90,8.972,8.973
11/2/90,8.983,8.981
11/5/90,8.994,9.002
11/6/90,9.002,9.017
11/7/90,9.019,9.026
11/8/90,9.06,9.066
11/9/90,9.078,9.072
11/12/90,#N/A N/A,9.04
11/13/90,#N/A N/A,8.973
11/14/90,8.998,9.002
11/15/90,9.005,8.999
11/16/90,8.982,8.933
11/19/90,8.885,8.892
11/20/90,8.906,8.832
11/21/90,8.832,8.832
11/22/90,8.864,8.794
11/23/90,8.785,8.793
11/26/90,8.769,8.811
11/27/90,8.795,8.824
11/28/90,8.859,8.839
11/29/90,8.853,8.859
11/30/90,8.873,8.818
12/3/90,8.757,8.787
12/4/90,8.808,8.873
12/5/90,8.88,8.876
12/6/90,8.86,8.834
12/7/90,8.826,8.794
12/10/90,8.731,8.786
12/11/90,8.784,8.707
12/12/90,8.703,8.699
12/13/90,8.672,8.63
12/14/90,8.631,8.66
12/17/90,8.705,8.719
12/18/90,8.723,8.737
12/19/90,8.706,8.714
12/20/90,8.739,8.868
12/21/90,8.874,8.948
12/27/90,8.98,8.983
12/28/90,#N/A N/A,8.992
1/3/91,8.992,8.936
1/4/91,8.954,8.936
1/7/91,9.006,9.001
1/8/91,9.008,8.983
1/9/91,9.008,8.983
1/10/91,8.97,8.963
1/11/91,8.908,8.946
1/14/91,8.999,8.968
1/15/91,9.001,8.97
1/16/91,8.997,8.996
1/17/91,8.899,8.848
1/18/91,8.864,8.868
1/21/91,8.879,8.855
1/22/91,8.887,8.871
1/23/91,8.894,8.857
1/24/91,8.865,8.728
1/25/91,8.698,8.727
1/28/91,8.741,8.751
1/29/91,8.716,8.685
1/30/91,8.661,8.643
1/31/91,8.648,8.615
2/1/91,8.624,8.595
2/4/91,8.575,8.575
2/5/91,8.505,8.452
2/6/91,8.401,8.45
2/7/91,8.44,8.388
2/8/91,8.473,8.414
2/11/91,8.373,8.41
2/12/91,8.443,8.444
2/13/91,8.439,8.419
2/14/91,8.419,8.245
2/15/91,8.245,8.256
2/18/91,8.208,8.211
2/19/91,8.19,8.248
2/20/91,8.289,8.317
2/21/91,8.355,8.314
2/22/91,8.321,8.322
2/25/91,8.273,8.302
2/26/91,8.252,8.354
2/27/91,8.402,8.36
2/28/91,8.397,8.329
3/1/91,8.367,8.373
3/4/91,8.365,8.414
3/5/91,8.419,8.353
3/6/91,8.347,8.341
3/7/91,8.353,8.292
3/8/91,8.283,8.304
3/11/91,8.344,8.339
3/12/91,8.309,8.338
3/13/91,8.348,8.38
3/14/91,8.33,8.366
3/15/91,8.363,8.421
3/18/91,8.423,8.456
3/19/91,8.478,8.5
3/20/91,8.508,8.485
3/21/91,8.459,8.467
3/22/91,8.468,8.468
3/25/91,8.476,8.514
3/26/91,8.562,8.547
3/27/91,8.537,8.549
3/28/91,8.549,8.484
4/2/91,8.459,8.471
4/3/91,8.444,8.435
4/4/91,8.443,8.354
4/5/91,8.356,8.331
4/8/91,8.368,8.281
4/9/91,8.266,8.316
4/10/91,8.337,8.34
4/11/91,8.343,8.321
4/12/91,8.278,8.309
4/15/91,8.26,8.315
4/16/91,8.331,8.382
4/17/91,8.365,8.335
4/18/91,8.336,8.364
4/19/91,8.389,8.422
4/22/91,8.462,8.448
4/23/91,8.433,8.397
4/24/91,8.388,8.418
4/25/91,8.396,8.407
4/26/91,8.413,8.442
4/29/91,8.42,8.398
4/30/91,8.379,8.341
5/2/91,8.311,8.337
5/3/91,8.346,8.385
5/6/91,8.378,8.375
5/7/91,8.375,8.399
5/8/91,8.418,8.437
5/9/91,8.437,8.41
5/10/91,8.402,8.404
5/13/91,8.438,8.425
