Date,Price Open,Last Price
1/1/92,#N/A N/A,9.71
1/2/92,#N/A N/A,9.54
1/3/92,#N/A N/A,9.57
1/6/92,#N/A N/A,9.52
1/7/92,#N/A N/A,9.45
1/8/92,#N/A N/A,9.44
1/9/92,#N/A N/A,9.4
1/10/92,#N/A N/A,9.51
1/13/92,#N/A N/A,9.58
1/14/92,#N/A N/A,9.53
1/15/92,#N/A N/A,9.48
1/16/92,#N/A N/A,9.47
1/17/92,#N/A N/A,9.42
1/20/92,#N/A N/A,9.4
1/21/92,#N/A N/A,9.45
1/22/92,#N/A N/A,9.45
1/23/92,#N/A N/A,9.42
1/24/92,#N/A N/A,9.46
1/27/92,#N/A N/A,9.45
1/28/92,#N/A N/A,9.42
1/29/92,#N/A N/A,9.41
1/30/92,#N/A N/A,9.42
1/31/92,#N/A N/A,9.41
2/3/92,#N/A N/A,9.4
2/4/92,#N/A N/A,9.36
2/5/92,#N/A N/A,9.32
2/6/92,#N/A N/A,9.33
2/7/92,#N/A N/A,9.36
2/10/92,#N/A N/A,9.32
2/11/92,#N/A N/A,9.32
2/12/92,#N/A N/A,9.29
2/13/92,#N/A N/A,9.27
2/14/92,#N/A N/A,9.36
2/17/92,#N/A N/A,9.33
2/18/92,#N/A N/A,9.3
2/19/92,#N/A N/A,9.31
2/20/92,#N/A N/A,9.29
2/21/92,#N/A N/A,9.34
2/24/92,#N/A N/A,9.34
2/25/92,#N/A N/A,9.3
2/26/92,#N/A N/A,9.25
2/27/92,#N/A N/A,9.24
2/28/92,#N/A N/A,9.27
3/2/92,#N/A N/A,9.29
3/3/92,#N/A N/A,9.34
3/4/92,#N/A N/A,9.47
3/5/92,#N/A N/A,9.52
3/6/92,#N/A N/A,9.52
3/9/92,#N/A N/A,9.49
3/10/92,#N/A N/A,9.57
3/11/92,#N/A N/A,9.63
3/12/92,#N/A N/A,9.68
3/13/92,#N/A N/A,9.76
3/16/92,#N/A N/A,9.75
3/17/92,#N/A N/A,9.7
3/18/92,#N/A N/A,9.75
3/19/92,#N/A N/A,9.8
3/20/92,#N/A N/A,9.82
3/23/92,#N/A N/A,9.8
3/24/92,#N/A N/A,9.76
3/25/92,#N/A N/A,9.73
3/26/92,#N/A N/A,9.79
3/27/92,#N/A N/A,9.9
3/30/92,#N/A N/A,9.84
3/31/92,#N/A N/A,9.87
4/1/92,#N/A N/A,10
4/2/92,#N/A N/A,9.98
4/3/92,#N/A N/A,9.97
4/6/92,#N/A N/A,9.97
4/7/92,#N/A N/A,9.91
4/8/92,#N/A N/A,9.85
4/9/92,#N/A N/A,9.74
4/10/92,#N/A N/A,9.21
4/13/92,#N/A N/A,9.15
4/14/92,#N/A N/A,9.11
4/15/92,#N/A N/A,9.09
4/16/92,#N/A N/A,9.14
4/17/92,#N/A N/A,9.14
4/20/92,#N/A N/A,9.14
4/21/92,#N/A N/A,9.17
4/22/92,#N/A N/A,9.16
4/23/92,#N/A N/A,9.22
4/24/92,#N/A N/A,9.21
4/27/92,#N/A N/A,9.16
4/28/92,#N/A N/A,9.17
4/29/92,#N/A N/A,9.15
4/30/92,#N/A N/A,9.18
5/1/92,#N/A N/A,9.12
5/4/92,#N/A N/A,9.12
5/5/92,#N/A N/A,9.2
5/6/92,#N/A N/A,9.16
5/7/92,#N/A N/A,9.14
5/8/92,#N/A N/A,9.14
5/11/92,#N/A N/A,9.14
5/12/92,#N/A N/A,9.16
5/13/92,#N/A N/A,9.09
5/14/92,#N/A N/A,9.1
5/15/92,#N/A N/A,9.06
5/18/92,#N/A N/A,9.03
5/19/92,#N/A N/A,9.03
5/20/92,#N/A N/A,8.97
5/21/92,#N/A N/A,8.97
5/22/92,#N/A N/A,8.95
5/25/92,#N/A N/A,8.95
5/26/92,#N/A N/A,8.98
5/27/92,#N/A N/A,8.97
5/28/92,#N/A N/A,8.94
5/29/92,#N/A N/A,8.93
6/1/92,#N/A N/A,8.96
6/2/92,#N/A N/A,8.96
6/3/92,#N/A N/A,9.09
6/4/92,#N/A N/A,9.08
6/5/92,#N/A N/A,9.11
6/8/92,#N/A N/A,9.17
6/9/92,#N/A N/A,9.17
6/10/92,#N/A N/A,9.14
6/11/92,#N/A N/A,9.12
6/12/92,#N/A N/A,9.11
6/15/92,#N/A N/A,9.16
6/16/92,#N/A N/A,9.15
6/17/92,#N/A N/A,9.15
6/18/92,#N/A N/A,9.16
6/19/92,#N/A N/A,9.16
6/22/92,#N/A N/A,9.19
6/23/92,#N/A N/A,9.24
6/24/92,#N/A N/A,9.23
6/25/92,#N/A N/A,9.19
6/26/92,#N/A N/A,9.14
6/29/92,#N/A N/A,9.18
6/30/92,#N/A N/A,9.16
7/1/92,#N/A N/A,9.1
7/2/92,#N/A N/A,9.03
7/3/92,#N/A N/A,8.97
7/6/92,#N/A N/A,9.01
7/7/92,#N/A N/A,9
7/8/92,#N/A N/A,9.03
7/9/92,#N/A N/A,8.99
7/10/92,#N/A N/A,8.98
7/13/92,#N/A N/A,9.08
7/14/92,#N/A N/A,9.03
7/15/92,#N/A N/A,9.06
7/16/92,#N/A N/A,9.03
7/17/92,#N/A N/A,9.09
7/20/92,#N/A N/A,9.12
7/21/92,#N/A N/A,9.1
7/22/92,#N/A N/A,9.08
7/23/92,#N/A N/A,9.09
7/24/92,#N/A N/A,9.08
7/27/92,#N/A N/A,9.08
7/28/92,#N/A N/A,9.1
7/29/92,#N/A N/A,9.12
7/30/92,#N/A N/A,9.21
7/31/92,#N/A N/A,9.32
8/3/92,#N/A N/A,9.26
8/4/92,#N/A N/A,9.3
8/5/92,#N/A N/A,9.33
8/6/92,#N/A N/A,9.33
8/7/92,#N/A N/A,9.29
8/10/92,#N/A N/A,9.3
8/11/92,#N/A N/A,9.32
8/12/92,#N/A N/A,9.36
8/13/92,#N/A N/A,9.39
8/14/92,#N/A N/A,9.24
8/17/92,#N/A N/A,9.22
8/18/92,#N/A N/A,9.23
8/19/92,#N/A N/A,9.23
8/20/92,#N/A N/A,9.22
8/21/92,#N/A N/A,9.28
8/24/92,#N/A N/A,9.42
8/25/92,#N/A N/A,9.51
8/26/92,#N/A N/A,9.57
8/27/92,#N/A N/A,9.63
8/28/92,#N/A N/A,9.64
8/31/92,#N/A N/A,9.64
9/1/92,#N/A N/A,9.65
9/2/92,#N/A N/A,9.51
9/3/92,#N/A N/A,9.25
9/4/92,#N/A N/A,9.19
