date,price
8/29/2025,1.595
7/31/2025,1.55
6/30/2025,1.426
5/31/2025,1.488
4/30/2025,1.31
3/31/2025,1.485
2/28/2025,1.372
1/31/2025,1.239
12/31/2024,1.085
11/30/2024,1.039
10/31/2024,0.942
9/30/2024,0.853
8/31/2024,0.889
7/31/2024,1.05
6/30/2024,1.049
5/31/2024,1.064
4/30/2024,0.874
3/31/2024,0.722
2/29/2024,0.703
1/31/2024,0.726
12/31/2023,0.608
11/30/2023,0.666
10/31/2023,0.941
9/30/2023,0.759
8/31/2023,0.645
7/31/2023,0.599
6/30/2023,0.394
5/31/2023,0.43
4/30/2023,0.385
3/31/2023,0.328
2/28/2023,0.5
1/31/2023,0.488
12/31/2022,0.413
11/30/2022,0.249
10/31/2022,0.241
9/30/2022,0.238
8/31/2022,0.22
7/31/2022,0.178
6/30/2022,0.225
5/31/2022,0.235
4/30/2022,0.221
3/31/2022,0.21
2/28/2022,0.187
1/31/2022,0.174
12/31/2021,0.065
11/30/2021,0.053
10/31/2021,0.094
9/30/2021,0.066
8/31/2021,0.02
7/31/2021,0.016
6/30/2021,0.052
5/31/2021,0.078
4/30/2021,0.091
3/31/2021,0.089
2/28/2021,0.156
1/31/2021,0.049
12/31/2020,0.017
11/30/2020,0.027
10/31/2020,0.037
9/30/2020,0.011
8/31/2020,0.047
7/31/2020,0.014
6/30/2020,0.02
5/31/2020,-0.003
4/30/2020,-0.038
3/31/2020,0.012
2/29/2020,-0.159
1/31/2020,-0.072
12/31/2019,-0.02
11/30/2019,-0.082
10/31/2019,-0.143
9/30/2019,-0.22
8/31/2019,-0.276
7/31/2019,-0.159
6/30/2019,-0.164
5/31/2019,-0.1
4/30/2019,-0.048
3/31/2019,-0.091
2/28/2019,-0.028
1/31/2019,-0.002
12/31/2018,-0.005
11/30/2018,0.087
10/31/2018,0.122
9/30/2018,0.124
8/31/2018,0.101
7/31/2018,0.057
6/30/2018,0.029
5/31/2018,0.032
4/30/2018,0.05
3/31/2018,0.044
2/28/2018,0.048
1/31/2018,0.08
12/31/2017,0.043
11/30/2017,0.034
10/31/2017,0.064
9/30/2017,0.06
8/31/2017,0.004
7/31/2017,0.075
6/30/2017,0.079
5/31/2017,0.041
4/30/2017,0.01
3/31/2017,0.065
2/28/2017,0.048
1/31/2017,0.08
12/31/2016,0.041
11/30/2016,0.019
10/31/2016,-0.053
9/30/2016,-0.094
8/31/2016,-0.071
7/31/2016,-0.195
6/30/2016,-0.222
5/31/2016,-0.12
4/30/2016,-0.083
3/31/2016,-0.035
2/29/2016,-0.065
1/31/2016,0.095
12/31/2015,0.26
11/30/2015,0.302
10/31/2015,0.304
9/30/2015,0.351
8/31/2015,0.375
7/31/2015,0.405
6/30/2015,0.459
5/31/2015,0.389
4/30/2015,0.336
3/31/2015,0.396
2/28/2015,0.329
1/31/2015,0.272
12/31/2014,0.322
11/30/2014,0.416
10/31/2014,0.453
9/30/2014,0.526
8/31/2014,0.491
7/31/2014,0.533
6/30/2014,0.561
5/31/2014,0.573
4/30/2014,0.622
3/31/2014,0.637
2/28/2014,0.581
1/31/2014,0.617
12/31/2013,0.736
11/30/2013,0.6
10/31/2013,0.59
9/30/2013,0.681
8/31/2013,0.715
7/31/2013,0.797
6/30/2013,0.848
5/31/2013,0.852
4/30/2013,0.604
3/31/2013,0.546
2/28/2013,0.658
1/31/2013,0.749
12/31/2012,0.786
11/30/2012,0.71
10/31/2012,0.77
9/30/2012,0.772
8/31/2012,0.792
7/31/2012,0.789
6/30/2012,0.832
5/31/2012,0.819
4/30/2012,0.892
3/31/2012,0.984
2/29/2012,0.958
1/31/2012,0.962
12/31/2011,0.983
11/30/2011,1.067
10/31/2011,1.041
9/30/2011,1.027
8/31/2011,1.029
7/31/2011,1.077
6/30/2011,1.135
5/31/2011,1.158
4/30/2011,1.21
3/31/2011,1.26
2/28/2011,1.264
1/31/2011,1.219
12/31/2010,1.128
11/30/2010,1.194
10/31/2010,0.939
9/30/2010,0.94
8/31/2010,0.971
7/31/2010,1.074
6/30/2010,1.091
5/31/2010,1.265
4/30/2010,1.29
3/31/2010,1.4
2/28/2010,1.305
1/31/2010,1.325
12/31/2009,1.295
11/30/2009,1.266
10/31/2009,1.415
9/30/2009,1.301
8/31/2009,1.31
7/31/2009,1.419
6/30/2009,1.359
5/31/2009,1.49
