Date,Price Open,Last Price
4/3/89,#N/A N/A,4.989
4/4/89,#N/A N/A,4.989
4/5/89,#N/A N/A,4.989
4/6/89,#N/A N/A,4.978
4/7/89,#N/A N/A,4.928
4/10/89,#N/A N/A,4.928
4/11/89,#N/A N/A,4.938
4/12/89,#N/A N/A,4.928
4/13/89,#N/A N/A,4.928
4/14/89,#N/A N/A,4.948
4/17/89,#N/A N/A,4.948
4/18/89,#N/A N/A,4.948
4/19/89,#N/A N/A,4.908
4/20/89,#N/A N/A,4.908
4/21/89,#N/A N/A,4.958
4/24/89,#N/A N/A,4.958
4/25/89,#N/A N/A,4.958
4/26/89,#N/A N/A,4.958
4/27/89,#N/A N/A,4.96
4/28/89,#N/A N/A,4.96
5/1/89,#N/A N/A,4.978
5/2/89,#N/A N/A,5.028
5/3/89,#N/A N/A,5.028
5/4/89,#N/A N/A,5.028
5/5/89,#N/A N/A,5.028
5/8/89,#N/A N/A,5.031
5/9/89,#N/A N/A,5.031
5/10/89,#N/A N/A,5.022
5/11/89,#N/A N/A,4.998
5/12/89,#N/A N/A,5.022
5/15/89,#N/A N/A,5.05
5/16/89,#N/A N/A,5.031
5/17/89,#N/A N/A,5.031
5/18/89,#N/A N/A,5.031
5/19/89,#N/A N/A,5.05
5/22/89,#N/A N/A,5.022
5/23/89,#N/A N/A,5.06
5/24/89,#N/A N/A,5.07
5/25/89,#N/A N/A,5.07
5/26/89,#N/A N/A,5.07
5/29/89,#N/A N/A,5.08
5/30/89,#N/A N/A,5.08
5/31/89,#N/A N/A,5.152
6/1/89,#N/A N/A,5.08
6/2/89,#N/A N/A,5.109
6/5/89,#N/A N/A,5.128
6/6/89,#N/A N/A,5.109
6/7/89,#N/A N/A,5.128
6/8/89,#N/A N/A,5.128
6/9/89,#N/A N/A,5.124
6/12/89,#N/A N/A,5.124
6/13/89,#N/A N/A,5.163
6/14/89,#N/A N/A,5.192
6/15/89,#N/A N/A,5.216
6/16/89,#N/A N/A,5.281
6/19/89,#N/A N/A,5.34
6/20/89,#N/A N/A,5.345
6/21/89,#N/A N/A,5.365
6/22/89,#N/A N/A,5.326
6/23/89,#N/A N/A,5.296
6/26/89,#N/A N/A,5.306
6/27/89,#N/A N/A,5.311
6/28/89,#N/A N/A,5.351
6/29/89,#N/A N/A,5.351
6/30/89,#N/A N/A,5.387
7/3/89,#N/A N/A,5.357
7/4/89,#N/A N/A,5.337
7/5/89,#N/A N/A,5.307
7/6/89,#N/A N/A,5.297
7/7/89,#N/A N/A,5.277
7/10/89,#N/A N/A,5.058
7/11/89,#N/A N/A,5.058
7/12/89,#N/A N/A,5.063
7/13/89,#N/A N/A,5.058
7/14/89,#N/A N/A,5.058
7/17/89,#N/A N/A,5.058
7/18/89,#N/A N/A,5.097
7/19/89,#N/A N/A,5.077
7/20/89,#N/A N/A,5.082
7/21/89,#N/A N/A,5.078
7/24/89,#N/A N/A,5.059
7/25/89,#N/A N/A,5.039
7/26/89,#N/A N/A,5.03
7/27/89,#N/A N/A,5.03
7/28/89,#N/A N/A,5.001
7/31/89,#N/A N/A,4.972
8/1/89,#N/A N/A,4.76
8/2/89,#N/A N/A,4.751
8/3/89,#N/A N/A,4.756
8/4/89,#N/A N/A,4.788
8/7/89,#N/A N/A,4.802
8/8/89,#N/A N/A,4.788
8/9/89,#N/A N/A,4.797
8/10/89,#N/A N/A,4.802
8/11/89,#N/A N/A,4.816
8/14/89,#N/A N/A,4.83
8/15/89,#N/A N/A,4.83
8/16/89,#N/A N/A,4.816
8/17/89,#N/A N/A,4.83
8/18/89,#N/A N/A,4.84
8/21/89,#N/A N/A,4.821
8/22/89,#N/A N/A,4.835
8/23/89,#N/A N/A,4.845
