Date,Price Open,Last Price
12/6/88,137.34,137.34
12/7/88,141.3,141.3
12/8/88,143.99,143.99
12/9/88,143.09,143.09
12/12/88,139.2,139.2
12/15/88,135.44,135.44
12/16/88,133.19,133.19
12/19/88,138.35,138.35
12/20/88,139.75,139.75
12/21/88,139.35,139.35
12/22/88,140.34,140.34
12/23/88,143.55,143.55
12/27/88,142.39,142.39
12/28/88,141.14,141.14
12/29/88,141.45,141.45
12/30/88,139.75,139.75
1/3/89,140.95,140.95
1/4/89,146.85,146.85
1/5/89,145.25,145.25
1/6/89,140.25,140.25
1/9/89,139.05,139.05
1/10/89,139.35,139.35
1/11/89,139.5,139.05
1/12/89,142.39,142.39
1/13/89,147.09,147.09
1/16/89,152.55,152.55
1/17/89,153.29,153.29
1/18/89,151.35,151.35
1/19/89,151.24,151.24
1/20/89,151.9,151.9
1/23/89,153.8,153.8
1/24/89,152.29,151.79
1/25/89,148.84,148.84
1/26/89,147.39,147.39
1/27/89,150.5,150.5
1/30/89,145.69,145.69
1/31/89,146.15,146.15
2/1/89,139.29,139.29
2/2/89,137.6,137.6
2/3/89,135.09,135.09
2/6/89,132.89,132.89
2/7/89,134,134
2/8/89,136.49,136.49
2/9/89,136.25,136.25
2/10/89,133.19,133.19
2/13/89,128.49,128.49
2/14/89,126.2,126.2
2/15/89,127.25,127.75
2/16/89,129.6,129.6
2/17/89,128.6,128.6
2/21/89,136.99,136.99
2/22/89,140.69,140.69
2/23/89,140.79,140.79
2/24/89,138.3,138.3
2/27/89,138.7,138.59
2/28/89,138.89,138.89
3/1/89,147.44,147.44
3/2/89,149.14,149.14
3/3/89,154.74,154.74
3/6/89,151.64,151.64
3/7/89,152,152
3/8/89,152.84,148.95
3/9/89,147,147
3/13/89,144.2,144.2
3/14/89,144.49,145.6
3/15/89,143.24,143.24
3/16/89,140.69,140.69
3/17/89,143.2,143.2
3/20/89,140.05,140.05
3/21/89,140.99,140.99
3/22/89,141.95,141.95
3/23/89,141.1,141.1
3/27/89,143.79,143.79
3/28/89,143.7,143.7
3/29/89,139.75,139.75
3/30/89,134.39,134.39
3/31/89,134.59,134.59
4/3/89,128.89,128.89
4/4/89,130.2,130.2
4/5/89,131.09,131.09
4/6/89,131.9,131.9
4/7/89,134.79,134.79
4/10/89,142.35,142.35
4/11/89,142,142
4/12/89,144.2,144.2
4/13/89,143,143
4/14/89,146.54,146.54
4/17/89,143.85,143.85
4/18/89,142.89,142.89
4/19/89,140.9,140.9
4/20/89,140.79,140.79
4/21/89,140.84,140.84
