date,price
8/29/2025,1307
7/31/2025,1429
6/30/2025,1382
5/31/2025,1282
4/30/2025,1398
3/31/2025,1355
2/28/2025,1490
1/31/2025,1358
12/31/2024,1514
11/30/2024,1295
10/31/2024,1352
9/30/2024,1357
8/31/2024,1391
7/31/2024,1265
6/30/2024,1327
5/31/2024,1316
4/30/2024,1385
3/31/2024,1312
2/29/2024,1552
1/31/2024,1381
12/31/2023,1521
11/30/2023,1514
10/31/2023,1368
9/30/2023,1371
8/31/2023,1317
7/31/2023,1460
6/30/2023,1421
5/31/2023,1584
4/30/2023,1354
3/31/2023,1377
2/28/2023,1399
1/31/2023,1361
12/31/2022,1308
11/30/2022,1424
10/31/2022,1435
9/30/2022,1488
8/31/2022,1531
7/31/2022,1381
6/30/2022,1551
5/31/2022,1531
4/30/2022,1820
3/31/2022,1712
2/28/2022,1735
1/31/2022,1702
12/31/2021,1722
11/30/2021,1705
10/31/2021,1579
9/30/2021,1577
8/31/2021,1594
7/31/2021,1597
6/30/2021,1650
5/31/2021,1589
4/30/2021,1495
3/31/2021,1696
2/28/2021,1404
1/31/2021,1630
12/31/2020,1614
11/30/2020,1543
10/31/2020,1543
9/30/2020,1473
8/31/2020,1396
7/31/2020,1526
6/30/2020,1266
5/31/2020,1039
4/30/2020,936
3/31/2020,1266
2/29/2020,1549
1/31/2020,1581
12/31/2019,1548
11/30/2019,1353
10/31/2019,1325
9/30/2019,1311
8/31/2019,1375
7/31/2019,1240
6/30/2019,1243
5/31/2019,1293
4/30/2019,1272
3/31/2019,1191
2/28/2019,1121
1/31/2019,1226
12/31/2018,1095
11/30/2018,1181
10/31/2018,1221
9/30/2018,1250
8/31/2018,1288
7/31/2018,1208
6/30/2018,1192
5/31/2018,1357
4/30/2018,1276
3/31/2018,1318
2/28/2018,1277
1/31/2018,1299
12/31/2017,1177
11/30/2017,1273
10/31/2017,1257
9/30/2017,1181
8/31/2017,1159
7/31/2017,1206
6/30/2017,1249
5/31/2017,1157
4/30/2017,1146
3/31/2017,1190
2/28/2017,1271
1/31/2017,1190
12/31/2016,1252
11/30/2016,1140
10/31/2016,1313
9/30/2016,1068
8/31/2016,1171
7/31/2016,1239
6/30/2016,1203
5/31/2016,1148
4/30/2016,1163
3/31/2016,1111
2/29/2016,1225
1/31/2016,1092
12/31/2015,1146
11/30/2015,1172
10/31/2015,1058
9/30/2015,1224
8/31/2015,1130
7/31/2015,1146
6/30/2015,1205
5/31/2015,1079
4/30/2015,1190
3/31/2015,960
2/28/2015,886
1/31/2015,1085
12/31/2014,1073
11/30/2014,1001
10/31/2014,1074
9/30/2014,1023
8/31/2014,984
7/31/2014,1085
6/30/2014,911
5/31/2014,1007
4/30/2014,1043
3/31/2014,970
2/28/2014,944
1/31/2014,888
12/31/2013,1002
11/30/2013,1100
10/31/2013,925
9/30/2013,850
8/31/2013,917
7/31/2013,880
6/30/2013,839
5/31/2013,930
4/30/2013,835
3/31/2013,1010
2/28/2013,962
1/31/2013,888
12/31/2012,976
11/30/2012,833
10/31/2012,915
9/30/2012,847
8/31/2012,754
7/31/2012,740
6/30/2012,757
5/31/2012,708
4/30/2012,753
3/31/2012,695
2/29/2012,704
1/31/2012,723
12/31/2011,694
11/30/2011,711
10/31/2011,610
9/30/2011,650
8/31/2011,585
7/31/2011,623
6/30/2011,608
5/31/2011,561
4/30/2011,554
3/31/2011,600
2/28/2011,517
1/31/2011,630
12/31/2010,539
11/30/2010,545
10/31/2010,543
9/30/2010,594
8/31/2010,599
7/31/2010,546
6/30/2010,536
5/31/2010,583
4/30/2010,687
3/31/2010,636
2/28/2010,604
1/31/2010,614
12/31/2009,581
11/30/2009,588
10/31/2009,534
9/30/2009,585
8/31/2009,586
7/31/2009,594
6/30/2009,585
5/31/2009,540
4/30/2009,478
3/31/2009,505
2/28/2009,582
1/31/2009,490
12/31/2008,560
11/30/2008,652
10/31/2008,777
9/30/2008,820
8/31/2008,844
7/31/2008,923
6/30/2008,1046
5/31/2008,973
4/30/2008,1013
3/31/2008,1005
2/29/2008,1103
1/31/2008,1084
12/31/2007,1037
11/30/2007,1197
10/31/2007,1264
9/30/2007,1183
8/31/2007,1330
7/31/2007,1354
6/30/2007,1448
5/31/2007,1415
4/30/2007,1490
3/31/2007,1495
2/28/2007,1480
1/31/2007,1409
12/31/2006,1649
11/30/2006,1570
10/31/2006,1491
9/30/2006,1720
8/31/2006,1650
7/31/2006,1737
6/30/2006,1802
5/31/2006,1942
4/30/2006,1821
3/31/2006,1969
2/28/2006,2119
1/31/2006,2273
12/31/2005,1994
11/30/2005,2147
10/31/2005,2065
9/30/2005,2151
8/31/2005,2095
7/31/2005,2054
6/30/2005,2068
5/31/2005,2025
4/30/2005,2061
3/31/2005,1864
2/28/2005,2207
1/31/2005,2144
12/31/2004,2042
11/30/2004,1782
10/31/2004,2072
9/30/2004,1905
8/31/2004,2024
7/31/2004,2002
6/30/2004,1828
5/31/2004,1981
4/30/2004,2003
3/31/2004,1998
2/29/2004,1846
1/31/2004,1911
12/31/2003,2057
11/30/2003,2083
10/31/2003,1967
9/30/2003,1939
8/31/2003,1833
7/31/2003,1897
6/30/2003,1867
5/31/2003,1751
4/30/2003,1643
3/31/2003,1726
2/28/2003,1629
1/31/2003,1853
12/31/2002,1788
11/30/2002,1753
10/31/2002,1648
9/30/2002,1804
8/31/2002,1633
7/31/2002,1655
6/30/2002,1717
5/31/2002,1764
4/30/2002,1592
3/31/2002,1642
2/28/2002,1829
1/31/2002,1698
12/31/2001,1568
11/30/2001,1602
10/31/2001,1540
9/30/2001,1562
8/31/2001,1567
7/31/2001,1670
6/30/2001,1636
5/31/2001,1605
4/30/2001,1649
3/31/2001,1590
2/28/2001,1625
1/31/2001,1600
12/31/2000,1532
11/30/2000,1551
10/31/2000,1549
9/30/2000,1507
8/31/2000,1541
7/31/2000,1463
6/30/2000,1559
5/31/2000,1575
4/30/2000,1626
3/31/2000,1604
2/29/2000,1737
1/31/2000,1636
12/31/1999,1708
11/30/1999,1648
10/31/1999,1608
9/30/1999,1635
8/31/1999,1648
7/31/1999,1669
6/30/1999,1559
5/31/1999,1611
4/30/1999,1553
3/31/1999,1710
2/28/1999,1670
1/31/1999,1748
12/31/1998,1792
11/30/1998,1660
10/31/1998,1715
9/30/1998,1582
8/31/1998,1614
7/31/1998,1698
6/30/1998,1641
5/31/1998,1536
4/30/1998,1540
3/31/1998,1567
2/28/1998,1584
1/31/1998,1525
12/31/1997,1566
11/30/1997,1510
10/31/1997,1520
9/30/1997,1546
8/31/1997,1390
7/31/1997,1437
6/30/1997,1494
5/31/1997,1442
4/30/1997,1492
3/31/1997,1457
2/28/1997,1486
1/31/1997,1355
12/31/1996,1370
11/30/1996,1489
10/31/1996,1392
9/30/1996,1475
8/31/1996,1557
7/31/1996,1472
6/30/1996,1467
5/31/1996,1504
4/30/1996,1516
3/31/1996,1424
2/29/1996,1491
1/31/1996,1467
12/31/1995,1431
11/30/1995,1452
10/31/1995,1369
9/30/1995,1369
8/31/1995,1416
7/31/1995,1461
6/30/1995,1281
5/31/1995,1314
4/30/1995,1267
3/31/1995,1249
2/28/1995,1316
1/31/1995,1407
12/31/1994,1455
11/30/1994,1511
10/31/1994,1450
9/30/1994,1474
8/31/1994,1450
7/31/1994,1439
6/30/1994,1409
5/31/1994,1526
4/30/1994,1465
3/31/1994,1564
2/28/1994,1337
1/31/1994,1272
12/31/1993,1533
11/30/1993,1376
10/31/1993,1392
9/30/1993,1343
8/31/1993,1300
7/31/1993,1254
6/30/1993,1280
5/31/1993,1260
4/30/1993,1258
3/31/1993,1083
2/28/1993,1210
1/31/1993,1210
12/31/1992,1227
11/30/1992,1214
10/31/1992,1244
9/30/1992,1186
8/31/1992,1226
7/31/1992,1139
6/30/1992,1145
5/31/1992,1214
4/30/1992,1099
3/31/1992,1297
2/29/1992,1250
1/31/1992,1176
12/31/1991,1079
11/30/1991,1103
10/31/1991,1079
9/30/1991,1015
8/31/1991,1049
7/31/1991,1063
6/30/1991,1036
5/31/1991,996
4/30/1991,1001
3/31/1991,921
2/28/1991,965
1/31/1991,798
12/31/1990,969
11/30/1990,1145
10/31/1990,1014
9/30/1990,1110
8/31/1990,
7/31/1990,
6/30/1990,
5/31/1990,
4/30/1990,
3/31/1990,
2/28/1990,
1/31/1990,
