Date,Price Open,Last Price
9/15/25,7.44,7.49
9/12/25,7.56,7.44
9/11/25,7.64,7.56
9/10/25,7.76,7.64
9/9/25,7.73,7.76
9/8/25,7.76,7.73
9/5/25,7.8,7.76
9/4/25,7.85,7.8
9/3/25,7.81,7.85
9/2/25,7.72,7.81
9/1/25,7.73,7.72
8/29/25,7.79,7.73
8/28/25,7.67,7.79
8/27/25,7.65,7.67
8/26/25,7.59,7.65
8/25/25,7.6,7.59
8/22/25,7.58,7.6
8/21/25,7.65,7.58
8/20/25,7.45,7.65
8/19/25,7.57,7.45
8/18/25,7.64,7.57
8/15/25,7.73,7.64
8/14/25,7.77,7.73
8/13/25,7.72,7.77
8/12/25,7.76,7.72
8/11/25,7.91,7.76
8/8/25,8.04,7.91
8/7/25,7.99,8.04
8/6/25,8.04,7.99
8/5/25,8.13,8.04
8/4/25,7.98,8.13
8/1/25,7.77,7.98
7/31/25,7.78,7.77
7/30/25,7.95,7.78
7/29/25,7.96,7.95
7/28/25,8.01,7.96
7/25/25,8.01,8.01
7/24/25,8.14,8.01
7/23/25,8.13,8.14
7/22/25,8.12,8.13
7/21/25,8.26,8.12
7/18/25,8.3,8.26
7/17/25,8.31,8.3
7/16/25,8.4,8.31
7/15/25,8.31,8.4
7/14/25,8.18,8.31
7/11/25,8.14,8.18
7/10/25,8.27,8.14
7/9/25,8.41,8.27
7/8/25,8.37,8.41
7/7/25,8.28,8.37
7/4/25,8.38,8.28
7/3/25,8.63,8.38
7/2/25,8.7,8.63
7/1/25,8.5,8.7
6/30/25,8.5,8.5
6/27/25,8.61,8.5
6/26/25,8.41,8.61
6/25/25,8.5,8.41
6/24/25,8.57,8.5
6/23/25,8.4,8.57
6/20/25,8.64,8.4
6/19/25,8.62,8.64
6/18/25,8.48,8.62
6/17/25,8.56,8.48
6/16/25,8.6,8.56
6/13/25,8.45,8.6
6/12/25,8.14,8.45
6/11/25,8.38,8.14
6/10/25,8.42,8.38
6/9/25,8.52,8.42
6/6/25,8.75,8.52
6/5/25,8.76,8.75
6/4/25,8.8,8.76
6/3/25,8.91,8.8
6/2/25,8.77,8.91
5/30/25,8.72,8.77
5/29/25,8.74,8.72
5/28/25,8.91,8.74
5/27/25,9.22,8.91
5/26/25,9.13,9.22
5/23/25,8.89,9.13
5/22/25,8.84,8.89
5/21/25,8.58,8.84
5/20/25,8.68,8.58
5/19/25,8.56,8.68
5/16/25,8.57,8.56
5/15/25,8.58,8.57
5/14/25,8.17,8.58
5/13/25,8.58,8.17
5/12/25,9.21,8.58
5/9/25,9.34,9.21
5/8/25,9.78,9.34
5/7/25,9.85,9.78
5/6/25,9.91,9.85
5/5/25,9.64,9.91
5/2/25,9.35,9.64
5/1/25,9.56,9.35
4/30/25,9.62,9.56
4/29/25,9.37,9.62
4/28/25,9.38,9.37
4/25/25,9.49,9.38
4/24/25,9.58,9.49
4/23/25,9.98,9.58
4/22/25,10.17,9.98
4/21/25,9.67,10.17
4/18/25,9.65,9.67
4/17/25,9.94,9.65
4/16/25,9.74,9.94
4/15/25,9.84,9.74
4/14/25,10.96,9.84
4/11/25,9.79,10.96
4/10/25,10.44,9.79
4/9/25,9.71,10.44
4/8/25,10.07,9.71
4/7/25,9.97,10.07
4/4/25,9.11,9.97
4/3/25,8.42,9.11
4/2/25,8.47,8.42
4/1/25,8.46,8.47
3/31/25,8.26,8.46
3/28/25,8.12,8.26
3/27/25,8.04,8.12
3/26/25,8.15,8.04
3/25/25,8.25,8.15
3/24/25,8.26,8.25
3/21/25,8.22,8.26
3/20/25,8.21,8.22
