Date,Price Open,Last Price
9/12/25,#N/A N/A,373.4908
9/11/25,#N/A N/A,374.0015
9/10/25,#N/A N/A,373.4416
9/9/25,#N/A N/A,372.9881
9/8/25,#N/A N/A,373.5667
9/5/25,#N/A N/A,372.6869
9/4/25,#N/A N/A,371.1894
9/3/25,#N/A N/A,370.5406
9/2/25,#N/A N/A,369.6822
9/1/25,#N/A N/A,370.4554
8/29/25,#N/A N/A,370.4554
8/28/25,#N/A N/A,370.8607
8/27/25,#N/A N/A,370.5433
8/26/25,#N/A N/A,369.9023
8/25/25,#N/A N/A,368.991
8/22/25,#N/A N/A,369.3554
8/21/25,#N/A N/A,367.0349
8/20/25,#N/A N/A,367.0848
8/19/25,#N/A N/A,366.6059
8/18/25,#N/A N/A,366.2979
8/15/25,#N/A N/A,366.5002
8/14/25,#N/A N/A,367.4479
8/13/25,#N/A N/A,368.2623
8/12/25,#N/A N/A,367.0841
8/11/25,#N/A N/A,367.6872
8/8/25,#N/A N/A,367.4509
8/7/25,#N/A N/A,367.7542
8/6/25,#N/A N/A,367.4319
8/5/25,#N/A N/A,367.8809
8/4/25,#N/A N/A,368.1096
8/1/25,#N/A N/A,367.0464
7/31/25,#N/A N/A,364.8436
7/30/25,#N/A N/A,365.3769
7/29/25,#N/A N/A,366.4486
7/28/25,#N/A N/A,364.649
7/25/25,#N/A N/A,364.954
7/24/25,#N/A N/A,364.8545
7/23/25,#N/A N/A,364.3404
7/22/25,#N/A N/A,365.8325
7/21/25,#N/A N/A,365.4547
7/18/25,#N/A N/A,364.4808
7/17/25,#N/A N/A,364.2131
7/16/25,#N/A N/A,363.8545
7/15/25,#N/A N/A,362.6587
7/14/25,#N/A N/A,363.5537
7/11/25,#N/A N/A,363.3035
7/10/25,#N/A N/A,363.9852
7/9/25,#N/A N/A,363.9148
7/8/25,#N/A N/A,362.7745
7/7/25,#N/A N/A,363.0794
7/4/25,#N/A N/A,363.3016
7/3/25,#N/A N/A,363.3016
7/2/25,#N/A N/A,364.0335
7/1/25,#N/A N/A,364.3246
6/30/25,#N/A N/A,364.3984
6/27/25,#N/A N/A,363.4475
6/26/25,#N/A N/A,363.9974
6/25/25,#N/A N/A,362.9849
6/24/25,#N/A N/A,362.6221
6/23/25,#N/A N/A,362.1491
6/20/25,#N/A N/A,361.8562
6/19/25,#N/A N/A,361.1924
6/18/25,#N/A N/A,361.1924
6/17/25,#N/A N/A,360.9519
6/16/25,#N/A N/A,359.131
6/13/25,#N/A N/A,359.587
6/12/25,#N/A N/A,360.2005
6/11/25,#N/A N/A,359.2596
6/10/25,#N/A N/A,358.6302
6/9/25,#N/A N/A,358.4115
