Date,Price Open,Last Price
7/29/83,#N/A N/A,98.21
8/31/83,#N/A N/A,99.41
9/30/83,#N/A N/A,101.94
10/31/83,#N/A N/A,102.91
11/30/83,#N/A N/A,103.62
12/30/83,#N/A N/A,102.92
1/31/84,#N/A N/A,106.56
2/28/84,#N/A N/A,105.64
2/29/84,#N/A N/A,105.64
3/30/84,#N/A N/A,104.66
4/30/84,#N/A N/A,103.31
5/31/84,#N/A N/A,99.37
6/29/84,#N/A N/A,100.93
7/31/84,#N/A N/A,103.3
8/31/84,#N/A N/A,105.95
9/28/84,#N/A N/A,108.41
10/31/84,#N/A N/A,111.98
11/30/84,#N/A N/A,113
12/31/84,#N/A N/A,112.9
1/31/85,#N/A N/A,117.19
2/28/85,#N/A N/A,118.67
3/29/85,#N/A N/A,119.18
4/30/85,#N/A N/A,121.36
5/31/85,#N/A N/A,126.5
6/28/85,#N/A N/A,128.1
7/31/85,#N/A N/A,129.18
8/30/85,#N/A N/A,131.78
9/30/85,#N/A N/A,133.04
10/31/85,#N/A N/A,133.39
11/29/85,#N/A N/A,136.71
12/31/85,#N/A N/A,141.85
1/31/86,#N/A N/A,143.72
2/28/86,#N/A N/A,149.25
3/31/86,#N/A N/A,154.99
4/30/86,#N/A N/A,157.45
5/30/86,#N/A N/A,159.18
6/30/86,#N/A N/A,160.95
7/31/86,#N/A N/A,159.34
8/29/86,#N/A N/A,161.79
9/30/86,#N/A N/A,163.73
10/31/86,#N/A N/A,167.53
11/28/86,#N/A N/A,167.08
12/31/86,#N/A N/A,166.6
1/30/87,#N/A N/A,173.49
2/27/87,#N/A N/A,177.17
3/31/87,#N/A N/A,178.39
4/30/87,#N/A N/A,172.19
5/29/87,#N/A N/A,173.43
6/30/87,#N/A N/A,175.65
7/31/87,#N/A N/A,176.12
8/31/87,#N/A N/A,177.21
9/30/87,#N/A N/A,171.63
10/30/87,#N/A N/A,166.02
11/30/87,#N/A N/A,170.8
12/31/87,#N/A N/A,174.91
1/29/88,#N/A N/A,180.76
2/29/88,#N/A N/A,186.61
3/31/88,#N/A N/A,184.67
4/29/88,#N/A N/A,186.08
5/31/88,#N/A N/A,186.36
6/30/88,#N/A N/A,189.08
7/29/88,#N/A N/A,190.32
8/31/88,#N/A N/A,190.04
9/30/88,#N/A N/A,192.43
10/31/88,#N/A N/A,194.76
11/30/88,#N/A N/A,195.91
12/30/88,#N/A N/A,196.83
1/31/89,#N/A N/A,200.3
2/28/89,#N/A N/A,200.74
3/31/89,#N/A N/A,199.17
4/28/89,#N/A N/A,200.01
5/31/89,#N/A N/A,203.89
6/30/89,#N/A N/A,206.42
7/31/89,#N/A N/A,206.15
8/31/89,#N/A N/A,206.85
9/29/89,#N/A N/A,203.37
10/31/89,#N/A N/A,198.55
11/30/89,#N/A N/A,198.16
12/29/89,#N/A N/A,198.47
1/31/90,#N/A N/A,194.21
2/28/90,#N/A N/A,190.2
3/30/90,#N/A N/A,195.19
4/30/90,#N/A N/A,194.86
5/31/90,#N/A N/A,198.62
6/29/90,#N/A N/A,203.42
7/31/90,#N/A N/A,208.9
8/31/90,#N/A N/A,197.01
9/28/90,#N/A N/A,182.63
10/31/90,#N/A N/A,173.04
11/30/90,#N/A N/A,178.44
12/31/90,#N/A N/A,179.44
1/31/91,#N/A N/A,184.37
2/28/91,#N/A N/A,204.54
3/28/91,#N/A N/A,216.59
3/29/91,#N/A N/A,216.59
4/30/91,#N/A N/A,225.47
5/31/91,#N/A N/A,225.88
6/28/91,#N/A N/A,232.56
7/31/91,#N/A N/A,240
8/30/91,#N/A N/A,245.52
9/30/91,#N/A N/A,248.94
10/31/91,#N/A N/A,257.25
