date,price
8/29/2025,"3,463.74"
7/31/2025,"3,429.00"
6/30/2025,"3,426.76"
5/31/2025,"3,363.90"
4/30/2025,"3,364.28"
3/31/2025,"3,365.38"
2/28/2025,"3,375.11"
1/31/2025,"3,307.68"
12/31/2024,"3,289.50"
11/30/2024,"3,354.42"
10/31/2024,"3,310.14"
9/30/2024,"3,392.48"
8/31/2024,"3,333.38"
7/31/2024,"3,281.77"
6/30/2024,"3,205.37"
5/31/2024,"3,185.11"
4/30/2024,"3,126.55"
3/31/2024,"3,208.19"
2/29/2024,"3,167.24"
1/31/2024,"3,215.57"
12/31/2023,"3,221.05"
11/30/2023,"3,087.21"
10/31/2023,"2,913.06"
9/30/2023,"2,968.65"
8/31/2023,"3,050.07"
7/31/2023,"3,073.95"
6/30/2023,"3,063.39"
5/31/2023,"3,050.83"
4/30/2023,"3,095.67"
3/31/2023,"3,072.15"
2/28/2023,"2,988.93"
1/31/2023,"3,087.13"
12/31/2022,"2,968.20"
11/30/2022,"2,981.28"
10/31/2022,"2,834.50"
9/30/2022,"2,864.12"
8/31/2022,"3,022.99"
7/31/2022,"3,114.32"
6/30/2022,"3,016.66"
5/31/2022,"3,103.56"
4/30/2022,"3,074.85"
3/31/2022,"3,252.71"
2/28/2022,"3,336.85"
1/31/2022,"3,404.96"
12/31/2021,"3,523.57"
11/30/2021,"3,526.39"
10/31/2021,"3,524.22"
9/30/2021,"3,515.50"
8/31/2021,"3,552.90"
7/31/2021,"3,563.68"
6/30/2021,"3,515.56"
5/31/2021,"3,459.13"
4/30/2021,"3,432.76"
3/31/2021,"3,395.15"
2/28/2021,"3,454.43"
1/31/2021,"3,514.98"
12/31/2020,"3,560.67"
11/30/2020,"3,545.23"
10/31/2020,"3,449.14"
9/30/2020,"3,455.36"
8/31/2020,"3,465.28"
7/31/2020,"3,513.73"
6/30/2020,"3,403.10"
5/31/2020,"3,337.67"
4/30/2020,"3,286.26"
3/31/2020,"3,122.54"
2/29/2020,"3,360.66"
1/31/2020,"3,316.29"
12/31/2019,"3,240.30"
11/30/2019,"3,229.97"
10/31/2019,"3,221.86"
9/30/2019,"3,202.42"
8/31/2019,"3,223.39"
7/31/2019,"3,125.11"
6/30/2019,"3,107.73"
5/31/2019,"3,033.54"
4/30/2019,"2,990.68"
3/31/2019,"2,974.53"
2/28/2019,"2,901.84"
1/31/2019,"2,895.56"
12/31/2018,"2,829.02"
11/30/2018,"2,788.02"
10/31/2018,"2,792.67"
9/30/2018,"2,834.06"
8/31/2018,"2,844.20"
7/31/2018,"2,830.22"
6/30/2018,"2,806.89"
5/31/2018,"2,823.29"
4/30/2018,"2,808.25"
3/31/2018,"2,834.54"
2/28/2018,"2,827.38"
1/31/2018,"2,874.04"
12/31/2017,"2,901.78"
11/30/2017,"2,875.55"
10/31/2017,"2,879.74"
9/30/2017,"2,868.16"
8/31/2017,"2,873.15"
7/31/2017,"2,851.01"
6/30/2017,"2,830.31"
5/31/2017,"2,821.69"
4/30/2017,"2,789.61"
3/31/2017,"2,760.12"
2/28/2017,"2,766.55"
1/31/2017,"2,735.18"
12/31/2016,"2,726.78"
11/30/2016,"2,708.65"
10/31/2016,"2,783.32"
9/30/2016,"2,806.15"
8/31/2016,"2,813.12"
7/31/2016,"2,807.62"
6/30/2016,"2,767.19"
5/31/2016,"2,706.27"
4/30/2016,"2,708.36"
3/31/2016,"2,671.78"
2/29/2016,"2,599.67"
1/31/2016,"2,578.84"
