date,price
8/29/2025,"2,273.57"
7/31/2025,"2,237.55"
6/30/2025,"2,246.65"
5/31/2025,"2,207.41"
4/30/2025,"2,227.75"
3/31/2025,"2,221.38"
2/28/2025,"2,221.76"
1/31/2025,"2,166.52"
12/31/2024,"2,155.51"
11/30/2024,"2,191.61"
10/31/2024,"2,162.78"
9/30/2024,"2,225.79"
8/31/2024,"2,199.70"
7/31/2024,"2,164.77"
6/30/2024,"2,109.17"
5/31/2024,"2,084.78"
4/30/2024,"2,043.94"
3/31/2024,"2,107.71"
2/29/2024,"2,085.62"
1/31/2024,"2,120.11"
12/31/2023,"2,129.96"
11/30/2023,"2,041.96"
10/31/2023,"1,940.79"
9/30/2023,"1,981.73"
8/31/2023,"2,046.95"
7/31/2023,"2,063.93"
6/30/2023,"2,065.47"
5/31/2023,"2,074.32"
4/30/2023,"2,089.63"
3/31/2023,"2,078.87"
2/28/2023,"2,039.15"
1/31/2023,"2,094.45"
12/31/2022,"2,027.65"
11/30/2022,"2,036.63"
10/31/2022,"1,956.87"
9/30/2022,"1,985.15"
8/31/2022,"2,090.76"
7/31/2022,"2,164.78"
6/30/2022,"2,097.35"
5/31/2022,"2,131.48"
4/30/2022,"2,108.17"
3/31/2022,"2,184.86"
2/28/2022,"2,243.20"
1/31/2022,"2,265.10"
12/31/2021,"2,299.20"
11/30/2021,"2,301.27"
10/31/2021,"2,303.41"
9/30/2021,"2,307.80"
8/31/2021,"2,316.16"
7/31/2021,"2,319.95"
6/30/2021,"2,305.54"
5/31/2021,"2,306.50"
4/30/2021,"2,310.55"
3/31/2021,"2,297.87"
2/28/2021,"2,309.69"
1/31/2021,"2,325.22"
12/31/2020,"2,323.43"
11/30/2020,"2,318.44"
10/31/2020,"2,316.82"
9/30/2020,"2,317.75"
8/31/2020,"2,320.23"
7/31/2020,"2,319.32"
6/30/2020,"2,315.19"
5/31/2020,"2,317.31"
4/30/2020,"2,314.48"
3/31/2020,"2,299.88"
2/29/2020,"2,275.80"
1/31/2020,"2,252.45"
12/31/2019,"2,236.82"
11/30/2019,"2,230.64"
10/31/2019,"2,228.84"
9/30/2019,"2,221.00"
8/31/2019,"2,219.44"
7/31/2019,"2,199.79"
6/30/2019,"2,190.94"
5/31/2019,"2,175.29"
4/30/2019,"2,147.53"
3/31/2019,"2,148.80"
2/28/2019,"2,117.97"
1/31/2019,"2,119.90"
12/31/2018,"2,103.22"
11/30/2018,"2,065.76"
10/31/2018,"2,047.31"
9/30/2018,"2,060.30"
8/31/2018,"2,073.03"
7/31/2018,"2,060.55"
6/30/2018,"2,062.73"
5/31/2018,"2,061.73"
4/30/2018,"2,047.42"
3/31/2018,"2,057.76"
2/28/2018,"2,044.70"
1/31/2018,"2,058.20"
12/31/2017,"2,082.61"
11/30/2017,"2,075.83"
10/31/2017,"2,078.83"
9/30/2017,"2,079.48"
8/31/2017,"2,084.15"
7/31/2017,"2,069.03"
6/30/2017,"2,059.72"
5/31/2017,"2,068.03"
4/30/2017,"2,055.27"
3/31/2017,"2,041.95"
2/28/2017,"2,041.37"
1/31/2017,"2,031.65"
12/31/2016,"2,032.34"
11/30/2016,"2,032.37"
10/31/2016,"2,067.79"
9/30/2016,"2,073.24"
8/31/2016,"2,067.55"
7/31/2016,"2,065.17"
6/30/2016,"2,060.95"
5/31/2016,"2,044.34"
4/30/2016,"2,041.70"
3/31/2016,"2,038.40"
2/29/2016,"2,032.39"
1/31/2016,"2,024.83"
12/31/2015,"1,998.89"
11/30/2015,"1,999.54"
10/31/2015,"2,002.26"
9/30/2015,"2,000.94"
8/31/2015,"1,989.31"
7/31/2015,"1,987.63"
6/30/2015,"1,975.18"
5/31/2015,"1,990.36"
4/30/2015,"1,990.82"
3/31/2015,"1,989.99"
2/28/2015,"1,982.65"
1/31/2015,"1,985.88"
12/31/2014,"1,969.17"
11/30/2014,"1,966.13"
10/31/2014,"1,953.34"
9/30/2014,"1,934.61"
8/31/2014,"1,937.74"
7/31/2014,"1,919.76"
6/30/2014,"1,931.09"
5/31/2014,"1,926.04"
4/30/2014,"1,903.14"
3/31/2014,"1,885.71"
2/28/2014,"1,891.79"
1/31/2014,"1,885.30"
12/31/2013,"1,856.28"
11/30/2013,"1,865.08"
10/31/2013,"1,876.76"
9/30/2013,"1,864.06"
8/31/2013,"1,838.18"
7/31/2013,"1,843.45"
6/30/2013,"1,845.11"
5/31/2013,"1,863.03"
4/30/2013,"1,892.04"
3/31/2013,"1,882.03"
2/28/2013,"1,879.84"
1/31/2013,"1,873.49"
12/31/2012,"1,882.91"
11/30/2012,"1,880.34"
10/31/2012,"1,883.58"
9/30/2012,"1,886.74"
8/31/2012,"1,882.83"
7/31/2012,"1,880.72"
6/30/2012,"1,865.72"
5/31/2012,"1,863.56"
4/30/2012,"1,857.68"
3/31/2012,"1,845.71"
2/29/2012,"1,844.51"
1/31/2012,"1,842.81"
12/31/2011,"1,835.33"
11/30/2011,"1,822.55"
10/31/2011,"1,819.24"
9/30/2011,"1,819.29"
8/31/2011,"1,816.19"
7/31/2011,"1,793.85"
6/30/2011,"1,777.33"
5/31/2011,"1,775.67"
4/30/2011,"1,756.80"
3/31/2011,"1,737.73"
2/28/2011,"1,732.90"
1/31/2011,"1,728.56"
12/31/2010,"1,727.67"
11/30/2010,"1,737.22"
10/31/2010,"1,740.35"
9/30/2010,"1,723.47"
8/31/2010,"1,730.07"
7/31/2010,"1,727.41"
6/30/2010,"1,712.72"
5/31/2010,"1,693.71"
4/30/2010,"1,674.95"
3/31/2010,"1,664.92"
2/28/2010,"1,664.37"
1/31/2010,"1,661.42"
12/31/2009,"1,639.67"
11/30/2009,"1,663.08"
10/31/2009,"1,642.02"
9/30/2009,"1,630.37"
8/31/2009,"1,617.37"
7/31/2009,"1,606.64"
6/30/2009,"1,593.60"
