Date,Price Open,Last Price
9/30/2025,#N/A N/A,5629.16
9/29/2025,#N/A N/A,5593.36
9/26/2025,#N/A N/A,5569.03
9/25/2025,#N/A N/A,5534.96
9/24/2025,#N/A N/A,5568.32
9/23/2025,#N/A N/A,5592.66
9/22/2025,#N/A N/A,5597.9
9/19/2025,#N/A N/A,5593.07
9/18/2025,#N/A N/A,5559.61
9/17/2025,#N/A N/A,5546.38
9/16/2025,#N/A N/A,5562.35
9/15/2025,#N/A N/A,5595.02
9/12/2025,#N/A N/A,5566.7
9/11/2025,#N/A N/A,5567.01
9/10/2025,#N/A N/A,5554.53
9/9/2025,#N/A N/A,5464.94
9/8/2025,#N/A N/A,5439.45
9/5/2025,#N/A N/A,5388.25
9/4/2025,#N/A N/A,5379.04
9/3/2025,#N/A N/A,5335.96
9/2/2025,#N/A N/A,5332.54
9/1/2025,#N/A N/A,5374.52
8/29/2025,#N/A N/A,5372.99
8/28/2025,#N/A N/A,5406.83
8/27/2025,#N/A N/A,5371.39
8/26/2025,#N/A N/A,5394.8
8/25/2025,#N/A N/A,5381.24
8/22/2025,#N/A N/A,5413.64
8/21/2025,#N/A N/A,5379.19
8/20/2025,#N/A N/A,5397.78
8/19/2025,#N/A N/A,5379.5
8/18/2025,#N/A N/A,5418.27
8/15/2025,#N/A N/A,5422
8/14/2025,#N/A N/A,5423.28
8/13/2025,#N/A N/A,5421.37
8/12/2025,#N/A N/A,5415.83
8/11/2025,#N/A N/A,5383.75
8/8/2025,#N/A N/A,5387.9
8/7/2025,#N/A N/A,5365.21
8/6/2025,#N/A N/A,5374.67
8/5/2025,#N/A N/A,5317.18
8/4/2025,#N/A N/A,5319.07
8/1/2025,#N/A N/A,5249.85
7/31/2025,#N/A N/A,5279.5
7/30/2025,#N/A N/A,5301.22
7/29/2025,#N/A N/A,5285.48
7/28/2025,#N/A N/A,5289.68
7/25/2025,#N/A N/A,5324.78
7/24/2025,#N/A N/A,5321.24
7/23/2025,#N/A N/A,5304.58
7/22/2025,#N/A N/A,5255.86
7/21/2025,#N/A N/A,5290.1
7/18/2025,#N/A N/A,5283.19
7/17/2025,#N/A N/A,5279.88
7/16/2025,#N/A N/A,5246.45
7/15/2025,#N/A N/A,5237.04
7/14/2025,#N/A N/A,5279.83
7/11/2025,#N/A N/A,5234.28
7/10/2025,#N/A N/A,5263.66
7/9/2025,#N/A N/A,5289.13
7/8/2025,#N/A N/A,5250.16
7/7/2025,#N/A N/A,5293.6
7/4/2025,#N/A N/A,5285.42
7/3/2025,#N/A N/A,5285.99
7/2/2025,#N/A N/A,5239.59
7/1/2025,#N/A N/A,5260.66
6/30/2025,#N/A N/A,5321.71
6/27/2025,#N/A N/A,5266.38
6/26/2025,#N/A N/A,5257.11
6/25/2025,#N/A N/A,5205.04
6/24/2025,#N/A N/A,5233.75
6/23/2025,#N/A N/A,5160.55
6/20/2025,#N/A N/A,5124.1
6/19/2025,#N/A N/A,5115.5
6/18/2025,#N/A N/A,5136.78
6/17/2025,#N/A N/A,5138.16
6/16/2025,#N/A N/A,5176.27
6/13/2025,#N/A N/A,5134.9
6/12/2025,#N/A N/A,5177.12
6/11/2025,#N/A N/A,5158.12
6/10/2025,#N/A N/A,5135.61
6/9/2025,#N/A N/A,5159.03
6/6/2025,#N/A N/A,5185.49
6/5/2025,#N/A N/A,5183.55
6/4/2025,#N/A N/A,5191.88
6/3/2025,#N/A N/A,5185.94
6/2/2025,#N/A N/A,5180.47
5/30/2025,#N/A N/A,5134.62
5/29/2025,#N/A N/A,5108.93
5/28/2025,#N/A N/A,5093.79
5/27/2025,#N/A N/A,5111.48
5/26/2025,#N/A N/A,5034.62
5/23/2025,#N/A N/A,5023.48
5/22/2025,#N/A N/A,5030.85
5/21/2025,#N/A N/A,5046.66
5/20/2025,#N/A N/A,5107.27
5/19/2025,#N/A N/A,5115.15
5/16/2025,#N/A N/A,5096.8
5/15/2025,#N/A N/A,5066.79
5/14/2025,#N/A N/A,5046.6
5/13/2025,#N/A N/A,5042.36
5/12/2025,#N/A N/A,4981.06
5/9/2025,#N/A N/A,4883.99
5/8/2025,#N/A N/A,4890.27
5/7/2025,#N/A N/A,4880.86
5/6/2025,#N/A N/A,4850.27
5/5/2025,#N/A N/A,4879.97
5/2/2025,#N/A N/A,4901.61
5/1/2025,#N/A N/A,4804.62
4/30/2025,#N/A N/A,4789.88
4/29/2025,#N/A N/A,4770.18
4/28/2025,#N/A N/A,4742.43
4/25/2025,#N/A N/A,4722
4/24/2025,#N/A N/A,4690.1
4/23/2025,#N/A N/A,4603.36
4/22/2025,#N/A N/A,4517.31
4/21/2025,#N/A N/A,4423.95
4/18/2025,#N/A N/A,4503.91
4/17/2025,#N/A N/A,4501.31
4/16/2025,#N/A N/A,4474.23
4/15/2025,#N/A N/A,4549.86
4/14/2025,#N/A N/A,4522.26
4/11/2025,#N/A N/A,4465.36
4/10/2025,#N/A N/A,4405.12
4/9/2025,#N/A N/A,4473.5
4/8/2025,#N/A N/A,4165.28
4/7/2025,#N/A N/A,4173.29
4/4/2025,#N/A N/A,4214.84
4/3/2025,#N/A N/A,4509.93
4/2/2025,#N/A N/A,4708.27
4/1/2025,#N/A N/A,4670.85
3/31/2025,#N/A N/A,4636.87
3/28/2025,#N/A N/A,4632.93
3/27/2025,#N/A N/A,4703.2
3/26/2025,#N/A N/A,4739.12
3/25/2025,#N/A N/A,4804.13
