Date,Price Open,Last Price
9/30/2025,5507.94,5543.6
9/29/2025,5486.38,5506.89
9/26/2025,5469.08,5485.57
9/25/2025,5504.38,5469.94
9/24/2025,5534.43,5503.67
9/23/2025,5563.51,5533.31
9/22/2025,5533.75,5561.59
9/19/2025,5517.94,5534.99
9/18/2025,5486.91,5517.21
9/17/2025,5485.04,5489.46
9/16/2025,5483.71,5484.77
9/15/2025,5451.84,5481.82
9/12/2025,5465.39,5451.89
9/11/2025,5416.53,5463.49
9/10/2025,5437.53,5418.7
9/9/2025,5426.31,5440.38
9/8/2025,5410.52,5422.64
9/5/2025,5422.76,5412.85
9/4/2025,5378.31,5419.66
9/3/2025,5324.62,5376.81
9/2/2025,5369.71,5328.14
9/1/2025,5367.33,5369.3
8/29/2025,5394.08,5370.33
8/28/2025,5382.44,5393.48
8/27/2025,5372.51,5378.73
8/26/2025,5360.84,5372.9
8/25/2025,5389.8,5366.58
8/22/2025,5322.64,5389.33
8/21/2025,5344.54,5322.99
8/20/2025,5349.93,5345.38
8/19/2025,5367.24,5352.49
8/18/2025,5365.31,5366.56
8/15/2025,5364.59,5366.65
8/14/2025,5368.88,5365.3
8/13/2025,5345.95,5369.98
8/12/2025,5285.24,5342.77
8/11/2025,5300.09,5284.03
8/8/2025,5261.59,5299.79
8/7/2025,5270.86,5256.64
8/6/2025,5237.77,5269.09
8/5/2025,5275.08,5237.85
8/4/2025,5196.13,5271.97
8/1/2025,5243.74,5193.57
7/31/2025,5267.07,5245.64
7/30/2025,5287.19,5270.71
7/29/2025,5321.14,5285.14
7/28/2025,5334.87,5325.26
7/25/2025,5326.3,5333.59
7/24/2025,5319.48,5329.01
7/23/2025,5273.69,5315.34
7/22/2025,5267.98,5271.62
7/21/2025,5253.59,5268.08
7/18/2025,5266.19,5255.11
7/17/2025,5243.88,5263.1
7/16/2025,5237.43,5240.92
7/15/2025,5264.04,5238.09
7/14/2025,5257.85,5264.72
7/11/2025,5294.36,5259.21
7/10/2025,5286.54,5290.82
7/9/2025,5257.47,5284.44
7/8/2025,5254.05,5254.53
7/7/2025,5289.56,5255.43
7/4/2025,5291.55,5289.74
7/3/2025,5264.88,5288.38
7/2/2025,5254.67,5259.97
7/1/2025,5257.3,5252.57
6/30/2025,5228.37,5254.06
6/27/2025,5185.28,5225.44
6/26/2025,5153.68,5185.05
6/25/2025,5151.75,5148.29
6/24/2025,5088.99,5152.11
6/23/2025,5035.03,5081.65
6/20/2025,5067.02,5037.83
6/19/2025,5073.1,5063.62
6/18/2025,5095.25,5075.84
6/17/2025,5144.92,5100.07
6/16/2025,5108.65,5148.49
6/13/2025,5188.68,5109.15
6/12/2025,5171.84,5185.26
6/11/2025,5185.19,5169.91
6/10/2025,5155.8,5184.09
6/9/2025,5158.86,5154.1
6/6/2025,5120.51,5156.24
6/5/2025,5131.15,5120.78
6/4/2025,5097.91,5132.27
6/3/2025,5087.49,5097.47
6/2/2025,5065.27,5085.41
5/30/2025,5060.31,5065.56
5/29/2025,5032.83,5059.29
5/28/2025,5071.83,5038.87
5/27/2025,4996.49,5071.91
5/26/2025,4982.92,4996.39
5/23/2025,5015.53,4981.39
5/22/2025,5033.06,5014.75
5/21/2025,5086,5034.36
5/20/2025,5088.61,5082.7
5/19/2025,5070.57,5089.62
5/16/2025,5041.31,5067.61
5/15/2025,5013.06,5039.83
5/14/2025,5013.9,5017.27
5/13/2025,4997.1,5011.48
5/12/2025,4870.1,4997.08
5/9/2025,4877.61,4873.09
5/8/2025,4874.43,4882.53
5/7/2025,4870.5,4880.15
5/6/2025,4911.67,4870.98
5/5/2025,4922.2,4913.36
5/2/2025,4840.13,4926.15
5/1/2025,4839.34,4838.2
4/30/2025,4820.54,4842.75
4/29/2025,4792.99,4818.71
4/28/2025,4781.76,4789.24
4/25/2025,4754.76,4781.61
4/24/2025,4670.95,4754.89
4/23/2025,4608.41,4673.02
4/22/2025,4541.69,4620.21
4/21/2025,4621.21,4542.5
4/18/2025,4613.94,4614.02
4/17/2025,4613,4612.48
4/16/2025,4695.79,4611.6
4/15/2025,4702.76,4699.24
4/14/2025,4650.85,4702.1
4/11/2025,4584.04,4648.65
4/10/2025,4639.12,4578.21
4/9/2025,4363.26,4642.64
4/8/2025,4371.68,4358.76
4/7/2025,4441.11,4372.05
4/4/2025,4685.39,4443.77
4/3/2025,4847.81,4690.41
4/2/2025,4830.62,4846.92
4/1/2025,4812.76,4831.72
3/31/2025,4811.19,4811.58
3/28/2025,4895.45,4811.43
3/27/2025,4906.48,4895.73
3/26/2025,4957.43,4908.35
3/25/2025,4949.68,4957.83
3/24/2025,4888.54,4948.74
3/21/2025,4899.26,4888.5
3/20/2025,4915.63,4898.54
3/19/2025,4881.36,4911.08
3/18/2025,4922.4,4880.12
3/17/2025,4882.5,4923.1
3/14/2025,4799.1,4881.27
3/13/2025,4871.38,4798.59
3/12/2025,4860.04,4872.17
3/11/2025,4915.2,4861.4
3/10/2025,5031.4,4915.67
3/7/2025,5024.91,5032.01
3/6/2025,5090.61,5025.24
3/5/2025,5023.69,5086.71
3/4/2025,5061.49,5018.84
3/3/2025,5098.59,5060.9
2/28/2025,5050.97,5098.86
2/27/2025,5129.78,5053.06
2/26/2025,5132.19,5130.55
2/25/2025,5135.99,5131.16
2/24/2025,5156.43,5136.78
2/21/2025,5212.08,5155.31
2/20/2025,5217.38,5209.81
2/19/2025,5211.27,5218.16
2/18/2025,5209.19,5212.55
2/17/2025,5204.04,5209.01
2/14/2025,5219.65,5206.05
2/13/2025,5158.93,5216.29
2/12/2025,5166.2,5157.71
2/11/2025,5161.33,5164.69
2/10/2025,5126.43,5162.62
2/7/2025,5172.28,5130.27
2/6/2025,5153.83,5170.95
2/5/2025,5129.9,5155.84
2/4/2025,5107.23,5129.24
2/3/2025,5130.48,5104.39
1/31/2025,5160.67,5142.12
1/30/2025,5119.59,5164.59
1/29/2025,5126.14,5119.27
1/28/2025,5100.34,5125.38
1/27/2025,5136.05,5100.42
1/24/2025,5133.52,5139.53
1/23/2025,5108.82,5131.55
1/22/2025,5059.31,5109.52
1/21/2025,5017.26,5057.17
1/20/2025,5005.88,5015.27
1/17/2025,4986.61,5007.85
1/16/2025,4983.13,4986.08
1/15/2025,4908.55,4983.82
1/14/2025,4921.65,4907.45
1/13/2025,4930.23,4916.22
1/10/2025,4996.47,4931.14
1/9/2025,4993.35,4996.22
1/8/2025,4985.88,4992.23
1/7/2025,5016.76,4987.9
1/6/2025,4978.44,5016.77
1/3/2025,4942.21,4977.37
1/2/2025,4949.31,4943.2
1/1/2025,4949.74,4949.74
12/31/2024,4967,4949.74
12/30/2024,5018.67,4964.84
12/27/2024,5049.88,5018.2
12/26/2024,5049.68,5048.54
12/25/2024,5049.66,5048.59
12/24/2024,5016.75,5048.62
12/23/2024,4980,5015.53
12/20/2024,4965.88,4977.66
12/19/2024,4992.71,4967.64
12/18/2024,5110.82,5004.21
12/17/2024,5121.74,5110.46
12/16/2024,5113.11,5122.28
12/13/2024,5142.23,5112.62
12/12/2024,5175.25,5144.6
12/11/2024,5145.27,5174.49
12/10/2024,5154.74,5143.52
12/9/2024,5172.77,5157.43
12/6/2024,5163.92,5173.47
12/5/2024,5178.58,5162.62
12/4/2024,5151.25,5179.58
12/3/2024,5136.34,5151.7
12/2/2024,5106.62,5133.67
11/29/2024,5077.77,5105.37
11/28/2024,5074,5077.45
11/27/2024,5081.01,5073.92
11/26/2024,5060.96,5079.87
11/25/2024,5036.05,5059.66
11/22/2024,5016.15,5030.48
11/21/2024,4996.07,5018.47
11/20/2024,4997.12,4994.3
11/19/2024,4979.81,4997
11/18/2024,4968.82,4976.79
11/15/2024,5065.72,4968.9
11/14/2024,5085.41,5069.59
11/13/2024,5104.88,5087.65
11/12/2024,5123.15,5105.32
11/11/2024,5128.85,5123.46
11/8/2024,5129.24,5132.73
11/7/2024,5067.7,5129.27
