Date,Last Price
8/29/25,79.39
7/31/25,79.84
6/30/25,90.26
5/31/25,92.11
4/30/25,112.48
3/31/25,101.35
2/28/25,104.46
1/31/25,91.76
12/31/24,98.8
11/30/24,95.22
10/31/24,135.18
9/30/24,94.61
8/31/24,107.77
7/31/24,99.41
6/30/24,98.59
5/31/24,91.14
4/30/24,107.46
3/31/24,86.38
2/29/24,109.1
1/31/24,107.28
12/31/23,114.62
11/30/23,115.32
10/31/23,126.86
9/30/23,113.55
8/31/23,107.93
7/31/23,112.03
6/30/23,110.64
5/31/23,136.02
4/30/23,122.46
3/31/23,135.93
2/28/23,123.6
1/31/23,99.54
12/31/22,121.61
11/30/22,127.27
10/31/22,147.92
9/30/22,141.89
8/31/22,124.84
7/31/22,116.36
6/30/22,135.5
5/31/22,107.12
4/30/22,128.4
3/31/22,106.88
2/28/22,100.4
1/31/22,85.14
12/31/21,77.1
11/30/21,84.04
10/31/21,75.45
9/30/21,61.07
8/31/21,59.54
7/31/21,61.19
6/30/21,57.27
5/31/21,52.04
4/30/21,58.13
3/31/21,71.27
2/28/21,75.66
1/31/21,47.41
12/31/20,48.98
11/30/20,40.84
10/31/20,61.91
9/30/20,39.21
8/31/20,47.02
7/31/20,41.98
6/30/20,54.13
5/31/20,51.55
4/30/20,53.59
3/31/20,83.87
2/29/20,109.67
1/31/20,72.98
12/31/19,58.28
11/30/19,56.57
10/31/19,65.88
9/30/19,77.2005
8/31/19,86.8897
7/31/19,55.2468
6/30/19,70.4339
5/31/19,72.681
4/30/19,49.4711
3/31/19,58.5478
2/28/19,47.2183
1/31/19,49.8117
12/31/18,66.5828
11/30/18,52.4322
10/31/18,60.1285
9/30/18,46.1634
8/31/18,50.7097
7/31/18,46.5038
6/30/18,51.1681
5/31/18,60.5438
4/30/18,50.3548
3/31/18,58.5414
2/28/18,62.9735
1/31/18,57.1957
12/31/17,46.5962
11/30/17,46.8271
10/31/17,51.1485
9/30/17,52.8752
8/31/17,51.1311
7/31/17,48.1375
6/30/17,55.2201
5/31/17,53.9509
4/30/17,60.1925
3/31/17,60.6987
2/28/17,71.2937
1/31/17,72.5153
12/31/16,71.6297
11/30/16,80.9553
10/31/16,65.465
9/30/16,60.556
8/31/16,69.0806
7/31/16,64.1468
6/30/16,72.6386
5/31/16,67.9149
4/30/16,64.921
3/31/16,68.8027
2/29/16,83.3856
1/31/16,74.0039
12/31/15,67.8473
11/30/15,69.8952
10/31/15,73.0792
9/30/15,81.565
8/31/15,87.7352
7/31/15,75.7512
6/30/15,92.2575
5/31/15,82.6996
4/30/15,75.292
3/31/15,86.1017
2/28/15,91.3865
1/31/15,88.2724
12/31/14,68.9385
11/30/14,66.5733
10/31/14,68.691
9/30/14,64.2055
8/31/14,60.4894
7/31/14,56.4578
6/30/14,52.7366
5/31/14,58.295
4/30/14,58.8846
3/31/14,61.815
2/28/14,57.6628
1/31/14,64.725
12/31/13,73.546
11/30/13,67.965
10/31/13,61.6804
9/30/13,80.1572
8/31/13,103.5277
7/31/13,82.5984
6/30/13,99.7542
5/31/13,79.9852
4/30/13,49.2418
3/31/13,57.3202
2/28/13,55.9
1/31/13,65.6
12/31/12,59.4
11/30/12,51.8
10/31/12,71.4
9/30/12,60.5
8/31/12,68.7
7/31/12,69.8
6/30/12,73.2
5/31/12,74.4
4/30/12,62.9
3/31/12,78.6
2/29/12,75.9
1/31/12,72.1
12/31/11,91.1
11/30/11,99.7
10/31/11,107.2
9/30/11,100.6
8/31/11,97.9
7/31/11,88
6/30/11,88.9
5/31/11,71.5
4/30/11,76.8
3/31/11,90.9
2/28/11,90.5
1/31/11,96.2
12/31/10,110.4
11/30/10,101.9
10/31/10,99.8
9/30/10,85.1
8/31/10,103.7
7/31/10,78.2
6/30/10,89.7
5/31/10,112.1
4/30/10,85.5
3/31/10,85.3
2/28/10,81.2
1/31/10,86.3
12/31/09,107.5
11/30/09,86.1
10/31/09,113.5
9/30/09,113.8
8/31/09,130.7
7/31/09,138.5
6/30/09,162.5
5/31/09,165.4
4/30/09,124.2
3/31/09,117.3
2/28/09,166.6
1/31/09,162.9
12/31/08,190
11/30/08,214
10/31/08,207.2
9/30/08,208.5
8/31/08,103
7/31/08,131.7
6/30/08,126
5/31/08,130.2
4/30/08,119.1
3/31/08,145.5
2/29/08,155.2
1/31/08,153.7
12/31/07,145.4
11/30/07,131.5
10/31/07,90.18
9/30/07,103.7
8/31/07,111
7/31/07,96.4
6/30/07,77.5
5/31/07,58.9
4/30/07,59.8
3/31/07,67.9
2/28/07,69.8
1/31/07,61.6
12/31/06,66.8
11/30/06,68.5
10/31/06,60.9
9/30/06,63.1
8/31/06,59.8
7/31/06,63.4
6/30/06,65.5
5/31/06,67.1
4/30/06,63
3/31/06,68.6
2/28/06,56.86
1/31/06,73.7
12/31/05,72.09
11/30/05,73.5
10/31/05,80.08
9/30/05,76.71
8/31/05,78.2
7/31/05,74.8
6/30/05,75.6
5/31/05,75
4/30/05,82.53
3/31/05,87.7
2/28/05,90.05
1/31/05,79.29
12/31/04,86.6
11/30/04,89.56
10/31/04,96.45
9/30/04,92.89
8/31/04,102.66
7/31/04,97.21
6/30/04,93.91
5/31/04,106.12
4/30/04,122.93
3/31/04,105.92
2/29/04,90.14
1/31/04,116.75
12/31/03,117.91
11/30/03,104.91
10/31/03,118.76
9/30/03,116.69
8/31/03,126.55
7/31/03,160.86
6/30/03,103.6
5/31/03,99.81
4/30/03,89.27
3/31/03,112.09
2/28/03,105.36
1/31/03,110.89
12/31/02,123.89
11/30/02,127.52
10/31/02,135.44
9/30/02,145.67
8/31/02,137.63
7/31/02,132.29
6/30/02,119.6
5/31/02,104.51
4/30/02,101.45
3/31/02,119.52
2/28/02,105.22
1/31/02,115.05
12/31/01,137.36
11/30/01,138.92
10/31/01,117.52
9/30/01,115.96
8/31/01,94.28
7/31/01,91.15
6/30/01,96.6
5/31/01,105.49
4/30/01,108.72
3/31/01,111.55
2/28/01,110.77
1/31/01,103.02
12/31/00,104.91
11/30/00,91.93
10/31/00,87.12
9/30/00,82.81
8/31/00,79.54
7/31/00,87.04
6/30/00,96.62
5/31/00,103.1
4/30/00,103.83
3/31/00,106.45
2/29/00,106.64
1/31/00,106.26
12/31/99,98.89
11/30/99,82.64
10/31/99,94.14
9/30/99,104.59
8/31/99,109.1
7/31/99,106.97
6/30/99,102.05
5/31/99,104.78
4/30/99,84.85
3/31/99,85.17
2/28/99,101.44
1/31/99,87.16
12/31/98,121.13
