Date,Price Open,Last Price
12/31/69,100,100
1/7/70,100.79,100.79
1/14/70,100.47,100.47
1/21/70,99.73,99.73
1/28/70,99.59,99.59
1/30/70,98.62,98.62
2/4/70,98.45,98.45
2/11/70,97.88,97.88
2/18/70,97.13,97.13
2/25/70,96.48,96.48
2/27/70,96.1,96.1
3/4/70,96.28,96.28
3/11/70,96.74,96.74
3/18/70,96.31,96.31
3/25/70,96.07,96.07
3/31/70,97.34,97.34
4/1/70,97.05,97.05
4/8/70,96.46,96.46
4/15/70,96.15,96.15
4/22/70,94.42,94.42
4/29/70,89.84,89.84
4/30/70,88.97,88.97
5/6/70,89.62,89.62
5/13/70,87.64,87.64
5/20/70,83.76,83.76
5/25/70,80.01,80.01
5/29/70,84.28,84.28
6/3/70,86.11,86.11
6/10/70,84.91,84.91
6/17/70,85.15,85.15
6/24/70,85.84,85.84
6/30/70,85.85,85.85
7/1/70,85.86,85.86
7/8/70,84.87,84.87
7/15/70,84.89,84.89
7/22/70,85.82,85.82
7/29/70,88.13,88.13
7/31/70,89,89
8/5/70,89.01,89.01
8/12/70,88.6,88.6
8/19/70,88.64,88.64
8/26/70,89.6,89.6
8/31/70,89.1,89.1
9/2/70,88.35,88.35
9/9/70,88.71,88.71
9/16/70,87.65,87.65
9/23/70,88.72,88.72
9/30/70,89.49,89.49
10/7/70,90.76,90.76
10/14/70,89.97,89.97
10/21/70,90.27,90.27
10/28/70,89.34,89.34
10/30/70,88.45,88.45
11/4/70,88.58,88.58
11/11/70,86.84,86.84
11/18/70,85.87,85.87
11/25/70,84.98,84.98
11/30/70,84.37,84.37
12/2/70,85.04,85.04
12/9/70,84.38,84.38
12/16/70,85.34,85.34
12/23/70,85.47,85.47
12/30/70,86.05,86.05
12/31/70,85.87,85.87
1/6/71,86.07,86.07
1/13/71,87.08,87.08
1/20/71,87.24,87.24
1/27/71,88.72,88.72
1/29/71,89.07,89.07
2/3/71,88.99,88.99
2/10/71,88.15,88.15
2/17/71,91.01,91.01
2/24/71,89.99,89.99
2/26/71,89.58,89.58
3/3/71,89.26,89.26
3/10/71,90.85,90.85
3/17/71,91.07,91.07
3/24/71,91.7,91.7
3/31/71,93.17,93.17
4/2/71,93.51,93.51
4/9/71,93.63,93.63
4/16/71,93.51,93.51
4/23/71,94.38,94.38
4/30/71,96.48,96.48
5/6/71,96.34,96.34
5/7/71,96.56,96.56
5/14/71,97.82,97.82
5/21/71,97.59,97.59
5/28/71,97.98,97.98
5/31/71,98,98
6/4/71,98.51,98.51
6/11/71,98.1,98.1
6/18/71,99.35,99.35
6/25/71,99.28,99.28
6/30/71,100.03,100.03
7/2/71,100.68,100.68
7/9/71,100.83,100.83
7/16/71,103.1,103.1
7/23/71,102.76,102.76
7/30/71,103.99,103.99
8/6/71,102.81,102.81
8/13/71,104.18,104.17
8/17/71,100.49,100.49
8/20/71,107.16,107.16
8/27/71,102.73,102.73
8/31/71,102.23,102.23
9/3/71,102.43,102.43
9/10/71,102.37,102.37
9/17/71,101.73,101.73
9/24/71,101.52,101.52
9/30/71,100.39,100.39
10/1/71,100.53,100.53
10/8/71,100.69,100.69
10/15/71,99.5,99.5
10/22/71,97.68,97.68
10/29/71,96.91,96.91
11/5/71,94.48,94.48
11/12/71,95.53,95.53
11/19/71,96.93,96.93
11/26/71,97.59,97.59
11/30/71,99.79,99.78
12/3/71,101.06,101.06
12/10/71,100.77,100.77
12/17/71,104.26,104.25
12/24/71,107.02,107.02
12/31/71,108.32,108.31
1/3/72,108.69,108.69
1/4/72,109.01,109.01
1/5/72,110.14,110.14
1/6/72,110.72,110.72
1/7/72,110.48,110.48
1/10/72,109.95,109.95
1/11/72,110.02,110.02
1/12/72,110.78,110.78
1/13/72,110.71,110.71
1/14/72,111.34,111.34
1/17/72,112.1,112.1
1/18/72,111.76,111.76
1/19/72,112.47,112.47
1/20/72,113.06,113.06
1/21/72,113.09,113.09
1/24/72,112.76,112.76
1/25/72,112.4,112.4
1/26/72,112.91,112.91
1/27/72,113.3,113.3
1/28/72,113.9,113.9
1/31/72,114.28,114.28
2/1/72,114.27,114.27
2/2/72,114.83,114.83
2/3/72,114.9,114.9
2/4/72,114.3,114.3
2/7/72,114.39,114.39
2/8/72,114.77,114.77
2/9/72,115.06,115.06
2/10/72,116.23,116.23
2/11/72,115.82,115.82
2/14/72,115.5,115.5
2/15/72,115.99,115.99
2/16/72,116.08,116.08
2/17/72,117.15,117.15
2/18/72,118.08,118.08
2/21/72,118.33,118.33
2/22/72,118.43,118.43
2/23/72,119.65,119.65
2/24/72,120.71,120.71
