Date,Price Open,Last Price
9/30/2025,332.99,334.68
9/29/2025,329.82,332.75
9/26/2025,334.02,329.63
9/25/2025,335.85,334.77
9/24/2025,335.5,336.45
9/23/2025,334.6,335.62
9/22/2025,332.75,334.2
9/19/2025,334.17,332.79
9/18/2025,334.56,334.4
9/17/2025,332.8,334.49
9/16/2025,329.44,332.86
9/15/2025,328.34,329.13
9/12/2025,324.88,328.36
9/11/2025,323.75,324.32
9/10/2025,320.2,323.51
9/9/2025,317.98,320.36
9/8/2025,316.13,317.21
9/5/2025,311.62,315.94
9/4/2025,313.01,311.51
9/3/2025,312.42,312.97
9/2/2025,313.23,312.56
9/1/2025,311.63,313
8/29/2025,312.3,311.98
8/28/2025,314.71,311.9
8/27/2025,315.59,314.62
8/26/2025,317.11,315.59
8/25/2025,313,317.57
8/22/2025,310.43,311.95
8/21/2025,309.73,310.3
8/20/2025,312.86,309.52
8/19/2025,313.97,313.42
8/18/2025,313.09,313.92
8/15/2025,312.07,313.4
8/14/2025,314.38,312.58
8/13/2025,309.23,314.34
8/12/2025,308.14,308.35
8/11/2025,308.13,308.3
8/8/2025,309.84,308.01
8/7/2025,305.69,309.91
8/6/2025,306.08,305.38
8/5/2025,303.76,306.23
8/4/2025,301.16,303.46
8/1/2025,304.97,300.28
7/31/2025,306.05,305.39
7/30/2025,306.75,306.78
7/29/2025,306.81,306.75
7/28/2025,308.24,307.5
7/25/2025,310.41,308.43
7/24/2025,310.8,310.66
7/23/2025,305.98,310.27
7/22/2025,307.56,305.67
7/21/2025,305.8,307.24
7/18/2025,303.89,306.18
7/17/2025,302.85,303.79
7/16/2025,302.14,302.86
7/15/2025,298.47,302.65
7/14/2025,298.86,298.75
7/11/2025,299.86,298.97
7/10/2025,299.23,299.83
7/9/2025,300.09,299.53
7/8/2025,298.73,300.14
7/7/2025,299.99,298.93
7/4/2025,301.29,300.18
7/3/2025,300.46,301.74
7/2/2025,300.26,300.16
7/1/2025,299.05,300.57
6/30/2025,299.96,298.77
6/27/2025,299.27,300.05
6/26/2025,297.88,299.2
6/25/2025,296.02,297.5
6/24/2025,288.94,295.61
6/23/2025,289.44,287.86
6/20/2025,286.6,289.93
6/19/2025,290.27,286.43
6/18/2025,290.15,290.48
6/17/2025,291.67,291.05
6/16/2025,289.16,291.14
6/13/2025,292.97,289.17
6/12/2025,295.05,292.44
6/11/2025,292.41,294.46
6/10/2025,290.01,292.19
6/9/2025,287.29,289.69
6/6/2025,287.07,287.06
6/5/2025,285.11,287.31
6/4/2025,280.36,284.66
6/3/2025,279.96,280.07
6/2/2025,279.67,279.01
5/30/2025,283.05,279.65
5/29/2025,281.28,282.85
5/28/2025,281.51,281.27
5/27/2025,283.08,281.56
5/26/2025,284.37,283.35
5/23/2025,282.78,284.26
5/22/2025,285.05,282.87
5/21/2025,283.18,284.82
5/20/2025,283.56,282.94
5/19/2025,283.59,283.31
5/16/2025,283.68,283.9
5/15/2025,283.74,283.7
