Date,Price Oen,Last Price
9/30/2025,227.93,228.62
9/29/2025,225.31,227.82
9/26/2025,227.25,225.11
9/25/2025,228.91,227.72
9/24/2025,227.97,229.36
9/23/2025,228.29,228.04
9/22/2025,228.31,228.15
9/19/2025,228.56,228.24
9/18/2025,229.46,228.76
9/17/2025,227.78,229.44
9/16/2025,226.87,227.81
9/15/2025,226.24,226.7
9/12/2025,224.14,226.18
9/11/2025,223.47,223.65
9/10/2025,221.28,223.34
9/9/2025,219.56,221.4
9/8/2025,217.94,219.05
9/5/2025,216.09,217.8
9/4/2025,216.8,216
9/3/2025,216.48,216.84
9/2/2025,216.78,216.6
9/1/2025,214.31,216.66
8/29/2025,215.9,214.48
8/28/2025,216.38,215.58
8/27/2025,217.43,216.29
8/26/2025,219.68,217.4
8/25/2025,217.99,219.95
8/22/2025,216.94,217.47
8/21/2025,216.99,217
8/20/2025,217.68,216.94
8/19/2025,218.25,217.84
8/18/2025,218.32,218.31
8/15/2025,218.58,218.47
8/14/2025,219.49,218.95
8/13/2025,217.24,219.4
8/12/2025,216.33,216.91
8/11/2025,215.95,216.35
8/8/2025,217.01,215.9
8/7/2025,215.05,216.85
8/6/2025,214.38,214.55
8/5/2025,213.82,214.49
8/4/2025,212.53,213.36
8/1/2025,213.38,211.89
7/31/2025,216.01,214.1
7/30/2025,216.42,216.38
7/29/2025,216.34,216.35
7/28/2025,217.23,216.91
7/25/2025,218.59,217.03
7/24/2025,218.78,218.75
7/23/2025,216.06,218.28
7/22/2025,216.69,215.65
7/21/2025,215.49,216.39
7/18/2025,214.8,215.73
7/17/2025,214.82,214.64
7/16/2025,214.83,214.74
7/15/2025,213.59,215.24
7/14/2025,213.99,213.98
7/11/2025,214.15,214
7/10/2025,212.85,214.11
7/9/2025,213.88,213.1
7/8/2025,212.7,213.96
7/7/2025,213.81,212.96
7/4/2025,214.45,213.97
7/3/2025,213.83,214.69
7/2/2025,212.67,213.47
7/1/2025,212.17,212.79
6/30/2025,212.85,211.83
6/27/2025,212.98,212.93
6/26/2025,212.39,213.02
6/25/2025,210.68,212.09
6/24/2025,206.63,210.33
6/23/2025,206.2,205.61
6/20/2025,205.14,206.76
6/19/2025,207.63,204.93
6/18/2025,207.79,207.65
6/17/2025,209.15,208.48
6/16/2025,207.31,208.85
6/13/2025,209.85,207.42
6/12/2025,210.44,209.5
6/11/2025,209.24,210.18
6/10/2025,208.63,209.1
6/9/2025,206.84,208.39
6/6/2025,206.16,206.49
6/5/2025,204.85,206.2
6/4/2025,203.18,204.55
6/3/2025,202.42,202.93
6/2/2025,202.9,202.17
5/30/2025,205.27,202.97
5/29/2025,204.24,205.13
5/28/2025,203.94,204.07
5/27/2025,204.45,203.93
5/26/2025,204.54,204.73
5/23/2025,203.28,204.31
5/22/2025,205.41,203.36
5/21/2025,204.21,205.18
5/20/2025,203.76,204.07
5/19/2025,204.9,203.47
5/16/2025,205.74,205.11
5/15/2025,205.57,205.7
5/14/2025,203.42,205.62
5/13/2025,203.83,203.1
5/12/2025,199.8,203.93
5/9/2025,198.81,199.42
5/8/2025,199.31,198.77
5/7/2025,200.22,199.41
5/6/2025,200.35,199.34
5/5/2025,198.67,199.16
5/2/2025,195.15,198.33
5/1/2025,195.31,195.52
4/30/2025,194.89,195.71
4/29/2025,194.37,194.76
4/28/2025,193.1,194.21
4/25/2025,192.75,193.16
4/24/2025,193.13,192.67
4/23/2025,190.19,193.32
4/22/2025,189.86,190.3
4/21/2025,189.09,189.95
4/18/2025,188.74,188.98
4/17/2025,187.73,188.63
4/16/2025,188.81,187.4
4/15/2025,187.23,188.93
4/14/2025,184.52,187.13
4/11/2025,181.48,183.76
4/10/2025,176.67,181.15
4/9/2025,177.07,175.17
4/8/2025,177.58,177.51
4/7/2025,190.16,177.4
4/4/2025,195.09,192.03
4/3/2025,196.16,194.85
4/2/2025,196.54,196.95
4/1/2025,195.48,196.54
3/31/2025,197.6,195.22
3/28/2025,199.91,198.06
3/27/2025,199.74,200.08
3/26/2025,199.76,200.09
3/25/2025,200.63,199.6
3/24/2025,199.14,200.43
3/21/2025,200.58,199.43
3/20/2025,201.3,200.63
3/19/2025,201.56,201.26
3/18/2025,199.19,201.54
3/17/2025,197.43,199.05
3/14/2025,194.89,197.25
3/13/2025,195.52,194.87
3/12/2025,194.9,195.43
3/11/2025,195.28,194.73
3/10/2025,197.69,195.63
3/7/2025,198.36,197.94
3/6/2025,196.18,198.43
3/5/2025,193.1,195.65
3/4/2025,193.31,192.5
3/3/2025,192.43,193.27
2/28/2025,196.71,192.8
2/27/2025,199,197.38
2/26/2025,196.9,199.1
2/25/2025,198.85,196.89
2/24/2025,200.03,199.24
2/21/2025,198.07,200.29
2/20/2025,198.19,197.8
2/19/2025,198.78,198.28
2/18/2025,197.51,198.53
2/17/2025,197.3,197.51
2/14/2025,195.39,197.05
2/13/2025,194.07,194.93
2/12/2025,192.56,193.97
2/11/2025,192.89,192.6
2/10/2025,192.16,192.88
2/7/2025,192.39,192.76
2/6/2025,191.52,192.34
2/5/2025,191.33,191.35
2/4/2025,188.91,190.89
2/3/2025,189.51,188.36
1/31/2025,190.84,190.84
1/30/2025,190.4,191.32
1/29/2025,190.01,190.64
1/28/2025,189.83,190.26
1/27/2025,190.3,190.28
1/24/2025,189.53,190.45
1/23/2025,189.09,189.27
1/22/2025,189.33,189.16
1/21/2025,189.32,188.98
1/20/2025,186.88,188.59
1/17/2025,186.58,186.81
1/16/2025,185.63,186.72
1/15/2025,184.61,185.3
1/14/2025,182.58,184.44
1/13/2025,184.89,182.35
1/10/2025,186.96,185.31
1/9/2025,187.92,186.85
1/8/2025,188.61,188.04
1/7/2025,188.31,188.83
1/6/2025,187.51,188.03
1/3/2025,187.26,187.55
1/2/2025,188.49,187.33
1/1/2025,188.28,188.6
12/31/2024,188.45,188.45
12/30/2024,189.35,188.54
12/27/2024,189.81,189.52
12/26/2024,190.12,189.91
12/25/2024,190.2,190.16
12/24/2024,189.4,190.04
12/23/2024,187.9,189.25
12/20/2024,189.23,187.51
12/19/2024,190.48,189.18
12/18/2024,191.63,191.8
12/17/2024,192.94,191.33
12/16/2024,193.93,192.97
12/13/2024,195.01,193.83
12/12/2024,195.01,195.04
12/11/2024,194.82,194.67
12/10/2024,195.33,195.03
12/9/2024,193.48,195.15
12/6/2024,193.35,193.84
12/5/2024,193.25,193.28
12/4/2024,192.53,193.29
