Date,Price Open,Last Price
9/30/2025,1343.85,1348.41
9/29/2025,1329.2,1342.92
9/26/2025,1343.84,1328.08
9/25/2025,1352.3,1346.92
9/24/2025,1346.7,1355.02
9/23/2025,1345.09,1347.16
9/22/2025,1340.25,1342.94
9/19/2025,1344.71,1339.79
9/18/2025,1348.62,1345.84
9/17/2025,1338.67,1348.22
9/16/2025,1327.63,1339.05
9/15/2025,1323.79,1326.41
9/12/2025,1308.61,1323.33
9/11/2025,1304.23,1305.82
9/10/2025,1289.71,1303.34
9/9/2025,1277.87,1290.23
9/8/2025,1269.02,1274.89
9/5/2025,1254.97,1268.18
9/4/2025,1259.75,1254.47
9/3/2025,1258.56,1259.74
9/2/2025,1260.16,1259.27
9/1/2025,1247.86,1259.3
8/29/2025,1253.81,1249.4
8/28/2025,1262.12,1252.02
8/27/2025,1266.33,1261.88
8/26/2025,1275.69,1266.3
8/25/2025,1260.9,1277.69
8/22/2025,1254.56,1257.17
8/21/2025,1253.98,1253.78
8/20/2025,1262.31,1252.81
8/19/2025,1265.02,1264.34
8/18/2025,1262.71,1264.79
8/15/2025,1261.91,1264.22
8/14/2025,1269.54,1264.27
8/13/2025,1252.03,1269.42
8/12/2025,1246.24,1248.4
8/11/2025,1245.44,1246.75
8/8/2025,1252.79,1244.89
8/7/2025,1235.92,1252.59
8/6/2025,1236.79,1234.86
8/5/2025,1230.22,1237.76
8/4/2025,1221.59,1229.1
8/1/2025,1233.87,1218.24
7/31/2025,1242.71,1235.53
7/30/2025,1245.39,1245.55
7/29/2025,1247.58,1245.64
7/28/2025,1251.08,1250.2
7/25/2025,1261.19,1251.92
7/24/2025,1262.68,1262.26
7/23/2025,1243.48,1260.58
7/22/2025,1247.99,1242.1
7/21/2025,1240.61,1246.31
7/18/2025,1233.53,1241.92
7/17/2025,1233.8,1233.2
7/16/2025,1231.04,1233.24
7/15/2025,1219.08,1232.96
7/14/2025,1220.76,1220.19
7/11/2025,1222.46,1221.22
7/10/2025,1217.08,1222.29
7/9/2025,1222.91,1218.12
7/8/2025,1217.29,1223.69
7/7/2025,1221.74,1218.18
7/4/2025,1225.95,1222.46
7/3/2025,1223.42,1227.33
7/2/2025,1219.3,1221.66
7/1/2025,1214.68,1220.27
6/30/2025,1222.23,1213.52
6/27/2025,1221.69,1222.72
6/26/2025,1216.82,1221.47
6/25/2025,1206.72,1215.39
6/24/2025,1180.52,1204.66
6/23/2025,1182.78,1175.57
6/20/2025,1170.85,1184.7
6/19/2025,1185.93,1170.21
6/18/2025,1185.88,1186.35
6/17/2025,1191.3,1189.6
6/16/2025,1181.59,1189.07
6/13/2025,1195.5,1181.64
6/12/2025,1204.17,1194.2
6/11/2025,1194.14,1202.99
6/10/2025,1188.32,1194.08
6/9/2025,1177.02,1186.97
6/6/2025,1175.32,1175.76
6/5/2025,1166.97,1176.05
6/4/2025,1152.49,1165.31
6/3/2025,1149.5,1151.2
6/2/2025,1150.42,1146.78
5/30/2025,1163.37,1150.26
5/29/2025,1158.01,1162.71
5/28/2025,1157.41,1157.48
5/27/2025,1163.37,1157.35
5/26/2025,1168.17,1164.72
5/23/2025,1161.64,1167.75
5/22/2025,1173.21,1162.14
5/21/2025,1166.29,1171.89
5/20/2025,1166.43,1165.23
5/19/2025,1169.04,1164.6
5/16/2025,1173.35,1170.83
5/15/2025,1173.02,1173.28
5/14/2025,1155.85,1173.4
5/13/2025,1161.28,1154.52
5/12/2025,1137.08,1161.87
5/9/2025,1130.4,1135.05
5/8/2025,1133.03,1130.04
5/7/2025,1139.05,1133.76
5/6/2025,1140.65,1134.51
5/5/2025,1133.26,1136.48
5/2/2025,1106.11,1130.44
5/1/2025,1106.94,1108.17
4/30/2025,1102.65,1109.05
4/29/2025,1099.99,1102.12
4/28/2025,1093.3,1099.14
4/25/2025,1089.89,1093.42
4/24/2025,1092.47,1088.52
4/23/2025,1069.09,1093.31
4/22/2025,1067.36,1068.83
4/21/2025,1065.22,1067.79
4/18/2025,1063.99,1064.89
4/17/2025,1056.58,1063.38
4/16/2025,1066.25,1054.65
4/15/2025,1058.1,1067.15
4/14/2025,1049.5,1057.05
4/11/2025,1030.48,1044.74
4/10/2025,1006.48,1029.33
4/9/2025,1001.52,996.01
4/8/2025,1004.16,1003.8
4/7/2025,1081.55,1002.76
4/4/2025,1105.74,1092.06
4/3/2025,1113.38,1105
4/2/2025,1114.04,1114.73
4/1/2025,1105.47,1114.18
3/31/2025,1124.12,1105.19
3/28/2025,1133.88,1124.89
3/27/2025,1134.63,1134.59
3/26/2025,1135.2,1136.29
3/25/2025,1142.66,1134.23
3/24/2025,1134.23,1141.54
3/21/2025,1144.38,1135.8
