Date,Price Open,Last Price
9/30/2025,1602.85,1611.28
9/29/2025,1594.19,1602.01
9/26/2025,1613.86,1592.08
9/25/2025,1628.43,1618.03
9/24/2025,1637.55,1631.24
9/23/2025,1644.65,1638.06
9/22/2025,1646.31,1643.6
9/19/2025,1645.77,1646.57
9/18/2025,1643.7,1647.13
9/17/2025,1640.07,1643.16
9/16/2025,1627.71,1638.76
9/15/2025,1620.95,1626.38
9/12/2025,1615.75,1622.02
9/11/2025,1616.2,1613.22
9/10/2025,1606.7,1615.84
9/9/2025,1605.67,1607.92
9/8/2025,1594.67,1601.13
9/5/2025,1576.55,1593.25
9/4/2025,1580.99,1575.92
9/3/2025,1570.81,1580.48
9/2/2025,1579.89,1571.83
9/1/2025,1580.94,1578.19
8/29/2025,1584.3,1582.45
8/28/2025,1582.84,1582.31
8/27/2025,1583.31,1582.53
8/26/2025,1590.32,1582.68
8/25/2025,1582.95,1592.8
8/22/2025,1572.75,1576.38
8/21/2025,1566.92,1572.96
8/20/2025,1577.47,1565.93
8/19/2025,1584.48,1580.95
8/18/2025,1573.8,1584.29
8/15/2025,1566.87,1575.62
8/14/2025,1570.43,1569.92
8/13/2025,1560.08,1569.8
8/12/2025,1554.51,1556.42
8/11/2025,1554.55,1555.52
8/8/2025,1558.98,1554.4
8/7/2025,1551.09,1558.94
8/6/2025,1546.41,1549.31
8/5/2025,1537.33,1546.67
8/4/2025,1529.29,1536.05
8/1/2025,1541.28,1523.6
7/31/2025,1551.77,1544.15
7/30/2025,1558,1556.64
7/29/2025,1552.33,1558.67
7/28/2025,1563.59,1555.64
7/25/2025,1578.59,1564.57
7/24/2025,1579.28,1580.2
7/23/2025,1565.22,1576.35
7/22/2025,1576.85,1562.34
7/21/2025,1571.21,1574.55
7/18/2025,1571.77,1572.85
7/17/2025,1561.89,1570.57
7/16/2025,1561.71,1560.77
7/15/2025,1551.52,1565.17
7/14/2025,1549.95,1552.38
7/11/2025,1552.92,1550.11
7/10/2025,1548.64,1552.51
7/9/2025,1542.45,1549.91
7/8/2025,1538.45,1542.61
7/7/2025,1549.85,1540.21
7/4/2025,1559.16,1551.34
7/3/2025,1546.19,1561.19
7/2/2025,1544.02,1544.26
7/1/2025,1540.74,1545.38
6/30/2025,1533.66,1539.33
