Date,Price Open,Last Price
12/31/87,#N/A N/A,100
1/1/88,#N/A N/A,100
1/4/88,#N/A N/A,99.84
1/5/88,#N/A N/A,103.83
1/6/88,#N/A N/A,106.41
1/7/88,#N/A N/A,107.8
1/8/88,#N/A N/A,108.32
1/11/88,#N/A N/A,105.17
1/12/88,#N/A N/A,107.44
1/13/88,#N/A N/A,105.73
1/14/88,#N/A N/A,104.95
1/15/88,#N/A N/A,106.18
1/18/88,#N/A N/A,109.35
1/19/88,#N/A N/A,110.36
1/20/88,#N/A N/A,110.95
1/21/88,#N/A N/A,109.91
1/22/88,#N/A N/A,109.99
1/25/88,#N/A N/A,110.05
1/26/88,#N/A N/A,108.63
1/27/88,#N/A N/A,107.86
1/28/88,#N/A N/A,108.73
1/29/88,#N/A N/A,109.42
2/1/88,#N/A N/A,108.93
2/2/88,#N/A N/A,108.64
2/3/88,#N/A N/A,109.42
2/4/88,#N/A N/A,109.02
2/5/88,#N/A N/A,107.78
2/8/88,#N/A N/A,108.08
2/9/88,#N/A N/A,108.3
2/10/88,#N/A N/A,108.44
2/11/88,#N/A N/A,108.56
2/12/88,#N/A N/A,108.03
2/15/88,#N/A N/A,109.08
2/16/88,#N/A N/A,109.66
2/17/88,#N/A N/A,109.83
2/18/88,#N/A N/A,110.08
2/19/88,#N/A N/A,109.86
2/22/88,#N/A N/A,110.11
2/23/88,#N/A N/A,110.6
2/24/88,#N/A N/A,110.53
2/25/88,#N/A N/A,109.94
2/26/88,#N/A N/A,108.8
2/29/88,#N/A N/A,109.68
3/1/88,#N/A N/A,111.33
3/2/88,#N/A N/A,111.14
3/3/88,#N/A N/A,111.74
3/4/88,#N/A N/A,113.17
3/7/88,#N/A N/A,113.89
3/8/88,#N/A N/A,114.29
3/9/88,#N/A N/A,114.1
3/10/88,#N/A N/A,114.51
3/11/88,#N/A N/A,114.93
3/14/88,#N/A N/A,115.58
3/15/88,#N/A N/A,115.33
3/16/88,#N/A N/A,114.55
3/17/88,#N/A N/A,115.96
3/18/88,#N/A N/A,117.39
3/21/88,#N/A N/A,117.89
3/22/88,#N/A N/A,117.72
3/23/88,#N/A N/A,119.53
3/24/88,#N/A N/A,120.46
3/25/88,#N/A N/A,119.71
3/28/88,#N/A N/A,119.55
3/29/88,#N/A N/A,119.69
3/30/88,#N/A N/A,120.7
3/31/88,#N/A N/A,120.64
4/1/88,#N/A N/A,120.68
4/4/88,#N/A N/A,119.08
4/5/88,#N/A N/A,118.02
4/6/88,#N/A N/A,119.06
4/7/88,#N/A N/A,119.94
4/8/88,#N/A N/A,120.88
4/11/88,#N/A N/A,121.57
4/12/88,#N/A N/A,122.62
4/13/88,#N/A N/A,123.08
4/14/88,#N/A N/A,123.48
4/15/88,#N/A N/A,120.64
4/18/88,#N/A N/A,120.86
4/19/88,#N/A N/A,119.52
4/20/88,#N/A N/A,121.14
4/21/88,#N/A N/A,122.76
4/22/88,#N/A N/A,124.65
4/25/88,#N/A N/A,124.97
4/26/88,#N/A N/A,124.55
4/27/88,#N/A N/A,125.7
4/28/88,#N/A N/A,126.79
4/29/88,#N/A N/A,126.27
5/2/88,#N/A N/A,124.97
5/3/88,#N/A N/A,124.28
5/4/88,#N/A N/A,123.11
5/5/88,#N/A N/A,121.15
5/6/88,#N/A N/A,121.18
5/9/88,#N/A N/A,121.47
5/10/88,#N/A N/A,120.97
5/11/88,#N/A N/A,122.34
5/12/88,#N/A N/A,122.29
5/13/88,#N/A N/A,122.72
5/16/88,#N/A N/A,123.31
5/17/88,#N/A N/A,123.91
5/18/88,#N/A N/A,124.22
5/19/88,#N/A N/A,125.43
5/20/88,#N/A N/A,126.76
5/23/88,#N/A N/A,127.33
5/24/88,#N/A N/A,127.09
5/25/88,#N/A N/A,128.25
5/26/88,#N/A N/A,128.01
5/27/88,#N/A N/A,129.04
5/30/88,#N/A N/A,128.7
5/31/88,#N/A N/A,129.62
6/1/88,#N/A N/A,131.39
6/2/88,#N/A N/A,131.27
6/3/88,#N/A N/A,130.92
6/6/88,#N/A N/A,129.98
6/7/88,#N/A N/A,131.42
6/8/88,#N/A N/A,131.39
6/9/88,#N/A N/A,132.44
6/10/88,#N/A N/A,131.89
6/13/88,#N/A N/A,131.07
6/14/88,#N/A N/A,131.4
6/15/88,#N/A N/A,132.52
6/16/88,#N/A N/A,132.18
6/17/88,#N/A N/A,134.42
6/20/88,#N/A N/A,135.26
6/21/88,#N/A N/A,134.23
6/22/88,#N/A N/A,134.66
6/23/88,#N/A N/A,134.47
6/24/88,#N/A N/A,133.74
6/27/88,#N/A N/A,132.49
6/28/88,#N/A N/A,132.8
6/29/88,#N/A N/A,134.25
6/30/88,#N/A N/A,133.71
7/1/88,#N/A N/A,134.25
7/4/88,#N/A N/A,134.06
7/5/88,#N/A N/A,133.46
7/6/88,#N/A N/A,133.28
7/7/88,#N/A N/A,132.72
7/8/88,#N/A N/A,132.32
7/11/88,#N/A N/A,132.12
7/12/88,#N/A N/A,132.03
7/13/88,#N/A N/A,132.22
7/14/88,#N/A N/A,131.75
7/15/88,#N/A N/A,130.9
7/18/88,#N/A N/A,130.01
7/19/88,#N/A N/A,129.52
7/20/88,#N/A N/A,129.17
7/21/88,#N/A N/A,129.79
7/22/88,#N/A N/A,130.41
7/25/88,#N/A N/A,129.18
7/26/88,#N/A N/A,127.72
7/27/88,#N/A N/A,128.41
7/28/88,#N/A N/A,129.31
7/29/88,#N/A N/A,129.92
8/1/88,#N/A N/A,130.01
8/2/88,#N/A N/A,129.34
8/3/88,#N/A N/A,128.68
8/4/88,#N/A N/A,128.88
8/5/88,#N/A N/A,128.95
8/8/88,#N/A N/A,128.9
8/9/88,#N/A N/A,128.74
8/10/88,#N/A N/A,128.78
8/11/88,#N/A N/A,128.58
8/12/88,#N/A N/A,129.27
8/15/88,#N/A N/A,129.43
8/16/88,#N/A N/A,128.23
8/17/88,#N/A N/A,128.86
8/18/88,#N/A N/A,128.89
8/19/88,#N/A N/A,128.34
8/22/88,#N/A N/A,127.39
8/23/88,#N/A N/A,126.57
8/24/88,#N/A N/A,127.6
8/25/88,#N/A N/A,127.58
8/26/88,#N/A N/A,127.67
8/29/88,#N/A N/A,126.39
8/30/88,#N/A N/A,125.92
8/31/88,#N/A N/A,125.92
9/1/88,#N/A N/A,125.63
9/2/88,#N/A N/A,126.41
9/5/88,#N/A N/A,127.67
9/6/88,#N/A N/A,127.89
9/7/88,#N/A N/A,128.25
9/8/88,#N/A N/A,129.6
9/9/88,#N/A N/A,129.81
