Date,Price Open,Last Price
9/30/2025,16706.12,16787.4
9/29/2025,16713.71,16708.2
9/26/2025,16576.58,16640.98
9/25/2025,16498.84,16560.84
9/24/2025,16772.5,16622.03
9/23/2025,16872.49,16697.92
9/22/2025,16713.64,16882.63
9/19/2025,16657.12,16745.77
9/18/2025,16590.49,16583.28
9/17/2025,16549.51,16483.53
9/16/2025,16630.59,16560.48
9/15/2025,16523.44,16605.06
9/12/2025,16404.55,16442.56
9/11/2025,16348.82,16372.62
9/10/2025,16360.65,16281.88
9/9/2025,16236.93,16251.05
9/8/2025,16177.33,16195.04
9/5/2025,16154.27,16095.46
9/4/2025,16042.92,16166.09
9/3/2025,15969.2,16012.61
9/2/2025,15684.11,15814.35
9/1/2025,#N/A N/A,15948.86
8/29/2025,16091.14,15948.86
8/28/2025,16039.37,16134.05
8/27/2025,15985.76,16026.31
8/26/2025,15877.95,15991.29
8/25/2025,15884.85,15886.72
8/22/2025,15689.33,15912.93
8/21/2025,15699.98,15667.7
8/20/2025,15791.43,15728.27
8/19/2025,16030.03,15825.51
8/18/2025,16038.35,16057.53
8/15/2025,16095.57,16034.66
8/14/2025,16042.91,16086.58
8/13/2025,16122.79,16055.56
8/12/2025,15974.14,16065.5
8/11/2025,15931.3,15903.76
8/8/2025,15864.05,15948.01
8/7/2025,15930.79,15804.72
8/6/2025,15606.8,15807.49
8/5/2025,15736.05,15587.58
8/4/2025,15555.35,15708.11
8/1/2025,15544.36,15421.4
7/31/2025,16028.79,15758.23
7/30/2025,15800.66,15816.26
7/29/2025,15915.9,15768.64
7/28/2025,15811.86,15833.51
7/25/2025,15710.93,15769.25
7/24/2025,15689.49,15686.17
7/23/2025,15569.95,15621.53
7/22/2025,15600.33,15507.77
7/21/2025,15580.4,15597.61
7/18/2025,15567.25,15553.53
7/17/2025,15455.32,15527.45
7/16/2025,15431.46,15440.7
7/15/2025,15469.95,15394.2
7/14/2025,15293.11,15337.14
7/11/2025,15242.56,15286.12
7/10/2025,15317.13,15296.74
7/9/2025,15228.08,15298.99
7/8/2025,15213.44,15146.97
7/7/2025,15222.62,15184.38
7/4/2025,#N/A N/A,15298.74
7/3/2025,15195.19,15298.74
7/2/2025,14990.35,15126.44
7/1/2025,15110.09,15000.66
6/30/2025,15142.37,15169.85
6/27/2025,15019.46,15078.02
6/26/2025,14916.67,14979.49
6/25/2025,14853.01,14857.55
6/24/2025,14731.8,14782.68
6/23/2025,14428.29,14588.46
6/20/2025,14573.24,14436.69
6/19/2025,#N/A N/A,14502.02
6/18/2025,14527.02,14502.02
6/17/2025,14576.31,14521.69
6/16/2025,14538.39,14636.49
6/13/2025,14486.78,14460.27
6/12/2025,14580.16,14649.42
6/11/2025,14691.52,14612.77
6/10/2025,14613.19,14657.64
6/9/2025,14597.57,14595.69
6/6/2025,14594.36,14585.22
6/5/2025,14612.67,14441.46
6/4/2025,14557.52,14559.78
6/3/2025,14463.24,14530.87
6/2/2025,14298.02,14430.11
5/30/2025,14337.66,14347.82
5/29/2025,14521.76,14357.33
5/28/2025,14377.31,14302.86
5/27/2025,14194.02,14349.2
5/26/2025,#N/A N/A,13994.95
5/23/2025,13914.44,13994.95
5/22/2025,14102.49,14144.12
5/21/2025,14203.53,14094.01
5/20/2025,14313.44,14300.12
5/19/2025,14172.64,14377.8
5/16/2025,14330.04,14371.32
5/15/2025,14242.36,14291.62
5/14/2025,14273.48,14327.39
5/13/2025,13993.66,14204.62
5/12/2025,13887.23,13952.57
5/9/2025,13431.79,13368.53
5/8/2025,13393,13372
5/7/2025,13241.06,13258.38
5/6/2025,13174.19,13225.91
