Date,Price Open,Last Price
9/30/2025,4176.92,4185.54
9/29/2025,4181.97,4177.01
9/26/2025,4157.66,4172.01
9/25/2025,4158.17,4142.66
9/24/2025,4177.04,4170.25
9/23/2025,4178.51,4175.5
9/22/2025,4164.08,4173.15
9/19/2025,4181.4,4172.81
9/18/2025,4162.93,4176.58
9/17/2025,4153.03,4158.8
9/16/2025,4149.05,4143.75
9/15/2025,4150.51,4140.93
9/12/2025,4160.98,4145.56
9/11/2025,4128.84,4172.42
9/10/2025,4101.06,4123.21
9/9/2025,4096.44,4107.65
9/8/2025,4098.31,4097.84
9/5/2025,4120.24,4105.23
9/4/2025,4086.65,4110.98
9/3/2025,4093.05,4082.64
9/2/2025,4087.82,4098.95
9/1/2025,#N/A N/A,4119.01
8/29/2025,4119.67,4119.01
8/28/2025,4123,4122.99
8/27/2025,4107.57,4121.85
8/26/2025,4099.5,4111.92
8/25/2025,4130.45,4105.14
8/22/2025,4091.79,4135.18
8/21/2025,4076.58,4072.77
8/20/2025,4084.44,4088.95
8/19/2025,4072.53,4081.06
8/18/2025,4070.06,4068.62
8/15/2025,4090.77,4075.54
8/14/2025,4075.98,4083.99
8/13/2025,4073.58,4093.27
8/12/2025,4015.76,4063.63
8/11/2025,4025.57,4014.18
8/8/2025,4002.91,4024.09
8/7/2025,4025.99,4002.99
8/6/2025,4015.17,4007.41
8/5/2025,4021.9,4009.06
8/4/2025,3985.54,4016.88
8/1/2025,3999.29,3971.79
7/31/2025,4034.64,4015.3
7/30/2025,4051.6,4027.32
7/29/2025,4062.17,4051.24
7/28/2025,4074.95,4057.35
7/25/2025,4064.96,4073.65
7/24/2025,4068.87,4062.13
7/23/2025,4052.32,4075.38
7/22/2025,4012.21,4042.32
7/21/2025,4024.49,4011.15
7/18/2025,4028.36,4014.75
7/17/2025,3992.87,4019.6
7/16/2025,3991.21,3998.87
7/15/2025,4035.95,3983.73
7/14/2025,4025.73,4034.94
7/11/2025,4038.79,4033.85
7/10/2025,4037.56,4060.43
7/9/2025,4032.81,4040.66
7/8/2025,4024.94,4032.8
7/7/2025,4054.36,4029.92
7/4/2025,#N/A N/A,4062.65
7/3/2025,4051.29,4062.65
7/2/2025,4035.81,4041.76
7/1/2025,3997.94,4036.92
6/30/2025,3992.14,4001.27
6/27/2025,3970.98,3981.14
6/26/2025,3947.45,3966.52
6/25/2025,3953.04,3935.11
6/24/2025,3936.1,3958.74
6/23/2025,3889.91,3921.98
6/20/2025,3903.19,3889.41
6/19/2025,#N/A N/A,3889.83
6/18/2025,3887.35,3889.83
6/17/2025,3905.38,3884.85
6/16/2025,3912.25,3918.09
6/13/2025,3909.01,3892.31
6/12/2025,3905.75,3930.03
6/11/2025,3924.53,3911.12
6/10/2025,3901.76,3920.39
6/9/2025,3898.18,3896.32
6/6/2025,3882.41,3893.81
6/5/2025,3867.55,3854.02
6/4/2025,3871.91,3860.86
6/3/2025,3843.07,3867.33
6/2/2025,3824.75,3848.28
5/30/2025,3828,3838.54
5/29/2025,3826.1,3834.41
5/28/2025,3850.48,3819.18
5/27/2025,3818.88,3850.39
5/26/2025,#N/A N/A,3792.95
5/23/2025,3775.19,3792.95
5/22/2025,3816.71,3803.33
5/21/2025,3873.84,3820.03
5/20/2025,3893.97,3892.03
5/19/2025,3871.04,3900.23
5/16/2025,3860.83,3895.22
5/15/2025,3820.28,3860.87
5/14/2025,3842.35,3818.97
5/13/2025,3856.94,3846.04
5/12/2025,3841.87,3861.01
5/9/2025,3792.59,3780.68
5/8/2025,3783.44,3784.52
5/7/2025,3756.12,3768.94
5/6/2025,3749.23,3746.68
5/5/2025,3775.4,3771.04
5/2/2025,3773.5,3790.84
5/1/2025,3739.21,3733.25
4/30/2025,3717.91,3747.45
4/29/2025,3706.44,3739.43
4/28/2025,3714.82,3719.26
4/25/2025,3709.88,3707.38
4/24/2025,3670.95,3716.88
4/23/2025,3691.07,3677.87
4/22/2025,3598.93,3652.31
4/21/2025,3625.47,3572.77
4/18/2025,#N/A N/A,3642.75
4/17/2025,3645.51,3642.75
4/16/2025,3673.49,3632.01
4/15/2025,3696.15,3675.55
4/14/2025,3676.13,3687.65
4/11/2025,3586.82,3645.69
4/10/2025,3644.66,3592.83
4/9/2025,3430.99,3691.69
4/8/2025,3583.8,3463.31
4/7/2025,3461.49,3511.78
4/4/2025,3713.57,3540.16
4/3/2025,3855.6,3762.15
4/2/2025,3863.95,3906.74
4/1/2025,3886.46,3885.64
3/31/2025,3838.47,3890.89
3/28/2025,3896.18,3851.1
3/27/2025,3900.13,3897.22
3/26/2025,3906.31,3904.43
3/25/2025,3912.78,3898.16
3/24/2025,3885.16,3908.65
3/21/2025,3860.97,3862.6
3/20/2025,3873.64,3882.06
3/19/2025,3872.16,3890.58
3/18/2025,3879.42,3869.86
3/17/2025,3834.73,3882.85
3/14/2025,3793.52,3835.58
3/13/2025,3795.16,3774.63
3/12/2025,3824.67,3799.28
3/11/2025,3871.48,3819.11
3/10/2025,3897.97,3871.87
3/7/2025,3881.94,3920.72
3/6/2025,3895.18,3891.81
3/5/2025,3887.99,3920.69
3/4/2025,3949.11,3890.93
3/3/2025,4007.38,3965.9
2/28/2025,3958.52,3996.5
2/27/2025,3957.39,3945.52
2/26/2025,3978.72,3956.09
2/25/2025,3975.28,3976.3
2/24/2025,3967.79,3965.62
