Date,Price Open,Last Price
12/31/87,100,100
1/1/88,100,100
1/4/88,99.91,99.91
1/5/88,99.7,99.7
1/6/88,101.26,101.26
1/7/88,102.04,102.04
1/8/88,99.16,99.16
1/11/88,99.11,99.11
1/12/88,99.04,99.04
1/13/88,98.72,98.72
1/14/88,99.26,99.26
1/15/88,98.64,98.64
1/18/88,99.69,99.69
1/19/88,99.22,99.22
1/20/88,98.51,98.51
1/21/88,98.38,98.38
1/22/88,99.2,99.2
1/25/88,101.16,101.16
1/26/88,101.1,101.1
1/27/88,100.67,100.67
1/28/88,101.92,101.92
1/29/88,102.33,102.33
2/1/88,101.51,101.51
2/2/88,101.66,101.66
2/3/88,101.16,101.16
2/4/88,101.09,101.09
2/5/88,100.76,100.76
2/8/88,100.41,100.41
2/9/88,100.37,100.37
2/10/88,101.69,101.69
2/11/88,101.92,101.92
2/12/88,101.6,101.6
2/15/88,102.53,102.53
2/16/88,103.3,103.3
2/17/88,103.71,103.71
2/18/88,104.2,104.2
2/19/88,104.87,104.87
2/22/88,106.19,106.19
2/23/88,106.5,106.5
2/24/88,106.69,106.69
2/25/88,106.99,106.99
2/26/88,107.1,107.1
2/29/88,108.07,108.07
3/1/88,108.53,108.53
3/2/88,108.95,108.95
3/3/88,108.85,108.85
3/4/88,108.91,108.91
3/7/88,109.47,109.47
3/8/88,109.6,109.6
3/9/88,110.05,110.05
3/10/88,109.52,109.52
3/11/88,109.41,109.41
3/14/88,109.44,109.44
3/15/88,109.65,109.65
3/16/88,110.42,110.42
3/17/88,110.93,110.93
3/18/88,111.35,111.35
3/21/88,111.54,111.54
3/22/88,111.11,111.11
3/23/88,111.54,111.54
3/24/88,110.62,110.62
3/25/88,109.36,109.36
3/28/88,109.32,109.32
3/29/88,110.44,110.44
3/30/88,110.74,110.74
3/31/88,111.22,111.22
4/1/88,111.22,111.22
4/4/88,110.72,110.72
4/5/88,110.39,110.39
4/6/88,111.71,111.71
4/7/88,112.17,112.17
4/8/88,112.93,112.93
4/11/88,113.14,113.14
4/12/88,113.44,113.44
4/13/88,113.71,113.71
4/14/88,113.37,113.37
4/15/88,112.56,112.56
4/18/88,111.85,111.85
4/19/88,111.72,111.72
4/20/88,111.74,111.74
4/21/88,111.38,111.38
4/22/88,111.42,111.42
4/25/88,112.34,112.34
4/26/88,112.75,112.75
4/27/88,112.35,112.35
4/28/88,112.77,112.77
4/29/88,112.45,112.45
5/2/88,112.67,112.67
5/3/88,113.05,113.05
5/4/88,112.54,112.54
5/5/88,112.47,112.47
5/6/88,111.77,111.77
5/9/88,111.06,111.06
5/10/88,111.34,111.34
5/11/88,110.1,110.1
5/12/88,110.02,110.02
5/13/88,110.78,110.78
5/16/88,111.42,111.42
5/17/88,110.71,110.71
5/18/88,110.03,110.03
5/19/88,109.55,109.55
5/20/88,109.51,109.51
5/23/88,108.99,108.99
5/24/88,109.57,109.57
