Date,Price Open,Last Price
9/30/2025,6729.61,6764.28
9/29/2025,6697.13,6729.28
9/26/2025,6666.87,6695.91
9/25/2025,6706.01,6669.47
9/24/2025,6741.46,6705.26
9/23/2025,6796.15,6740.01
9/22/2025,6748.87,6793.8
9/19/2025,6708.03,6750.23
9/18/2025,6665.67,6705.06
9/17/2025,6694.91,6669.13
9/16/2025,6711.11,6694.88
9/15/2025,6649.49,6709
9/12/2025,6631.75,6649.86
9/11/2025,6589.27,6629.41
9/10/2025,6576.54,6592.53
9/9/2025,6572.81,6580.14
9/8/2025,6522.89,6567.04
9/5/2025,6533.19,6525.82
9/4/2025,6477.45,6527.57
9/3/2025,6403.19,6474.91
9/2/2025,6473.19,6408.55
9/1/2025,6469.26,6472.32
8/29/2025,6534.04,6473.13
8/28/2025,6494.33,6534.2
8/27/2025,6479.16,6488.63
8/26/2025,6454.06,6480.71
8/25/2025,6477.38,6462.87
8/22/2025,6381.55,6478.1
8/21/2025,6407.94,6382.09
8/20/2025,6440.31,6409.38
8/19/2025,6512.6,6443.74
8/18/2025,6504.13,6512.25
8/15/2025,6509.51,6505.38
8/14/2025,6506.92,6509.78
8/13/2025,6498.85,6508.81
8/12/2025,6434.38,6493.62
8/11/2025,6455.07,6432.09
8/8/2025,6414.08,6455.36
8/7/2025,6399.19,6406.7
8/6/2025,6321.79,6396.46
8/5/2025,6353.01,6320.46
8/4/2025,6258.48,6348.42
8/1/2025,6364,6254.84
7/31/2025,6396.55,6367.11
7/30/2025,6396.33,6401.16
7/29/2025,6420.27,6393.3
7/28/2025,6424.24,6427.49
7/25/2025,6406.81,6421.67
7/24/2025,6386.78,6410.52
7/23/2025,6327.13,6380.39
7/22/2025,6355.06,6323.86
7/21/2025,6336.63,6354.27
7/18/2025,6332.11,6338.88
7/17/2025,6288.29,6327.74
7/16/2025,6278.79,6283.52
7/15/2025,6271.03,6279.38
7/14/2025,6256.17,6272.11
7/11/2025,6279.25,6257.75
7/10/2025,6274.61,6274.72
7/9/2025,6221.68,6272.5
7/8/2025,6233.02,6218.08
7/7/2025,6269.1,6233.92
7/4/2025,6276,6269.11
7/3/2025,6224.06,6271.25
7/2/2025,6185.75,6219.07
7/1/2025,6244.06,6183.61
6/30/2025,6211.21,6238.02
6/27/2025,6161.41,6206.61
6/26/2025,6114.65,6160.77
6/25/2025,6092.45,6106.68
6/24/2025,6013.11,6092.59
6/23/2025,5955.11,6002.61
6/20/2025,5983.58,5959.18
6/19/2025,5995.32,5978.37
6/18/2025,6001.64,5999.23
6/17/2025,6055.4,6009.09
6/16/2025,5994.52,6060.19
6/13/2025,6074.66,5994.36
6/12/2025,6058.12,6070.83
6/11/2025,6066.13,6054.86
6/10/2025,6045.17,6064.8
6/9/2025,6040.39,6043.1
6/6/2025,5997.28,6036.37
6/5/2025,6032.2,5998.06
6/4/2025,6009.42,6034.28
6/3/2025,5985.21,6008.79
6/2/2025,5947.91,5982.41
5/30/2025,5953.29,5947.9
5/29/2025,5920.15,5951.71
5/28/2025,5954.21,5926.3
5/27/2025,5842.25,5952.08
5/26/2025,5826.04,5842.13
5/23/2025,5866.26,5823.42
5/22/2025,5862.62,5865.28
5/21/2025,5927.96,5866.68
5/20/2025,5938.71,5923.8
5/19/2025,5928.63,5939.45
5/16/2025,5901.88,5925.08
5/15/2025,5901.54,5899.57
5/14/2025,5867.98,5907.02
5/13/2025,5774.13,5865.1
5/12/2025,5596.82,5773.55
5/9/2025,5588.66,5599.68
5/8/2025,5559.13,5593.98
5/7/2025,5559.18,5565.67
5/6/2025,5595.26,5558.85
5/5/2025,5620.89,5597.4
5/2/2025,5532.82,5626.73
5/1/2025,5475.12,5530.04
4/30/2025,5466.19,5477.77
4/29/2025,5439.32,5463.67
4/28/2025,5432.98,5435.17
4/25/2025,5360.49,5432.61
4/24/2025,5231.02,5360.5
4/23/2025,5107.91,5233.52
4/22/2025,5018.08,5120.46
4/21/2025,5121.03,5019.64
4/18/2025,5113,5113.29
4/17/2025,5111.69,5110.6
4/16/2025,5229.28,5109.47
4/15/2025,5218.17,5233.55
4/14/2025,5173.97,5217.57
4/11/2025,5090.8,5168.93
4/10/2025,5173.79,5083.24
4/9/2025,4766.4,5178.5
4/8/2025,4785.97,4762.09
4/7/2025,4848.74,4785.3
4/4/2025,5145.45,4850.58
4/3/2025,5403.96,5151.24
4/2/2025,5364.82,5401.86
4/1/2025,5312.85,5366.03
3/31/2025,5342.41,5312.2
3/28/2025,5464.83,5342.09
3/27/2025,5490.37,5465.12
3/26/2025,5606.83,5493.01
3/25/2025,5577.38,5607.52
3/24/2025,5481.26,5576.67
3/21/2025,5467.43,5481.1
3/20/2025,5483.28,5466.42
3/19/2025,5411.07,5477.16
3/18/2025,5480.09,5409.55
3/17/2025,5457.93,5481.34
3/14/2025,5334.14,5456.76
3/13/2025,5432.02,5334.77
3/12/2025,5361.72,5432.65
3/11/2025,5377.65,5362.92
3/10/2025,5580.55,5378.18
3/7/2025,5581.82,5581.82
3/6/2025,5709.5,5583.05
3/5/2025,5618.29,5706.31
3/4/2025,5653.55,5612.07
3/3/2025,5747.75,5653.28
2/28/2025,5677.82,5748.7
2/27/2025,5817.26,5679.73
2/26/2025,5787.84,5817.78
2/25/2025,5845.98,5786.71
2/24/2025,5901.82,5847.29
2/21/2025,6010.14,5900.19
2/20/2025,6038.78,6008.01
2/19/2025,6048.93,6039.27
2/18/2025,6052.44,6050.69
2/17/2025,6043.91,6052.72
2/14/2025,6033.04,6046.13
2/13/2025,5946.5,6028.98
2/12/2025,5947.85,5945.32
2/11/2025,5958.47,5945.66
2/10/2025,5905.66,5960.13
2/7/2025,5977.18,5910.38
2/6/2025,5931.97,5975.38
2/5/2025,5913.28,5934.38
2/4/2025,5845.73,5912.73
2/3/2025,5904.32,5841.09
1/31/2025,5932.61,5919.85
1/30/2025,5910.28,5937.8
1/29/2025,5934.77,5909.97
1/28/2025,5830.58,5933.63
1/27/2025,5996.93,5831.1
1/24/2025,6007.27,6000.04
1/23/2025,5982.95,6005.26
1/22/2025,5901.33,5983.64
1/21/2025,5861.21,5898.5
1/20/2025,5840.86,5859.24
1/17/2025,5781.56,5844.2
1/16/2025,5803.07,5781.05
1/15/2025,5681.43,5804.07
1/14/2025,5704.09,5680.28
1/13/2025,5734.81,5697.5
1/10/2025,5818.84,5735.82
1/9/2025,5819.02,5818.87
1/8/2025,5815.9,5817.31
1/7/2025,5906.99,5818.59
1/6/2025,5834.53,5907.09
1/3/2025,5760.66,5833.46
1/2/2025,5767.41,5761.86
1/1/2025,5767.86,5767.88
12/31/2024,5814.3,5767.87
12/30/2024,5877.58,5811.51
12/27/2024,5937.63,5877.24
12/26/2024,5944.26,5936.16
12/25/2024,5944.32,5942.73
12/24/2024,5881.21,5942.39
12/23/2024,5829.85,5879.28
12/20/2024,5790.23,5827.02
12/19/2024,5807.42,5791.71
12/18/2024,5988.14,5821.12
12/17/2024,6002.31,5987.97
12/16/2024,5942.47,6002.41
12/13/2024,5945.61,5941.64
12/12/2024,5977.96,5947.94
12/11/2024,5891.46,5977.27
12/10/2024,5912.58,5889.31
12/9/2024,5948.09,5916.97
12/6/2024,5913.04,5948.61
12/5/2024,5910.88,5911.29
12/4/2024,5838.45,5912.17
12/3/2024,5797.12,5839.63
12/2/2024,5748.39,5793.23
11/29/2024,5699.76,5746.66
11/28/2024,5694.85,5699.49
11/27/2024,5718.72,5694.81
11/26/2024,5681.6,5717.11
11/25/2024,5673.76,5680.27
11/22/2024,5656.6,5666.75
11/21/2024,5651.04,5659.57
11/20/2024,5660.4,5648.71
11/19/2024,5606.54,5660.69
11/18/2024,5586.48,5602.98
11/15/2024,5688.57,5586.07
11/14/2024,5714.91,5693.4
11/13/2024,5731.32,5717.92
11/12/2024,5742.46,5731.61
11/11/2024,5732.37,5741.78
11/8/2024,5728.77,5735.75
11/7/2024,5638.26,5729.42
11/6/2024,5545.21,5639.56
11/5/2024,5479.37,5542.83
11/4/2024,5496.3,5481.6
11/1/2024,5463.12,5493.18
10/31/2024,5593.5,5459.75
10/30/2024,5624.65,5594.76
10/29/2024,5593.73,5622.71
10/28/2024,5581.05,5594.18
10/25/2024,5566.62,5586.31
10/24/2024,5531.3,5564.57
10/23/2024,5607.46,5530.75
10/22/2024,5615.53,5608.07
10/21/2024,5609.51,5618.25
10/18/2024,5572.69,5608.17
10/17/2024,5566.94,5573.53
10/16/2024,5573.93,5568.33
10/15/2024,5627.83,5575.22
