Date,Price Open,Last Price
9/30/2025,4209,4222.2
9/29/2025,4208.1,4208.6
9/26/2025,4174.8,4206.8
9/25/2025,4204.3,4175.6
9/24/2025,4213.8,4202.5
9/23/2025,4208.3,4212.1
9/22/2025,4203.9,4206.7
9/19/2025,4208.8,4205.3
9/18/2025,4199.4,4206.8
9/17/2025,4193.9,4202
9/16/2025,4193.2,4194.2
9/15/2025,4189.9,4191.4
9/12/2025,4211.8,4190
9/11/2025,4167.4,4209.9
9/10/2025,4154,4170
9/9/2025,4149.9,4156.6
9/8/2025,4146,4147.7
9/5/2025,4147.5,4149.3
9/4/2025,4118.5,4143.6
9/3/2025,4128.8,4117.6
9/2/2025,4158.5,4132
9/1/2025,4155.6,4157.8
8/29/2025,4161.3,4158.2
8/28/2025,4158,4161.7
8/27/2025,4151.1,4153.8
8/26/2025,4152.2,4151.9
8/25/2025,4186.8,4157.9
8/22/2025,4127.6,4186.1
8/21/2025,4140.6,4127
8/20/2025,4130.2,4142.7
8/19/2025,4117,4131.5
8/18/2025,4127.7,4116.2
8/15/2025,4126,4129
8/14/2025,4133,4125.1
8/13/2025,4103.8,4133.7
8/12/2025,4055,4099.6
8/11/2025,4062.4,4052.5
8/8/2025,4044.6,4061.6
8/7/2025,4038.4,4039
8/6/2025,4028.5,4036.2
8/5/2025,4029.5,4027.1
8/4/2025,3990.1,4027
8/1/2025,4018.6,3988.5
7/31/2025,4034.2,4020.9
7/30/2025,4060.2,4037.7
7/29/2025,4063.3,4058.2
7/28/2025,4090.8,4068.2
7/25/2025,4087.4,4089.7
7/24/2025,4097.2,4090.8
7/23/2025,4052.2,4093.2
7/22/2025,4022.3,4049
7/21/2025,4017.5,4021.7
7/18/2025,4019.4,4019.1
7/17/2025,3998.9,4016.1
7/16/2025,3987.7,3995.6
7/15/2025,4035.2,3989
7/14/2025,4035.9,4036.4
7/11/2025,4064.5,4036.7
7/10/2025,4047,4060.5
7/9/2025,4033.2,4045.2
7/8/2025,4027.5,4029.5
7/7/2025,4059.6,4029.1
7/4/2025,4063.6,4059.2
7/3/2025,4045.6,4061
7/2/2025,4037.9,4041.8
7/1/2025,4011.5,4036.1
6/30/2025,3996.1,4008.1
6/27/2025,3974.9,3993.9
6/26/2025,3946.1,3975
6/25/2025,3966.2,3941.3
6/24/2025,3929.4,3967.2
6/23/2025,3900.4,3922.1
6/20/2025,3903.7,3902.3
6/19/2025,3908.8,3900.1
6/18/2025,3903.6,3911.2
6/17/2025,3940.9,3909.2
6/16/2025,3917.7,3944.6
6/13/2025,3957.3,3917.6
6/12/2025,3936.7,3954.9
6/11/2025,3940.2,3934.4
6/10/2025,3922.6,3939.1
6/9/2025,3919.7,3921.5
6/6/2025,3891.6,3916.9
6/5/2025,3893.8,3891.6
6/4/2025,3894.5,3895.9
6/3/2025,3886.2,3894.2
6/2/2025,3871.9,3885.4
5/30/2025,3868,3872.3
5/29/2025,3845.3,3867.2
5/28/2025,3882.7,3850.4
5/27/2025,3843.5,3881
5/26/2025,3835.6,3843.4
5/23/2025,3838.2,3833.4
5/22/2025,3856.6,3837.5
5/21/2025,3907.3,3859.3
5/20/2025,3900.2,3903
5/19/2025,3891.4,3900.5
5/16/2025,3864.2,3888
5/15/2025,3828.4,3861.9
5/14/2025,3849.3,3832.7
5/13/2025,3849.5,3846.4
5/12/2025,3799.5,3849.7
5/9/2025,3793.8,3801.2
5/8/2025,3789.6,3797.3
5/7/2025,3778.6,3795.7
5/6/2025,3792.2,3778.8
5/5/2025,3804.5,3793.8
5/2/2025,3751.7,3809.1
5/1/2025,3767,3750.2
4/30/2025,3764.9,3770
4/29/2025,3746.8,3762.6
4/28/2025,3725.3,3743.6
4/25/2025,3729.5,3724.4
4/24/2025,3695.8,3728.8
4/23/2025,3663.5,3697
4/22/2025,3609.8,3672.4
4/21/2025,3658.3,3610.6
4/18/2025,3652.6,3652.5
4/17/2025,3640.4,3650.3
4/16/2025,3662.1,3639.4
4/15/2025,3659.1,3665.2
4/14/2025,3607.2,3658.4
4/11/2025,3565.6,3603.1
4/10/2025,3579.9,3560.5
4/9/2025,3440.1,3582.7
4/8/2025,3447.6,3437.1
4/7/2025,3522.6,3447.4
4/4/2025,3739.5,3525.2
4/3/2025,3852.4,3744
4/2/2025,3835.6,3850.9
4/1/2025,3831.6,3836.6
3/31/2025,3822.8,3830.9
3/28/2025,3863.7,3822.5
3/27/2025,3869.5,3864
3/26/2025,3868.9,3871.5
3/25/2025,3868.3,3869.2
3/24/2025,3838.9,3867.8
3/21/2025,3858.4,3839.4
3/20/2025,3872.1,3857.6
3/19/2025,3855.2,3867.4
3/18/2025,3853.7,3853.9
3/17/2025,3807.2,3854.7
3/14/2025,3754.1,3806.2
3/13/2025,3775.2,3754.3
3/12/2025,3782.6,3775.8
3/11/2025,3831.7,3783.6
3/10/2025,3873.2,3832
3/7/2025,3852.4,3873.8
3/6/2025,3866.9,3853.2
3/5/2025,3823.7,3863.7
3/4/2025,3886.2,3819.6
3/3/2025,3891.2,3886
2/28/2025,3859.7,3891.6
2/27/2025,3875.5,3860.9
2/26/2025,3884.5,3875.9
2/25/2025,3869,3883.7
2/24/2025,3864.7,3870
2/21/2025,3895.5,3863.9
2/20/2025,3898.5,3893.6
2/19/2025,3898,3899.1
2/18/2025,3880,3899.2
2/17/2025,3876.1,3879.9
2/14/2025,3883.2,3877.7
2/13/2025,3843.9,3880.1
2/12/2025,3858.4,3842.9
2/11/2025,3843.6,3856.8
2/10/2025,3832,3844.8
2/7/2025,3856.1,3835.4
2/6/2025,3849.8,3854.8
2/5/2025,3821,3851.5
2/4/2025,3811.9,3820.3
2/3/2025,3825.6,3808.5
1/31/2025,3855.9,3836.6
1/30/2025,3826.9,3859.2
1/29/2025,3826.9,3826.6
1/28/2025,3850.2,3826.2
1/27/2025,3820,3850.5
1/24/2025,3819,3822.4
1/23/2025,3794.5,3817.4
1/22/2025,3813.1,3795.2
1/21/2025,3780.5,3811.4
1/20/2025,3765.2,3778.7
1/17/2025,3747.4,3767.4
1/16/2025,3725.4,3747.1
1/15/2025,3684.6,3726
1/14/2025,3660.7,3683.7
1/13/2025,3634.9,3655.9
1/10/2025,3690,3635.9
1/9/2025,3692.2,3689.9
1/8/2025,3691.2,3691.1
1/7/2025,3692.6,3693.1
1/6/2025,3691.7,3692.6
1/3/2025,3667.8,3690.8
1/2/2025,3674.8,3668.6
1/1/2025,3675.1,3675.2
12/31/2024,3669.4,3675.1
12/30/2024,3697.3,3667.6
12/27/2024,3705.6,3697.3
12/26/2024,3701.3,3704.6
12/25/2024,3699.3,3699.6
12/24/2024,3675.8,3698.5
12/23/2024,3667.5,3674.6
12/20/2024,3632.5,3665.6
12/19/2024,3654.3,3633.8
12/18/2024,3737.9,3663.9
12/17/2024,3758.4,3737.7
12/16/2024,3781.6,3758.7
12/13/2024,3793.5,3781
12/12/2024,3808.9,3795
12/11/2024,3818.3,3808.4
12/10/2024,3838.1,3816.8
12/9/2024,3854.6,3840.8
12/6/2024,3868.7,3854.9
12/5/2024,3868.5,3867.4
12/4/2024,3878.8,3869.4
12/3/2024,3889.1,3879.5
12/2/2024,3904.4,3886.3
11/29/2024,3893.1,3903.2
11/28/2024,3889.6,3892.8
11/27/2024,3883.8,3889.4
11/26/2024,3891.9,3882.6
11/25/2024,3872.3,3890.7
11/22/2024,3843.8,3867
11/21/2024,3811.5,3845.9
11/20/2024,3814.1,3809.9
11/19/2024,3825.7,3814.3
11/18/2024,3808.5,3823
11/15/2024,3816.3,3808.1
11/14/2024,3830.4,3819.7
11/13/2024,3834.7,3832.3
11/12/2024,3874.9,3835.5
11/11/2024,3867.6,3874.8
11/8/2024,3866.4,3870.6
11/7/2024,3856.7,3866.8
11/6/2024,3804.2,3857.5
11/5/2024,3767.1,3802.3
11/4/2024,3770.7,3768.7
11/1/2024,3767.8,3768.5
10/31/2024,3791.8,3765.4
10/30/2024,3798.7,3792.9
10/29/2024,3814.9,3797.2
10/28/2024,3794.6,3815.1
10/25/2024,3818,3798
10/24/2024,3821,3816.6
10/23/2024,3835.9,3820.8
10/22/2024,3845.8,3836.2
10/21/2024,3883.5,3847.8
10/18/2024,3874.4,3882.1
10/17/2024,3872.3,3875.1
10/16/2024,3852.7,3873.4
10/15/2024,3869.1,3853.8
10/14/2024,3849.9,3868.8
10/11/2024,3822.8,3851.1
10/10/2024,3830.6,3821.7
10/9/2024,3808.1,3831.4
10/8/2024,3815.1,3807.1
10/7/2024,3828.6,3814.1
10/4/2024,3810.2,3829.2
10/3/2024,3827,3809.4
10/2/2024,3835.6,3827.2
10/1/2024,3850.1,3836
9/30/2024,3857.8,3852.6
9/27/2024,3840,3858.5
9/26/2024,3812,3841.1
9/25/2024,3837.5,3814.3
9/24/2024,3825.4,3833.1
9/23/2024,3810.4,3824.5
9/20/2024,3821.5,3809.6
9/19/2024,3781.2,3817.8
9/18/2024,3789.5,3780.6
9/17/2024,3790.9,3788.9
9/16/2024,3766.3,3789.7
9/13/2024,3741.2,3766.8
9/12/2024,3713.7,3737
9/11/2024,3717,3714.2
9/10/2024,3721.4,3717.1
9/9/2024,3692.5,3721.8
9/6/2024,3736.6,3696.4
9/5/2024,3751,3733.7
9/4/2024,3758.4,3752.2
9/3/2024,3796.6,3758.7
9/2/2024,3795,3796.4
8/30/2024,3769.2,3796.4
8/29/2024,3758.6,3767.5
8/28/2024,3766,3759.6
8/27/2024,3760.8,3765.5
8/26/2024,3758.7,3761.3
8/23/2024,3712,3756.6
8/22/2024,3719.1,3711.5
8/21/2024,3701.1,3716.8
8/20/2024,3711.7,3701.7
8/19/2024,3682.6,3709.1
8/16/2024,3662,3680.7
8/15/2024,3627.3,3661.8
8/14/2024,3609.7,3629.2
8/13/2024,3569.5,3606.3
8/12/2024,3576.2,3567.1
8/9/2024,3568.3,3577.6
8/8/2024,3523.3,3566.9
8/7/2024,3524.5,3524
8/6/2024,3492.7,3526
8/5/2024,3595.3,3497.2
8/2/2024,3648.7,3595.6
8/1/2024,3699.1,3650.2
7/31/2024,3672.1,3698.9
7/30/2024,3659.9,3668.8
7/29/2024,3663.9,3661.1
7/26/2024,3621.8,3662.8
7/25/2024,3619.8,3622.7
7/24/2024,3642.5,3624.2
7/23/2024,3657.9,3643.5
7/22/2024,3640.5,3656.6
7/19/2024,3667.8,3639.8
7/18/2024,3693.1,3671
7/17/2024,3679.5,3692.4
7/16/2024,3638.8,3676.2
7/15/2024,3635.7,3640.1
7/12/2024,3613.2,3638.1
7/11/2024,3581.2,3615.9
7/10/2024,3546.7,3578.2
7/9/2024,3553.6,3546.7
7/8/2024,3553.4,3554.4
7/5/2024,3561.2,3552.8
7/4/2024,3552.3,3561.6
7/3/2024,3538.3,3552.4
7/2/2024,3529.1,3537.7
7/1/2024,3536.3,3528.3
6/28/2024,3528,3534.2
6/27/2024,3529.6,3527.3
6/26/2024,3544.3,3530.7
6/25/2024,3565.2,3544.4
6/24/2024,3537.4,3563.4
6/21/2024,3548,3537.2
6/20/2024,3542.1,3548.2
6/19/2024,3542.5,3543.2
6/18/2024,3528.1,3540.6
6/17/2024,3509.6,3523.9
6/14/2024,3528.2,3510.5
6/13/2024,3541,3530.5
6/12/2024,3525.3,3544.8
6/11/2024,3552.5,3525.5
6/10/2024,3549.7,3550.7
6/7/2024,3565.7,3549.8
6/6/2024,3565,3564
6/5/2024,3553.4,3562
6/4/2024,3566.5,3555.7
6/3/2024,3573.8,3565.5
5/31/2024,3528.7,3571.4
5/30/2024,3507.4,3528.7
5/29/2024,3553.9,3510.4
5/28/2024,3574.4,3556.4
5/27/2024,3568.2,3574.5
5/24/2024,3553.8,3567.2
5/23/2024,3593.4,3557
5/22/2024,3610.8,3595
5/21/2024,3610.6,3611.8
5/20/2024,3620.4,3611.3
5/17/2024,3611.1,3620.7
5/16/2024,3620,3612.1
5/15/2024,3588.2,3615.5
5/14/2024,3574.7,3587.9
5/13/2024,3575.4,3575.6
5/10/2024,3561.8,3575.4
5/9/2024,3537.8,3559.6
5/8/2024,3535.2,3537
5/7/2024,3526,3539.1
5/6/2024,3503.1,3526.3
5/3/2024,3486.1,3504.8
5/2/2024,3467.2,3481.6
5/1/2024,3469.4,3462.3
4/30/2024,3512.2,3473.6
4/29/2024,3493.8,3510.4
