Date,Price Open,Last Price
12/31/69,#N/A N/A,100
1/30/70,#N/A N/A,97.66
2/27/70,#N/A N/A,96.15
3/31/70,#N/A N/A,95.86
4/30/70,#N/A N/A,85.56
5/29/70,#N/A N/A,79.01
6/30/70,#N/A N/A,79.62
7/31/70,#N/A N/A,82.5
8/31/70,#N/A N/A,83.87
9/30/70,#N/A N/A,86.21
10/30/70,#N/A N/A,83.61
11/30/70,#N/A N/A,80.54
12/31/70,#N/A N/A,83.17
1/29/71,#N/A N/A,86.82
2/26/71,#N/A N/A,87.64
3/31/71,#N/A N/A,91.87
4/30/71,#N/A N/A,93.63
5/31/71,#N/A N/A,94.16
6/30/71,#N/A N/A,95.57
7/30/71,#N/A N/A,97.77
8/31/71,#N/A N/A,96.02
9/30/71,#N/A N/A,95.53
10/29/71,#N/A N/A,91.3
11/30/71,#N/A N/A,92.74
12/31/71,#N/A N/A,106.63
1/31/72,#N/A N/A,114.13
2/29/72,#N/A N/A,120.79
3/30/72,#N/A N/A,121.79
3/31/72,#N/A N/A,121.79
4/28/72,#N/A N/A,126.22
5/31/72,#N/A N/A,134.55
6/30/72,#N/A N/A,129.71
7/31/72,#N/A N/A,137.52
8/31/72,#N/A N/A,138.92
9/29/72,#N/A N/A,131.94
10/31/72,#N/A N/A,131.48
11/30/72,#N/A N/A,142.08
12/29/72,#N/A N/A,144.92
1/31/73,#N/A N/A,151.22
2/28/73,#N/A N/A,166.42
3/30/73,#N/A N/A,169.83
4/30/73,#N/A N/A,157.9
5/31/73,#N/A N/A,160.32
6/29/73,#N/A N/A,162.22
7/31/73,#N/A N/A,162
8/31/73,#N/A N/A,152.89
9/28/73,#N/A N/A,155.38
10/31/73,#N/A N/A,158.02
11/30/73,#N/A N/A,131.82
12/31/73,#N/A N/A,125.5
1/31/74,#N/A N/A,130.86
2/28/74,#N/A N/A,135.8
3/29/74,#N/A N/A,131.86
4/30/74,#N/A N/A,133.66
5/31/74,#N/A N/A,126.22
6/28/74,#N/A N/A,119.39
7/31/74,#N/A N/A,115.64
8/30/74,#N/A N/A,103.2
9/30/74,#N/A N/A,96.85
10/31/74,#N/A N/A,96.35
11/29/74,#N/A N/A,99.07
12/31/74,#N/A N/A,97.66
1/31/75,#N/A N/A,113.72
2/28/75,#N/A N/A,127.14
3/31/75,#N/A N/A,125.27
4/30/75,#N/A N/A,129.65
5/30/75,#N/A N/A,128.94
6/30/75,#N/A N/A,124.48
7/31/75,#N/A N/A,119.38
8/29/75,#N/A N/A,118.36
9/30/75,#N/A N/A,112.11
10/31/75,#N/A N/A,119.62
11/28/75,#N/A N/A,122.22
12/31/75,#N/A N/A,123.89
1/30/76,#N/A N/A,130.33
2/27/76,#N/A N/A,129.69
3/31/76,#N/A N/A,126.88
4/30/76,#N/A N/A,126.34
5/31/76,#N/A N/A,122.97
6/30/76,#N/A N/A,124.12
7/30/76,#N/A N/A,122.02
8/31/76,#N/A N/A,121.29
9/30/76,#N/A N/A,119
10/29/76,#N/A N/A,111.56
11/30/76,#N/A N/A,110.96
12/31/76,#N/A N/A,123.09
1/31/77,#N/A N/A,121.62
2/28/77,#N/A N/A,123.75
3/31/77,#N/A N/A,123.66
4/29/77,#N/A N/A,126.13
5/31/77,#N/A N/A,125.07
6/30/77,#N/A N/A,127.66
7/29/77,#N/A N/A,125.52
8/31/77,#N/A N/A,129.67
9/30/77,#N/A N/A,133.07
10/31/77,#N/A N/A,134.7
11/30/77,#N/A N/A,133.93
12/30/77,#N/A N/A,138.65
1/31/78,#N/A N/A,139.16
2/28/78,#N/A N/A,140.12
3/31/78,#N/A N/A,149.4
4/28/78,#N/A N/A,148.02
5/31/78,#N/A N/A,151.07
6/30/78,#N/A N/A,156.71
7/31/78,#N/A N/A,169.66
8/31/78,#N/A N/A,172.64
9/29/78,#N/A N/A,177.21
10/31/78,#N/A N/A,185.3
11/30/78,#N/A N/A,169.33
12/29/78,#N/A N/A,176.99
1/31/79,#N/A N/A,177.85
2/28/79,#N/A N/A,177.01
3/30/79,#N/A N/A,181.47
4/30/79,#N/A N/A,180.68
5/31/79,#N/A N/A,177.65
6/29/79,#N/A N/A,180.85
7/31/79,#N/A N/A,181.3
8/31/79,#N/A N/A,186.62
9/28/79,#N/A N/A,195.02
10/31/79,#N/A N/A,178.32
11/30/79,#N/A N/A,181.66
12/31/79,#N/A N/A,188.11
1/31/80,#N/A N/A,199.14
2/29/80,#N/A N/A,200.98
3/31/80,#N/A N/A,175.39
4/30/80,#N/A N/A,190.4
5/30/80,#N/A N/A,199.66
6/30/80,#N/A N/A,211.8
7/31/80,#N/A N/A,211.12
8/29/80,#N/A N/A,217.53
9/30/80,#N/A N/A,224.72
10/31/80,#N/A N/A,231.75
11/28/80,#N/A N/A,227.65
12/31/80,#N/A N/A,225.41
1/30/81,#N/A N/A,220.36
2/27/81,#N/A N/A,216.73
3/31/81,#N/A N/A,224.64
4/30/81,#N/A N/A,228.79
5/29/81,#N/A N/A,220.35
6/30/81,#N/A N/A,219.81
7/31/81,#N/A N/A,210.3
8/31/81,#N/A N/A,214.62
