Date,Price Open,Last Price
12/31/69,100,100
1/7/70,100.67,100.67
1/14/70,99.77,99.77
1/21/70,98.38,98.38
1/28/70,95.91,95.91
1/30/70,94.25,94.25
2/4/70,95.91,95.91
2/11/70,95.47,95.47
2/18/70,95.63,95.63
2/25/70,96.87,96.87
2/27/70,96.98,96.98
3/4/70,96.98,96.98
3/11/70,96.98,96.98
3/18/70,96.98,96.98
3/25/70,96.98,96.98
3/31/70,97.07,97.07
4/1/70,97.01,97.01
4/8/70,95.78,95.78
4/15/70,94.14,94.14
4/22/70,91.49,91.49
4/29/70,88.1,88.1
4/30/70,87.8,87.8
5/6/70,86.35,86.35
5/13/70,83.55,83.55
5/20/70,79.99,79.99
5/25/70,77.91,77.91
5/29/70,82.06,82.06
6/3/70,84.14,84.14
6/10/70,81.63,81.63
6/17/70,81.97,81.97
6/24/70,80.52,80.52
6/30/70,79.84,79.84
7/1/70,80.05,80.05
7/8/70,79.6,79.6
7/15/70,81.17,81.17
7/22/70,82.83,82.83
7/29/70,84.08,84.08
7/31/70,84.59,84.59
8/5/70,84.03,84.03
8/12/70,82.52,82.52
8/19/70,83.45,83.45
8/26/70,87,87
8/31/70,87.17,87.17
9/2/70,86.57,86.57
9/9/70,88.16,88.16
9/16/70,87.2,87.2
9/23/70,88.38,88.38
9/30/70,89.79,89.79
10/7/70,92.01,92.01
10/14/70,89.82,89.82
10/21/70,89.32,89.32
10/28/70,88.71,88.71
10/30/70,88.26,88.26
11/4/70,89.18,89.18
11/11/70,89.2,89.2
11/18/70,87.11,87.11
11/25/70,88.53,88.53
11/30/70,90.03,90.03
12/2/70,91.2,91.2
12/9/70,91.81,91.81
12/16/70,92.14,92.14
12/23/70,92.59,92.59
12/30/70,94.38,94.38
12/31/70,94.29,94.29
1/6/71,94.71,94.71
1/13/71,95.49,95.49
1/20/71,96.49,96.49
1/27/71,97.65,97.65
1/29/71,98.42,98.42
2/3/71,99.03,99.03
2/10/71,99.39,99.39
2/17/71,100.68,100.68
2/24/71,99.41,99.41
2/26/71,99.25,99.25
3/3/71,99.36,99.36
3/10/71,101.73,101.73
3/17/71,103.1,103.1
3/24/71,102.32,102.32
3/31/71,103.41,103.41
4/2/71,103.67,103.67
4/9/71,104.68,104.68
4/16/71,105.63,105.63
4/23/71,106.18,106.18
4/30/71,106.59,106.59
5/6/71,105.74,105.74
5/7/71,105.8,105.8
5/14/71,105.74,105.74
5/21/71,104.66,104.66
5/28/71,103.85,103.85
5/31/71,103.86,103.86
6/4/71,105.38,105.38
6/11/71,105.16,105.16
6/18/71,104,104
6/25/71,103.16,103.16
6/30/71,104.71,104.71
7/2/71,104.8,104.8
7/9/71,105.74,105.74
7/16/71,105.33,105.33
7/23/71,105.14,105.14
7/30/71,102.84,102.84
8/6/71,101.46,101.46
8/13/71,102.97,102.97
8/17/71,104.94,104.94
8/20/71,105.72,105.72
8/27/71,105.65,105.65
8/31/71,104.88,104.88
9/3/71,106.19,106.19
9/10/71,106.03,106.03
9/17/71,105.44,105.44
9/24/71,103.99,103.99
9/30/71,103.68,103.68
10/1/71,104.17,104.17
10/8/71,104.48,104.48
10/15/71,102.97,102.97
10/22/71,100.78,100.78
10/29/71,99.54,99.54
11/5/71,99.01,99.01
11/12/71,97.55,97.55
11/19/71,97.52,97.52
11/26/71,97.8,97.8
11/30/71,100.18,100.18
12/3/71,102.86,102.86
12/10/71,105.53,105.53
12/17/71,106.6,106.6
12/24/71,107.62,107.62
12/31/71,108.99,108.99
1/3/72,104.25,104.25
1/4/72,104.62,104.62
1/5/72,105.63,105.63
1/6/72,110.83,110.83
1/7/72,110.85,110.85
1/10/72,110.51,110.51
1/11/72,110.98,110.98
1/12/72,111.21,111.21
1/13/72,110.7,110.7
1/14/72,111.17,111.17
1/17/72,111.61,111.61
1/18/72,111.85,111.85
1/19/72,111.91,111.91
