Date,Price Open,Last Price
9/30/2025,#N/A N/A,1764.428
9/29/2025,#N/A N/A,1757.855
9/26/2025,#N/A N/A,1755.289
9/25/2025,#N/A N/A,1728.508
9/24/2025,#N/A N/A,1736.751
9/23/2025,#N/A N/A,1744.549
9/22/2025,#N/A N/A,1737.589
9/19/2025,#N/A N/A,1713.199
9/18/2025,#N/A N/A,1717.662
9/17/2025,#N/A N/A,1708.973
9/16/2025,#N/A N/A,1735.861
9/15/2025,#N/A N/A,1736.1
9/12/2025,#N/A N/A,1710.173
9/11/2025,#N/A N/A,1699.624
9/10/2025,#N/A N/A,1684.004
9/9/2025,#N/A N/A,1671.677
9/8/2025,#N/A N/A,1676.174
9/5/2025,#N/A N/A,1658.57
9/4/2025,#N/A N/A,1653.096
9/3/2025,#N/A N/A,1655.543
9/2/2025,#N/A N/A,1647.95
9/1/2025,#N/A N/A,1644.212
8/29/2025,#N/A N/A,1640.697
8/28/2025,#N/A N/A,1644.582
8/27/2025,#N/A N/A,1631.681
8/26/2025,#N/A N/A,1629.793
8/25/2025,#N/A N/A,1636.853
8/22/2025,#N/A N/A,1643.772
8/21/2025,#N/A N/A,1611.028
8/20/2025,#N/A N/A,1613.577
8/19/2025,#N/A N/A,1617.368
8/18/2025,#N/A N/A,1633.945
8/15/2025,#N/A N/A,1635.813
8/14/2025,#N/A N/A,1631.585
8/13/2025,#N/A N/A,1643.42
8/12/2025,#N/A N/A,1633.637
8/11/2025,#N/A N/A,1614.968
8/8/2025,#N/A N/A,1644.321
8/7/2025,#N/A N/A,1628.703
8/6/2025,#N/A N/A,1624.995
8/5/2025,#N/A N/A,1605.501
8/4/2025,#N/A N/A,1601.631
8/1/2025,#N/A N/A,1586.599
7/31/2025,#N/A N/A,1607.005
7/30/2025,#N/A N/A,1630.737
7/29/2025,#N/A N/A,1650.14
7/28/2025,#N/A N/A,1639.437
7/25/2025,#N/A N/A,1662.276
7/24/2025,#N/A N/A,1677.302
7/23/2025,#N/A N/A,1689.542
7/22/2025,#N/A N/A,1670.027
7/21/2025,#N/A N/A,1660.788
7/18/2025,#N/A N/A,1633.877
7/17/2025,#N/A N/A,1627.524
7/16/2025,#N/A N/A,1625.697
7/15/2025,#N/A N/A,1616.603
7/14/2025,#N/A N/A,1635.385
7/11/2025,#N/A N/A,1654.452
7/10/2025,#N/A N/A,1654.499
7/9/2025,#N/A N/A,1659.612
7/8/2025,#N/A N/A,1654.596
7/7/2025,#N/A N/A,1656.076
7/4/2025,#N/A N/A,1669.364
7/3/2025,#N/A N/A,1670.025
7/2/2025,#N/A N/A,1678.249
7/1/2025,#N/A N/A,1678.951
6/30/2025,#N/A N/A,1675.646
6/27/2025,#N/A N/A,1647.151
