Date,Price Open,Last Price
12/31/99,#N/A N/A,1000
1/3/00,#N/A N/A,997.2
1/4/00,#N/A N/A,970.674
1/5/00,#N/A N/A,962.133
1/6/00,#N/A N/A,953.473
1/7/00,#N/A N/A,944.034
1/10/00,#N/A N/A,951.209
1/11/00,#N/A N/A,974.228
1/12/00,#N/A N/A,979.586
1/13/00,#N/A N/A,977.137
1/14/00,#N/A N/A,996.68
1/17/00,#N/A N/A,999.67
1/18/00,#N/A N/A,1020.363
1/19/00,#N/A N/A,1017.914
1/20/00,#N/A N/A,1015.777
1/21/00,#N/A N/A,1014.964
1/24/00,#N/A N/A,1011.006
1/25/00,#N/A N/A,1011.107
1/26/00,#N/A N/A,1001.097
1/27/00,#N/A N/A,1012.009
1/28/00,#N/A N/A,1015.146
1/31/00,#N/A N/A,1019.714
2/1/00,#N/A N/A,1012.474
2/2/00,#N/A N/A,999.514
2/3/00,#N/A N/A,973.927
2/4/00,#N/A N/A,991.068
2/7/00,#N/A N/A,1004.249
2/8/00,#N/A N/A,989.185
2/9/00,#N/A N/A,992.549
2/10/00,#N/A N/A,1009.124
2/11/00,#N/A N/A,1002.363
2/14/00,#N/A N/A,1006.573
2/15/00,#N/A N/A,1002.043
2/16/00,#N/A N/A,1004.549
2/17/00,#N/A N/A,1007.864
2/18/00,#N/A N/A,1010.988
2/21/00,#N/A N/A,1006.742
2/22/00,#N/A N/A,979.056
2/23/00,#N/A N/A,987.868
2/24/00,#N/A N/A,988.559
2/25/00,#N/A N/A,989.35
2/28/00,#N/A N/A,983.117
2/29/00,#N/A N/A,995.21
3/1/00,#N/A N/A,987.447
3/2/00,#N/A N/A,993.866
3/3/00,#N/A N/A,997.344
3/6/00,#N/A N/A,1002.53
3/7/00,#N/A N/A,1008.144
3/8/00,#N/A N/A,986.973
3/9/00,#N/A N/A,978.979
3/10/00,#N/A N/A,979.762
3/13/00,#N/A N/A,968.789
3/14/00,#N/A N/A,963.073
3/15/00,#N/A N/A,961.532
3/16/00,#N/A N/A,963.07
3/17/00,#N/A N/A,973.857
3/20/00,#N/A N/A,962.171
3/21/00,#N/A N/A,974.583
3/22/00,#N/A N/A,977.019
3/23/00,#N/A N/A,969.984
3/24/00,#N/A N/A,957.084
3/27/00,#N/A N/A,955.839
3/28/00,#N/A N/A,957.178
3/29/00,#N/A N/A,956.89
3/30/00,#N/A N/A,949.044
3/31/00,#N/A N/A,965.083
4/3/00,#N/A N/A,954.177
4/4/00,#N/A N/A,944.826
4/5/00,#N/A N/A,940.669
4/6/00,#N/A N/A,938.6
4/7/00,#N/A N/A,950.426
4/10/00,#N/A N/A,944.343
4/11/00,#N/A N/A,933.106
4/12/00,#N/A N/A,926.667
4/13/00,#N/A N/A,928.243
4/14/00,#N/A N/A,933.069
4/17/00,#N/A N/A,932.976
4/18/00,#N/A N/A,928.405
4/19/00,#N/A N/A,931.097
4/20/00,#N/A N/A,926.162
4/21/00,#N/A N/A,928.014
4/24/00,#N/A N/A,927.922
4/25/00,#N/A N/A,933.304
4/26/00,#N/A N/A,933.864
4/27/00,#N/A N/A,933.303
4/28/00,#N/A N/A,932.277
5/1/00,#N/A N/A,924.073
5/2/00,#N/A N/A,914.185
5/3/00,#N/A N/A,914.642
5/4/00,#N/A N/A,912.813
5/5/00,#N/A N/A,904.324
5/8/00,#N/A N/A,909.388
5/9/00,#N/A N/A,907.296
5/10/00,#N/A N/A,913.194
5/11/00,#N/A N/A,931.732
5/12/00,#N/A N/A,913.842
5/15/00,#N/A N/A,921.793
5/16/00,#N/A N/A,923.544
5/17/00,#N/A N/A,938.783
5/18/00,#N/A N/A,955.211
5/19/00,#N/A N/A,942.794
5/22/00,#N/A N/A,933.46
5/23/00,#N/A N/A,934.393
5/24/00,#N/A N/A,950.278
5/25/00,#N/A N/A,945.242
5/26/00,#N/A N/A,930.685
5/29/00,#N/A N/A,930.778
5/30/00,#N/A N/A,927.986
5/31/00,#N/A N/A,921.582
6/1/00,#N/A N/A,919.555
6/2/00,#N/A N/A,899.601
6/5/00,#N/A N/A,880.439
6/6/00,#N/A N/A,871.195
6/7/00,#N/A N/A,873.808
6/8/00,#N/A N/A,878.527
6/9/00,#N/A N/A,890.387
6/12/00,#N/A N/A,895.729
6/13/00,#N/A N/A,904.955
6/14/00,#N/A N/A,906.856
6/15/00,#N/A N/A,900.508
6/16/00,#N/A N/A,900.688
6/19/00,#N/A N/A,893.572
6/20/00,#N/A N/A,894.734
6/21/00,#N/A N/A,891.871
6/22/00,#N/A N/A,889.017
6/23/00,#N/A N/A,892.395
6/26/00,#N/A N/A,892.752
6/27/00,#N/A N/A,893.198
6/28/00,#N/A N/A,891.323
6/29/00,#N/A N/A,898.81
6/30/00,#N/A N/A,894.136
7/3/00,#N/A N/A,894.494
7/4/00,#N/A N/A,894.494
7/5/00,#N/A N/A,882.418
7/6/00,#N/A N/A,878.535
7/7/00,#N/A N/A,878.711
7/10/00,#N/A N/A,872.911
7/11/00,#N/A N/A,872.65
7/12/00,#N/A N/A,875.268
7/13/00,#N/A N/A,885.071
7/14/00,#N/A N/A,881.707
7/17/00,#N/A N/A,876.064
7/18/00,#N/A N/A,877.641
7/19/00,#N/A N/A,872.024
7/20/00,#N/A N/A,872.46
7/21/00,#N/A N/A,873.595
7/24/00,#N/A N/A,867.567
7/25/00,#N/A N/A,870.343
7/26/00,#N/A N/A,875.391
7/27/00,#N/A N/A,880.118
7/28/00,#N/A N/A,880.998
7/31/00,#N/A N/A,872.893
8/1/00,#N/A N/A,870.798
8/2/00,#N/A N/A,876.11
8/3/00,#N/A N/A,879.089
8/4/00,#N/A N/A,885.242
8/7/00,#N/A N/A,880.285
8/8/00,#N/A N/A,883.718
8/9/00,#N/A N/A,881.067
8/10/00,#N/A N/A,885.56
8/11/00,#N/A N/A,880.955
8/14/00,#N/A N/A,889.325
8/15/00,#N/A N/A,876.696
8/16/00,#N/A N/A,870.647
8/17/00,#N/A N/A,877.351
8/18/00,#N/A N/A,886.124
8/21/00,#N/A N/A,893.922
8/22/00,#N/A N/A,884.804
8/23/00,#N/A N/A,882.238
8/24/00,#N/A N/A,873.063
8/25/00,#N/A N/A,882.579
8/28/00,#N/A N/A,883.55
8/29/00,#N/A N/A,889.558
8/30/00,#N/A N/A,894.095
8/31/00,#N/A N/A,900.622
9/1/00,#N/A N/A,905.035
9/4/00,#N/A N/A,904.402
9/5/00,#N/A N/A,918.601
9/6/00,#N/A N/A,936.881
9/7/00,#N/A N/A,936.038
9/8/00,#N/A N/A,918.721
9/11/00,#N/A N/A,929.286
9/12/00,#N/A N/A,920.644
9/13/00,#N/A N/A,920.736
9/14/00,#N/A N/A,920.184
9/15/00,#N/A N/A,930.306
9/18/00,#N/A N/A,927.608
9/19/00,#N/A N/A,918.888
9/20/00,#N/A N/A,918.98
9/21/00,#N/A N/A,899.59
9/22/00,#N/A N/A,864.506
9/25/00,#N/A N/A,860.442
9/26/00,#N/A N/A,851.924
9/27/00,#N/A N/A,849.965
9/28/00,#N/A N/A,839.425
9/29/00,#N/A N/A,839.593
10/2/00,#N/A N/A,846.729
10/3/00,#N/A N/A,847.915
10/4/00,#N/A N/A,839.605
10/5/00,#N/A N/A,840.949
10/6/00,#N/A N/A,844.901
10/9/00,#N/A N/A,852.505
10/10/00,#N/A N/A,854.125
10/11/00,#N/A N/A,865.827
10/12/00,#N/A N/A,890.156
10/13/00,#N/A N/A,885.26
10/16/00,#N/A N/A,875.168
10/17/00,#N/A N/A,879.544
10/18/00,#N/A N/A,896.432
10/19/00,#N/A N/A,882.985
10/20/00,#N/A N/A,886.075
10/23/00,#N/A N/A,893.43
10/24/00,#N/A N/A,883.692
10/25/00,#N/A N/A,892.794
10/26/00,#N/A N/A,895.026
10/27/00,#N/A N/A,873.366
10/30/00,#N/A N/A,876.859
10/31/00,#N/A N/A,866.688
11/1/00,#N/A N/A,859.408
11/2/00,#N/A N/A,858.204
11/3/00,#N/A N/A,840.182
11/6/00,#N/A N/A,842.451
11/7/00,#N/A N/A,841.524
11/8/00,#N/A N/A,848.088
11/9/00,#N/A N/A,856.569
11/10/00,#N/A N/A,867.704
11/13/00,#N/A N/A,886.794
11/14/00,#N/A N/A,889.188
11/15/00,#N/A N/A,901.548
11/16/00,#N/A N/A,908.219
11/17/00,#N/A N/A,916.211
11/20/00,#N/A N/A,932.612
11/21/00,#N/A N/A,939.979
11/22/00,#N/A N/A,954.267
11/23/00,#N/A N/A,954.84
11/24/00,#N/A N/A,961.714
11/27/00,#N/A N/A,938.537
11/28/00,#N/A N/A,933.751
11/29/00,#N/A N/A,957.188
11/30/00,#N/A N/A,976.044
12/1/00,#N/A N/A,954.669
12/4/00,#N/A N/A,957.056
12/5/00,#N/A N/A,967.583
12/6/00,#N/A N/A,980.258
12/7/00,#N/A N/A,989.571
12/8/00,#N/A N/A,980.269
12/11/00,#N/A N/A,960.075
12/12/00,#N/A N/A,962.572
12/13/00,#N/A N/A,983.941
12/14/00,#N/A N/A,1008.244
12/15/00,#N/A N/A,1029.417
12/18/00,#N/A N/A,1029.211
12/19/00,#N/A N/A,1031.887
12/20/00,#N/A N/A,1077.703
12/21/00,#N/A N/A,1090.312
12/22/00,#N/A N/A,1104.05
12/25/00,#N/A N/A,1102.725
12/26/00,#N/A N/A,1110.334
12/27/00,#N/A N/A,1107.225
12/28/00,#N/A N/A,1096.485
12/29/00,#N/A N/A,1116.66
1/1/01,#N/A N/A,1116.772
1/2/01,#N/A N/A,1153.849
1/3/01,#N/A N/A,1121.08
1/4/01,#N/A N/A,1159.308
1/5/01,#N/A N/A,1185.972
1/8/01,#N/A N/A,1183.245
1/9/01,#N/A N/A,1175.199
1/10/01,#N/A N/A,1148.404
