Date,Price Open,Last Price
12/29/78,40.52,40.237
1/2/79,40.81,40.523
1/3/79,41.54,41.247
1/4/79,42.16,41.863
1/5/79,42.72,42.422
1/8/79,42.6,42.306
1/9/79,42.97,42.668
1/10/79,42.87,42.575
1/11/79,43.07,42.764
1/12/79,43.55,43.247
1/15/79,43.8,43.497
1/16/79,43.43,43.126
1/17/79,43.34,43.034
1/18/79,43.74,43.432
1/19/79,43.9,43.589
1/22/79,43.86,43.557
1/23/79,44.17,43.863
1/24/79,44.07,43.762
1/25/79,44.36,44.048
1/26/79,44.62,44.313
1/29/79,44.58,44.269
1/30/79,44.51,44.197
1/31/79,44.18,43.871
2/1/79,44.13,43.823
2/2/79,44.17,43.859
2/5/79,43.54,43.231
2/6/79,43.51,43.199
2/7/79,42.98,42.676
2/8/79,43.21,42.909
2/9/79,43.43,43.122
2/12/79,43.45,43.147
2/13/79,43.85,43.549
2/14/79,43.84,43.529
2/15/79,43.94,43.637
2/16/79,44.11,43.798
2/20/79,44.27,43.955
2/21/79,44.25,43.939
2/22/79,44.12,43.806
2/23/79,43.91,43.601
2/26/79,43.83,43.517
2/27/79,42.85,42.547
2/28/79,42.78,42.479
3/1/79,43.09,42.784
3/2/79,43.28,42.974
3/5/79,43.63,43.324
3/6/79,43.58,43.279
3/7/79,43.95,43.645
3/8/79,44.41,44.096
3/9/79,44.47,44.156
3/12/79,44.61,44.301
3/13/79,44.84,44.523
3/14/79,44.88,44.567
3/15/79,45.1,44.78
3/16/79,45.48,45.158
3/19/79,45.66,45.335
3/20/79,45.52,45.203
3/21/79,45.8,45.472
3/22/79,46.04,45.722
3/23/79,46.32,45.995
3/26/79,46.11,45.786
3/27/79,46.54,46.213
3/28/79,46.53,46.205
3/29/79,46.78,46.458
3/30/79,46.94,46.607
4/2/79,46.67,46.345
4/3/79,47.2,46.868
4/4/79,47.44,47.102
4/5/79,47.69,47.355
4/6/79,47.7,47.367
4/9/79,47.61,47.275
4/10/79,47.81,47.476
4/11/79,47.54,47.211
4/12/79,47.64,47.303
4/16/79,47.2,46.868
4/17/79,47.16,46.828
4/18/79,47.49,47.158
4/19/79,47.48,47.146
4/20/79,47.58,47.247
4/23/79,47.74,47.4
4/24/79,48.01,47.673
4/25/79,48.19,47.854
4/26/79,48.13,47.794
4/27/79,48.06,47.722
4/30/79,48,47.669
5/1/79,48.03,47.689
5/2/79,48.09,47.758
5/3/79,48.15,47.81
5/4/79,47.82,47.48
5/7/79,46.58,46.257
5/8/79,46.27,45.939
5/9/79,46.48,46.148
5/10/79,46.14,45.814
5/11/79,46.21,45.883
5/14/79,45.99,45.665
5/15/79,46.03,45.71
5/16/79,46.05,45.73
5/17/79,46.62,46.293
5/18/79,46.83,46.498
5/21/79,46.99,46.655
5/22/79,47.26,46.933
5/23/79,47.28,46.945
5/24/79,47.41,47.074
5/25/79,47.66,47.327
5/29/79,47.63,47.295
5/30/79,47.14,46.812
5/31/79,47.13,46.804
6/1/79,47.26,46.925
6/4/79,47.28,46.945
6/5/79,47.76,47.42
6/6/79,48.06,47.726
6/7/79,48.36,48.019
6/8/79,48.49,48.152
6/11/79,48.59,48.253
6/12/79,49.03,48.679
6/13/79,49.06,48.715
6/14/79,48.99,48.643
6/15/79,49.1,48.756
6/18/79,48.9,48.55
6/19/79,48.93,48.583
6/20/79,49.11,48.764
6/21/79,49.36,49.009
6/22/79,49.58,49.23
6/25/79,49.25,48.909
6/26/79,49.1,48.756
6/27/79,49.34,48.993
6/28/79,49.58,49.23
6/29/79,49.62,49.271
7/2/79,49.17,48.82
7/3/79,49.3,48.949
7/5/79,49.55,49.202
7/6/79,49.98,49.633
7/9/79,50.22,49.862
7/10/79,50.15,49.802
7/11/79,50.05,49.701
7/12/79,49.93,49.585
7/13/79,49.83,49.48
7/16/79,49.99,49.641
7/17/79,49.45,49.106
7/18/79,49.19,48.848
7/19/79,49.44,49.09
7/20/79,49.61,49.259
7/23/79,49.49,49.138
7/24/79,49.68,49.335
7/25/79,50.12,49.766
7/26/79,50.35,49.991
7/27/79,50.62,50.269
7/30/79,50.77,50.413
7/31/79,51.08,50.723
8/1/79,51.33,50.965
8/2/79,51.51,51.154
8/3/79,51.54,51.174
8/6/79,51.55,51.19
8/7/79,51.96,51.596
8/8/79,52.16,51.798
8/9/79,52.25,51.882
8/10/79,52.62,52.256
8/13/79,52.95,52.574
8/14/79,53.11,52.739
8/15/79,53.51,53.137
8/16/79,53.44,53.061
8/17/79,53.6,53.226
8/20/79,53.74,53.363
8/21/79,53.83,53.451
8/22/79,54.06,53.681
8/23/79,54.13,53.749
8/24/79,54.13,53.749
8/27/79,54.26,53.882
8/28/79,54.24,53.858
8/29/79,54.41,54.027
8/30/79,54.58,54.196
8/31/79,55.05,54.666
9/4/79,54.07,53.693
9/5/79,53.01,52.639
9/6/79,53.41,53.037
