date,price
8/29/2025,"3,857.93"
7/31/2025,"3,573.21"
6/30/2025,"3,444.43"
5/31/2025,"3,347.49"
4/30/2025,"3,279.03"
3/31/2025,"3,335.75"
2/28/2025,"3,320.90"
1/31/2025,"3,250.60"
12/31/2024,"3,351.76"
11/30/2024,"3,326.46"
10/31/2024,"3,279.82"
9/30/2024,"3,336.50"
8/31/2024,"2,842.21"
7/31/2024,"2,938.75"
6/30/2024,"2,967.40"
5/31/2024,"3,086.81"
4/30/2024,"3,104.82"
3/31/2024,"3,041.17"
2/29/2024,"3,015.17"
1/31/2024,"2,788.55"
12/31/2023,"2,974.94"
11/30/2023,"3,029.67"
10/31/2023,"3,018.77"
9/30/2023,"3,110.48"
8/31/2023,"3,119.88"
7/31/2023,"3,291.04"
6/30/2023,"3,202.06"
5/31/2023,"3,204.56"
4/30/2023,"3,323.28"
3/31/2023,"3,272.86"
2/28/2023,"3,279.61"
1/31/2023,"3,255.67"
12/31/2022,"3,089.26"
11/30/2022,"3,151.34"
10/31/2022,"2,893.48"
9/30/2022,"3,024.39"
8/31/2022,"3,202.14"
7/31/2022,"3,253.24"
6/30/2022,"3,398.62"
5/31/2022,"3,186.43"
4/30/2022,"3,047.06"
3/31/2022,"3,252.20"
2/28/2022,"3,462.31"
1/31/2022,"3,361.44"
12/31/2021,"3,639.78"
11/30/2021,"3,563.89"
10/31/2021,"3,547.34"
9/30/2021,"3,568.17"
8/31/2021,"3,543.94"
7/31/2021,"3,397.36"
6/30/2021,"3,591.20"
5/31/2021,"3,615.48"
4/30/2021,"3,446.86"
3/31/2021,"3,441.91"
2/28/2021,"3,509.08"
1/31/2021,"3,483.07"
12/31/2020,"3,473.07"
11/30/2020,"3,391.76"
10/31/2020,"3,224.53"
9/30/2020,"3,218.05"
8/31/2020,"3,395.68"
7/31/2020,"3,310.01"
6/30/2020,"2,984.67"
5/31/2020,"2,852.35"
4/30/2020,"2,860.08"
3/31/2020,"2,750.30"
2/29/2020,"2,880.30"
1/31/2020,"2,976.53"
12/31/2019,"3,050.12"
11/30/2019,"2,871.98"
10/31/2019,"2,929.06"
9/30/2019,"2,905.19"
8/31/2019,"2,886.24"
7/31/2019,"2,932.51"
6/30/2019,"2,978.88"
5/31/2019,"2,898.70"
4/30/2019,"3,078.34"
3/31/2019,"3,090.76"
2/28/2019,"2,940.95"
1/31/2019,"2,584.57"
12/31/2018,"2,493.90"
11/30/2018,"2,588.19"
10/31/2018,"2,602.78"
9/30/2018,"2,821.35"
8/31/2018,"2,725.25"
7/31/2018,"2,876.40"
6/30/2018,"2,847.42"
5/31/2018,"3,095.47"
4/30/2018,"3,082.23"
3/31/2018,"3,168.90"
2/28/2018,"3,259.41"
1/31/2018,"3,480.83"
12/31/2017,"3,307.17"
11/30/2017,"3,317.19"
10/31/2017,"3,393.34"
9/30/2017,"3,348.94"
8/31/2017,"3,360.81"
7/31/2017,"3,273.03"
6/30/2017,"3,192.43"
5/31/2017,"3,117.18"
4/30/2017,"3,154.66"
3/31/2017,"3,222.51"
2/28/2017,"3,241.73"
1/31/2017,"3,159.17"
12/31/2016,"3,103.64"
11/30/2016,"3,250.04"
10/31/2016,"3,100.49"
9/30/2016,"3,004.70"
8/31/2016,"3,085.49"
7/31/2016,"2,979.34"
6/30/2016,"2,929.61"
5/31/2016,"2,916.62"
4/30/2016,"2,938.32"
3/31/2016,"3,003.92"
2/29/2016,"2,687.98"
1/31/2016,"2,737.60"
12/31/2015,"3,539.18"
11/30/2015,"3,445.41"
10/31/2015,"3,382.56"
9/30/2015,"3,052.78"
8/31/2015,"3,205.99"
7/31/2015,"3,663.73"
6/30/2015,"4,277.22"
5/31/2015,"4,611.74"
4/30/2015,"4,441.66"
3/31/2015,"3,747.90"
2/28/2015,"3,310.30"
1/31/2015,"3,210.36"
12/31/2014,"3,234.68"
11/30/2014,"2,682.84"
10/31/2014,"2,420.18"
9/30/2014,"2,363.87"
8/31/2014,"2,217.20"
7/31/2014,"2,201.56"
6/30/2014,"2,048.33"
5/31/2014,"2,039.21"
4/30/2014,"2,026.36"
3/31/2014,"2,033.31"
2/28/2014,"2,056.30"
1/31/2014,"2,033.08"
12/31/2013,"2,115.98"
11/30/2013,"2,220.50"
10/31/2013,"2,141.61"
9/30/2013,"2,174.67"
8/31/2013,"2,098.38"
7/31/2013,"1,993.80"
6/30/2013,"1,979.21"
5/31/2013,"2,300.60"
4/30/2013,"2,177.91"
3/31/2013,"2,236.62"
2/28/2013,"2,365.59"
1/31/2013,"2,385.42"
12/31/2012,"2,269.13"
11/30/2012,"1,980.12"
10/31/2012,"2,068.88"
9/30/2012,"2,086.17"
8/31/2012,"2,047.52"
7/31/2012,"2,103.64"
6/30/2012,"2,225.43"
5/31/2012,"2,372.23"
