Date,Price Open,Last Price
2/18/72,#N/A N/A,247.18
2/22/72,#N/A N/A,247.29
2/23/72,#N/A N/A,247.13
2/24/72,#N/A N/A,247.44
2/25/72,#N/A N/A,248.86
2/28/72,#N/A N/A,248.57
2/29/72,#N/A N/A,249.09
3/1/72,#N/A N/A,250.05
3/2/72,#N/A N/A,249.92
3/3/72,#N/A N/A,250.8
3/6/72,#N/A N/A,252.26
3/7/72,#N/A N/A,252.62
3/8/72,#N/A N/A,253.01
3/9/72,#N/A N/A,252.66
3/10/72,#N/A N/A,251.75
3/13/72,#N/A N/A,250.23
3/14/72,#N/A N/A,250.69
3/15/72,#N/A N/A,251.13
3/16/72,#N/A N/A,251.24
3/17/72,#N/A N/A,251.8
3/20/72,#N/A N/A,251.71
3/21/72,#N/A N/A,250.32
3/22/72,#N/A N/A,250.38
3/23/72,#N/A N/A,251.49
3/24/72,#N/A N/A,250.68
3/27/72,#N/A N/A,249.63
3/28/72,#N/A N/A,249.54
3/29/72,#N/A N/A,248.47
3/30/72,#N/A N/A,249.04
4/3/72,#N/A N/A,249.2
4/4/72,#N/A N/A,249.83
4/5/72,#N/A N/A,250.71
4/6/72,#N/A N/A,251.2
4/7/72,#N/A N/A,251.73
4/10/72,#N/A N/A,251.19
4/11/72,#N/A N/A,251.76
4/12/72,#N/A N/A,252.16
4/13/72,#N/A N/A,251.72
4/14/72,#N/A N/A,251.7
4/17/72,#N/A N/A,251
4/18/72,#N/A N/A,251.15
4/19/72,#N/A N/A,250.19
4/20/72,#N/A N/A,249.56
4/21/72,#N/A N/A,249.7
4/24/72,#N/A N/A,248.38
4/25/72,#N/A N/A,246.52
4/26/72,#N/A N/A,246.16
4/27/72,#N/A N/A,246.49
4/28/72,#N/A N/A,247.19
5/1/72,#N/A N/A,246.07
5/2/72,#N/A N/A,245.52
5/3/72,#N/A N/A,245.27
5/4/72,#N/A N/A,245.15
5/5/72,#N/A N/A,245.63
5/8/72,#N/A N/A,244.43
5/9/72,#N/A N/A,242.55
5/10/72,#N/A N/A,243.17
5/11/72,#N/A N/A,243.61
5/12/72,#N/A N/A,244.3
5/15/72,#N/A N/A,244.94
5/16/72,#N/A N/A,244.74
5/17/72,#N/A N/A,244.69
5/18/72,#N/A N/A,245.71
5/19/72,#N/A N/A,246.91
5/22/72,#N/A N/A,247.82
5/23/72,#N/A N/A,247.95
5/24/72,#N/A N/A,248.7
5/25/72,#N/A N/A,249.03
5/26/72,#N/A N/A,249.5
5/30/72,#N/A N/A,249.65
5/31/72,#N/A N/A,248.53
6/1/72,#N/A N/A,248.95
6/2/72,#N/A N/A,249.07
6/5/72,#N/A N/A,247.71
6/6/72,#N/A N/A,247.09
6/7/72,#N/A N/A,246.33
6/8/72,#N/A N/A,246.09
6/9/72,#N/A N/A,245.37
6/12/72,#N/A N/A,245.11
6/13/72,#N/A N/A,245.67
6/14/72,#N/A N/A,246.26
6/15/72,#N/A N/A,246.37
6/16/72,#N/A N/A,246.42
6/19/72,#N/A N/A,245.85
6/20/72,#N/A N/A,246.17
6/21/72,#N/A N/A,246.36
6/22/72,#N/A N/A,246.21
6/23/72,#N/A N/A,245.69
6/26/72,#N/A N/A,244.77
6/27/72,#N/A N/A,244.67
6/28/72,#N/A N/A,244.47
6/29/72,#N/A N/A,244.47
6/30/72,#N/A N/A,245.11
7/3/72,#N/A N/A,245.56
7/5/72,#N/A N/A,246.47
7/6/72,#N/A N/A,248.08
7/7/72,#N/A N/A,247.67
7/10/72,#N/A N/A,247.18
7/11/72,#N/A N/A,245.67
7/12/72,#N/A N/A,245.25
7/13/72,#N/A N/A,244.2
7/14/72,#N/A N/A,244.81
7/17/72,#N/A N/A,243.64
7/18/72,#N/A N/A,242.94
7/19/72,#N/A N/A,243.17
7/20/72,#N/A N/A,242.56
7/21/72,#N/A N/A,243.16
7/24/72,#N/A N/A,244.55
7/25/72,#N/A N/A,244.34
7/26/72,#N/A N/A,244.38
7/27/72,#N/A N/A,244.17
7/28/72,#N/A N/A,244.09
7/31/72,#N/A N/A,243.87
8/1/72,#N/A N/A,245
8/2/72,#N/A N/A,246.39
8/3/72,#N/A N/A,247.73
8/4/72,#N/A N/A,248.11
8/7/72,#N/A N/A,248.22
8/8/72,#N/A N/A,248.31
8/9/72,#N/A N/A,248.49
8/10/72,#N/A N/A,248.84
8/11/72,#N/A N/A,250.14
8/14/72,#N/A N/A,251.21
8/15/72,#N/A N/A,250.95
8/16/72,#N/A N/A,250.64
8/17/72,#N/A N/A,250.52
8/18/72,#N/A N/A,251.11
8/21/72,#N/A N/A,251.41
8/22/72,#N/A N/A,252.91
8/23/72,#N/A N/A,253.26
8/24/72,#N/A N/A,252.48
8/25/72,#N/A N/A,251.99
8/28/72,#N/A N/A,251.48
8/29/72,#N/A N/A,251.46
8/30/72,#N/A N/A,251.63
8/31/72,#N/A N/A,252.41
9/1/72,#N/A N/A,253.16
9/5/72,#N/A N/A,252.78
9/6/72,#N/A N/A,252.22
9/7/72,#N/A N/A,251.56
9/8/72,#N/A N/A,251.19
9/11/72,#N/A N/A,250.14
9/12/72,#N/A N/A,248.9
9/13/72,#N/A N/A,249.37
9/14/72,#N/A N/A,249.66
9/15/72,#N/A N/A,249.36
9/18/72,#N/A N/A,248.63
9/19/72,#N/A N/A,248.38
9/20/72,#N/A N/A,248.51
9/21/72,#N/A N/A,247.78
9/22/72,#N/A N/A,247.8
9/25/72,#N/A N/A,247.03
9/26/72,#N/A N/A,247.01
9/27/72,#N/A N/A,249.2
9/28/72,#N/A N/A,250.21
9/29/72,#N/A N/A,250.76
10/2/72,#N/A N/A,250.8
10/3/72,#N/A N/A,250.47
10/4/72,#N/A N/A,250.48
10/5/72,#N/A N/A,249.78
10/6/72,#N/A N/A,250.57
10/9/72,#N/A N/A,251.26
10/10/72,#N/A N/A,251.32
10/11/72,#N/A N/A,251.22
10/12/72,#N/A N/A,250.25
10/13/72,#N/A N/A,249.31
10/16/72,#N/A N/A,248.56
10/17/72,#N/A N/A,249.32
10/18/72,#N/A N/A,249.99
10/19/72,#N/A N/A,250.23
10/20/72,#N/A N/A,251.01
10/23/72,#N/A N/A,252.96
10/24/72,#N/A N/A,253.79
10/25/72,#N/A N/A,254.17
10/26/72,#N/A N/A,255.75
10/27/72,#N/A N/A,256.01
10/30/72,#N/A N/A,256.13
10/31/72,#N/A N/A,257.4
11/1/72,#N/A N/A,259.06
11/2/72,#N/A N/A,259.72
11/3/72,#N/A N/A,261.6
11/6/72,#N/A N/A,262.32
11/8/72,#N/A N/A,261.55
11/9/72,#N/A N/A,262.18
11/10/72,#N/A N/A,263.07
11/13/72,#N/A N/A,263.82
11/14/72,#N/A N/A,265.45
11/15/72,#N/A N/A,265.37
11/16/72,#N/A N/A,266.69
11/17/72,#N/A N/A,267.85
11/20/72,#N/A N/A,268.26
11/21/72,#N/A N/A,269.77
11/22/72,#N/A N/A,271.55
11/24/72,#N/A N/A,272.15
11/27/72,#N/A N/A,271.32
11/28/72,#N/A N/A,270.96
11/29/72,#N/A N/A,270.79
11/30/72,#N/A N/A,270.73
12/1/72,#N/A N/A,271.46
12/4/72,#N/A N/A,271.78
12/5/72,#N/A N/A,271.43
12/6/72,#N/A N/A,271.58
12/7/72,#N/A N/A,272.13
12/8/72,#N/A N/A,272.32
12/11/72,#N/A N/A,272.72
12/12/72,#N/A N/A,272.3
12/13/72,#N/A N/A,271.91
12/14/72,#N/A N/A,271.28
12/15/72,#N/A N/A,270.68
12/18/72,#N/A N/A,268.95
12/19/72,#N/A N/A,267.67
12/20/72,#N/A N/A,266.68
12/21/72,#N/A N/A,265.02
12/22/72,#N/A N/A,265.36
12/26/72,#N/A N/A,265.75
12/27/72,#N/A N/A,266.11
12/29/72,#N/A N/A,268.17
1/2/73,#N/A N/A,270.22
1/3/73,#N/A N/A,271.08
1/4/73,#N/A N/A,270.9
1/5/73,#N/A N/A,271.09
1/8/73,#N/A N/A,271.5
1/9/73,#N/A N/A,270.91
1/10/73,#N/A N/A,270.74
1/11/73,#N/A N/A,272.33
1/12/73,#N/A N/A,270.99
1/15/73,#N/A N/A,269.98
1/16/73,#N/A N/A,269.2
1/17/73,#N/A N/A,269.16
1/18/73,#N/A N/A,268.83
1/19/73,#N/A N/A,268.08
1/22/73,#N/A N/A,267.3
1/23/73,#N/A N/A,266.39
1/24/73,#N/A N/A,264.08
1/26/73,#N/A N/A,262.85
1/29/73,#N/A N/A,262.65
1/30/73,#N/A N/A,262.74
1/31/73,#N/A N/A,263.52
2/1/73,#N/A N/A,262.05
2/2/73,#N/A N/A,261.13
2/5/73,#N/A N/A,260.66
2/6/73,#N/A N/A,260.42
2/7/73,#N/A N/A,259.65
2/8/73,#N/A N/A,258.47
2/9/73,#N/A N/A,260.02
2/12/73,#N/A N/A,262.08
2/13/73,#N/A N/A,262.85
2/14/73,#N/A N/A,260.89
2/15/73,#N/A N/A,260.01
2/16/73,#N/A N/A,260.41
2/20/73,#N/A N/A,260.79
2/21/73,#N/A N/A,260.01
2/22/73,#N/A N/A,258.97
2/23/73,#N/A N/A,257.65
2/26/73,#N/A N/A,256.06
2/27/73,#N/A N/A,254.76
2/28/73,#N/A N/A,255.19
3/1/73,#N/A N/A,254.26
3/2/73,#N/A N/A,254.97
3/5/73,#N/A N/A,254.92
3/6/73,#N/A N/A,256.61
3/7/73,#N/A N/A,256.75
3/8/73,#N/A N/A,256.96
3/9/73,#N/A N/A,256.6
3/12/73,#N/A N/A,256.06
3/13/73,#N/A N/A,256.57
3/14/73,#N/A N/A,256.91
3/15/73,#N/A N/A,256.07
3/16/73,#N/A N/A,255.04
3/19/73,#N/A N/A,253.01
3/20/73,#N/A N/A,251.98
3/21/73,#N/A N/A,250.65
3/22/73,#N/A N/A,248.09
3/23/73,#N/A N/A,247.21
3/26/73,#N/A N/A,247.78
3/27/73,#N/A N/A,249.99
3/28/73,#N/A N/A,250.32
3/29/73,#N/A N/A,251.75
3/30/73,#N/A N/A,250.86
4/2/73,#N/A N/A,249.43
4/3/73,#N/A N/A,247.92
4/4/73,#N/A N/A,247.23
4/5/73,#N/A N/A,246.6
4/6/73,#N/A N/A,247.48
4/9/73,#N/A N/A,249.1
4/10/73,#N/A N/A,251.21
4/11/73,#N/A N/A,251.9
4/12/73,#N/A N/A,252.49
4/13/73,#N/A N/A,252.14
4/16/73,#N/A N/A,251.82
4/17/73,#N/A N/A,250.89
4/18/73,#N/A N/A,251.05
4/19/73,#N/A N/A,252.19
4/23/73,#N/A N/A,251.53
4/24/73,#N/A N/A,250.06
4/25/73,#N/A N/A,248.07
4/26/73,#N/A N/A,248.21
4/27/73,#N/A N/A,246.03
4/30/73,#N/A N/A,245.78
5/1/73,#N/A N/A,245.66
5/2/73,#N/A N/A,247.42
5/3/73,#N/A N/A,249.34
5/4/73,#N/A N/A,250.57
