Date,Price Open,Last Price
1/2/70,100,100
1/5/70,99.99,99.99
1/6/70,100.37,100.37
1/7/70,100.74,100.74
1/8/70,101.26,101.26
1/9/70,100.74,100.74
1/12/70,100.79,100.79
1/13/70,101.27,101.27
1/14/70,101.95,101.95
1/15/70,101.97,101.97
1/16/70,101.76,101.76
1/19/70,102.21,102.21
1/20/70,102.7,102.7
1/21/70,102,102
1/22/70,101.46,101.46
1/23/70,101.49,101.49
1/26/70,100.97,100.97
1/27/70,101.45,101.45
1/28/70,101.7,101.7
1/29/70,102.08,102.08
1/30/70,102.19,102.19
2/2/70,102.02,102.02
2/3/70,101.85,101.85
2/4/70,101.69,101.69
2/5/70,101.69,101.69
2/6/70,101.66,101.66
2/9/70,102.64,102.64
2/10/70,102.56,102.56
2/11/70,103.26,103.26
2/12/70,103.06,103.06
2/13/70,103.16,103.16
2/16/70,103.58,103.58
2/17/70,103.08,103.08
2/18/70,103.5,103.5
2/19/70,103.74,103.74
2/20/70,104.29,104.29
2/24/70,104.54,104.54
2/25/70,104.03,104.03
2/26/70,104.22,104.22
2/27/70,104.37,104.37
3/2/70,103.98,103.98
3/3/70,104.71,104.71
3/4/70,105.19,105.19
3/5/70,106.09,106.09
3/6/70,105.93,105.93
3/9/70,105.81,105.81
3/10/70,105.77,105.77
3/11/70,106.83,106.83
3/12/70,106.34,106.34
3/13/70,105.95,105.95
3/16/70,106.33,106.33
3/17/70,105.5,105.5
3/18/70,105.94,105.94
3/19/70,106.05,106.05
3/20/70,105.93,105.93
3/23/70,105.34,105.34
3/24/70,104.77,104.77
3/25/70,105.19,105.19
3/26/70,105.57,105.57
3/30/70,104.84,104.84
3/31/70,104.69,104.69
4/1/70,104.26,104.26
4/2/70,104.57,104.57
4/3/70,104.79,104.79
4/6/70,104.72,104.72
4/7/70,104.94,104.94
4/8/70,104.41,104.41
4/9/70,103.03,103.03
4/10/70,102.39,102.39
4/13/70,102.36,102.36
4/14/70,101.64,101.64
4/15/70,102.04,102.04
4/16/70,102.36,102.36
4/17/70,102.27,102.27
4/20/70,102.1,102.1
4/21/70,102,102
4/22/70,102.08,102.08
4/23/70,102.63,102.63
4/24/70,103.65,103.65
4/27/70,103.68,103.68
4/28/70,103.24,103.24
4/29/70,102.48,102.48
4/30/70,102.53,102.53
5/1/70,102.2,102.2
5/4/70,101.3,101.3
5/5/70,101.13,101.13
5/6/70,100.93,100.93
5/7/70,101.72,101.72
5/8/70,102.05,102.05
5/11/70,101.93,101.93
5/12/70,101.72,101.72
5/13/70,102.11,102.11
5/14/70,100.84,100.84
5/15/70,101.16,101.16
5/18/70,101.72,101.72
5/19/70,101.42,101.42
5/20/70,101.33,101.33
5/21/70,102.06,102.06
5/22/70,102.01,102.01
5/25/70,99.98,99.98
5/26/70,98.92,98.92
