date,price
8/29/2025,"3,445.00"
7/31/2025,"3,389.10"
6/30/2025,"3,392.73"
5/31/2025,"3,344.95"
4/30/2025,"3,226.86"
3/31/2025,"3,125.88"
2/28/2025,"3,069.62"
1/31/2025,"3,074.66"
12/31/2024,"3,009.64"
11/30/2024,"3,158.15"
10/31/2024,"3,065.97"
9/30/2024,"3,107.15"
8/31/2024,"3,001.70"
7/31/2024,"2,877.42"
6/30/2024,"2,765.24"
5/31/2024,"2,865.88"
4/30/2024,"2,719.29"
3/31/2024,"2,737.85"
2/29/2024,"2,625.26"
1/31/2024,"2,633.21"
12/31/2023,"2,724.28"
11/30/2023,"2,621.78"
10/31/2023,"2,397.91"
9/30/2023,"2,476.08"
8/31/2023,"2,607.11"
7/31/2023,"2,743.72"
6/30/2023,"2,696.94"
5/31/2023,"2,632.04"
4/30/2023,"2,806.34"
3/31/2023,"2,740.91"
2/28/2023,"2,685.78"
1/31/2023,"2,786.57"
12/31/2022,"2,657.97"
11/30/2022,"2,725.76"
10/31/2022,"2,530.63"
9/30/2022,"2,411.39"
8/31/2022,"2,741.18"
7/31/2022,"2,790.45"
6/30/2022,"2,691.73"
5/31/2022,"2,928.65"
4/30/2022,"2,842.59"
3/31/2022,"2,944.33"
2/28/2022,"2,787.34"
1/31/2022,"2,726.34"
12/31/2021,"2,759.31"
11/30/2021,"2,595.28"
10/31/2021,"2,748.33"
9/30/2021,"2,654.67"
8/31/2021,"2,698.19"
7/31/2021,"2,657.02"
6/30/2021,"2,637.63"
5/31/2021,"2,694.84"
4/30/2021,"2,691.10"
3/31/2021,"2,602.81"
2/28/2021,"2,499.53"
1/31/2021,"2,486.67"
12/31/2020,"2,545.41"
11/30/2020,"2,476.88"
10/31/2020,"2,199.85"
9/30/2020,"2,226.30"
8/31/2020,"2,301.89"
7/31/2020,"2,270.83"
6/30/2020,"2,211.44"
5/31/2020,"2,248.39"
4/30/2020,"2,144.62"
3/31/2020,"1,961.03"
2/29/2020,"2,551.42"
1/31/2020,"2,828.54"
12/31/2019,"2,788.69"
11/30/2019,"2,681.68"
10/31/2019,"2,712.24"
9/30/2019,"2,673.86"
8/31/2019,"2,623.82"
7/31/2019,"2,622.07"
6/30/2019,"2,681.07"
5/31/2019,"2,556.02"
4/30/2019,"2,613.48"
3/31/2019,"2,591.21"
2/28/2019,"2,535.59"
1/31/2019,"2,484.08"
12/31/2018,"2,289.51"
11/30/2018,"2,371.86"
10/31/2018,"2,335.76"
9/30/2018,"2,434.70"
8/31/2018,"2,461.50"
7/31/2018,"2,534.17"
6/30/2018,"2,497.71"
5/31/2018,"2,461.52"
4/30/2018,"2,524.12"
3/31/2018,"2,471.21"
2/28/2018,"2,478.05"
1/31/2018,"2,662.80"
12/31/2017,"2,637.14"
11/30/2017,"2,669.04"
10/31/2017,"2,633.96"
9/30/2017,"2,614.10"
8/31/2017,"2,667.43"
