Date,Price Open,Last Price
12/31/70,#N/A N/A,#N/A N/A
1/29/71,#N/A N/A,#N/A N/A
2/26/71,#N/A N/A,#N/A N/A
3/31/71,#N/A N/A,#N/A N/A
4/30/71,#N/A N/A,#N/A N/A
6/30/71,#N/A N/A,#N/A N/A
7/30/71,#N/A N/A,#N/A N/A
8/31/71,#N/A N/A,#N/A N/A
9/30/71,#N/A N/A,#N/A N/A
10/29/71,#N/A N/A,#N/A N/A
11/30/71,#N/A N/A,#N/A N/A
12/31/71,#N/A N/A,#N/A N/A
1/31/72,#N/A N/A,#N/A N/A
2/29/72,#N/A N/A,#N/A N/A
4/28/72,#N/A N/A,#N/A N/A
5/31/72,#N/A N/A,#N/A N/A
6/30/72,#N/A N/A,#N/A N/A
7/31/72,#N/A N/A,#N/A N/A
8/31/72,#N/A N/A,#N/A N/A
9/29/72,#N/A N/A,#N/A N/A
10/31/72,#N/A N/A,#N/A N/A
11/30/72,#N/A N/A,#N/A N/A
12/29/72,#N/A N/A,#N/A N/A
1/31/73,#N/A N/A,#N/A N/A
2/28/73,#N/A N/A,#N/A N/A
3/30/73,#N/A N/A,#N/A N/A
4/30/73,#N/A N/A,#N/A N/A
5/31/73,#N/A N/A,#N/A N/A
6/29/73,#N/A N/A,#N/A N/A
7/31/73,#N/A N/A,#N/A N/A
8/31/73,#N/A N/A,#N/A N/A
9/28/73,#N/A N/A,#N/A N/A
10/31/73,#N/A N/A,#N/A N/A
11/30/73,#N/A N/A,#N/A N/A
12/31/73,#N/A N/A,#N/A N/A
1/31/74,#N/A N/A,#N/A N/A
2/28/74,#N/A N/A,#N/A N/A
3/29/74,#N/A N/A,#N/A N/A
4/30/74,#N/A N/A,#N/A N/A
5/31/74,#N/A N/A,#N/A N/A
6/28/74,#N/A N/A,#N/A N/A
7/31/74,#N/A N/A,#N/A N/A
8/30/74,#N/A N/A,#N/A N/A
9/30/74,#N/A N/A,#N/A N/A
10/31/74,#N/A N/A,#N/A N/A
11/29/74,#N/A N/A,#N/A N/A
12/31/74,#N/A N/A,#N/A N/A
1/31/75,#N/A N/A,#N/A N/A
2/28/75,#N/A N/A,#N/A N/A
3/31/75,#N/A N/A,#N/A N/A
4/30/75,#N/A N/A,#N/A N/A
5/30/75,#N/A N/A,#N/A N/A
6/30/75,#N/A N/A,#N/A N/A
7/31/75,#N/A N/A,#N/A N/A
8/29/75,#N/A N/A,#N/A N/A
9/30/75,#N/A N/A,#N/A N/A
10/31/75,#N/A N/A,#N/A N/A
11/28/75,#N/A N/A,#N/A N/A
12/31/75,#N/A N/A,#N/A N/A
1/30/76,#N/A N/A,#N/A N/A
2/27/76,#N/A N/A,#N/A N/A
3/31/76,#N/A N/A,#N/A N/A
4/30/76,#N/A N/A,#N/A N/A
6/30/76,#N/A N/A,#N/A N/A
7/30/76,#N/A N/A,#N/A N/A
8/31/76,#N/A N/A,#N/A N/A
9/30/76,#N/A N/A,#N/A N/A
10/29/76,#N/A N/A,#N/A N/A
11/30/76,#N/A N/A,#N/A N/A
12/31/76,#N/A N/A,#N/A N/A
1/31/77,#N/A N/A,#N/A N/A
2/28/77,#N/A N/A,#N/A N/A
3/31/77,#N/A N/A,#N/A N/A
4/29/77,#N/A N/A,#N/A N/A
5/31/77,#N/A N/A,#N/A N/A
6/30/77,#N/A N/A,#N/A N/A
7/29/77,#N/A N/A,#N/A N/A
8/31/77,#N/A N/A,#N/A N/A
9/30/77,#N/A N/A,#N/A N/A
10/31/77,#N/A N/A,#N/A N/A
11/30/77,#N/A N/A,#N/A N/A
12/30/77,#N/A N/A,#N/A N/A
1/31/78,#N/A N/A,#N/A N/A
2/28/78,#N/A N/A,#N/A N/A
3/31/78,#N/A N/A,#N/A N/A
4/28/78,#N/A N/A,#N/A N/A
5/31/78,#N/A N/A,#N/A N/A
6/30/78,#N/A N/A,#N/A N/A
7/31/78,#N/A N/A,#N/A N/A
8/31/78,#N/A N/A,#N/A N/A
9/29/78,#N/A N/A,#N/A N/A
10/31/78,#N/A N/A,#N/A N/A
11/30/78,#N/A N/A,#N/A N/A
12/29/78,#N/A N/A,#N/A N/A
1/31/79,#N/A N/A,#N/A N/A
2/28/79,#N/A N/A,#N/A N/A
3/30/79,#N/A N/A,#N/A N/A
4/30/79,#N/A N/A,#N/A N/A
5/31/79,#N/A N/A,#N/A N/A
6/29/79,#N/A N/A,#N/A N/A
7/31/79,#N/A N/A,#N/A N/A
8/31/79,#N/A N/A,#N/A N/A
9/28/79,#N/A N/A,#N/A N/A
10/31/79,#N/A N/A,#N/A N/A
11/30/79,#N/A N/A,#N/A N/A
12/31/79,#N/A N/A,#N/A N/A
1/31/80,#N/A N/A,#N/A N/A
2/29/80,#N/A N/A,#N/A N/A
3/31/80,#N/A N/A,#N/A N/A
4/30/80,#N/A N/A,#N/A N/A
5/30/80,#N/A N/A,#N/A N/A
6/30/80,#N/A N/A,#N/A N/A
7/31/80,#N/A N/A,#N/A N/A
8/29/80,#N/A N/A,#N/A N/A
9/30/80,#N/A N/A,#N/A N/A
10/31/80,#N/A N/A,#N/A N/A
11/28/80,#N/A N/A,#N/A N/A
12/31/80,#N/A N/A,#N/A N/A
1/30/81,#N/A N/A,#N/A N/A
2/27/81,#N/A N/A,#N/A N/A
3/31/81,#N/A N/A,#N/A N/A
4/30/81,#N/A N/A,#N/A N/A
5/29/81,#N/A N/A,#N/A N/A
6/30/81,#N/A N/A,#N/A N/A
7/31/81,#N/A N/A,#N/A N/A
8/31/81,#N/A N/A,#N/A N/A
9/30/81,#N/A N/A,#N/A N/A
10/30/81,#N/A N/A,#N/A N/A
11/30/81,#N/A N/A,#N/A N/A
12/31/81,#N/A N/A,#N/A N/A
1/29/82,#N/A N/A,#N/A N/A
2/26/82,#N/A N/A,#N/A N/A
3/31/82,#N/A N/A,#N/A N/A
4/30/82,#N/A N/A,#N/A N/A
6/30/82,#N/A N/A,#N/A N/A
7/30/82,#N/A N/A,#N/A N/A
8/31/82,#N/A N/A,#N/A N/A
9/30/82,#N/A N/A,#N/A N/A
10/29/82,#N/A N/A,#N/A N/A
11/30/82,#N/A N/A,#N/A N/A
12/31/82,#N/A N/A,#N/A N/A
1/31/83,#N/A N/A,#N/A N/A
2/28/83,#N/A N/A,#N/A N/A
3/31/83,#N/A N/A,#N/A N/A
4/29/83,#N/A N/A,#N/A N/A
5/31/83,#N/A N/A,#N/A N/A
6/30/83,#N/A N/A,#N/A N/A
7/29/83,#N/A N/A,#N/A N/A
8/31/83,#N/A N/A,#N/A N/A
9/30/83,#N/A N/A,#N/A N/A
10/31/83,#N/A N/A,#N/A N/A
11/30/83,#N/A N/A,#N/A N/A
12/30/83,#N/A N/A,#N/A N/A
1/31/84,#N/A N/A,#N/A N/A
2/29/84,#N/A N/A,#N/A N/A
3/30/84,#N/A N/A,#N/A N/A
4/30/84,#N/A N/A,#N/A N/A
5/31/84,#N/A N/A,#N/A N/A
6/29/84,#N/A N/A,#N/A N/A
7/31/84,#N/A N/A,#N/A N/A
8/31/84,#N/A N/A,#N/A N/A
9/28/84,#N/A N/A,#N/A N/A
10/31/84,#N/A N/A,#N/A N/A
11/30/84,#N/A N/A,#N/A N/A
12/31/84,#N/A N/A,#N/A N/A
1/31/85,#N/A N/A,#N/A N/A
2/28/85,#N/A N/A,#N/A N/A
3/29/85,#N/A N/A,#N/A N/A
4/30/85,#N/A N/A,#N/A N/A
5/31/85,#N/A N/A,#N/A N/A
6/28/85,#N/A N/A,#N/A N/A
7/31/85,#N/A N/A,#N/A N/A
8/30/85,#N/A N/A,#N/A N/A
9/30/85,#N/A N/A,#N/A N/A
10/31/85,#N/A N/A,#N/A N/A
11/29/85,#N/A N/A,#N/A N/A
12/31/85,#N/A N/A,#N/A N/A
1/31/86,#N/A N/A,#N/A N/A
2/28/86,#N/A N/A,#N/A N/A
3/31/86,#N/A N/A,#N/A N/A
4/30/86,#N/A N/A,#N/A N/A
5/30/86,#N/A N/A,#N/A N/A
6/30/86,#N/A N/A,#N/A N/A
7/31/86,#N/A N/A,#N/A N/A
8/29/86,#N/A N/A,#N/A N/A
9/30/86,#N/A N/A,#N/A N/A
10/31/86,#N/A N/A,#N/A N/A
11/28/86,#N/A N/A,#N/A N/A
12/31/86,#N/A N/A,#N/A N/A
1/30/87,#N/A N/A,#N/A N/A
2/27/87,#N/A N/A,#N/A N/A
3/31/87,#N/A N/A,#N/A N/A
4/30/87,#N/A N/A,#N/A N/A
5/29/87,#N/A N/A,#N/A N/A
6/30/87,#N/A N/A,#N/A N/A
7/31/87,#N/A N/A,#N/A N/A
8/31/87,#N/A N/A,#N/A N/A
9/30/87,#N/A N/A,#N/A N/A
10/30/87,#N/A N/A,#N/A N/A
11/30/87,#N/A N/A,#N/A N/A
12/31/87,#N/A N/A,#N/A N/A
1/4/88,#N/A N/A,#N/A N/A
1/5/88,#N/A N/A,#N/A N/A
1/6/88,#N/A N/A,#N/A N/A
1/7/88,#N/A N/A,#N/A N/A
1/8/88,#N/A N/A,#N/A N/A
1/11/88,#N/A N/A,#N/A N/A
1/12/88,#N/A N/A,#N/A N/A
1/13/88,#N/A N/A,#N/A N/A
1/14/88,#N/A N/A,#N/A N/A
1/15/88,#N/A N/A,#N/A N/A
1/18/88,#N/A N/A,#N/A N/A
1/19/88,#N/A N/A,#N/A N/A
1/20/88,#N/A N/A,#N/A N/A
1/21/88,#N/A N/A,#N/A N/A
1/22/88,#N/A N/A,#N/A N/A
