Date,Price Open,Last Price
12/30/27,17.66,17.66
1/3/28,17.76,17.76
1/4/28,17.72,17.72
1/5/28,17.55,17.55
1/6/28,17.66,17.66
1/9/28,17.5,17.5
1/10/28,17.37,17.37
1/11/28,17.35,17.35
1/12/28,17.47,17.47
1/13/28,17.58,17.58
1/16/28,17.29,17.29
1/17/28,17.3,17.3
1/18/28,17.26,17.26
1/19/28,17.38,17.38
1/20/28,17.48,17.48
1/23/28,17.64,17.64
1/24/28,17.71,17.71
1/25/28,17.52,17.52
1/26/28,17.63,17.63
1/27/28,17.69,17.69
1/30/28,17.49,17.49
1/31/28,17.57,17.57
2/1/28,17.53,17.53
2/2/28,17.63,17.63
2/3/28,17.4,17.4
2/6/28,17.45,17.45
2/7/28,17.44,17.44
2/8/28,17.49,17.49
2/9/28,17.55,17.55
2/10/28,17.54,17.54
2/14/28,17.44,17.44
2/15/28,17.4,17.4
2/16/28,17.35,17.35
2/17/28,17.04,17.04
2/20/28,16.95,16.95
2/21/28,17.11,17.11
2/23/28,17.13,17.13
2/24/28,17.18,17.18
2/27/28,17.11,17.11
2/28/28,17.16,17.16
2/29/28,17.26,17.26
3/1/28,17.3,17.3
3/2/28,17.3,17.3
3/5/28,17.57,17.57
3/6/28,17.67,17.67
3/7/28,17.58,17.58
3/8/28,17.64,17.64
3/9/28,17.93,17.93
3/12/28,18,18
3/13/28,17.92,17.92
3/14/28,17.93,17.93
3/15/28,18.07,18.07
3/16/28,18.26,18.26
3/19/28,18.36,18.36
3/20/28,18.46,18.46
3/21/28,18.65,18.65
3/22/28,18.6,18.6
3/23/28,18.78,18.78
3/26/28,19.05,19.05
3/27/28,18.94,18.94
3/28/28,18.89,18.89
3/29/28,18.95,18.95
3/30/28,19.28,19.28
4/2/28,18.91,18.91
4/3/28,19.02,19.02
4/4/28,18.99,18.99
4/5/28,19.23,19.23
4/9/28,19.27,19.27
4/10/28,19.1,19.1
4/11/28,19.44,19.44
4/12/28,19.41,19.41
4/13/28,19.73,19.73
4/16/28,19.68,19.68
4/17/28,19.52,19.52
4/18/28,19.52,19.52
4/19/28,19.63,19.63
4/20/28,19.34,19.34
4/23/28,19.15,19.15
4/24/28,19.25,19.25
4/25/28,19.33,19.33
4/26/28,19.47,19.47
4/27/28,19.68,19.68
4/30/28,19.75,19.75
5/1/28,19.78,19.78
5/2/28,19.83,19.83
5/3/28,19.93,19.93
5/4/28,20.24,20.24
5/7/28,20.41,20.41
5/8/28,20.27,20.27
5/9/28,20.24,20.24
5/10/28,20.21,20.21
5/11/28,20.36,20.36
5/14/28,20.44,20.44
5/15/28,20.39,20.39
5/16/28,20.05,20.05
5/17/28,20.12,20.12
5/18/28,19.92,19.92
5/21/28,19.63,19.63
5/22/28,19.36,19.36
5/23/28,19.75,19.75
5/24/28,19.87,19.87
5/25/28,19.9,19.9
5/28/28,19.57,19.57
5/29/28,19.82,19.82
5/31/28,20,20
6/1/28,20.07,20.07
6/4/28,19.8,19.8
6/5/28,19.85,19.85
6/6/28,19.66,19.66
6/7/28,19.61,19.61
6/8/28,19.37,19.37
6/11/28,18.68,18.68
6/12/28,18.34,18.34
6/13/28,18.89,18.89
6/14/28,19.05,19.05
6/15/28,18.74,18.74
6/18/28,18.4,18.4
6/19/28,18.34,18.34
6/20/28,18.57,18.57
6/21/28,18.56,18.56
6/22/28,18.54,18.54
6/25/28,18.47,18.47
6/26/28,18.68,18.68
6/27/28,18.86,18.86
6/28/28,19.07,19.07
6/29/28,19.14,19.14
7/2/28,18.98,18.98
7/3/28,19.29,19.29
7/5/28,19.48,19.48
7/6/28,19.39,19.39
7/9/28,19.46,19.46
7/10/28,19.43,19.43
7/11/28,18.95,18.95
7/12/28,18.81,18.81
7/13/28,18.96,18.96
7/16/28,18.7,18.7
7/17/28,18.8,18.8
7/18/28,19.03,19.03
7/19/28,18.99,18.99
7/20/28,19.03,19.03
7/23/28,19.12,19.12
7/24/28,19.09,19.09
7/25/28,19.2,19.2
7/26/28,19.24,19.24
7/27/28,19.42,19.42
7/30/28,19.47,19.47
7/31/28,19.43,19.43
