Date,Price Open,Last Price
9/15/25,555.98,557.16
9/12/25,555.39,554.84
9/11/25,552.62,555.33
9/10/25,553.83,552.29
9/9/25,552.55,552.39
9/8/25,550.26,552.04
9/5/25,550.9,549.21
9/4/25,546.88,550.09
9/3/25,544.56,546.78
9/2/25,551.2,543.17
9/1/25,550.46,551.43
8/29/25,552.81,550.14
8/28/25,555.12,553.67
8/27/25,554.9,554.76
8/26/25,557.29,554.2
8/25/25,560.83,558.82
8/22/25,558.75,561.3
8/21/25,559.11,559.07
8/20/25,557.36,559.09
8/19/25,554.34,557.81
8/18/25,554.06,554.01
8/15/25,554.48,553.56
8/14/25,551.11,553.87
8/13/25,548.68,550.85
8/12/25,547.76,547.89
8/11/25,548.19,546.76
8/8/25,546.46,547.08
8/7/25,540.53,546.05
8/6/25,542.3,541.07
8/5/25,541.75,541.4
8/4/25,536.44,540.6
8/1/25,544.13,535.79
7/31/25,550.92,546.11
7/30/25,550.08,550.24
7/29/25,549.42,550.36
7/28/25,552.56,548.76
7/25/25,550.68,549.95
7/24/25,551.6,551.55
7/23/25,546.37,550.22
7/22/25,545.78,544.34
7/21/25,547.24,546.58
7/18/25,547.89,547
7/17/25,544.51,547.03
7/16/25,543.61,541.84
7/15/25,547.2,544.95
7/14/25,545.34,546.99
7/11/25,551.87,547.34
7/10/25,550.79,552.93
7/9/25,546.45,549.96
7/8/25,543.64,545.71
7/7/25,541.02,543.5
7/4/25,542.46,541.13
7/3/25,542.21,543.76
7/2/25,541.47,541.21
7/1/25,541.84,540.25
6/30/25,544.55,541.37
6/27/25,539.51,543.63
6/26/25,537.49,537.48
6/25/25,541.66,536.98
6/24/25,537.86,540.98
6/23/25,535.57,535.03
6/20/25,536.57,536.53
6/19/25,538.73,535.86
6/18/25,541.84,540.33
6/17/25,544.76,542.26
6/16/25,544.93,546.91
6/13/25,547.49,544.94
6/12/25,550.43,549.84
6/11/25,552.91,551.64
6/10/25,553,553.12
6/9/25,553.49,553.24
6/6/25,551.63,553.64
6/5/25,551.1,551.88
6/4/25,549.63,551.02
6/3/25,548.54,548.44
6/2/25,547.35,547.92
5/30/25,547.81,548.67
5/29/25,550.27,547.88
5/28/25,552.19,548.93
5/27/25,550.45,552.32
5/26/25,547.22,550.5
5/23/25,550.36,545.13
5/22/25,552.56,550.27
5/21/25,553.77,553.82
5/20/25,550.53,554.02
5/19/25,547.89,549.98
5/16/25,547.89,549.26
5/15/25,542.13,546.95
5/14/25,545.1,543.88
5/13/25,544.42,545.17
5/12/25,538.34,544.49
5/9/25,535.95,537.96
5/8/25,533.88,535.63
5/7/25,535.36,533.47
5/6/25,537.35,536.35
5/5/25,536.04,537.31
5/2/25,530.51,536.43
5/1/25,527.75,527.6
4/30/25,525.61,527.48
4/29/25,523.45,525.09
4/28/25,521.61,523.19
4/25/25,519.42,520.45
4/24/25,515.54,518.61
4/23/25,509.83,516.77
4/22/25,504.97,507.71
4/17/25,506.49,506.42
4/16/25,506.32,507.09
4/15/25,500.9,508.06
4/14/25,491.12,499.89
4/11/25,488.42,486.8
4/10/25,472.5,487.28
4/9/25,480.7,469.89
4/8/25,477.21,486.91
4/7/25,493.29,474.01
4/4/25,519.85,496.33
4/3/25,532.77,522.48
4/2/25,538.5,536.92
4/1/25,536.18,539.64
3/31/25,540.23,533.92
3/28/25,545.41,542.1
3/27/25,546.5,546.31
3/26/25,552.76,548.73
3/25/25,549.83,552.59
3/24/25,551.13,548.93
3/21/25,551.35,549.67
3/20/25,555.45,552.98
3/19/25,554.3,555.37
3/18/25,551.69,554.3
3/17/25,547.27,550.94
3/14/25,541.13,546.6
3/13/25,541.39,540.44
3/12/25,538.55,541.25
3/11/25,545.7,536.89
3/10/25,554.65,546.2
3/7/25,554.33,553.35
3/6/25,557.04,555.9
3/5/25,551.51,556.09
3/4/25,561.03,551.07
3/3/25,557.7,563.13
2/28/25,555.25,557.19
2/27/25,558.41,557.11
2/26/25,555.15,559.67
2/25/25,552.43,554.2
2/24/25,553.95,553.39
2/21/25,551.66,553.85
2/20/25,551.59,551.01
2/19/25,557,552.1
2/18/25,556.57,557.17
2/17/25,552.8,555.42
2/14/25,553.6,552.41
2/13/25,549.07,553.75
2/12/25,547.41,547.78
2/11/25,545.39,547.18
2/10/25,543.31,545.92
2/7/25,544.38,542.75
2/6/25,539.79,544.84
2/5/25,535.79,538.56
2/4/25,535.33,536.04
2/3/25,535.78,534.85
1/31/25,539.79,539.53
1/30/25,535.18,538.84
1/29/25,532.3,534.26
1/28/25,530.66,531.6
1/27/25,529.61,529.69
1/24/25,531.44,530.07
1/23/25,528.62,530.34
1/22/25,526.95,528.04
1/21/25,524.17,525.98
1/20/25,523.6,523.87
1/17/25,520.89,523.62
1/16/25,516.73,520.05
1/15/25,508.75,515.02
1/14/25,509.96,508.28
1/13/25,510.29,508.68
1/10/25,515.65,511.5
1/9/25,512.34,515.84
1/8/25,514.96,513.67
1/7/25,513.08,514.67
1/6/25,508.8,513.02
1/3/25,510.87,508.19
1/2/25,507.61,510.67
12/31/24,504.79,507.62
12/30/24,506.31,504.85
12/27/24,503.31,507.18
12/24/24,503.6,503.81
12/23/24,502.21,502.91
12/20/24,504.97,502.19
12/19/24,511.16,506.66
12/18/24,513.86,514.43
12/17/24,514.26,513.66
12/16/24,516.3,515.83
12/13/24,518.21,516.45
12/12/24,520.16,519.2
12/11/24,517.69,519.95
12/10/24,520.53,518.49
12/9/24,521.65,521.22
12/6/24,519.73,520.47
12/5/24,517.19,519.53
12/4/24,516.05,517.45
12/3/24,514.25,515.53
12/2/24,509.69,513.61
11/29/24,506.91,510.25
11/28/24,506.32,507.3
11/27/24,505.66,504.96
11/26/24,507.61,505.9
11/25/24,509.64,508.78
11/22/24,503.96,508.47
11/21/24,500.33,502.54
11/20/24,501.94,500.49
11/19/24,503.77,500.6
11/18/24,502.7,502.84
11/15/24,505.38,503.12
11/14/24,502.67,507.03
11/13/24,501.88,501.59
11/12/24,510.17,502.23
11/11/24,508.95,512.37
11/8/24,510.51,506.63
11/7/24,507.24,509.92
11/6/24,511.26,506.78
11/5/24,509.04,509.53
11/4/24,510.44,509.21
11/1/24,505.44,510.9
10/31/24,509.97,505.39
10/30/24,516.55,511.51
10/29/24,521.63,517.99
10/28/24,519.79,520.95
10/25/24,518.55,518.81
10/24/24,519.1,518.98
10/23/24,519.67,518.84
10/22/24,521.7,520.4
10/21/24,524.38,521.52
10/18/24,523.68,524.99
10/17/24,519.86,523.91
10/16/24,518.95,519.6
10/15/24,525.35,520.57
10/14/24,522.35,524.76
10/11/24,518.9,521.98
10/10/24,520.22,519.11
10/9/24,516.77,520.05
10/8/24,518.13,516.64
10/7/24,519.12,519.48
10/4/24,516.63,518.56
10/3/24,519.94,516.29
10/2/24,521.62,521.14
10/1/24,523.28,520.88
9/30/24,527.11,522.89
9/27/24,525.5,528.08
9/26/24,521.43,525.61
9/25/24,518.56,519.14
9/24/24,518.22,519.7
9/23/24,514.49,516.32
9/20/24,520.76,514.26
9/19/24,516.98,521.67
9/18/24,517.11,514.59
9/17/24,516.07,517.19
9/16/24,514.71,515.11
9/13/24,512.87,515.95
9/12/24,510.7,512.08
9/11/24,508.28,508.02
9/10/24,510.69,507.95
9/9/24,507.39,510.7
9/6/24,511.22,506.56
9/5/24,514.13,512.05
9/4/24,516.88,514.82
9/3/24,525,519.84
9/2/24,524.83,524.94
8/30/24,524.53,525.05
8/29/24,520.79,524.57
8/28/24,519.49,520.6
8/27/24,518.31,518.88
8/26/24,518.22,518.05
8/23/24,516.12,518.13
8/22/24,514.24,515.74
8/21/24,512.44,513.95
8/20/24,514.73,512.27
8/19/24,511.42,514.59
8/16/24,510.55,511.45
8/15/24,504.85,509.88
8/14/24,502.06,504.1
8/13/24,499.82,501.66
8/12/24,499.8,499.08
8/9/24,497.46,499.19
8/8/24,495.13,496.37
8/7/24,490.15,495.96
8/6/24,489.29,488.44
8/5/24,493.48,487.05
8/2/24,509.89,497.85
8/1/24,517.75,511.83
7/31/24,514.28,518.18
7/30/24,512.66,514.08
7/29/24,513.68,511.79
7/26/24,508.24,512.83
7/25/24,510.23,508.63
7/24/24,513.65,512.3
7/23/24,515.24,515.47
7/22/24,511.23,514.79
7/19/24,513.05,510.03
7/18/24,515.86,514.01
7/17/24,516.32,514.83
7/16/24,517.78,517.3
7/15/24,522.87,518.73
7/12/24,519.75,524.08
7/11/24,517.36,519.51
7/10/24,511.87,516.42
7/9/24,515.6,511.76
7/8/24,516.57,516.43
7/5/24,518.29,516.6
7/4/24,514.87,517.54
7/3/24,512.15,514.67
7/2/24,512.11,510.91
7/1/24,513.82,513.04
6/28/24,513.54,511.42
6/27/24,514.47,512.59
6/26/24,518.78,514.81
6/25/24,518.37,517.7
6/24/24,514.47,518.87
6/21/24,518.23,515.11
6/20/24,514.61,518.91
6/19/24,515.23,514.13
6/18/24,513.05,515.01
6/17/24,511.98,511.49
6/14/24,517.06,511.05
6/13/24,521.96,516.04
6/12/24,518,522.89
6/11/24,522.35,517.29
6/10/24,522.35,522.16
6/7/24,525.25,523.55
6/6/24,523.1,524.68
6/5/24,518.09,521.23
6/4/24,519.35,517.05
6/3/24,520.31,519.85
5/31/24,516.59,518.17
5/30/24,513,516.5
5/29/24,518.15,513.45
5/28/24,522.22,519.08
5/27/24,520.45,522.21
5/24/24,520.04,520.57
5/23/24,521.38,521.56
5/22/24,522.43,521.18
5/21/24,523.08,522.95
5/20/24,522.65,523.89
5/17/24,522.51,522.94
5/16/24,524.93,523.62
5/15/24,522.35,524.71
5/14/24,521.16,521.65
5/13/24,521.02,520.86
5/10/24,517.9,520.76
5/9/24,515.01,516.77
5/8/24,514.31,515.77
5/7/24,509.81,514.02
5/6/24,506,508.22
5/3/24,503.9,505.53
5/2/24,504.14,503.21
5/1/24,504.38,504.31
4/30/24,508.07,504.89
4/29/24,508.72,508.34
4/26/24,503.53,507.98
4/25/24,505.67,502.38
4/24/24,507.99,505.61
4/23/24,502.89,507.79
4/22/24,499.3,502.31
4/19/24,498.28,499.29
4/18/24,499.07,499.7
4/17/24,498.46,498.52
4/16/24,503.51,498.21
4/15/24,505.48,505.93
4/12/24,506.39,505.25
4/11/24,505.91,504.55
4/10/24,507.3,506.59
4/9/24,508.61,505.82
4/8/24,506.2,508.93
4/5/24,508.63,506.55
4/4/24,510.09,510.84
4/3/24,508.65,510.02
4/2/24,513.36,508.57
3/28/24,512.04,512.67
3/27/24,510.79,511.75
3/26/24,509.46,511.09
3/25/24,509.45,509.86
3/22/24,508.89,509.64
3/21/24,507.63,509.77
3/20/24,504.31,505.21
3/19/24,503.4,505.23
3/18/24,505.32,503.94
3/15/24,506.14,504.8
3/14/24,507.46,506.4
3/13/24,506.79,507.33
3/12/24,502.48,506.52
3/11/24,501.66,501.49
3/8/24,503.45,503.26
3/7/24,496.89,503.16
3/6/24,495.92,498.21
3/5/24,497.13,496.27
3/4/24,498.5,497.41
3/1/24,495.08,497.58
2/29/24,494.99,494.61
2/28/24,496.22,494.59
2/27/24,495.63,496.33
2/26/24,496.7,495.43
2/23/24,495.64,497.25
2/22/24,493.44,495.1
2/21/24,491.54,491.05
2/20/24,491.88,491.9
2/19/24,491.03,492.39
2/16/24,489.59,491.59
2/15/24,485.83,488.54
2/14/24,482.69,485.24
2/13/24,487.35,482.83
2/12/24,485.52,487.46
2/9/24,485.52,484.83
2/8/24,485.51,485.27
2/7/24,486.92,485.63
2/6/24,484.94,486.76
2/5/24,484.14,483.69
2/2/24,485.07,483.93
2/1/24,485.41,483.86
1/31/24,486.72,485.67
1/30/24,485.61,485.63
1/29/24,484.46,484.84
1/26/24,478.45,483.84
1/25/24,477.1,478.53
1/24/24,472.64,477.09
1/23/24,473.62,471.53
1/22/24,469.95,472.86
1/19/24,471.24,469.24
1/18/24,468.22,470.45
1/17/24,470.38,467.71
1/16/24,472.67,473.06
1/15/24,476.88,474.19
1/12/24,473.92,476.76
1/11/24,477.62,472.77
1/10/24,476.77,476.42
1/9/24,478.68,477.26
1/8/24,475.78,478.18
1/5/24,476.46,476.38
1/4/24,475.34,477.68
1/3/24,478.17,474.4
1/2/24,479.69,478.51
12/29/23,478.28,478.99
12/28/23,479.75,478.08
12/27/23,477.43,478.62
12/22/23,476.63,477.6
12/21/23,476.93,476.94
12/20/23,477.48,477.94
12/19/23,475.47,477.04
12/18/23,475.78,475.32
12/15/23,477.04,476.61
12/14/23,474.8,476.57
12/13/23,472.63,472.46
12/12/23,473.35,472.72
12/11/23,472.52,473.7
12/8/23,468.96,472.26
12/7/23,469.63,468.78
12/6/23,468.46,470.06
12/5/23,465.43,467.62
12/4/23,465.46,465.78
12/1/23,461.9,466.2
11/30/23,459.7,461.61
11/29/23,456.78,459.1
11/28/23,457.72,457.04
11/27/23,459.63,458.41
11/24/23,458.18,459.98
11/23/23,457.58,458.47
11/22/23,456.1,457.24
11/21/23,456.18,455.85
11/20/23,455.68,456.26
11/17/23,452.04,455.82
11/16/23,453.65,451.27
11/15/23,453.08,454.52
11/14/23,446.96,452.6
11/13/23,444.84,446.62
11/10/23,446.64,443.31
11/9/23,443.87,447.8
11/8/23,442.06,444.07
11/7/23,442.57,442.81
11/6/23,444.8,443.52
11/3/23,443.95,444.24
11/2/23,437.95,443.47
11/1/23,434.71,436.57
10/31/23,431.32,433.66
10/30/23,430.39,431.12
10/27/23,432.72,429.58
10/26/23,434.34,433.2
10/25/23,434.91,435.27
10/24/23,433.43,435.09
10/23/23,433.77,433.18
10/20/23,438.73,433.73
10/19/23,444.27,439.73
10/18/23,449.58,445.02
10/17/23,450,449.76
10/16/23,449.53,450.2
10/13/23,453.32,449.18
10/12/23,453.7,453.63
10/11/23,452.84,453.16
10/10/23,444.59,452.48
10/9/23,444.84,443.79
10/6/23,442.12,444.93
10/5/23,440.82,441.31
10/4/23,439.72,440.08
10/3/23,444.89,440.7
10/2/23,450.82,445.59
9/29/23,449.76,450.22
9/28/23,447.01,448.5
9/27/23,447.61,446.91
9/26/23,449.94,447.7
9/25/23,452.72,450.44
9/22/23,454.02,453.26
9/21/23,459.96,454.67
9/20/23,456.36,460.66
9/19/23,456.43,456.52
9/18/23,461.44,456.72
9/15/23,461.65,461.93
9/14/23,454.05,460.86
9/13/23,454.46,453.94
9/12/23,456.59,455.4
9/11/23,454.97,456.21
9/8/23,454.17,454.66
9/7/23,453.88,453.67
9/6/23,456.36,454.3
9/5/23,457.44,456.9
9/4/23,458.79,457.96
9/1/23,458.31,458.13
8/31/23,459,458.19
8/30/23,459.78,459.13
8/29/23,456.17,459.83
8/28/23,452.07,455.41
8/25/23,451.19,451.39
8/24/23,454.13,451.57
8/23/23,451.98,453.45
8/22/23,449.21,451.7
8/21/23,448.54,448.66
8/18/23,450.49,448.44
8/17/23,454.89,451.19
8/16/23,455.35,455.29
8/15/23,460.21,455.57
8/14/23,459.04,459.86
8/11/23,463.52,459.17
8/10/23,460.19,464.23
8/9/23,459.15,460.58
8/8/23,459.21,458.6
8/7/23,459.25,459.68
8/4/23,458.01,459.28
8/3/23,460.34,457.93
8/2/23,466.19,460.84
8/1/23,470.95,467.16
7/31/23,470.87,471.35
7/28/23,470.96,470.78
7/27/23,465.68,471.74
7/26/23,468.14,465.46
7/25/23,465.66,467.92
7/24/23,465,465.68
7/21/23,464.07,465.4
7/20/23,461.81,463.93
7/19/23,460.41,461.97
7/18/23,457.86,460.76
7/17/23,460.2,457.92
7/14/23,460.53,460.83
7/13/23,458.71,461.36
7/12/23,451.92,458.54
7/11/23,449.17,451.72
7/10/23,447.3,448.47
7/7/23,447.41,447.65
7/6/23,457.63,447.22
7/5/23,460.82,457.94
7/4/23,461.07,461.3
7/3/23,461.89,460.98
6/30/23,457.11,461.93
6/29/23,456.15,456.64
6/28/23,453.45,456.05
6/27/23,452.91,452.9
6/26/23,453.15,452.68
6/23/23,453.89,453.14
6/22/23,454.66,454.7
6/21/23,459.37,457.01
6/20/23,461.65,459.32
6/19/23,466.43,462.04
6/16/23,464.66,466.8
6/15/23,464.43,464.33
6/14/23,463.52,464.94
6/13/23,460.91,463.27
6/12/23,460.29,460.73
6/9/23,461.08,460.01
6/8/23,460,460.7
6/7/23,461.92,460.8
6/6/23,460.36,461.68
6/5/23,461.8,459.93
6/2/23,455.38,462.15
6/1/23,452.43,455.27
5/31/23,456.17,451.76
5/30/23,460.75,456.63
5/29/23,461.6,460.87
5/26/23,456.56,461.41
5/25/23,457.95,456.18
5/24/23,465.76,457.65
5/23/23,468.6,466.1
5/22/23,468.65,468.91
5/19/23,466.18,468.85
5/18/23,463.74,465.79
5/17/23,464.26,463.98
5/16/23,466.07,464.7
5/15/23,465.39,466.67
5/12/23,463.52,465.49
5/11/23,463.21,463.62
5/10/23,465.44,463.64
5/9/23,466.99,465.41
5/8/23,465.5,466.94
5/5/23,460.19,465.31
5/4/23,459.98,460.34
5/3/23,461.76,462.51
5/2/23,466.52,461.08
5/1/23,467,466.89
4/28/23,464.14,466.64
4/27/23,462.79,464.03
4/26/23,466.39,463.21
4/25/23,468.32,467.08
4/24/23,468.33,468.97
4/21/23,467.38,469
4/20/23,467.71,467.43
4/19/23,468.71,468.13
4/18/23,466.77,468.61
4/17/23,467.33,466.84
4/14/23,464.31,466.91
4/13/23,462.78,464.21
4/12/23,461.52,462.38
4/11/23,459.4,461.79
4/6/23,456.39,458.94
4/5/23,457.15,456.59
4/4/23,458.02,457.34
4/3/23,457.83,457.72
3/31/23,455.14,457.84
3/30/23,450.48,454.84
3/29/23,444.69,450.21
3/28/23,445.34,444.45
3/27/23,440.82,444.72
3/24/23,445.37,440.11
3/23/23,446.01,446.22
3/22/23,446.89,447.16
3/21/23,441.85,446.47
3/20/23,435.05,440.6
3/17/23,443.14,436.31
3/16/23,437.48,441.64
3/15/23,449.19,436.45
3/14/23,443.48,449.56
3/13/23,453.38,442.8
3/10/23,457.55,453.76
3/9/23,460.36,459.98
3/8/23,459.84,460.99
3/7/23,464.14,460.6
3/6/23,465.13,464.18
3/3/23,461.11,464.26
3/2/23,456.58,460.02
3/1/23,460.53,457.68
2/28/23,461.67,461.11
2/27/23,458.44,462.58
2/24/23,462.94,457.7
2/23/23,462.35,462.5
2/22/23,463.34,462.22
2/21/23,464.18,463.77
2/20/23,465.15,464.64
2/17/23,463.44,464.3
2/16/23,465.55,465.24
2/15/23,461.36,464.36
2/14/23,462.52,462.4
2/13/23,458.23,462.03
2/10/23,460.96,457.89
2/9/23,460.9,462.31
2/8/23,459.54,459.46
2/7/23,457.8,458.19
2/6/23,460.15,457.16
2/3/23,457.86,460.77
2/2/23,453.63,459.2
2/1/23,453.72,453.09
