Date,Price Open,Last Price
1/4/71,357.73,357.73
1/5/71,357.81,357.81
1/6/71,357.86,357.86
1/7/71,357.87,357.87
1/8/71,357.82,357.82
1/11/71,357.95,357.95
1/12/71,358.06,358.06
1/13/71,358.44,358.44
1/14/71,358.4,358.4
1/15/71,358.4,358.4
1/18/71,358.29,358.29
1/19/71,358.35,358.35
1/20/71,358.4,358.4
1/21/71,358.27,358.27
1/22/71,357.9,357.9
1/25/71,357.73,357.73
1/26/71,357.78,357.78
1/27/71,357.79,357.79
1/28/71,357.83,357.83
1/29/71,357.72,357.72
2/1/71,357.67,357.67
2/2/71,357.55,357.55
2/3/71,357.54,357.54
2/4/71,357.51,357.51
2/5/71,357.53,357.53
2/8/71,357.49,357.49
2/9/71,357.5,357.5
2/10/71,357.5,357.5
2/11/71,357.5,357.5
2/12/71,357.5,357.5
2/15/71,357.5,357.5
2/16/71,357.53,357.53
2/17/71,357.53,357.53
2/18/71,357.53,357.53
2/19/71,357.56,357.56
2/22/71,357.6,357.6
2/23/71,357.55,357.55
2/24/71,357.6,357.6
2/25/71,357.56,357.56
2/26/71,357.56,357.56
3/1/71,357.63,357.63
3/2/71,357.56,357.56
3/3/71,357.49,357.49
3/4/71,357.45,357.45
3/5/71,357.59,357.59
3/8/71,357.55,357.55
3/9/71,357.46,357.46
3/10/71,357.59,357.59
3/11/71,357.56,357.56
3/12/71,357.58,357.58
3/15/71,357.54,357.54
3/16/71,357.49,357.49
3/17/71,357.53,357.53
3/18/71,357.56,357.56
3/19/71,357.56,357.56
3/22/71,357.44,357.44
3/23/71,357.53,357.53
3/24/71,357.53,357.53
3/25/71,357.47,357.47
3/26/71,357.47,357.47
3/29/71,357.44,357.44
3/30/71,357.49,357.49
3/31/71,357.42,357.42
4/1/71,357.49,357.49
4/2/71,357.53,357.53
4/5/71,357.5,357.5
4/6/71,357.46,357.46
4/7/71,357.55,357.55
4/8/71,357.55,357.55
4/9/71,357.5,357.5
4/12/71,357.5,357.5
4/13/71,357.62,357.62
4/14/71,357.58,357.58
4/15/71,357.5,357.5
4/16/71,357.54,357.54
4/19/71,357.49,357.49
4/20/71,357.49,357.49
4/21/71,357.49,357.49
4/22/71,357.49,357.49
4/23/71,357.49,357.49
4/26/71,357.5,357.5
4/27/71,357.49,357.49
4/28/71,357.5,357.5
