Date,Price Open,Last Price
8/3/98,#N/A N/A,1.6694
8/4/98,#N/A N/A,1.6302
8/5/98,#N/A N/A,1.665
8/6/98,#N/A N/A,1.659
8/7/98,#N/A N/A,1.5975
8/10/98,#N/A N/A,1.5996
8/11/98,#N/A N/A,1.5868
8/12/98,#N/A N/A,1.5807
8/13/98,#N/A N/A,1.6324
8/14/98,#N/A N/A,1.5806
8/17/98,#N/A N/A,1.5705
8/18/98,#N/A N/A,1.591
8/19/98,#N/A N/A,1.5687
8/20/98,#N/A N/A,1.5478
8/21/98,#N/A N/A,1.4834
8/24/98,#N/A N/A,1.4773
8/25/98,#N/A N/A,1.4241
8/26/98,#N/A N/A,1.3955
8/27/98,#N/A N/A,1.2703
8/28/98,#N/A N/A,1.2599
8/31/98,#N/A N/A,1.1758
9/1/98,#N/A N/A,1.2636
9/2/98,#N/A N/A,1.2412
9/3/98,#N/A N/A,1.2131
9/4/98,#N/A N/A,1.2206
9/7/98,#N/A N/A,1.2106
9/8/98,#N/A N/A,1.2766
9/9/98,#N/A N/A,1.1569
9/10/98,#N/A N/A,1.1328
9/11/98,#N/A N/A,1.1734
9/14/98,#N/A N/A,1.2008
9/15/98,#N/A N/A,1.2343
9/16/98,#N/A N/A,1.2064
9/17/98,#N/A N/A,1.1077
9/18/98,#N/A N/A,1.0309
9/21/98,#N/A N/A,1.0293
9/22/98,#N/A N/A,1.0442
9/23/98,#N/A N/A,1.043
9/24/98,#N/A N/A,1.0059
9/25/98,#N/A N/A,0.9755
9/28/98,#N/A N/A,0.9245
9/29/98,#N/A N/A,0.9729
9/30/98,#N/A N/A,0.8509
10/1/98,#N/A N/A,0.7611
10/2/98,#N/A N/A,0.7592
10/5/98,#N/A N/A,0.6726
10/6/98,#N/A N/A,0.6524
10/7/98,#N/A N/A,0.7602
10/8/98,#N/A N/A,0.9032
10/9/98,#N/A N/A,1.0788
10/12/98,#N/A N/A,1.0506
10/13/98,#N/A N/A,1.0014
10/14/98,#N/A N/A,0.8878
10/15/98,#N/A N/A,0.7019
10/16/98,#N/A N/A,0.8314
10/19/98,#N/A N/A,0.856
10/20/98,#N/A N/A,0.9421
10/21/98,#N/A N/A,0.9621
10/22/98,#N/A N/A,0.9825
10/23/98,#N/A N/A,1.0539
10/26/98,#N/A N/A,1.0062
10/27/98,#N/A N/A,0.9435
10/28/98,#N/A N/A,0.8966
10/29/98,#N/A N/A,0.8745
10/30/98,#N/A N/A,0.9827
11/2/98,#N/A N/A,1.1075
11/3/98,#N/A N/A,1.0189
11/4/98,#N/A N/A,1.168
11/5/98,#N/A N/A,1.1104
11/6/98,#N/A N/A,1.1616
11/9/98,#N/A N/A,1.0601
11/10/98,#N/A N/A,1.0604
11/11/98,#N/A N/A,1.0605
11/12/98,#N/A N/A,1.0367
11/13/98,#N/A N/A,1.0599
11/16/98,#N/A N/A,1.0598
11/17/98,#N/A N/A,1.0596
11/18/98,#N/A N/A,1.0582
11/19/98,#N/A N/A,1.056
11/20/98,#N/A N/A,1.0383
11/23/98,#N/A N/A,1.1212
11/24/98,#N/A N/A,1.0869
11/25/98,#N/A N/A,1.0725
11/26/98,#N/A N/A,1.0767
11/27/98,#N/A N/A,1.0648
11/30/98,#N/A N/A,0.9815
12/1/98,#N/A N/A,0.906
12/2/98,#N/A N/A,0.847
12/3/98,#N/A N/A,0.7879
12/4/98,#N/A N/A,0.8264
