Date,Price Open,Last Price
1/2/90,#N/A N/A,17.24
1/3/90,#N/A N/A,18.19
1/4/90,#N/A N/A,19.22
1/5/90,#N/A N/A,20.11
1/8/90,#N/A N/A,20.26
1/9/90,#N/A N/A,22.2
1/10/90,#N/A N/A,22.44
1/11/90,#N/A N/A,20.05
1/12/90,#N/A N/A,24.64
1/15/90,#N/A N/A,26.34
1/16/90,#N/A N/A,24.18
1/17/90,#N/A N/A,24.16
1/18/90,#N/A N/A,24.34
1/19/90,#N/A N/A,22.5
1/22/90,#N/A N/A,26.7
1/23/90,#N/A N/A,24.72
1/24/90,#N/A N/A,25.39
1/25/90,#N/A N/A,25.63
1/26/90,#N/A N/A,26.28
1/29/90,#N/A N/A,26.44
1/30/90,#N/A N/A,27.25
1/31/90,#N/A N/A,25.36
2/1/90,#N/A N/A,24.87
2/2/90,#N/A N/A,24.32
2/5/90,#N/A N/A,24.54
2/6/90,#N/A N/A,24.69
2/7/90,#N/A N/A,24.29
2/8/90,#N/A N/A,23.77
2/9/90,#N/A N/A,23.69
2/12/90,#N/A N/A,24.38
2/13/90,#N/A N/A,23.76
2/14/90,#N/A N/A,22.05
2/15/90,#N/A N/A,19.71
2/16/90,#N/A N/A,20.78
2/20/90,#N/A N/A,22.78
2/21/90,#N/A N/A,23.89
2/22/90,#N/A N/A,22.54
2/23/90,#N/A N/A,23.69
2/26/90,#N/A N/A,23.56
2/27/90,#N/A N/A,22.69
2/28/90,#N/A N/A,21.99
3/1/90,#N/A N/A,21.9
3/2/90,#N/A N/A,21.34
3/5/90,#N/A N/A,22.03
3/6/90,#N/A N/A,20.55
3/7/90,#N/A N/A,19.1
3/8/90,#N/A N/A,19.74
3/9/90,#N/A N/A,20.3
3/12/90,#N/A N/A,20.07
3/13/90,#N/A N/A,21.05
3/14/90,#N/A N/A,19.65
3/15/90,#N/A N/A,18.81
3/16/90,#N/A N/A,17.62
3/19/90,#N/A N/A,18.29
3/20/90,#N/A N/A,19.06
3/21/90,#N/A N/A,20.1
3/22/90,#N/A N/A,22.74
3/23/90,#N/A N/A,20.46
