Date,Price Open,Last Price
7/1/59,186.125,186.5
7/2/59,186.375,187.125
7/6/59,187.25,187.75
7/7/59,187.875,188.375
7/8/59,188.375,187.625
7/9/59,187.125,187
7/14/59,187.375,186.75
7/15/59,186.5,186.5
7/16/59,186.625,186.25
7/17/59,186.125,186.125
7/20/59,186.25,187.125
7/21/59,186.875,186.75
7/22/59,186.75,186.5
7/23/59,189.25,189.125
7/24/59,189,189.625
7/27/59,189.75,190.5
7/28/59,190.75,189.75
7/29/59,189.75,189.75
7/30/59,189.875,190
7/31/59,190.25,190.875
8/3/59,190.75,190.5
8/4/59,191.125,191.25
8/5/59,191.375,190.125
8/6/59,190.125,189.625
8/7/59,189.375,189.5
8/10/59,189.5,189.875
8/11/59,190,190.125
8/12/59,189.875,189.375
8/13/59,189.375,189.375
8/14/59,189.5,189.75
8/17/59,189.5,189.5
8/18/59,189.625,189.125
8/19/59,189.25,189.625
8/20/59,189.5,189.375
8/21/59,189.375,189.5
8/24/59,190.5,191.125
8/25/59,191.25,191.125
8/26/59,191.125,191
8/27/59,191,190.5
8/28/59,190.375,190.125
8/31/59,190.125,190.75
9/1/59,190.875,192
9/2/59,192.375,192.625
9/3/59,192.625,192.5
9/4/59,192.375,192.625
9/8/59,192.625,192.25
9/9/59,191.75,191.125
9/10/59,191,190.875
9/11/59,191,191
9/14/59,190.875,191
9/15/59,191,191
9/16/59,191.25,190
9/17/59,189.875,190.25
9/18/59,190.5,191.125
9/21/59,191.25,191.125
9/22/59,196,194.25
9/23/59,194.5,195.375
9/24/59,195.375,195.375
9/25/59,195.5,194.75
9/28/59,194.625,194.75
9/29/59,194.875,195.25
9/30/59,195.25,196.5
10/1/59,196.125,196
10/2/59,196,196.375
10/5/59,196.25,195.875
10/6/59,195.875,196.75
10/7/59,196.75,197
10/8/59,197,197
10/9/59,197,196.75
10/12/59,197,197.5
10/13/59,197.625,197.375
10/14/59,197.375,196.875
10/15/59,196.875,196.625
10/16/59,196.5,197.75
10/19/59,197.5,197.625
10/20/59,197.75,198.125
10/21/59,198.375,200
10/22/59,199.625,200.375
10/23/59,200.5,200.875
10/26/59,201.25,200.375
10/27/59,200.125,200.375
10/28/59,200.625,201.125
10/29/59,201.375,199.75
10/30/59,199.75,200.375
11/2/59,200.5,200.625
11/3/59,200.625,200.5
11/4/59,200.375,200
11/5/59,200,199.75
11/6/59,200,199.875
11/9/59,200.125,201
11/10/59,201,202
11/11/59,202,201.5
11/12/59,201.375,201.625
11/13/59,201.75,202.75
11/16/59,202.75,202
11/17/59,201.75,201
11/18/59,201,200.625
11/19/59,200.875,199.5
11/20/59,199,198.375
11/23/59,198.375,197.875
11/24/59,197.875,198.625
11/25/59,199,199
11/27/59,199,198.375
11/30/59,198.5,198.25
12/1/59,198,198
12/2/59,197.75,198
12/3/59,198,197.375
12/4/59,196.875,197.125
12/7/59,197,196.875
12/8/59,196.75,196
12/9/59,195.875,196
12/10/59,196.125,195.875
12/11/59,195.875,195.375
12/14/59,195.25,195.875
12/15/59,196,197.125
12/16/59,197.625,197.25
12/17/59,196.75,196.125
12/18/59,196,196.5
12/21/59,196.625,197.5
12/22/59,201.25,201.375
12/23/59,201.25,202.625
12/24/59,202.5,203.125
12/28/59,203,203.375
12/29/59,203.375,203.75
12/30/59,203.625,204.125
12/31/59,204.125,204.25
1/4/60,204.5,204.875
1/5/60,204.75,203.875
1/6/60,203.625,203.875
1/7/60,204.125,203.5
1/8/60,203.625,204.25
1/11/60,204.5,204.625
1/12/60,204.375,204.375
1/13/60,204.125,203.5
1/14/60,203,202.375
1/15/60,202.125,202.75
1/18/60,202.625,202.75
1/19/60,202.75,202.125
1/20/60,202.25,201.75
1/21/60,201.625,202.25
1/22/60,202.5,202.25
1/25/60,201.75,202.375
1/26/60,202.25,203.125
1/27/60,202.875,202.125
1/28/60,202.125,202
1/29/60,202,200.625
2/1/60,200.75,199.625
2/2/60,199.375,199.125
2/3/60,199.125,199.125
2/4/60,197.625,198.5
2/5/60,198.625,198.75
2/8/60,198.5,198.625
2/9/60,198.5,199
2/10/60,199,198.25
2/11/60,198.25,199.125
2/12/60,199.375,200.125
2/15/60,200.5,199.625
2/16/60,199.75,200.25
2/17/60,200.125,199.875
2/18/60,199.75,199.625
2/19/60,200,199.875
2/23/60,199.875,199.625
2/24/60,199.625,199.25
2/25/60,199.125,197.75
2/26/60,197.625,197.25
2/29/60,197.5,197.75
3/1/60,197.875,197.625
3/2/60,197.5,197.625
3/3/60,197.75,198.25
3/4/60,198.25,197.625
3/7/60,198.125,199.25
3/8/60,199.125,200.375
3/9/60,200,200.125
3/10/60,200,198.25
3/11/60,198,199.375
3/14/60,199.75,202.125
3/15/60,202.75,203
3/16/60,202.875,203.25
3/17/60,203.75,203.125
3/18/60,203,203
3/21/60,203,204.125
3/22/60,204.5,206
3/23/60,206,207.125
3/24/60,207.5,208.375
3/25/60,208,207.75
3/28/60,207.25,206.375
3/29/60,206.125,206.375
3/30/60,206,207.5
3/31/60,207.875,207.625
4/1/60,207.75,208.25
4/4/60,208.625,208
4/5/60,207.875,207.875
4/6/60,207.75,208.375
