,,MXWD,MXEF,MXWO,IBOV,VIX,TIPS
Th,18/09/2025,,,,,,
We,17/09/2025,976.38,1347.85,4264.86,145.594k,15.72,374.0104
Tu,16/09/2025,976.77,1339.91,4269.83,144.062k,16.36,374.2514
Mo,15/09/2025,976.6,1328.79,4273.27,143.547k,15.69,373.9531
,,,,,,,
Fr,12/09/2025,972.15,1325.73,4252.63,142.272k,14.76,373.4908
Th,11/09/2025,971.45,1310.08,4255.23,143.151k,14.71,374.0015
We,10/09/2025,964.8,1307.49,4223.67,142.349k,15.35,373.4416
Tu,09/09/2025,961.7,1295.38,4213.11,141.618k,15.04,372.9881
Mo,08/09/2025,958.88,1282.2,4204.41,141.792k,15.11,373.5667
,,,,,,,
Fr,05/09/2025,955.71,1276.05,4191.23,142.64k,15.18,372.6869
Th,04/09/2025,954.14,1261.56,4189.1,140.993k,15.3,371.1894
We,03/09/2025,948.4,1267,4158.88,139.864k,16.35,370.5406
Tu,02/09/2025,945.1,1265.44,4143.34,140.335k,17.17,369.6822
Mo,01/09/2025,952.11,1266.58,4177.24,141.283k,16.12,370.4554
,,,,,,,
Fr,29/08/2025,951.57,1258.44,4177.72,141.422k,15.36,370.4554
Th,28/08/2025,956.34,1261.26,4199.99,141.049k,14.43,370.8607
We,27/08/2025,953.04,1269.11,4180.83,139.206k,14.85,370.5433
Tu,26/08/2025,952.72,1274.21,4177.26,137.771k,14.62,369.9023
Mo,25/08/2025,952.96,1285.46,4174.13,138.025k,14.79,368.991
,,,,,,,
Fr,22/08/2025,955.29,1266.55,4192.8,137.968k,14.22,369.3554
Th,21/08/2025,942.51,1261.74,4132.08,134.511k,16.6,367.0349
We,20/08/2025,945.79,1259.88,4148.83,134.666k,15.69,367.0848
Tu,19/08/2025,947.9,1270.73,4155.02,134.432k,15.57,366.6059
Mo,18/08/2025,951.29,1273.09,4170.72,137.322k,14.99,366.2979
,,,,,,,
Fr,15/08/2025,952.02,1272.43,4174.56,136.341k,15.09,366.5002
Th,14/08/2025,951.91,1271.97,4174.17,136.356k,14.83,367.4479
We,13/08/2025,953.08,1276.97,4177.97,136.687k,14.49,368.2623
Tu,12/08/2025,947.14,1257.27,4156.48,137.914k,14.73,367.0841
Mo,11/08/2025,938.16,1255.65,4113.11,135.623k,16.25,367.6872
,,,,,,,
Fr,08/08/2025,940.51,1253.79,4125.3,135.913k,15.15,367.4509
Th,07/08/2025,935.47,1260.46,4098.08,136.528k,16.57,367.7542
We,06/08/2025,933.23,1244.43,4093.26,134.538k,16.77,367.4319
Tu,05/08/2025,927.24,1246.1,4063.3,133.151k,17.85,367.8809
Mo,04/08/2025,928.45,1237.05,4072.66,132.971k,17.52,368.1096
,,,,,,,
Fr,01/08/2025,917.39,1226.18,4022.69,132.437k,20.38,367.0464
Th,31/07/2025,929.62,1243.23,4076.04,133.071k,16.72,364.8436
We,30/07/2025,934.33,1252.47,4095.58,133.99k,15.48,365.3769
Tu,29/07/2025,935.8,1252.31,4102.8,132.726k,15.98,366.4486
Mo,28/07/2025,939.37,1255.44,4119.12,132.129k,15.03,364.649
,,,,,,,
Fr,25/07/2025,941.26,1257.78,4127.47,133.524k,14.93,364.954
Th,24/07/2025,941.35,1267.29,4124.25,133.808k,15.39,364.8545
We,23/07/2025,939.34,1265.16,4115.24,135.368k,15.37,364.3404
Tu,22/07/2025,929.78,1248.05,4074.99,134.036k,16.5,365.8325
Mo,21/07/2025,929.63,1253.46,4072.14,134.167k,16.65,365.4547
,,,,,,,
Fr,18/07/2025,927.99,1249.38,4065.68,133.382k,16.41,364.4808
Th,17/07/2025,926.29,1241.25,4060.51,135.565k,16.52,364.2131
We,16/07/2025,921.11,1239.53,4035.77,135.511k,17.16,363.8545
Tu,15/07/2025,920.25,1240.45,4031.2,135.25k,17.38,362.6587
Mo,14/07/2025,923.46,1228.59,4051.5,135.299k,17.2,363.5537
,,,,,,,
Fr,11/07/2025,922.56,1229.13,4046.84,136.187k,16.4,363.3035
Th,10/07/2025,926.22,1231.26,4063.96,136.743k,15.78,363.9852
We,09/07/2025,924.3,1227.87,4055.89,137.481k,15.94,363.9148
Tu,08/07/2025,919.31,1231.54,4030.01,139.303k,16.81,362.7745
Mo,07/07/2025,919.93,1226.19,4035.12,139.49k,17.79,363.0794
,,,,,,,
Fr,04/07/2025,925.73,1231.63,4061.43,141.264k,17.48,363.3016
Th,03/07/2025,926.48,1236.97,4063.04,140.928k,16.38,363.3016
We,02/07/2025,920.48,1230.24,4036.25,139.051k,16.64,364.0335
Tu,01/07/2025,917.4,1229.25,4021.57,139.549k,16.83,364.3246
Mo,30/06/2025,917.89,1222.78,4026.44,138.855k,16.73,364.3984
,,,,,,,
Fr,27/06/2025,914.79,1228.53,4009.04,136.866k,16.32,363.4475
Th,26/06/2025,909.65,1226.95,3984.5,137.114k,16.59,363.9974
We,25/06/2025,902.15,1220.72,3950.11,135.767k,16.76,362.9849
