Date,Price Open,Last Price
9/15/25,317.1639,317.1639
9/12/25,316.3027,316.3027
9/11/25,315.5927,315.5927
9/10/25,315.3601,315.3601
9/9/25,314.528,314.528
9/8/25,314.4738,314.4738
9/5/25,314.8183,314.8183
9/4/25,315.7083,315.7083
9/3/25,315.8817,315.8817
9/2/25,315.6814,315.6814
9/1/25,314.3736,314.3736
8/29/25,314.3736,314.3736
8/28/25,314.9863,314.9863
8/27/25,315.1608,315.1608
8/26/25,315.0779,315.0779
8/25/25,315.1156,315.1156
8/22/25,315.1318,315.1318
8/21/25,315.1518,315.1518
8/20/25,313.4361,313.4361
8/19/25,313.3934,313.3934
8/18/25,314.0378,314.0378
8/15/25,313.8029,313.8029
8/14/25,314.2642,314.2642
8/13/25,313.8608,313.8608
8/12/25,314.703,314.703
8/11/25,314.2108,314.2108
8/8/25,313.359,313.359
8/7/25,312.9811,312.9811
8/6/25,312.9833,312.9833
8/5/25,312.332,312.332
8/4/25,311.9694,311.9694
8/1/25,312.2505,312.2505
7/31/25,313.6386,313.6386
7/30/25,312.5313,312.5313
7/29/25,311.8061,311.8061
7/28/25,311.092,311.092
7/25/25,310.5155,310.5155
7/24/25,310.4252,310.4252
7/23/25,310.6551,310.6551
7/22/25,310.895,310.895
7/21/25,311.2015,311.2015
7/18/25,312.0336,312.0336
7/17/25,311.4891,311.4891
7/16/25,310.8569,310.8569
7/15/25,311.1604,311.1604
7/14/25,310.51,310.51
7/11/25,310.1639,310.1639
7/10/25,310.4829,310.4829
7/9/25,310.4458,310.4458
7/8/25,310.3138,310.3138
7/7/25,310.0611,310.0611
7/4/25,309.5343,309.5343
7/3/25,309.5343,309.5343
7/2/25,308.0337,308.0337
7/1/25,308.6846,308.6846
6/30/25,308.9062,308.9062
6/27/25,309.2672,309.2672
6/26/25,309.4762,309.4762
6/25/25,310.4153,310.4153
6/24/25,310.3759,310.3759
6/23/25,312.334,312.334
6/20/25,312.0107,312.0107
6/19/25,312.5223,312.5223
6/18/25,312.5223,312.5223
6/17/25,313.2561,313.2561
6/16/25,312.1498,312.1498
6/13/25,312.3379,312.3379
6/12/25,311.4202,311.4202
6/11/25,312.5283,312.5283
6/10/25,312.9364,312.9364
6/9/25,312.6234,312.6234
6/6/25,312.5754,312.5754
6/5/25,311.4724,311.4724
6/4/25,310.9198,310.9198
6/3/25,311.3991,311.3991
6/2/25,310.0779,310.0779
5/30/25,310.0915,310.0915
5/29/25,311.2999,311.2999
5/28/25,310.9635,310.9635
5/27/25,311.2794,311.2794
5/26/25,309.7935,309.7935
5/23/25,309.7935,309.7935
5/22/25,310.6857,310.6857
5/21/25,309.9347,309.9347
5/20/25,310.256,310.256
5/19/25,310.6673,310.6673
5/16/25,310.7613,310.7613
5/15/25,310.561,310.561
5/14/25,311.9544,311.9544
5/13/25,312.5367,312.5367
5/12/25,311.7241,311.7241
5/9/25,308.3118,308.3118
5/8/25,308.3232,308.3232
5/7/25,307.1257,307.1257
5/6/25,307.4163,307.4163
5/5/25,307.5967,307.5967
5/2/25,308.1838,308.1838
5/1/25,310.7531,310.7531
4/30/25,308.7672,308.7672
4/29/25,308.8359,308.8359
4/28/25,309.1928,309.1928
4/25/25,309.5083,309.5083
4/24/25,307.8457,307.8457
4/23/25,307.4375,307.4375
4/22/25,306.1215,306.1215
4/21/25,305.4391,305.4391
4/18/25,305.7447,305.7447
4/17/25,305.7447,305.7447
4/16/25,305.35,305.35
4/15/25,305.8575,305.8575
4/14/25,304.9645,304.9645
4/11/25,304.4458,304.4458
4/10/25,305.6374,305.6374
4/9/25,304.8724,304.8724
4/8/25,308.6546,308.6546
4/7/25,309.476,309.476
4/4/25,310.0255,310.0255
4/3/25,313.4105,313.4105
4/2/25,316.1935,316.1935
4/1/25,316.0793,316.0793
3/31/25,316.0498,316.0498
3/28/25,315.6337,315.6337
3/27/25,316.0843,316.0843
3/26/25,315.7654,315.7654
3/25/25,315.7507,315.7507
3/24/25,316.4395,316.4395
3/21/25,315.1403,315.1403
3/20/25,315.0434,315.0434
3/19/25,315.2031,315.2031
3/18/25,315.432,315.432
3/17/25,315.2858,315.2858
3/14/25,314.0275,314.0275
3/13/25,313.1248,313.1248
3/12/25,311.9938,311.9938
3/11/25,311.1294,311.1294
3/10/25,310.4206,310.4206
3/7/25,309.286,309.286
3/6/25,310.1437,310.1437
3/5/25,310.0429,310.0429
3/4/25,309.8419,309.8419
3/3/25,311.8021,311.8021
2/28/25,312.3912,312.3912
2/27/25,312.1041,312.1041
2/26/25,311.4106,311.4106
2/25/25,311.2227,311.2227
2/24/25,311.3653,311.3653
2/21/25,311.7456,311.7456
2/20/25,311.892,311.892
2/19/25,312.9268,312.9268
2/18/25,312.4737,312.4737
2/17/25,312.1225,312.1225
2/14/25,312.1225,312.1225
2/13/25,313.0689,313.0689
2/12/25,313.2609,313.2609
2/11/25,311.9212,311.9212
2/10/25,311.2298,311.2298
2/7/25,310.8278,310.8278
2/6/25,310.4165,310.4165
2/5/25,310.0905,310.0905
2/4/25,312.1497,312.1497
2/3/25,312.3608,312.3608
1/31/25,311.4176,311.4176
1/30/25,310.9233,310.9233
1/29/25,310.5103,310.5103
1/28/25,310.7649,310.7649
1/27/25,309.704,309.704
1/24/25,311.3341,311.3341
1/23/25,310.6339,310.6339
1/22/25,310.0412,310.0412
1/21/25,308.8483,308.8483
1/20/25,309.4678,309.4678
1/17/25,309.4678,309.4678
1/16/25,309.5885,309.5885
1/15/25,310.4152,310.4152
1/14/25,310.7022,310.7022
1/13/25,310.4729,310.4729
1/10/25,310.3606,310.3606
1/9/25,310.6584,310.6584
1/8/25,310.2185,310.2185
1/7/25,310.2478,310.2478
1/6/25,310.1217,310.1217
1/3/25,308.6423,308.6423
1/2/25,308.2618,308.2618
1/1/25,307.2837,307.2837
12/31/24,307.2837,307.2837
12/30/24,308.3008,308.3008
12/27/24,309.4677,309.4677
12/26/24,309.8832,309.8832
12/25/24,309.6258,309.6258
12/24/24,309.6258,309.6258
12/23/24,308.8659,308.8659
12/20/24,307.9313,307.9313
12/19/24,307.9922,307.9922
12/18/24,306.6486,306.6486
12/17/24,306.7926,306.7926
12/16/24,307.3985,307.3985
12/13/24,307.0586,307.0586
12/12/24,306.6341,306.6341
12/11/24,306.1143,306.1143
12/10/24,306.2829,306.2829
12/9/24,306.5148,306.5148
12/6/24,304.8393,304.8393
12/5/24,305.7409,305.7409
12/4/24,304.8676,304.8676
12/3/24,304.5391,304.5391
12/2/24,304.8387,304.8387
11/29/24,304.6315,304.6315
11/28/24,303.7455,303.7455
11/27/24,303.7455,303.7455
11/26/24,305.9862,305.9862
11/25/24,307.0997,307.0997
11/22/24,308.3788,308.3788
11/21/24,308.6125,308.6125
11/20/24,309.5816,309.5816
11/19/24,308.2696,308.2696
11/18/24,308.7868,308.7868
11/15/24,308.734,308.734
11/14/24,309.492,309.492
11/13/24,309.1547,309.1547
11/12/24,309.2275,309.2275
11/11/24,308.5511,308.5511
11/8/24,308.5511,308.5511
11/7/24,309.894,309.894
11/6/24,309.4771,309.4771
11/5/24,306.7179,306.7179
11/4/24,305.9365,305.9365
11/1/24,307.2776,307.2806
10/31/24,305.5257,305.5331
10/30/24,306.8519,306.8592
