Date,Price Open,Last Price
9/12/25,#N/A N/A,168.57
9/11/25,#N/A N/A,176.37
9/10/25,#N/A N/A,177.88
9/9/25,#N/A N/A,172.82
9/8/25,#N/A N/A,183.26
9/5/25,#N/A N/A,189.58
9/4/25,#N/A N/A,184.51
9/3/25,#N/A N/A,186.94
9/2/25,#N/A N/A,175.11
8/29/25,#N/A N/A,174.16
8/28/25,#N/A N/A,180.09
8/27/25,#N/A N/A,178.54
8/26/25,#N/A N/A,171.46
8/25/25,#N/A N/A,169.35
8/22/25,#N/A N/A,179.63
8/21/25,#N/A N/A,170.01
8/20/25,#N/A N/A,172.13
8/19/25,#N/A N/A,172.99
8/18/25,#N/A N/A,168.45
8/15/25,#N/A N/A,168.4
8/14/25,#N/A N/A,168.06
8/13/25,#N/A N/A,178.93
8/12/25,#N/A N/A,170.51
8/11/25,#N/A N/A,172.71
8/8/25,#N/A N/A,168.71
8/7/25,#N/A N/A,172.39
8/6/25,#N/A N/A,169.39
8/5/25,#N/A N/A,176.22
8/4/25,#N/A N/A,177.98
8/1/25,#N/A N/A,182.41
7/31/25,#N/A N/A,169.2
7/30/25,#N/A N/A,168.59
7/29/25,#N/A N/A,178.17
7/28/25,#N/A N/A,168.82
7/25/25,#N/A N/A,172.22
7/24/25,#N/A N/A,171.83
7/23/25,#N/A N/A,169.23
7/22/25,#N/A N/A,175.01
7/21/25,#N/A N/A,179.82
7/18/25,#N/A N/A,176.45
7/17/25,#N/A N/A,175.26
7/16/25,#N/A N/A,172.67
7/15/25,#N/A N/A,168.47
7/14/25,#N/A N/A,171.87
7/11/25,#N/A N/A,164.07
7/10/25,#N/A N/A,171.23
7/9/25,#N/A N/A,179.8
7/8/25,#N/A N/A,170.28
7/7/25,#N/A N/A,164.06
7/3/25,#N/A N/A,165.43
7/2/25,#N/A N/A,172.08
7/1/25,#N/A N/A,174.25
6/30/25,#N/A N/A,186.17
6/27/25,#N/A N/A,178.31
6/26/25,#N/A N/A,182.46
6/25/25,#N/A N/A,181.1
6/24/25,#N/A N/A,180.96
6/23/25,#N/A N/A,179.84
6/20/25,#N/A N/A,177.49
6/18/25,#N/A N/A,173.91
6/17/25,#N/A N/A,180.33
6/16/25,#N/A N/A,172.57
6/13/25,#N/A N/A,169.13
6/12/25,#N/A N/A,182.03
6/11/25,#N/A N/A,178.54
6/10/25,#N/A N/A,174.81
6/9/25,#N/A N/A,175.63
6/6/25,#N/A N/A,166.44
6/5/25,#N/A N/A,178.14
6/4/25,#N/A N/A,189.91
6/3/25,#N/A N/A,185.42
6/2/25,#N/A N/A,179.83
5/30/25,#N/A N/A,183.96
5/29/25,#N/A N/A,188.59
5/28/25,#N/A N/A,177.09
5/27/25,#N/A N/A,192.86
5/23/25,#N/A N/A,189.9
5/22/25,#N/A N/A,190.73
5/21/25,#N/A N/A,171.15
5/20/25,#N/A N/A,179.52
5/19/25,#N/A N/A,180.07
5/16/25,#N/A N/A,180.3
5/15/25,#N/A N/A,190.64
5/14/25,#N/A N/A,177.77
5/13/25,#N/A N/A,180.31
5/12/25,#N/A N/A,180.69
5/9/25,#N/A N/A,188.15
5/8/25,#N/A N/A,184.72
5/7/25,#N/A N/A,196.71
5/6/25,#N/A N/A,196.38
5/5/25,#N/A N/A,188.67
5/2/25,#N/A N/A,189.17
5/1/25,#N/A N/A,189.89
4/30/25,#N/A N/A,188.89
4/29/25,#N/A N/A,193.41
4/28/25,#N/A N/A,192.18
4/25/25,#N/A N/A,194.47
4/24/25,#N/A N/A,195.29
4/23/25,#N/A N/A,198.42
4/22/25,#N/A N/A,203.58
4/21/25,#N/A N/A,184.94
4/17/25,#N/A N/A,188.51
4/16/25,#N/A N/A,194.23
4/15/25,#N/A N/A,195.47
4/14/25,#N/A N/A,203.53
4/11/25,#N/A N/A,188.05
4/10/25,#N/A N/A,190.77
4/9/25,#N/A N/A,198.07
4/8/25,#N/A N/A,180.93
4/7/25,#N/A N/A,180.46
4/4/25,#N/A N/A,195.57
4/3/25,#N/A N/A,193.34
4/2/25,#N/A N/A,183.36
4/1/25,#N/A N/A,180.2
3/31/25,#N/A N/A,179.09
3/28/25,#N/A N/A,181.06
3/27/25,#N/A N/A,166.59
3/26/25,#N/A N/A,162.2
3/25/25,#N/A N/A,164.55
3/24/25,#N/A N/A,160.5
3/21/25,#N/A N/A,163.38
3/20/25,#N/A N/A,164.93
3/19/25,#N/A N/A,167.72
3/18/25,#N/A N/A,164.73
3/17/25,#N/A N/A,167.3
3/14/25,#N/A N/A,165.79
3/13/25,#N/A N/A,168.84
3/12/25,#N/A N/A,166.3
3/11/25,#N/A N/A,158.78
3/10/25,#N/A N/A,175.3
3/7/25,#N/A N/A,157.89
3/6/25,#N/A N/A,160.03
3/5/25,#N/A N/A,150.93
3/4/25,#N/A N/A,151.82
3/3/25,#N/A N/A,166.25
2/28/25,#N/A N/A,160.18
2/27/25,#N/A N/A,153.44
2/26/25,#N/A N/A,152.28
2/25/25,#N/A N/A,155.87
2/24/25,#N/A N/A,153.09
2/21/25,#N/A N/A,153.87
2/20/25,#N/A N/A,150.03
2/19/25,#N/A N/A,147.1
2/18/25,#N/A N/A,138.36
2/14/25,#N/A N/A,148.38
2/13/25,#N/A N/A,153.92
2/12/25,#N/A N/A,139.28
2/11/25,#N/A N/A,141.46
2/10/25,#N/A N/A,144.32
2/7/25,#N/A N/A,139.53
2/6/25,#N/A N/A,143.78
2/5/25,#N/A N/A,155.59
2/4/25,#N/A N/A,149.15
2/3/25,#N/A N/A,146.08
1/31/25,#N/A N/A,143.13
1/30/25,#N/A N/A,146.35
1/29/25,#N/A N/A,146.96
1/28/25,#N/A N/A,146.18
1/27/25,#N/A N/A,151.36
1/24/25,#N/A N/A,145.86
1/23/25,#N/A N/A,140.88
1/22/25,#N/A N/A,142.72
1/21/25,#N/A N/A,147.74
1/17/25,#N/A N/A,159.3
1/16/25,#N/A N/A,160.75
1/15/25,#N/A N/A,156.69
1/14/25,#N/A N/A,145.2
1/13/25,#N/A N/A,142.45
1/10/25,#N/A N/A,138.08
1/9/25,#N/A N/A,146.89
1/8/25,#N/A N/A,147.53
1/7/25,#N/A N/A,137.3
1/6/25,#N/A N/A,142.83
1/3/25,#N/A N/A,142.25
1/2/25,#N/A N/A,144.1
12/31/24,#N/A N/A,141.1
12/30/24,#N/A N/A,148.73
12/27/24,#N/A N/A,135.47
12/26/24,#N/A N/A,140.94
12/24/24,#N/A N/A,142.13
12/23/24,#N/A N/A,136.95
12/20/24,#N/A N/A,144.78
12/19/24,#N/A N/A,132.19
12/18/24,#N/A N/A,127.6
12/17/24,#N/A N/A,141.92
12/16/24,#N/A N/A,142.53
12/13/24,#N/A N/A,136.33
12/12/24,#N/A N/A,135.61
12/11/24,#N/A N/A,134.72
12/10/24,#N/A N/A,138.39
12/9/24,#N/A N/A,138.04
12/6/24,#N/A N/A,141.71
12/5/24,#N/A N/A,140.58
12/4/24,#N/A N/A,144.03
12/3/24,#N/A N/A,137.55
12/2/24,#N/A N/A,142.25
11/29/24,#N/A N/A,156.15
11/27/24,#N/A N/A,146.66
11/26/24,#N/A N/A,139.35
11/25/24,#N/A N/A,155.91
11/22/24,#N/A N/A,145.98
11/21/24,#N/A N/A,143.4
11/20/24,#N/A N/A,140.59
11/19/24,#N/A N/A,143.79
11/18/24,#N/A N/A,143.6
11/15/24,#N/A N/A,138.06
11/14/24,#N/A N/A,139.09
11/13/24,#N/A N/A,131.52
11/12/24,#N/A N/A,124.85
11/8/24,#N/A N/A,144.57
11/7/24,#N/A N/A,149.43
11/6/24,#N/A N/A,128.44
11/5/24,#N/A N/A,131.49
11/4/24,#N/A N/A,153.72
11/1/24,#N/A N/A,135.64
10/31/24,#N/A N/A,145.17
10/30/24,#N/A N/A,148.37
10/29/24,#N/A N/A,154.19
10/28/24,#N/A N/A,148.99
10/25/24,#N/A N/A,149.01
10/24/24,#N/A N/A,158.82
10/23/24,#N/A N/A,152.64
10/22/24,#N/A N/A,150.24
10/21/24,#N/A N/A,140.84
10/18/24,#N/A N/A,153.72
10/17/24,#N/A N/A,143.75
10/16/24,#N/A N/A,153.22
10/15/24,#N/A N/A,158.83
10/11/24,#N/A N/A,152.97
10/10/24,#N/A N/A,153.72
10/9/24,#N/A N/A,152.33
10/8/24,#N/A N/A,156
10/7/24,#N/A N/A,155.17
10/4/24,#N/A N/A,150.28
10/3/24,#N/A N/A,159.19
10/2/24,#N/A N/A,160.34
10/1/24,#N/A N/A,170.28
9/30/24,#N/A N/A,163.1
9/27/24,#N/A N/A,168.94
9/26/24,#N/A N/A,165.14
9/25/24,#N/A N/A,161.7
9/24/24,#N/A N/A,166.44
9/23/24,#N/A N/A,165.3
9/20/24,#N/A N/A,165.87
9/19/24,#N/A N/A,166.44
9/18/24,#N/A N/A,160.55
9/17/24,#N/A N/A,168.63
9/16/24,#N/A N/A,176.05
9/13/24,#N/A N/A,176.87
9/12/24,#N/A N/A,175.22
9/11/24,#N/A N/A,172.53
9/10/24,#N/A N/A,179.89
9/9/24,#N/A N/A,174.02
9/6/24,#N/A N/A,175.2
9/5/24,#N/A N/A,177.68
9/4/24,#N/A N/A,180.53
9/3/24,#N/A N/A,176.71
8/30/24,#N/A N/A,165.66
8/29/24,#N/A N/A,168.85
8/28/24,#N/A N/A,170.51
8/27/24,#N/A N/A,169.46
8/26/24,#N/A N/A,169.4
8/23/24,#N/A N/A,176.1
8/22/24,#N/A N/A,164.12
8/21/24,#N/A N/A,170.71
8/20/24,#N/A N/A,172.95
8/19/24,#N/A N/A,170.51
8/16/24,#N/A N/A,171.74
8/15/24,#N/A N/A,167.22
8/14/24,#N/A N/A,180.72
8/13/24,#N/A N/A,182.97
8/12/24,#N/A N/A,181.03
8/9/24,#N/A N/A,183.02
8/8/24,#N/A N/A,178.57
8/7/24,#N/A N/A,176.5
8/6/24,#N/A N/A,172.48
8/5/24,#N/A N/A,175.9
8/2/24,#N/A N/A,190.96
8/1/24,#N/A N/A,181.3
7/31/24,#N/A N/A,174.74
7/30/24,#N/A N/A,168.48
7/29/24,#N/A N/A,167.76
7/26/24,#N/A N/A,169.61
7/25/24,#N/A N/A,168.54
7/24/24,#N/A N/A,157.78
7/23/24,#N/A N/A,158.55
7/22/24,#N/A N/A,157.92
7/19/24,#N/A N/A,148.11
7/18/24,#N/A N/A,150.63
7/17/24,#N/A N/A,163.89
7/16/24,#N/A N/A,164.66
7/15/24,#N/A N/A,154.62
7/12/24,#N/A N/A,159.71
7/11/24,#N/A N/A,161.63
7/10/24,#N/A N/A,157.2
7/9/24,#N/A N/A,151.83
7/8/24,#N/A N/A,156.56
7/5/24,#N/A N/A,161.16
7/3/24,#N/A N/A,163.13
7/2/24,#N/A N/A,160.24
7/1/24,#N/A N/A,146.26
6/28/24,#N/A N/A,144.39
6/27/24,#N/A N/A,156.02
6/26/24,#N/A N/A,144.28
6/25/24,#N/A N/A,151.69
6/24/24,#N/A N/A,157.17
6/21/24,#N/A N/A,153.46
6/20/24,#N/A N/A,147.86
6/18/24,#N/A N/A,157.73
6/17/24,#N/A N/A,146.46
6/14/24,#N/A N/A,152.91
6/13/24,#N/A N/A,152.84
6/12/24,#N/A N/A,155.98
6/11/24,#N/A N/A,152.79
6/10/24,#N/A N/A,144.27
6/7/24,#N/A N/A,134.65
6/6/24,#N/A N/A,152.52
6/5/24,#N/A N/A,152.32
6/4/24,#N/A N/A,154.24
6/3/24,#N/A N/A,156.4
5/31/24,#N/A N/A,151.15
5/30/24,#N/A N/A,153.99
5/29/24,#N/A N/A,137.43
5/28/24,#N/A N/A,136.21
5/24/24,#N/A N/A,145.5
5/23/24,#N/A N/A,142.7
5/22/24,#N/A N/A,147.02
5/21/24,#N/A N/A,149.8
5/20/24,#N/A N/A,145.67
5/17/24,#N/A N/A,143.02
5/16/24,#N/A N/A,148.28
5/15/24,#N/A N/A,160.55
5/14/24,#N/A N/A,151.86
5/13/24,#N/A N/A,149.55
5/10/24,#N/A N/A,143.37
5/9/24,#N/A N/A,149.1
5/8/24,#N/A N/A,142.17
5/7/24,#N/A N/A,148.68
5/6/24,#N/A N/A,150.26
5/3/24,#N/A N/A,154.23
5/2/24,#N/A N/A,147.89
5/1/24,#N/A N/A,151.2
4/30/24,#N/A N/A,141.26
4/29/24,#N/A N/A,151.47
4/26/24,#N/A N/A,150.7
4/25/24,#N/A N/A,143.02
4/24/24,#N/A N/A,142.62
4/23/24,#N/A N/A,146.31
4/22/24,#N/A N/A,146.53
4/19/24,#N/A N/A,148.93
4/18/24,#N/A N/A,154.79
4/17/24,#N/A N/A,155.29
4/16/24,#N/A N/A,143.29
4/15/24,#N/A N/A,134.45
4/12/24,#N/A N/A,144.84
4/11/24,#N/A N/A,138.8
4/10/24,#N/A N/A,126.87
4/9/24,#N/A N/A,152.44
4/8/24,#N/A N/A,147.03
4/5/24,#N/A N/A,141.84
4/4/24,#N/A N/A,154.66
4/3/24,#N/A N/A,150.88
4/2/24,#N/A N/A,147.69
4/1/24,#N/A N/A,139.88
3/28/24,#N/A N/A,153.97
3/27/24,#N/A N/A,155.61
3/26/24,#N/A N/A,154.44
3/25/24,#N/A N/A,152.04
3/22/24,#N/A N/A,160.19
3/21/24,#N/A N/A,157.49
