Date,Price Open,Last Price
11/29/02,#N/A N/A,1871.9
12/2/02,#N/A N/A,1915.6
12/3/02,#N/A N/A,1901.9
12/4/02,#N/A N/A,1898.1
12/5/02,#N/A N/A,1895.5
12/6/02,#N/A N/A,1858.5
12/9/02,#N/A N/A,1868
12/10/02,#N/A N/A,1875.9
12/11/02,#N/A N/A,1833.7
12/12/02,#N/A N/A,1855.1
12/13/02,1888,1888
12/16/02,#N/A N/A,1916.9
12/17/02,#N/A N/A,1922.2
12/18/02,#N/A N/A,1875.5
12/19/02,#N/A N/A,1848.1
12/20/02,#N/A N/A,1842
12/23/02,#N/A N/A,1867.8
12/27/02,#N/A N/A,1857.5
12/30/02,#N/A N/A,1826.9
1/2/03,#N/A N/A,1876.2
1/3/03,#N/A N/A,1889.2
1/7/03,1908.1,1908.1
1/8/03,#N/A N/A,1851.4
1/9/03,#N/A N/A,1838.2
1/10/03,#N/A N/A,1855.9
1/13/03,#N/A N/A,1879.6
1/14/03,#N/A N/A,1870.5
1/15/03,#N/A N/A,1866.7
1/16/03,#N/A N/A,1820.3
1/17/03,#N/A N/A,1798.1
1/20/03,#N/A N/A,1771
1/21/03,#N/A N/A,1778.1
1/22/03,#N/A N/A,1728.5
1/23/03,#N/A N/A,1746.3
1/24/03,#N/A N/A,1731.8
1/27/03,#N/A N/A,1721.3
1/28/03,#N/A N/A,1734.3
1/29/03,#N/A N/A,1715
1/30/03,#N/A N/A,1726.6
1/31/03,#N/A N/A,1714
2/3/03,#N/A N/A,1732.1
2/4/03,1720,1710.5
2/5/03,1685,1685
2/6/03,1670,1668.3
2/7/03,#N/A N/A,1669.8
2/10/03,1681,1681
2/11/03,#N/A N/A,1689.8
2/12/03,#N/A N/A,1705.4
2/13/03,1686,1686
2/14/03,#N/A N/A,1658.4
2/17/03,1642.1,1642.1
2/18/03,1636.5,1636.5
2/19/03,1619.8,1619.8
2/20/03,#N/A N/A,1636.5
2/21/03,#N/A N/A,1634.6
2/24/03,#N/A N/A,1663.8
2/25/03,1650,1650
2/26/03,#N/A N/A,1649.9
2/27/03,1649.7,1649.7
2/28/03,#N/A N/A,1640.2
3/3/03,#N/A N/A,1597.1
3/4/03,#N/A N/A,1575.3
3/5/03,#N/A N/A,1585.8
3/6/03,#N/A N/A,1587.3
3/7/03,#N/A N/A,1591.1
3/10/03,#N/A N/A,1612.8
3/11/03,#N/A N/A,1617.7
3/12/03,#N/A N/A,1613.4
3/13/03,#N/A N/A,1631
3/14/03,#N/A N/A,1634.9
3/17/03,1589.5,1596.6
3/18/03,1620.2,1620.2
3/19/03,#N/A N/A,1667.9
3/20/03,#N/A N/A,1673.9
3/21/03,#N/A N/A,1716.9
3/24/03,#N/A N/A,1710.6
3/25/03,#N/A N/A,1701.3
3/26/03,#N/A N/A,1715.8
3/27/03,#N/A N/A,1704.2
3/28/03,#N/A N/A,1712.7
3/31/03,#N/A N/A,1674.9
4/1/03,#N/A N/A,1691.9
4/2/03,#N/A N/A,1719.1
4/3/03,#N/A N/A,1753.1
4/4/03,#N/A N/A,1785.5
4/7/03,#N/A N/A,1811.2
4/8/03,#N/A N/A,1802.8
4/9/03,#N/A N/A,1801.5
4/10/03,#N/A N/A,1792.5
4/11/03,#N/A N/A,1812.2
4/14/03,#N/A N/A,1777.8
4/15/03,#N/A N/A,1799.6
4/16/03,#N/A N/A,1762.5
4/17/03,1749.8,1749.8
4/22/03,#N/A N/A,1726.2
4/23/03,#N/A N/A,1750.9
4/24/03,#N/A N/A,1752.7
4/25/03,#N/A N/A,1773.1
4/28/03,#N/A N/A,1775.9
4/29/03,#N/A N/A,1807.5
4/30/03,#N/A N/A,1819.8
5/5/03,#N/A N/A,1854.5
5/6/03,#N/A N/A,1869.8
5/7/03,#N/A N/A,1841.9
5/8/03,#N/A N/A,1832.2
5/9/03,1825,1827
5/12/03,1794,1794
5/13/03,1856.4,1831.3
5/14/03,#N/A N/A,1817.3
5/15/03,#N/A N/A,1824.5
5/16/03,#N/A N/A,1840.9
5/20/03,#N/A N/A,1857.8
5/21/03,#N/A N/A,1853.7
5/22/03,#N/A N/A,1859.6
5/23/03,#N/A N/A,1837.2
5/26/03,#N/A N/A,1838.8
5/27/03,#N/A N/A,1812.7
5/28/03,#N/A N/A,1857.5
5/30/03,#N/A N/A,1823.2
6/2/03,#N/A N/A,1817.3
6/3/03,#N/A N/A,1797.9
6/4/03,#N/A N/A,1725
6/5/03,#N/A N/A,1733.9
6/6/03,#N/A N/A,1727.2
6/10/03,1696,1696
6/11/03,#N/A N/A,1704.4
6/12/03,1698.6,1698.6
6/13/03,1689.3,1689.3
6/16/03,1639.3,1639.3
6/17/03,#N/A N/A,1653.3
6/18/03,#N/A N/A,1598.9
6/20/03,#N/A N/A,1597.2
6/23/03,#N/A N/A,1634.4
6/24/03,#N/A N/A,1614.3
6/25/03,#N/A N/A,1648.4
6/26/03,#N/A N/A,1611.8
6/27/03,#N/A N/A,1603.9
6/30/03,#N/A N/A,1582.7
7/1/03,#N/A N/A,1594.6
7/2/03,#N/A N/A,1614.6
7/3/03,#N/A N/A,1627.6
7/4/03,#N/A N/A,1635.5
7/7/03,#N/A N/A,1659.5
7/8/03,#N/A N/A,1661.9
7/9/03,#N/A N/A,1666.2
7/10/03,#N/A N/A,1665.5
7/11/03,#N/A N/A,1663
7/14/03,1679,1670.9
7/15/03,#N/A N/A,1661.6
7/16/03,1683.1,1676
7/17/03,#N/A N/A,1652.3
7/18/03,#N/A N/A,1656.3
7/21/03,#N/A N/A,1623.5
7/22/03,#N/A N/A,1620.2
7/23/03,#N/A N/A,1637.1
7/24/03,#N/A N/A,1644.1
7/25/03,#N/A N/A,1639.4
7/28/03,#N/A N/A,1683.7
7/29/03,#N/A N/A,1684.1
7/30/03,#N/A N/A,1703.5
7/31/03,#N/A N/A,1713.7
8/1/03,#N/A N/A,1695
8/4/03,#N/A N/A,1699.3
8/5/03,#N/A N/A,1715.9
8/6/03,#N/A N/A,1711.1
8/7/03,#N/A N/A,1694
8/8/03,#N/A N/A,1711.8
8/11/03,1712.8,1712.8
8/12/03,1688.7,1688.7
8/13/03,1737,1737
8/14/03,#N/A N/A,1746.9
8/18/03,#N/A N/A,1763.6
8/19/03,#N/A N/A,1810.4
8/21/03,#N/A N/A,1856.3
8/22/03,#N/A N/A,1868.5
8/25/03,#N/A N/A,1858
8/26/03,#N/A N/A,1851.9
8/27/03,#N/A N/A,1870.8
8/28/03,#N/A N/A,1907.9
8/29/03,#N/A N/A,1913.3
9/1/03,#N/A N/A,1935.1
9/2/03,#N/A N/A,1911.5
9/3/03,#N/A N/A,1968.9
9/4/03,#N/A N/A,1966.9
9/5/03,#N/A N/A,1951.8
9/8/03,#N/A N/A,1976
9/9/03,#N/A N/A,1984.2
9/10/03,#N/A N/A,1946.1
9/11/03,#N/A N/A,1960
9/12/03,1974,1972.3
9/15/03,#N/A N/A,1929.6
9/16/03,1933.8,1933.8
9/17/03,#N/A N/A,1993
9/18/03,#N/A N/A,1982
9/19/03,#N/A N/A,1980.3
9/22/03,#N/A N/A,1949.7
9/23/03,#N/A N/A,1963.9
9/24/03,#N/A N/A,1982.1
9/25/03,#N/A N/A,1955.3
9/26/03,#N/A N/A,1953.9
9/29/03,#N/A N/A,1958
9/30/03,#N/A N/A,1924.8
10/1/03,#N/A N/A,1961.4
10/2/03,#N/A N/A,1996.3
10/3/03,#N/A N/A,1997
10/6/03,#N/A N/A,2036.1
10/7/03,#N/A N/A,2042.5
10/8/03,#N/A N/A,2107.8
10/9/03,#N/A N/A,2110
10/10/03,#N/A N/A,2100.2
10/13/03,#N/A N/A,2077.7
10/14/03,#N/A N/A,2133
10/15/03,#N/A N/A,2106.9
10/16/03,#N/A N/A,2103.1
10/17/03,#N/A N/A,2114.6
10/20/03,#N/A N/A,2119.6
10/21/03,#N/A N/A,2108.4
10/22/03,#N/A N/A,2100.5
10/27/03,#N/A N/A,2029.6
10/28/03,#N/A N/A,2038.8
10/29/03,#N/A N/A,2035.7
10/30/03,#N/A N/A,2049
10/31/03,#N/A N/A,2020.8
11/3/03,#N/A N/A,2014.3
11/4/03,#N/A N/A,2017.2
11/5/03,#N/A N/A,2066.9
11/6/03,#N/A N/A,2076.5
11/7/03,#N/A N/A,2064.8
11/10/03,#N/A N/A,2076.2
11/11/03,#N/A N/A,2059.1
11/12/03,#N/A N/A,2080.1
11/13/03,#N/A N/A,2084.4
11/14/03,#N/A N/A,2055.2
11/17/03,#N/A N/A,2049.1
11/18/03,#N/A N/A,2030.1
11/19/03,2045.2,2043.8
11/20/03,#N/A N/A,1960.1
11/21/03,#N/A N/A,1971.5
11/24/03,#N/A N/A,1988.2
11/25/03,1952,1952
11/26/03,#N/A N/A,1920.2
11/27/03,#N/A N/A,1871.5
11/28/03,#N/A N/A,1872.8
12/1/03,#N/A N/A,1893.4
12/2/03,1853,1853
12/3/03,#N/A N/A,1790.6
12/4/03,#N/A N/A,1833.6
12/5/03,#N/A N/A,1873.9
12/9/03,#N/A N/A,1930.4
12/10/03,1944,1944
12/11/03,#N/A N/A,1886.4
12/12/03,#N/A N/A,1904.3
12/15/03,1930,1930
12/16/03,1919.6,1908.2
12/17/03,1912,1897.2
