Date,Price Open,Last Price
3/25/98,24155,23986
3/26/98,23850,23799
3/27/98,24150,23947
3/30/98,24020,24262
3/31/98,24300,24488
4/1/98,24640,24998
4/2/98,25150,25777
4/3/98,25500,25346
4/6/98,25300,25937
4/7/98,26000,25470
4/8/98,25300,23835
4/9/98,23950,24158
4/10/98,25000,24836
4/14/98,25000,25485
4/15/98,25610,25645
4/16/98,25500,24675
4/17/98,24190,24678
4/20/98,24900,24731
4/21/98,24605,24837
4/22/98,25100,24629
4/23/98,24400,23529
4/24/98,23905,22543
4/27/98,22500,20410
4/28/98,22000,21925
4/29/98,22080,21887
4/30/98,22000,22543
5/4/98,23300,23677
5/5/98,23480,23537
5/6/98,23250,23489
5/7/98,23295,23319
5/8/98,23540,23801
5/11/98,24180,24464
5/12/98,24240,23990
5/13/98,24200,23774
5/14/98,23940,23895
5/15/98,24250,24062
5/18/98,23410,23620
5/19/98,23800,23907
5/20/98,24020,23922
5/21/98,24090,24231
5/22/98,24240,24322
5/25/98,24355,24573
5/26/98,24650,24521
5/27/98,24015,23686
5/28/98,24030,23816
5/29/98,24000,23723
6/1/98,23375,23456
6/2/98,23480,23540
6/3/98,23330,23392
6/4/98,23255,23271
6/5/98,23470,23578
6/8/98,23700,23716
6/9/98,23610,23494
6/10/98,23240,23643
6/11/98,23400,23126
6/12/98,23000,22826
6/15/98,22755,22283
6/16/98,22180,22262
6/17/98,22400,22708
6/18/98,23000,22368
6/19/98,22125,22129
6/22/98,22250,21910
6/23/98,21900,21927
6/24/98,21850,21833
6/25/98,22000,22194
6/26/98,22150,22000
6/29/98,22100,22053
6/30/98,22005,22053
7/1/98,22100,22598
7/2/98,22650,22835
7/3/98,23000,23020
7/6/98,23235,23313
7/7/98,23550,23456
7/8/98,23335,23662
7/9/98,23650,23643
7/10/98,23560,23695
7/13/98,23720,23693
7/14/98,23835,23845
7/15/98,23930,23875
7/16/98,23905,23917
7/17/98,23970,24138
7/20/98,24150,24308
7/21/98,24180,24129
7/22/98,23500,23877
7/23/98,23850,23674
7/24/98,23380,23369
7/27/98,23400,23341
7/28/98,23645,23239
7/29/98,23050,22803
