Date,Price Open,Last Price
1/31/73,#N/A N/A,98.99
2/28/73,#N/A N/A,98.73
3/30/73,#N/A N/A,98.73
4/30/73,#N/A N/A,99.66
5/31/73,#N/A N/A,99.88
6/29/73,#N/A N/A,100.15
7/31/73,#N/A N/A,98.04
8/31/73,#N/A N/A,99.96
9/28/73,#N/A N/A,102.16
10/31/73,#N/A N/A,103.01
11/30/73,#N/A N/A,103.61
12/31/73,#N/A N/A,103.51
1/31/74,#N/A N/A,104.25
2/28/74,#N/A N/A,104.6
3/29/74,#N/A N/A,102.91
4/30/74,#N/A N/A,102.08
5/31/74,#N/A N/A,103.33
6/28/74,#N/A N/A,103.3
7/31/74,#N/A N/A,103.44
8/30/74,#N/A N/A,103.5
9/30/74,#N/A N/A,106.05
10/31/74,#N/A N/A,107.31
11/29/74,#N/A N/A,109.46
12/31/74,#N/A N/A,110.81
1/31/75,#N/A N/A,112.09
2/28/75,#N/A N/A,113.46
3/31/75,#N/A N/A,113.02
4/30/75,#N/A N/A,111.47
5/30/75,#N/A N/A,113.71
6/30/75,#N/A N/A,114.2
7/31/75,#N/A N/A,113.85
8/29/75,#N/A N/A,114.26
9/30/75,#N/A N/A,114.03
10/31/75,#N/A N/A,117.57
11/28/75,#N/A N/A,117.5
12/31/75,#N/A N/A,119.75
1/30/76,#N/A N/A,120.98
2/27/76,#N/A N/A,121.19
3/31/76,#N/A N/A,122.42
4/30/76,#N/A N/A,123.23
5/28/76,#N/A N/A,122.36
5/31/76,#N/A N/A,122.36
6/30/76,#N/A N/A,123.97
7/30/76,#N/A N/A,125.22
8/31/76,#N/A N/A,126.98
9/30/76,#N/A N/A,128.14
10/29/76,#N/A N/A,129.65
11/30/76,#N/A N/A,132.68
12/31/76,#N/A N/A,133.9
1/31/77,#N/A N/A,131.65
2/28/77,#N/A N/A,132.37
3/31/77,#N/A N/A,133.28
4/29/77,#N/A N/A,134.04
5/31/77,#N/A N/A,134.81
6/30/77,#N/A N/A,136.3
7/29/77,#N/A N/A,135.73
8/31/77,#N/A N/A,136.8
9/30/77,#N/A N/A,136.82
10/31/77,#N/A N/A,136.27
11/30/77,#N/A N/A,137.49
12/30/77,#N/A N/A,137.48
1/31/78,#N/A N/A,137.59
2/28/78,#N/A N/A,137.9
3/31/78,#N/A N/A,138.3
4/28/78,#N/A N/A,138.6
5/31/78,#N/A N/A,138.71
6/30/78,#N/A N/A,138.48
7/31/78,#N/A N/A,139.79
8/31/78,#N/A N/A,141.1
9/29/78,#N/A N/A,141.4
10/31/78,#N/A N/A,139.82
11/30/78,#N/A N/A,141.13
12/29/78,#N/A N/A,140.31
1/31/79,#N/A N/A,142.87
2/28/79,#N/A N/A,142.77
3/30/79,#N/A N/A,144.34
4/30/79,#N/A N/A,144.54
5/31/79,#N/A N/A,146.99
6/29/79,#N/A N/A,149.86
7/31/79,#N/A N/A,149.66
8/31/79,#N/A N/A,149.21
9/28/79,#N/A N/A,149.02
10/31/79,#N/A N/A,143.01
11/30/79,#N/A N/A,147.29
12/31/79,#N/A N/A,148.35
1/31/80,#N/A N/A,145.89
2/28/80,#N/A N/A,138.73
2/29/80,#N/A N/A,138.73
3/31/80,#N/A N/A,140.26
4/30/80,#N/A N/A,153.61
5/30/80,#N/A N/A,159.2
6/30/80,#N/A N/A,161.47
7/31/80,#N/A N/A,159.47
8/29/80,#N/A N/A,154.73
9/30/80,#N/A N/A,154.07
10/31/80,#N/A N/A,152.24
11/28/80,#N/A N/A,152.02
12/31/80,#N/A N/A,156.67
1/30/81,#N/A N/A,156.79
2/27/81,#N/A N/A,154.8
3/31/81,#N/A N/A,158.68
4/30/81,#N/A N/A,154.95
5/29/81,#N/A N/A,159.43
6/30/81,#N/A N/A,159.66
7/31/81,#N/A N/A,157.11
8/31/81,#N/A N/A,155.41
9/30/81,#N/A N/A,156.22
10/30/81,#N/A N/A,164.7
11/30/81,#N/A N/A,175.78
12/31/81,#N/A N/A,171.14
1/29/82,#N/A N/A,172.24
2/26/82,#N/A N/A,174.71
3/31/82,#N/A N/A,176.68
4/30/82,#N/A N/A,180.99
5/28/82,#N/A N/A,183.63
6/30/82,#N/A N/A,181.36
7/30/82,#N/A N/A,188.54
8/31/82,#N/A N/A,196.85
9/30/82,#N/A N/A,203.81
10/29/82,#N/A N/A,213.14
11/30/82,#N/A N/A,214.59
12/31/82,#N/A N/A,218.78
1/31/83,#N/A N/A,218.37
2/28/83,#N/A N/A,223.96
3/31/83,#N/A N/A,223.35
4/29/83,#N/A N/A,228.31
5/31/83,#N/A N/A,225.76
6/30/83,#N/A N/A,226.54
7/29/83,#N/A N/A,222.33
8/31/83,#N/A N/A,223.9
9/30/83,#N/A N/A,230.52
10/31/83,#N/A N/A,231.12
11/30/83,#N/A N/A,233.68
12/30/83,#N/A N/A,234.21
1/31/84,#N/A N/A,238.12
2/29/84,#N/A N/A,237.19
3/30/84,#N/A N/A,235.4
4/30/84,#N/A N/A,235.44
5/31/84,#N/A N/A,230.06
6/29/84,#N/A N/A,232.51
7/31/84,#N/A N/A,241.6
8/31/84,#N/A N/A,245.2
9/28/84,#N/A N/A,250.25
10/31/84,#N/A N/A,259.99
11/30/84,#N/A N/A,264.31
12/31/84,#N/A N/A,268.1
1/31/85,#N/A N/A,273.6
2/28/85,#N/A N/A,268.62
3/29/85,#N/A N/A,273.8
4/30/85,#N/A N/A,279.29
5/31/85,#N/A N/A,292.52
6/28/85,#N/A N/A,295.57
7/31/85,#N/A N/A,294.57
8/30/85,#N/A N/A,299.43
9/30/85,#N/A N/A,301.74
10/31/85,#N/A N/A,307.62
11/29/85,#N/A N/A,314.42
12/31/85,#N/A N/A,324.16
1/31/86,#N/A N/A,325.83
2/28/86,#N/A N/A,339.72
3/31/86,#N/A N/A,353.86
4/30/86,#N/A N/A,355.29
5/30/86,#N/A N/A,346.44
6/30/86,#N/A N/A,358.24
7/31/86,#N/A N/A,360.53
8/29/86,#N/A N/A,371.05
9/30/86,#N/A N/A,364.98
10/31/86,#N/A N/A,370.02
11/28/86,#N/A N/A,374.23
12/31/86,#N/A N/A,374.75
1/30/87,#N/A N/A,378.85
2/27/87,#N/A N/A,381.62
3/31/87,#N/A N/A,379.11
4/30/87,#N/A N/A,369.66
5/29/87,#N/A N/A,368.03
6/30/87,#N/A N/A,372.26
7/31/87,#N/A N/A,371.23
8/31/87,#N/A N/A,369
9/30/87,#N/A N/A,361.58
10/30/87,#N/A N/A,376.06
11/30/87,#N/A N/A,377.72
12/31/87,#N/A N/A,382.26
1/29/88,#N/A N/A,395.04
2/29/88,#N/A N/A,399.16
3/31/88,#N/A N/A,394.7
4/29/88,#N/A N/A,392.48
5/31/88,#N/A N/A,389.55
6/30/88,#N/A N/A,398.43
7/29/88,#N/A N/A,395.54
8/31/88,#N/A N/A,396.26
9/30/88,#N/A N/A,405.1
10/31/88,#N/A N/A,412.38
11/30/88,#N/A N/A,407.35
12/30/88,#N/A N/A,408.99
1/31/89,#N/A N/A,414.27
2/28/89,#N/A N/A,410.67
3/31/89,#N/A N/A,413.36
4/28/89,#N/A N/A,422.27
5/31/89,#N/A N/A,432.3
6/30/89,#N/A N/A,447.11
7/31/89,#N/A N/A,456.72
8/31/89,#N/A N/A,448.8
9/29/89,#N/A N/A,450.67
10/31/89,#N/A N/A,462.63
11/30/89,#N/A N/A,467.05
12/29/89,#N/A N/A,467.8
1/31/90,#N/A N/A,460.81
2/28/90,#N/A N/A,461.62
3/30/90,#N/A N/A,461.47
4/30/90,#N/A N/A,457.23
5/31/90,#N/A N/A,470.09
6/29/90,#N/A N/A,477.54
7/31/90,#N/A N/A,483.59
8/31/90,#N/A N/A,476.63
9/28/90,#N/A N/A,481.21
10/31/90,#N/A N/A,489.14
