Date,Price Open,Last Price
9/12/25,#N/A N/A,2308.62
9/11/25,#N/A N/A,2309.84
9/10/25,#N/A N/A,2304.65
9/9/25,#N/A N/A,2301.39
9/8/25,#N/A N/A,2307.44
9/5/25,#N/A N/A,2295.68
9/4/25,#N/A N/A,2285.31
9/3/25,#N/A N/A,2276.46
9/2/25,#N/A N/A,2268.54
9/1/25,#N/A N/A,2273.57
8/29/25,#N/A N/A,2273.57
8/28/25,#N/A N/A,2275.87
8/27/25,#N/A N/A,2272.97
8/26/25,#N/A N/A,2270.49
8/25/25,#N/A N/A,2265.23
8/22/25,#N/A N/A,2266.56
8/21/25,#N/A N/A,2255.01
8/20/25,#N/A N/A,2258.11
8/19/25,#N/A N/A,2256.2
8/18/25,#N/A N/A,2253.14
8/15/25,#N/A N/A,2254.19
8/14/25,#N/A N/A,2258.22
8/13/25,#N/A N/A,2264.26
8/12/25,#N/A N/A,2255.66
8/11/25,#N/A N/A,2255.56
8/8/25,#N/A N/A,2254.78
8/7/25,#N/A N/A,2260.12
8/6/25,#N/A N/A,2263.76
8/5/25,#N/A N/A,2262.97
8/4/25,#N/A N/A,2261.43
8/1/25,#N/A N/A,2257.77
7/31/25,#N/A N/A,2237.55
7/30/25,#N/A N/A,2237.8
7/29/25,#N/A N/A,2243.76
7/28/25,#N/A N/A,2233.06
7/25/25,#N/A N/A,2236.1
7/24/25,#N/A N/A,2231.06
7/23/25,#N/A N/A,2233.6
7/22/25,#N/A N/A,2240.14
7/21/25,#N/A N/A,2235.57
7/18/25,#N/A N/A,2229.19
7/17/25,#N/A N/A,2224.78
7/16/25,#N/A N/A,2225.53
7/15/25,#N/A N/A,2221.09
7/14/25,#N/A N/A,2228.28
7/11/25,#N/A N/A,2230.09
7/10/25,#N/A N/A,2239.14
7/9/25,#N/A N/A,2240.49
7/8/25,#N/A N/A,2230.83
7/7/25,#N/A N/A,2231.32
7/4/25,#N/A N/A,2236.87
7/3/25,#N/A N/A,2236.87
7/2/25,#N/A N/A,2243.44
7/1/25,#N/A N/A,2246.06
6/30/25,#N/A N/A,2246.65
6/27/25,#N/A N/A,2239.82
6/26/25,#N/A N/A,2246.85
6/25/25,#N/A N/A,2237.77
6/24/25,#N/A N/A,2235.91
6/23/25,#N/A N/A,2226.68
6/20/25,#N/A N/A,2221.35
