Date,Price Open,Last Price
9/15/25,24262.28,#N/A N/A
9/12/25,24092.19,24092.1934
9/11/25,23992.56,23992.5625
9/10/25,23849.27,23849.2695
9/9/25,23839.8,23839.7969
9/8/25,23762.3,23762.3008
9/5/25,23652.44,23652.4434
9/4/25,23633.01,23633.0117
9/3/25,23414.84,23414.8398
9/2/25,23231.11,23231.1074
8/29/25,23415.42,23415.4199
8/28/25,23703.45,23703.4512
8/27/25,23565.85,23565.8457
8/26/25,23525.29,23525.293
8/25/25,23425.61,23425.6055
8/22/25,23498.12,23498.1152
8/21/25,23142.58,23142.5801
8/20/25,23249.57,23249.5703
8/19/25,23384.77,23384.7695
8/18/25,23713.76,23713.7578
8/15/25,23712.07,23712.0703
8/14/25,23832.44,23832.4414
8/13/25,23849.04,23849.0391
8/12/25,23839.2,23839.1973
8/11/25,23526.63,23526.6348
8/8/25,23611.27,23611.2656
8/7/25,23389.53,23389.5293
8/6/25,23315.04,23315.043
8/5/25,23018.56,23018.5605
8/4/25,23188.61,23188.6074
8/1/25,22763.31,22763.3125
7/31/25,23218.12,23218.123
7/30/25,23345.41,23345.4141
7/29/25,23308.3,23308.3027
7/28/25,23356.27,23356.2695
7/25/25,23272.25,23272.2461
7/24/25,23219.87,23219.8652
7/23/25,23162.41,23162.4063
7/22/25,23063.58,23063.5781
7/21/25,23180.06,23180.0625
7/18/25,23065.47,23065.4746
7/17/25,23081.05,23081.0469
7/16/25,22907.97,22907.9668
7/15/25,22884.59,22884.5879
7/14/25,22855.63,22855.6328
7/11/25,22780.6,22780.5977
7/10/25,22829.26,22829.2617
7/9/25,22864.91,22864.9063
7/8/25,22702.25,22702.25
7/7/25,22685.57,22685.5684
7/3/25,22866.97,22866.9707
7/2/25,22641.89,22641.8867
7/1/25,22478.14,22478.1348
6/30/25,22679.01,22679.0098
6/27/25,22534.2,22534.2031
6/26/25,22447.29,22447.291
6/25/25,22237.74,22237.7422
6/24/25,22190.52,22190.5215
6/23/25,21856.33,21856.3301
6/20/25,21626.39,21626.3867
6/18/25,21719.69,21719.6895
6/17/25,21719.08,21719.0781
6/16/25,21937.57,21937.5684
6/13/25,21631.04,21631.0391
6/12/25,21913.32,21913.3203
6/11/25,21860.8,21860.8008
6/10/25,21941.92,21941.9199
6/9/25,21797.87,21797.8672
6/6/25,21761.79,21761.7891
6/5/25,21547.43,21547.4316
6/4/25,21721.92,21721.918
6/3/25,21662.58,21662.582
6/2/25,21491.75,21491.748
5/30/25,21340.99,21340.9922
5/29/25,21363.95,21363.9512
5/28/25,21318.17,21318.168
5/27/25,21414.99,21414.9902
5/23/25,20915.65,20915.6543
5/22/25,21112.47,21112.4707
5/21/25,21080.36,21080.3594
5/20/25,21367.37,21367.373
5/19/25,21447.05,21447.0527
5/16/25,21427.94,21427.9355
5/15/25,21335.82,21335.8223
5/14/25,21319.21,21319.207
5/13/25,21197.7,21197.6992
5/12/25,20868.15,20868.1484
5/9/25,20061.45,20061.4492
5/8/25,20063.57,20063.5645
5/7/25,19867.97,19867.9727
5/6/25,19791.35,19791.3457
5/5/25,19967.94,19967.9414
5/2/25,20102.61,20102.6133
5/1/25,19786.71,19786.709
4/30/25,19571.02,19571.0176
4/29/25,19544.95,19544.9453
4/28/25,19427.29,19427.2891
4/25/25,19432.56,19432.5586
4/24/25,19214.4,19214.4004
4/23/25,18693.26,18693.2578
4/22/25,18276.41,18276.4063
4/21/25,17808.3,17808.3008
4/17/25,18258.09,18258.0918
4/16/25,18257.64,18257.6426
4/15/25,18830.23,18830.2266
4/14/25,18796.02,18796.0215
4/11/25,18690.05,18690.0547
4/10/25,18343.57,18343.5723
4/9/25,19145.06,19145.0625
4/8/25,17090.4,17090.4023
4/7/25,17430.68,17430.6816
4/4/25,17397.7,17397.6953
4/3/25,18521.47,18521.4746
4/2/25,19581.78,19581.7773
4/1/25,19436.42,19436.4219
3/31/25,19278.45,19278.4473
3/28/25,19281.4,19281.4004
3/27/25,19798.62,19798.6211
3/26/25,19916.99,19916.9922
3/25/25,20287.83,20287.8262
3/24/25,20180.45,20180.4453
3/21/25,19753.97,19753.9648
3/20/25,19677.61,19677.6094
3/19/25,19736.66,19736.6621
3/18/25,19483.36,19483.3594
3/17/25,19812.24,19812.2363
3/14/25,19704.63,19704.6348
3/13/25,19225.48,19225.4824
3/12/25,19596.02,19596.0195
3/11/25,19376.96,19376.959
3/10/25,19430.95,19430.9531
3/7/25,20201.37,20201.373
3/6/25,20052.63,20052.6348
3/5/25,20628.46,20628.4648
3/4/25,20352.53,20352.5273
3/3/25,20425.58,20425.584
2/28/25,20884.41,20884.4082
2/27/25,20550.95,20550.9531
2/26/25,21132.92,21132.9199
2/25/25,21087.25,21087.2461
2/24/25,21352.08,21352.0801
2/21/25,21614.08,21614.0801
2/20/25,22068.06,22068.0566
2/19/25,22175.6,22175.5977
2/18/25,22164.61,22164.6055
2/14/25,22114.69,22114.6895
2/13/25,22030.71,22030.7148
2/12/25,21719.26,21719.2617
2/11/25,21693.52,21693.5215
2/10/25,21756.73,21756.7344
2/7/25,21491.31,21491.3086
2/6/25,21774.07,21774.0645
2/5/25,21658.16,21658.1641
2/4/25,21566.92,21566.918
2/3/25,21297.58,21297.582
1/31/25,21478.05,21478.0469
1/30/25,21508.12,21508.123
1/29/25,21411.46,21411.457
1/28/25,21463.04,21463.0371
1/27/25,21127.28,21127.2793
1/24/25,21774.01,21774.0117
1/23/25,21900.93,21900.9297
1/22/25,21853,21852.9961
1/21/25,21566.51,21566.5059
1/17/25,21441.15,21441.1543
1/16/25,21091.25,21091.252
1/15/25,21237.85,21237.8516
1/14/25,20757.41,20757.4102
1/13/25,20784.72,20784.7246
1/10/25,20847.58,20847.582
1/8/25,21180.96,21180.9648
1/7/25,21173.04,21173.043
1/6/25,21559.5,21559.5
1/3/25,21326.16,21326.1582
1/2/25,20975.62,20975.623
12/31/24,21012.17,21012.1738
12/30/24,21197.09,21197.0898
12/27/24,21473.01,21473.0156
12/26/24,21768.31,21768.3125
12/24/24,21797.65,21797.6504
12/23/24,21503.17,21503.1699
12/20/24,21289.15,21289.1543
12/19/24,21110.51,21110.5059
12/18/24,21209.31,21209.3145
12/17/24,22001.08,22001.084
12/16/24,22096.66,22096.6563
12/13/24,21780.25,21780.2539
12/12/24,21615.27,21615.2734
12/11/24,21763.98,21763.9844
12/10/24,21368.18,21368.1797
12/9/24,21440.82,21440.8203
12/6/24,21622.25,21622.2539
12/5/24,21425.22,21425.2227
12/4/24,21492.36,21492.3613
12/3/24,21229.32,21229.3164
12/2/24,21164.6,21164.5957
11/29/24,20930.37,20930.3672
11/27/24,20744.49,20744.4883
11/26/24,20922.9,20922.8984
11/25/24,20804.89,20804.8926
11/22/24,20776.23,20776.2305
11/21/24,20740.78,20740.7813
11/20/24,20667.1,20667.1035
11/19/24,20684.59,20684.5938
11/18/24,20539.19,20539.1914
11/15/24,20394.13,20394.1328
11/14/24,20896.67,20896.6738
11/13/24,21036.16,21036.1641
11/12/24,21070.79,21070.793
11/11/24,21106.59,21106.5918
11/8/24,21117.18,21117.1797
