Date,Price Open,Last Price
9/12/25,3475.74,3487.51
9/11/25,3449.43,3473.77
9/10/25,3420.02,3452.31
9/9/25,3413.52,3422.44
9/8/25,3418.79,3411.47
9/5/25,3412.43,3423.23
9/4/25,3409.7,3410.29
9/3/25,3408.37,3409.85
9/2/25,3437.57,3411.23
9/1/25,3444.69,3437.94
8/29/25,3460,3445
8/28/25,3463.25,3459.84
8/27/25,3461.95,3457.14
8/26/25,3467.76,3461.45
8/25/25,3505.11,3474.48
8/22/25,3496.92,3505.69
8/21/25,3498.65,3497.23
8/20/25,3484.16,3500.15
8/19/25,3471.65,3486.11
8/18/25,3487.27,3471.78
8/15/25,3479.8,3488.92
8/14/25,3485.52,3481.61
8/13/25,3474.01,3486.52
8/12/25,3453.08,3471.34
8/11/25,3451.61,3451.83
8/8/25,3461.26,3451.99
8/7/25,3443.68,3455.01
8/6/25,3434.81,3438.39
8/5/25,3434.97,3433.3
8/4/25,3398.97,3434.33
8/1/25,3385.74,3395.97
7/31/25,3391.64,3389.1
7/30/25,3391.59,3396.65
7/29/25,3369.65,3387.75
7/28/25,3400.51,3372.91
7/25/25,3398.3,3397.66
7/24/25,3397.13,3401.84
7/23/25,3400.94,3393.75
7/22/25,3390.12,3397.24
7/21/25,3392.77,3390.93
7/18/25,3362.48,3394.94
7/17/25,3355.76,3360.59
7/16/25,3346.35,3345.87
7/15/25,3378.64,3347.38
7/14/25,3364.45,3380.46
7/11/25,3372.73,3366.97
7/10/25,3353.11,3367.66
7/9/25,3344.8,3351.45
7/8/25,3362.75,3340.92
7/7/25,3376.74,3364.75
7/4/25,3385.99,3376.43
7/3/25,3388.3,3385.24
7/2/25,3396.99,3382.64
7/1/25,3396.9,3394.56
6/30/25,3372.78,3392.73
6/27/25,3365.85,3371.77
6/26/25,3341.51,3368.13
6/25/25,3356.5,3336.71
6/24/25,3336.83,3358.86
6/23/25,3319.38,3330.44
6/20/25,3319.25,3326.32
6/19/25,3331.51,3314.46
6/18/25,3329.33,3334.75
6/17/25,3362.33,3337.15
6/16/25,3363.53,3366.39
6/13/25,3385.22,3365.34
6/12/25,3360.62,3384.8
6/11/25,3348.01,3359.7
6/10/25,3341.77,3346.9
6/9/25,3367.98,3341.52
6/6/25,3361.37,3365.7
6/5/25,3355.4,3362.41
6/4/25,3362.22,3355.7
6/3/25,3371.51,3364.72
6/2/25,3346.18,3370.51
5/30/25,3328.51,3344.95
5/29/25,3316.44,3326.43
5/28/25,3347.3,3317.44
5/27/25,3348.17,3348.36
5/26/25,3341.51,3348.48
5/23/25,3313.22,3338.5
5/22/25,3337.49,3312.8
5/21/25,3359.9,3341.61
5/20/25,3340.29,3355.48
5/19/25,3324.82,3342.49
5/16/25,3306.16,3320.54
5/15/25,3260.9,3305.47
5/14/25,3257.25,3265.37
5/13/25,3236.47,3252.44
5/12/25,3267.69,3236.45
