Date,Price Open,Last Price
1/4/71,1.0109,1.0109
1/5/71,1.0102,1.0102
1/6/71,1.0106,1.0106
1/7/71,1.0148,1.0148
1/8/71,1.0154,1.0154
1/11/71,1.0159,1.0159
1/12/71,1.013,1.013
1/13/71,1.0122,1.0122
1/14/71,1.0133,1.0133
1/15/71,1.0135,1.0135
1/18/71,1.0126,1.0126
1/19/71,1.0111,1.0111
1/20/71,1.0115,1.0115
1/21/71,1.0109,1.0109
1/22/71,1.0117,1.0117
1/25/71,1.0111,1.0111
1/26/71,1.0107,1.0107
1/27/71,1.0101,1.0101
1/28/71,1.009,1.009
1/29/71,1.008,1.008
2/1/71,1.0076,1.0076
2/2/71,1.0087,1.0087
2/3/71,1.0085,1.0085
2/4/71,1.0078,1.0078
2/5/71,1.0078,1.0078
2/8/71,1.0083,1.0083
2/9/71,1.0083,1.0083
2/10/71,1.0086,1.0086
2/11/71,1.0086,1.0086
2/12/71,1.0086,1.0086
2/15/71,1.0086,1.0086
2/16/71,1.0084,1.0084
2/17/71,1.0087,1.0087
2/18/71,1.0076,1.0076
2/19/71,1.0066,1.0066
2/22/71,1.0043,1.0043
2/23/71,1.0035,1.0035
2/24/71,1.0075,1.0075
2/25/71,1.0066,1.0066
2/26/71,1.007,1.007
3/1/71,1.0076,1.0076
3/2/71,1.0071,1.0071
3/3/71,1.0073,1.0073
3/4/71,1.0064,1.0064
3/5/71,1.0047,1.0047
3/8/71,1.003,1.003
3/9/71,1.004,1.004
3/10/71,1.0036,1.0036
3/11/71,1.0049,1.0049
3/12/71,1.0056,1.0056
3/15/71,1.0059,1.0059
3/16/71,1.0052,1.0052
3/17/71,1.0056,1.0056
3/18/71,1.0065,1.0065
3/19/71,1.0077,1.0077
3/22/71,1.0079,1.0079
3/23/71,1.0078,1.0078
3/24/71,1.0076,1.0076
3/25/71,1.007,1.007
3/26/71,1.0074,1.0074
3/29/71,1.0075,1.0075
3/30/71,1.0082,1.0082
3/31/71,1.0081,1.0081
4/1/71,1.0076,1.0076
4/2/71,1.0073,1.0073
4/5/71,1.0071,1.0071
4/6/71,1.0062,1.0062
4/7/71,1.0069,1.0069
4/8/71,1.0071,1.0071
4/9/71,1.0068,1.0068
4/12/71,1.0069,1.0069
4/13/71,1.0076,1.0076
4/14/71,1.0081,1.0081
4/15/71,1.0075,1.0075
4/16/71,1.0068,1.0068
4/19/71,1.0073,1.0073
4/20/71,1.0075,1.0075
4/21/71,1.0073,1.0073
4/22/71,1.0076,1.0076
4/23/71,1.0085,1.0085
4/26/71,1.0092,1.0092
4/27/71,1.0095,1.0095
